Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2022-2023,David Rittich,WPG,G,69.0,58.0,59.0,62.0,32.0,57.0,9.0,13.0,68.0,47.0,46.0,41.0,53.0,Backup,21,1121.6833333333,0.901,2.67,45.75,50,30,1992-08-19,CZE,CZE,76,205,-,-,-,8479496.0,9,8,1,0,"[53, 41, 29, 10, 28]","[80, 29, 30, 10, 38]","[29, 77, 17, 6, 47]","['CGY', 'CGY', 'TOR', 'NSH', 'WPG']"
2022-2023,Elvis Merzlikins,CBJ,G,73.0,72.0,38.0,59.0,67.0,72.0,42.0,58.0,70.0,71.0,70.0,69.0,69.0,Backup,30,1560.2,0.876,4.23,80.95,110,28,1994-04-13,LVA,LVA,75,183,2014,3,76,8478007.0,7,18,2,0,"[None, 48, 55, 46, 0]","[None, 64, 42, 48, 1]","[None, 62, 75, 49, 42]","[None, 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
2022-2023,Eric Comrie,BUF,G,52.0,51.0,71.0,63.0,40.0,48.0,30.0,61.0,54.0,60.0,59.0,65.0,51.0,Backup,19,1111.9833333333,0.886,3.67,58.25,68,27,1995-07-06,CAN,CAN,73,183,2013,2,59,8477480.0,9,9,1,1,"[None, None, None, 91, 13]","[None, None, None, 96, 13]","[None, None, None, 13, 7]","[None, None, None, 'WPG', 'BUF']"
2022-2023,Felix Sandstrom,PHI,G,74.0,71.0,19.0,53.0,75.0,47.0,55.0,22.0,72.0,74.0,73.0,71.0,74.0,Backup,20,1112.85,0.880,3.72,54.83,69,25,1997-01-12,SWE,SWE,74,191,2015,3,70,8478433.0,3,12,3,0,"[None, None, None, None, 4]","[None, None, None, None, 5]","[None, None, None, None, 58]","[None, None, None, None, 'PHI']"
2022-2023,Filip Gustavsson,MIN,G,19.0,12.0,29.0,2.0,25.0,28.0,32.0,33.0,6.0,20.0,19.0,32.0,24.0,Tandem (1B),39,2310.9333333333,0.931,2.1,102.82,81,24,1998-06-07,SWE,SWE,74,184,2016,2,55,8479406.0,22,9,7,3,"[None, None, 83, 16, 93]","[None, None, 84, 25, 93]","[None, None, 54, 14, 89]","[None, None, 'OTT', 'OTT', 'MIN']"
2022-2023,Frederik Andersen,CAR,G,36.0,46.0,22.0,40.0,50.0,29.0,1.0,2.0,32.0,41.0,38.0,52.0,17.0,Tandem (1B),34,1984.35,0.903,2.48,80.78,82,32,1989-10-02,DNK,DNK,76,238,2012,3,87,8475883.0,21,11,1,1,"[80, 38, 17, 97, 39]","[89, 27, 64, 90, 20]","[30, 27, 4, 87, 79]","['TOR', 'TOR', 'TOR', 'CAR', 'CAR']"
2022-2023,Igor Shesterkin,NYR,G,3.0,2.0,21.0,43.0,12.0,1.0,29.0,43.0,7.0,6.0,5.0,3.0,3.0,Starter,58,3488.7666666667,0.916,2.48,167.43,144,26,1995-12-30,RUS,RUS,73,189,2014,4,118,8478048.0,37,13,8,3,"[None, 95, 84, 99, 91]","[None, 76, 90, 99, 95]","[None, 83, 20, 97, 45]","[None, 'NYR', 'NYR', 'NYR', 'NYR']"
2022-2023,Ilya Samsonov,TOR,G,29.0,31.0,27.0,39.0,57.0,15.0,53.0,15.0,33.0,33.0,32.0,30.0,10.0,Tandem (1A),42,2475.6,0.919,2.33,112.75,96,25,1997-02-22,RUS,RUS,75,214,2015,1,22,8478492.0,27,10,5,4,"[None, 50, 26, 22, 87]","[None, 71, 26, 17, 88]","[None, 50, 48, 70, 61]","[None, 'WSH', 'WSH', 'WSH', 'TOR']"
2022-2023,Ilya Sorokin,NYI,G,1.0,1.0,3.0,8.0,10.0,3.0,65.0,39.0,3.0,3.0,2.0,2.0,4.0,Starter,62,3587.0666666667,0.924,2.34,185.35,140,27,1995-08-04,RUS,RUS,75,195,2014,3,78,8478009.0,31,22,7,6,"[None, None, 67, 96, 99]","[None, None, 51, 97, 99]","[None, None, 81, 75, 97]","[None, None, 'NYI', 'NYI', 'NYI']"
2022-2023,Jack Campbell,EDM,G,68.0,69.0,58.0,55.0,47.0,64.0,4.0,18.0,64.0,44.0,43.0,37.0,30.0,Tandem (1B),36,2026.3833333333,0.888,3.41,93.33,115,30,1992-01-09,USA,USA,75,207,2010,1,11,8475789.0,21,9,4,1,"[91, 24, 77, 43, 7]","[77, 32, 71, 30, 7]","[92, 15, 96, 71, 11]","['LAK', 'TOR', 'TOR', 'TOR', 'EDM']"
2022-2023,Jacob Markstrom,CGY,G,43.0,49.0,28.0,13.0,51.0,50.0,6.0,9.0,60.0,52.0,51.0,43.0,38.0,Starter,59,3410.8333333333,0.892,2.92,155.78,166,32,1990-01-31,SWE,SWE,78,207,2008,2,31,8474593.0,23,21,12,1,"[68, 85, 32, 86, 32]","[59, 82, 45, 84, 24]","[73, 64, 33, 74, 62]","['VAN', 'VAN', 'CGY', 'CGY', 'CGY']"
2022-2023,Jake Allen,MTL,G,46.0,52.0,46.0,18.0,28.0,70.0,57.0,59.0,61.0,35.0,34.0,34.0,63.0,Tandem (1A),42,2450.4166666667,0.891,3.55,133.08,145,32,1990-08-07,CAN,CAN,74,195,2008,2,34,8474596.0,15,24,3,1,"[36, 89, 51, 61, 33]","[32, 86, 41, 87, 21]","[70, 68, 83, 25, 43]","['STL', 'STL', 'MTL', 'MTL', 'MTL']"
2022-2023,Jake Oettinger,DAL,G,18.0,16.0,35.0,33.0,38.0,10.0,7.0,12.0,8.0,4.0,3.0,6.0,7.0,Starter,62,3644.8833333333,0.919,2.37,163.07,144,23,1998-12-18,USA,USA,77,220,2017,1,26,8479979.0,37,11,11,5,"[None, None, 57, 59, 79]","[None, None, 52, 55, 80]","[None, None, 32, 29, 66]","[None, None, 'DAL', 'DAL', 'DAL']"
2022-2023,James Reimer,SJS,G,49.0,65.0,4.0,12.0,71.0,61.0,44.0,37.0,45.0,38.0,36.0,48.0,57.0,Tandem (1A),43,2538.0,0.890,3.48,131.53,147,34,1988-03-15,CAN,CAN,75,205,2006,4,99,8473503.0,12,21,8,3,"[18, 82, 52, 71, 25]","[29, 70, 65, 36, 9]","[12, 73, 22, 99, 93]","['FLA', 'CAR', 'CAR', 'SJS', 'SJS']"
2022-2023,Jaroslav Halak,NYR,G,35.0,42.0,30.0,69.0,13.0,44.0,18.0,21.0,62.0,37.0,37.0,31.0,43.0,Backup,25,1453.9333333333,0.903,2.72,68.44,66,37,1985-05-13,SVK,SVK,71,189,2003,9,271,8470860.0,10,9,5,1,"[88, 71, 22, 54, 58]","[92, 44, 22, 62, 41]","[9, 70, 84, 12, 91]","['BOS', 'BOS', 'BOS', 'VAN', 'NYR']"
2022-2023,Jeremy Swayman,BOS,G,11.0,10.0,33.0,6.0,43.0,9.0,15.0,6.0,4.0,9.0,7.0,21.0,5.0,Tandem (1B),37,2012.9833333333,0.920,2.27,93.81,76,23,1998-11-24,USA,USA,74,194,2017,4,111,8480280.0,24,6,4,4,"[None, None, 86, 39, 92]","[None, None, 83, 33, 91]","[None, None, 55, 39, 68]","[None, None, 'BOS', 'BOS', 'BOS']"
2022-2023,John Gibson,ANA,G,23.0,25.0,51.0,35.0,42.0,27.0,69.0,73.0,40.0,56.0,55.0,45.0,61.0,Starter,53,3004.9166666667,0.899,3.99,192.42,200,29,1993-07-14,USA,USA,74,210,2011,2,39,8476434.0,14,31,8,1,"[98, 42, 65, 52, 66]","[98, 62, 77, 35, 76]","[91, 26, 39, 91, 17]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2022-2023,Jonathan Quick,VGK,G,63.0,56.0,65.0,50.0,55.0,46.0,59.0,17.0,57.0,67.0,66.0,61.0,52.0,Tandem (1A),41,2234.75,0.882,3.41,104.81,127,36,1986-01-21,USA,USA,73,220,2005,3,72,8471734.0,16,15,6,2,"[5, 36, 46, 88, 8]","[5, 42, 19, 91, 17]","[18, 9, 77, 30, 12]","['LAK', 'LAK', 'LAK', 'LAK', 'VGK']"
2022-2023,Jonathan Quick,LAK,G,63.0,56.0,65.0,50.0,55.0,46.0,59.0,17.0,57.0,67.0,66.0,61.0,52.0,Tandem (1A),41,2234.75,0.882,3.41,104.81,127,36,1986-01-21,USA,USA,73,220,2005,3,72,8471734.0,16,15,6,2,"[5, 36, 46, 88, 8]","[5, 42, 19, 91, 17]","[18, 9, 77, 30, 12]","['LAK', 'LAK', 'LAK', 'LAK', 'VGK']"
2022-2023,Joonas Korpisalo,CBJ,G,45.0,41.0,49.0,31.0,56.0,19.0,58.0,60.0,28.0,39.0,40.0,40.0,49.0,Tandem (1B),39,2192.6,0.914,2.85,114.16,104,28,1994-04-28,FIN,FIN,75,193,2012,3,62,8476914.0,18,14,4,1,"[9, 27, 10, 4, 83]","[23, 33, 23, 3, 92]","[11, 58, 6, 62, 37]","['CBJ', 'CBJ', 'CBJ', 'CBJ', 'LAK']"
2022-2023,Joonas Korpisalo,LAK,G,45.0,41.0,49.0,31.0,56.0,19.0,58.0,60.0,28.0,39.0,40.0,40.0,49.0,Tandem (1B),39,2192.6,0.914,2.85,114.16,104,28,1994-04-28,FIN,FIN,75,193,2012,3,62,8476914.0,18,14,4,1,"[9, 27, 10, 4, 83]","[23, 33, 23, 3, 92]","[11, 58, 6, 62, 37]","['CBJ', 'CBJ', 'CBJ', 'CBJ', 'LAK']"
2022-2023,Jordan Binnington,STL,G,44.0,35.0,60.0,54.0,30.0,43.0,52.0,54.0,50.0,49.0,48.0,56.0,45.0,Starter,61,3526.7333333333,0.894,3.3,184.93,194,29,1993-07-11,CAN,CAN,74,172,2011,3,88,8476412.0,27,27,6,2,"[79, 74, 70, 36, 43]","[83, 74, 70, 38, 58]","[53, 36, 61, 54, 13]","['STL', 'STL', 'STL', 'STL', 'STL']"
2022-2023,Juuse Saros,NSH,G,2.0,3.0,7.0,15.0,2.0,7.0,23.0,55.0,9.0,10.0,6.0,4.0,8.0,Starter,64,3810.7666666667,0.919,2.69,206.55,171,27,1995-04-19,FIN,FIN,71,180,2013,4,99,8477424.0,33,23,7,2,"[77, 56, 97, 81, 96]","[67, 39, 99, 77, 97]","[61, 88, 3, 77, 95]","['NSH', 'NSH', 'NSH', 'NSH', 'NSH']"
2022-2023,Kaapo Kahkonen,SJS,G,70.0,67.0,36.0,19.0,69.0,65.0,31.0,46.0,51.0,51.0,50.0,62.0,67.0,Tandem (1B),37,2106.25,0.883,3.85,109.21,135,26,1996-08-16,FIN,FIN,74,217,2014,4,109,8478039.0,9,20,7,1,"[None, None, 12, 65, 5]","[None, None, 16, 51, 8]","[None, None, 10, 67, 50]","[None, None, 'MIN', 'SJS', 'SJS']"
2022-2023,Karel Vejmelka,ARI,G,33.0,38.0,43.0,22.0,44.0,39.0,49.0,68.0,58.0,57.0,56.0,59.0,59.0,Starter,50,2940.8333333333,0.899,3.43,167.81,168,26,1996-05-25,CZE,CZE,76,224,2015,5,145,8478872.0,18,24,6,3,"[None, None, None, 26, 63]","[None, None, None, 19, 66]","[None, None, None, 42, 38]","[None, None, None, 'ARI', 'ARI']"
2022-2023,Kevin Lankinen,NSH,G,41.0,44.0,34.0,10.0,65.0,30.0,35.0,49.0,31.0,24.0,26.0,33.0,42.0,Backup,19,1069.1666666667,0.916,2.75,56.69,49,27,1995-04-28,FIN,FIN,74,190,-,-,-,8480947.0,9,8,1,0,"[None, None, 62, 3, 84]","[None, None, 81, 7, 71]","[None, None, 12, 45, 76]","[None, None, 'CHI', 'CHI', 'NSH']"
2022-2023,Linus Ullmark,BOS,G,6.0,9.0,23.0,11.0,4.0,6.0,11.0,16.0,2.0,2.0,1.0,1.0,2.0,Tandem (1A),49,2882.2,0.938,1.89,126.68,91,29,1993-07-31,SWE,SWE,77,212,2012,6,163,8476999.0,40,6,1,2,"[17, 44, 58, 57, 97]","[33, 59, 75, 22, 96]","[14, 17, 9, 84, 78]","['BUF', 'BUF', 'BUF', 'BOS', 'BOS']"
2022-2023,Logan Thompson,VGK,G,24.0,33.0,44.0,49.0,34.0,11.0,40.0,26.0,35.0,27.0,28.0,20.0,12.0,Tandem (1B),37,2173.4333333333,0.915,2.65,96.76,96,25,1997-02-25,CAN,CAN,76,205,-,-,-,8480313.0,21,13,3,2,"[None, None, None, 64, 55]","[None, None, None, 65, 47]","[None, None, None, 64, 32]","[None, None, None, 'VGK', 'VGK']"
2022-2023,Lukas Dostal,ANA,G,17.0,6.0,64.0,57.0,1.0,52.0,50.0,72.0,25.0,13.0,15.0,9.0,68.0,Backup,19,1062.7166666667,0.901,3.78,66.31,67,22,2000-06-22,CZE,CZE,74,174,2018,3,85,8480843.0,4,10,3,0,"[None, None, None, None, 64]","[None, None, None, None, 78]","[None, None, None, None, 18]","[None, None, None, None, 'ANA']"
2022-2023,Mackenzie Blackwood,NJD,G,62.0,62.0,41.0,73.0,24.0,69.0,43.0,30.0,69.0,64.0,63.0,55.0,56.0,Backup,22,1125.55,0.893,3.2,57.05,60,25,1996-12-09,CAN,CAN,76,225,2015,2,42,8478406.0,10,6,2,0,"[58, 58, 39, 9, 37]","[58, 79, 46, 4, 32]","[62, 35, 25, 59, 46]","['NJD', 'NJD', 'NJD', 'NJD', 'NJD']"
2022-2023,Mads Sogaard,OTT,G,66.0,74.0,11.0,70.0,72.0,56.0,26.0,38.0,25.0,61.0,60.0,68.0,64.0,Backup,19,1047.5,0.889,3.32,50.34,58,21,2000-12-13,DNK,DNK,79,196,-,-,-,8481544.0,8,6,3,0,"[None, None, None, None, 14]","[None, None, None, None, 3]","[None, None, None, None, 75]","[None, None, None, None, 'OTT']"
2022-2023,Magnus Hellberg,DET,G,58.0,68.0,20.0,65.0,63.0,60.0,51.0,40.0,67.0,69.0,69.0,64.0,70.0,Backup,18,936.35,0.888,3.2,44.72,50,31,1991-04-04,SWE,SWE,78,220,2011,2,38,8476433.0,5,8,1,0,"[None, None, None, None, 22]","[None, None, None, None, 12]","[None, None, None, None, 57]","[None, None, None, None, 'OTT']"
2022-2023,Magnus Hellberg,OTT,G,58.0,68.0,20.0,65.0,63.0,60.0,51.0,40.0,67.0,69.0,69.0,64.0,70.0,Backup,18,936.35,0.888,3.2,44.72,50,31,1991-04-04,SWE,SWE,78,220,2011,2,38,8476433.0,5,8,1,0,"[None, None, None, None, 22]","[None, None, None, None, 12]","[None, None, None, None, 57]","[None, None, None, None, 'OTT']"
2022-2023,Marc-Andre Fleury,MIN,G,31.0,29.0,52.0,44.0,6.0,31.0,33.0,28.0,10.0,34.0,23.0,36.0,22.0,Tandem (1A),46,2654.2833333333,0.908,2.85,125.35,126,37,1984-11-28,CAN,CAN,74,185,2003,1,1,8470594.0,24,16,4,2,"[62, 30, 99, 41, 54]","[42, 21, 93, 43, 62]","[77, 18, 87, 28, 24]","['VGK', 'VGK', 'VGK', 'MIN', 'MIN']"
2022-2023,Martin Jones,SEA,G,67.0,59.0,63.0,26.0,49.0,68.0,22.0,14.0,44.0,62.0,61.0,66.0,48.0,Tandem (1A),48,2625.65,0.886,2.99,114.92,131,32,1990-01-10,CAN,CAN,76,203,-,-,-,8474889.0,27,13,3,3,"[29, 33, 25, 25, 11]","[3, 8, 36, 23, 25]","[89, 97, 14, 32, 21]","['SJS', 'SJS', 'SJS', 'PHI', 'SEA']"
2022-2023,Matt Murray,TOR,G,72.0,75.0,45.0,71.0,64.0,74.0,28.0,29.0,1.0,1.0,75.0,75.0,1.0,Backup,26,1473.1666666667,0.903,3.01,71.93,74,28,1994-05-25,CAN,CAN,77,203,2012,3,83,8483575.0,15,10,2,1,"[71, 11, 13, 70, 47]","[86, 9, 14, 68, 43]","[26, 79, 41, 65, 72]","['PIT', 'PIT', 'OTT', 'OTT', 'TOR']"
2022-2023,Matt Murray,TOR,G,72.0,75.0,45.0,71.0,64.0,74.0,28.0,29.0,1.0,1.0,75.0,75.0,1.0,Backup,26,1473.1666666667,0.903,3.01,71.93,74,28,1994-05-25,CAN,CAN,77,203,2012,3,83,8476899.0,15,10,2,1,"[71, 11, 13, 70, 47]","[86, 9, 14, 68, 43]","[26, 79, 41, 65, 72]","['PIT', 'PIT', 'OTT', 'OTT', 'TOR']"
2022-2023,Matt Murray,DAL,G,72.0,75.0,45.0,71.0,64.0,74.0,28.0,29.0,1.0,1.0,75.0,75.0,1.0,Fringe,3,177.03333333333,0.844,3.39,7.22,10,24,1998-02-02,CAN,CAN,73,200,-,-,-,8483575.0,15,10,2,1,"[71, 11, 13, 70, 47]","[86, 9, 14, 68, 43]","[26, 79, 41, 65, 72]","['PIT', 'PIT', 'OTT', 'OTT', 'TOR']"
2022-2023,Matt Murray,DAL,G,72.0,75.0,45.0,71.0,64.0,74.0,28.0,29.0,1.0,1.0,75.0,75.0,1.0,Fringe,3,177.03333333333,0.844,3.39,7.22,10,24,1998-02-02,CAN,CAN,73,200,-,-,-,8476899.0,15,10,2,1,"[71, 11, 13, 70, 47]","[86, 9, 14, 68, 43]","[26, 79, 41, 65, 72]","['PIT', 'PIT', 'OTT', 'OTT', 'TOR']"
2022-2023,Michael Hutchinson,CBJ,G,71.0,70.0,73.0,32.0,46.0,75.0,70.0,75.0,72.0,75.0,74.0,74.0,75.0,Backup,16,755.45,0.875,4.29,45.07,54,32,1990-03-02,CAN,CAN,75,201,2008,3,77,8474636.0,2,6,3,0,"[None, 8, None, None, 9]","[None, 11, None, None, 11]","[None, 24, None, None, 4]","[None, 'COL', None, None, 'CBJ']"
