Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2020-2021,Carey Price,MTL,G,45.0,39.0,53.0,9.0,61.0,21.0,10.0,3.0,22.0,37.0,37.0,45.0,38.0,Tandem (1B),25,1478.75,0.901,2.64,57.2,65,33,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,12,7,5,1
2020-2021,Carter Hart,PHI,G,66.0,64.0,68.0,45.0,64.0,63.0,50.0,40.0,61.0,62.0,62.0,62.0,60.0,Tandem (1B),27,1456.3166666667,0.876,3.67,60.59,89,22,1998-08-13,CAN,CAN,74,181,2016,2,48,8479394,9,11,5,1
2020-2021,Carter Hutton,BUF,G,68.0,67.0,26.0,16.0,63.0,68.0,20.0,48.0,56.0,58.0,58.0,47.0,68.0,Backup,13,674.71666666667,0.886,3.47,28.68,39,34,1985-12-19,CAN,CAN,72,211,-,-,-,8475622,1,10,1,0
2020-2021,Casey DeSmith,PIT,G,15.0,16.0,47.0,13.0,51.0,11.0,51.0,29.0,19.0,41.0,41.0,27.0,22.0,Backup,20,1132.3166666667,0.912,2.54,47.96,48,29,1991-08-13,USA,USA,72,181,-,-,-,8479193,11,7,0,2
2020-2021,Chris Driedger,FLA,G,4.0,3.0,29.0,8.0,3.0,8.0,22.0,17.0,4.0,3.0,3.0,4.0,3.0,Tandem (1B),23,1361.6,0.927,2.07,51.05,47,26,1994-05-18,CAN,CAN,76,208,2012,3,76,8476904,14,6,3,3
2020-2021,Connor Hellebuyck,WPG,G,9.0,13.0,34.0,5.0,20.0,28.0,59.0,56.0,15.0,28.0,30.0,21.0,16.0,Starter,45,2602.8166666667,0.916,2.58,123.1,112,27,1993-05-19,USA,USA,76,216,2012,5,130,8476945,24,17,3,4
2020-2021,Curtis McElhinney,TBL,G,65.0,68.0,43.0,59.0,67.0,62.0,1.0,5.0,62.0,56.0,56.0,50.0,61.0,Backup,12,719.31666666667,0.875,3.09,22.39,37,37,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147,4,6,2,1
2020-2021,Darcy Kuemper,ARI,G,30.0,42.0,25.0,10.0,54.0,35.0,56.0,11.0,23.0,18.0,19.0,13.0,24.0,Tandem (1B),27,1546.6166666667,0.907,2.56,63.38,66,30,1990-05-05,CAN,CAN,77,215,2009,6,161,8475311,10,11,3,2
2020-2021,David Rittich,CGY,G,47.0,43.0,56.0,35.0,57.0,20.0,11.0,19.0,45.0,46.0,46.0,35.0,51.0,Backup,19,965.76666666667,0.901,2.86,38.51,46,28,1992-08-19,CZE,CZE,76,205,-,-,-,8479496,5,8,2,1
2020-2021,David Rittich,TOR,G,47.0,43.0,56.0,35.0,57.0,20.0,11.0,19.0,45.0,46.0,46.0,35.0,51.0,Backup,19,965.76666666667,0.901,2.86,38.51,46,28,1992-08-19,CZE,CZE,76,205,-,-,-,8479496,5,8,2,1
2020-2021,Devan Dubnyk,COL,G,64.0,58.0,41.0,47.0,56.0,64.0,37.0,24.0,60.0,55.0,55.0,59.0,64.0,Backup,22,1182.3666666667,0.895,3.2,49.45,63,34,1986-05-04,CAN,CAN,78,224,2004,1,14,8471227,6,11,2,1
2020-2021,Devan Dubnyk,SJS,G,64.0,58.0,41.0,47.0,56.0,64.0,37.0,24.0,60.0,55.0,55.0,59.0,64.0,Backup,22,1182.3666666667,0.895,3.2,49.45,63,34,1986-05-04,CAN,CAN,78,224,2004,1,14,8471227,6,11,2,1
2020-2021,Dustin Tokarski,BUF,G,55.0,49.0,21.0,69.0,60.0,3.0,58.0,66.0,38.0,48.0,48.0,51.0,67.0,Backup,13,729.43333333333,0.904,3.54,36.58,43,30,1989-09-16,CAN,CAN,72,198,2008,5,122,8474682,2,8,2,0
2020-2021,Elvis Merzlikins,CBJ,G,17.0,35.0,9.0,33.0,48.0,31.0,61.0,46.0,20.0,27.0,25.0,18.0,31.0,Tandem (1A),28,1496.8166666667,0.916,2.77,61.92,69,26,1994-04-13,LVA,LVA,75,183,2014,3,76,8478007,8,12,5,2
2020-2021,Filip Gustavsson,OTT,G,6.0,4.0,30.0,1.0,24.0,10.0,36.0,36.0,2.0,2.0,2.0,2.0,5.0,Backup,9,471.56666666667,0.933,2.16,20.18,17,22,1998-06-07,SWE,SWE,74,184,2016,2,55,8479406,5,1,2,0
2020-2021,Frederik Andersen,TOR,G,53.0,38.0,60.0,40.0,19.0,47.0,3.0,28.0,48.0,53.0,53.0,55.0,43.0,Tandem (1B),24,1420.1166666667,0.895,2.96,57.34,70,30,1989-10-02,DNK,DNK,76,238,2012,3,87,8475883,13,8,3,0
2020-2021,Igor Shesterkin,NYR,G,8.0,8.0,51.0,26.0,50.0,2.0,31.0,62.0,6.0,4.0,4.0,5.0,12.0,Starter,35,1899.0166666667,0.916,2.62,84.76,83,24,1995-12-30,RUS,RUS,73,189,2014,4,118,8478048,16,14,3,2
2020-2021,Ilya Samsonov,WSH,G,48.0,48.0,33.0,23.0,35.0,59.0,13.0,10.0,59.0,61.0,61.0,53.0,19.0,Backup,19,1092.8166666667,0.902,2.69,41.19,49,23,1997-02-22,RUS,RUS,75,214,2015,1,22,8478492,13,4,1,2
2020-2021,Ilya Sorokin,NYI,G,19.0,37.0,12.0,34.0,22.0,50.0,16.0,15.0,3.0,6.0,6.0,10.0,8.0,Backup,22,1271.7833333333,0.918,2.17,47.52,46,25,1995-08-04,RUS,RUS,75,195,2014,3,78,8478009,13,6,3,3
2020-2021,Jack Campbell,TOR,G,21.0,25.0,10.0,32.0,14.0,33.0,4.0,12.0,31.0,44.0,44.0,30.0,14.0,Backup,22,1284.4,0.921,2.15,49.05,46,28,1992-01-09,USA,USA,75,207,2010,1,11,8475789,17,3,2,2
2020-2021,Jacob Markstrom,CGY,G,34.0,34.0,32.0,20.0,36.0,37.0,23.0,35.0,33.0,25.0,28.0,24.0,30.0,Starter,43,2486.55,0.904,2.68,95.06,111,30,1990-01-31,SWE,SWE,78,207,2008,2,31,8474593,22,19,2,3
2020-2021,Jake Allen,MTL,G,23.0,33.0,8.0,51.0,30.0,30.0,19.0,20.0,25.0,20.0,21.0,20.0,34.0,Tandem (1A),29,1702.6,0.907,2.68,68.32,76,30,1990-08-07,CAN,CAN,74,195,2008,2,34,8474596,11,12,5,0
2020-2021,Jake Oettinger,DAL,G,35.0,41.0,48.0,58.0,18.0,34.0,14.0,1.0,18.0,35.0,36.0,40.0,41.0,Tandem (1A),29,1604.1333333333,0.911,2.36,58.94,63,21,1998-12-18,USA,USA,77,220,2017,1,26,8479979,11,8,7,1
2020-2021,James Reimer,CAR,G,36.0,30.0,35.0,27.0,9.0,53.0,35.0,44.0,52.0,22.0,23.0,19.0,23.0,Backup,22,1331.1,0.906,2.66,53.51,59,32,1988-03-15,CAN,CAN,75,205,2006,4,99,8473503,15,5,2,0
2020-2021,Jaroslav Halak,BOS,G,39.0,47.0,7.0,56.0,47.0,32.0,2.0,4.0,27.0,50.0,50.0,61.0,20.0,Backup,19,1090.0166666667,0.905,2.53,38.23,46,35,1985-05-13,SVK,SVK,71,189,2003,9,271,8470860,9,6,4,2
2020-2021,Jeremy Swayman,BOS,G,1.0,1.0,3.0,53.0,1.0,1.0,15.0,2.0,1.0,1.0,1.0,1.0,1.0,Backup,10,601.71666666667,0.945,1.5,20.03,15,21,1998-11-24,USA,USA,74,194,2017,4,111,8480280,7,3,0,2
2020-2021,John Gibson,ANA,G,37.0,26.0,46.0,3.0,27.0,51.0,64.0,61.0,53.0,51.0,52.0,44.0,52.0,Starter,35,2032.0666666667,0.903,2.98,95.64,101,27,1993-07-14,USA,USA,74,210,2011,2,39,8476434,9,19,7,3
2020-2021,Jonas Johansson,BUF,G,50.0,59.0,4.0,21.0,69.0,25.0,5.0,39.0,65.0,69.0,69.0,57.0,59.0,Backup,15,816.83333333333,0.897,2.86,31.23,39,24,1995-09-19,SWE,SWE,77,220,2014,3,61,8477992,5,6,2,1
2020-2021,Jonas Johansson,COL,G,50.0,59.0,4.0,21.0,69.0,25.0,5.0,39.0,65.0,69.0,69.0,57.0,59.0,Backup,15,816.83333333333,0.897,2.86,31.23,39,24,1995-09-19,SWE,SWE,77,220,2014,3,61,8477992,5,6,2,1
2020-2021,Jonathan Bernier,DET,G,31.0,21.0,39.0,18.0,37.0,26.0,57.0,65.0,30.0,31.0,31.0,42.0,47.0,Tandem (1B),24,1306.45,0.914,2.99,64.1,65,32,1988-08-07,CAN,CAN,72,185,2006,1,11,8473541,9,11,1,0
2020-2021,Jonathan Quick,LAK,G,58.0,65.0,37.0,61.0,45.0,65.0,65.0,26.0,66.0,54.0,54.0,56.0,48.0,Backup,22,1219.2,0.898,2.85,52.7,58,34,1986-01-21,USA,USA,73,220,2005,3,72,8471734,11,9,2,2
2020-2021,Joonas Korpisalo,CBJ,G,56.0,52.0,57.0,29.0,52.0,57.0,32.0,37.0,41.0,40.0,40.0,37.0,58.0,Tandem (1A),33,1747.7166666667,0.894,3.3,75.33,96,26,1994-04-28,FIN,FIN,75,193,2012,3,62,8476914,9,13,7,0
2020-2021,Jordan Binnington,STL,G,29.0,20.0,45.0,48.0,15.0,19.0,52.0,21.0,44.0,33.0,33.0,26.0,25.0,Starter,42,2448.2,0.91,2.65,107.18,108,27,1993-07-11,CAN,CAN,74,172,2011,3,88,8476412,18,14,8,0
2020-2021,Josef Korenar,SJS,G,54.0,54.0,17.0,65.0,41.0,55.0,38.0,64.0,54.0,59.0,59.0,57.0,65.0,Backup,10,491.83333333333,0.899,3.17,22.57,26,22,1998-01-31,CZE,,73,185,-,-,-,8480373,3,5,0,0
2020-2021,Juuse Saros,NSH,G,5.0,5.0,54.0,15.0,2.0,9.0,47.0,51.0,10.0,16.0,17.0,28.0,10.0,Starter,36,2051.8,0.93,2.13,84.23,73,25,1995-04-19,FIN,FIN,71,180,2013,4,99,8477424,21,11,1,3
2020-2021,Kaapo Kahkonen,MIN,G,51.0,53.0,52.0,54.0,59.0,52.0,49.0,22.0,50.0,26.0,29.0,6.0,27.0,Tandem (1B),24,1414.4666666667,0.901,2.88,52.76,68,24,1996-08-16,FIN,FIN,74,217,2014,4,109,8478039,16,8,0,2
2020-2021,Keith Kinkaid,NYR,G,62.0,66.0,2.0,67.0,39.0,67.0,29.0,8.0,49.0,65.0,65.0,64.0,57.0,Backup,9,485.88333333333,0.897,2.59,16.72,21,31,1989-07-04,USA,USA,74,195,-,-,-,8476234,3,2,1,1
2020-2021,Kevin Lankinen,CHI,G,18.0,10.0,64.0,2.0,12.0,36.0,48.0,68.0,47.0,57.0,57.0,48.0,33.0,Starter,37,2174.8166666667,0.909,3.01,100.03,109,25,1995-04-28,FIN,FIN,74,190,-,-,-,8480947,17,14,5,2
2020-2021,Laurent Brossoit,WPG,G,22.0,28.0,15.0,38.0,42.0,15.0,40.0,49.0,37.0,23.0,24.0,16.0,39.0,Backup,14,744.11666666667,0.918,2.42,31.93,30,27,1993-03-23,CAN,CAN,75,215,2011,6,164,8476316,6,6,0,1
2020-2021,Linus Ullmark,BUF,G,28.0,9.0,65.0,7.0,21.0,16.0,9.0,42.0,26.0,8.0,8.0,7.0,28.0,Backup,20,1117.7333333333,0.917,2.63,44.96,49,27,1993-07-31,SWE,SWE,77,212,2012,6,163,8476999,9,6,3,0
2020-2021,Mackenzie Blackwood,NJD,G,40.0,36.0,59.0,44.0,26.0,40.0,28.0,54.0,28.0,45.0,45.0,49.0,45.0,Starter,35,2091.1,0.902,3.04,92.02,106,23,1996-12-09,CAN,CAN,76,225,2015,2,42,8478406,14,17,4,1
2020-2021,Malcolm Subban,CHI,G,52.0,56.0,40.0,63.0,16.0,66.0,45.0,47.0,57.0,52.0,51.0,58.0,55.0,Backup,16,881.33333333333,0.9,2.93,37.79,43,26,1993-12-21,CAN,CAN,74,215,2012,1,24,8476876,6,8,1,2
2020-2021,Marc-Andre Fleury,VGK,G,11.0,23.0,31.0,30.0,29.0,23.0,62.0,23.0,7.0,12.0,13.0,23.0,6.0,Starter,36,2146.6,0.928,1.98,88.7,71,35,1984-11-28,CAN,CAN,74,185,2003,1,1,8470594,26,10,0,6
2020-2021,Marcus Hogberg,OTT,G,69.0,69.0,69.0,68.0,68.0,24.0,67.0,41.0,69.0,66.0,66.0,68.0,69.0,Backup,14,641.85,0.876,3.74,27.4,40,25,1994-11-25,SWE,SWE,77,222,2013,3,78,8477405,4,7,0,0
2020-2021,Martin Jones,SJS,G,60.0,61.0,36.0,62.0,58.0,58.0,44.0,43.0,55.0,64.0,64.0,65.0,56.0,Starter,34,1868.4166666667,0.896,3.28,85.4,102,30,1990-01-10,CAN,CAN,76,203,-,-,-,8474889,15,13,4,1
2020-2021,Matt Murray,OTT,G,59.0,55.0,28.0,39.0,66.0,38.0,30.0,50.0,34.0,43.0,43.0,54.0,54.0,Tandem (1B),27,1404.1833333333,0.893,3.38,62.83,79,26,1994-05-25,CAN,CAN,77,203,2012,3,83,8476899,10,13,1,2
2020-2021,Mike Smith,EDM,G,25.0,44.0,6.0,25.0,49.0,39.0,18.0,27.0,21.0,21.0,22.0,29.0,17.0,Tandem (1A),32,1846.55,0.923,2.31,76.63,71,38,1982-03-22,CAN,CAN,77,220,2001,5,161,8469608,21,6,2,3
2020-2021,Mikko Koskinen,EDM,G,44.0,51.0,23.0,50.0,55.0,41.0,54.0,58.0,40.0,47.0,47.0,39.0,46.0,Tandem (1B),26,1438.8166666667,0.899,3.17,63.29,76,32,1988-07-18,FIN,FIN,79,202,2009,2,31,8475156,13,13,0,0
2020-2021,Pekka Rinne,NSH,G,46.0,31.0,66.0,52.0,46.0,17.0,6.0,38.0,35.0,32.0,32.0,46.0,44.0,Tandem (1B),24,1310.4833333333,0.906,2.84,50.4,62,37,1982-11-03,FIN,FIN,77,217,2004,8,258,8471469,10,12,1,2
2020-2021,Petr Mrazek,CAR,G,10.0,7.0,18.0,22.0,6.0,5.0,46.0,32.0,17.0,29.0,15.0,25.0,15.0,Backup,12,670.98333333333,0.923,2.06,29.39,23,28,1992-02-14,CZE,CZE,74,188,2010,5,141,8475852,6,2,3,3
2020-2021,Philipp Grubauer,COL,G,13.0,17.0,16.0,31.0,40.0,12.0,41.0,9.0,9.0,10.0,10.0,14.0,7.0,Starter,40,2366.8666666667,0.922,1.95,82.22,77,28,1991-11-25,DEU,DEU,73,188,2010,4,112,8475831,30,9,1,7
2020-2021,Robin Lehner,VGK,G,12.0,40.0,1.0,42.0,23.0,42.0,53.0,30.0,8.0,5.0,5.0,15.0,13.0,Backup,19,1155.3166666667,0.913,2.29,47.26,44,29,1991-07-24,SWE,SWE,76,250,2009,2,46,8475215,13,4,2,1
2020-2021,Ryan Miller,ANA,G,57.0,57.0,50.0,64.0,44.0,60.0,63.0,55.0,68.0,63.0,63.0,66.0,66.0,Backup,16,870.91666666667,0.882,3.51,40.21,51,40,1980-07-17,USA,USA,75,170,1999,5,138,8468011,4,8,2,0
2020-2021,Scott Wedgewood,NJD,G,41.0,29.0,63.0,55.0,28.0,13.0,26.0,60.0,67.0,68.0,68.0,67.0,62.0,Backup,16,888.03333333333,0.9,3.11,40.35,46,28,1992-08-14,CAN,CAN,74,205,2010,3,84,8475809,3,8,3,2
2020-2021,Semyon Varlamov,NYI,G,7.0,11.0,22.0,28.0,4.0,18.0,27.0,25.0,12.0,7.0,7.0,11.0,11.0,Starter,36,2116.9333333333,0.929,2.04,81.48,72,32,1988-04-27,RUS,RUS,74,206,2006,1,23,8473575,19,11,4,7
2020-2021,Sergei Bobrovsky,FLA,G,42.0,45.0,49.0,43.0,43.0,48.0,66.0,53.0,58.0,38.0,38.0,33.0,36.0,Tandem (1A),31,1816.4666666667,0.906,2.91,75.47,88,31,1988-09-20,RUS,RUS,74,182,-,-,-,8475683,19,8,2,0
2020-2021,Thatcher Demko,VAN,G,16.0,27.0,13.0,4.0,34.0,44.0,34.0,63.0,16.0,36.0,35.0,34.0,32.0,Starter,35,2086.8,0.915,2.85,105.96,99,24,1995-12-08,USA,USA,76,192,2014,2,36,8477967,16,18,1,1
2020-2021,Thomas Greiss,DET,G,24.0,14.0,62.0,49.0,10.0,29.0,21.0,31.0,24.0,24.0,26.0,22.0,40.0,Starter,34,1755.15,0.912,2.7,69.22,79,34,1986-01-29,DEU,DEU,74,219,2004,3,94,8471306,8,15,8,2
2020-2021,Tristan Jarry,PIT,G,33.0,18.0,61.0,11.0,11.0,49.0,17.0,34.0,32.0,9.0,9.0,8.0,18.0,Starter,39,2185.3,0.909,2.75,88.75,100,25,1995-04-29,CAN,CAN,74,194,2013,2,44,8477465,25,9,3,2
2020-2021,Tuukka Rask,BOS,G,14.0,22.0,20.0,46.0,32.0,14.0,24.0,7.0,11.0,13.0,11.0,17.0,9.0,Tandem (1B),24,1396.45,0.913,2.28,51.88,53,33,1987-03-10,FIN,FIN,75,176,2005,1,21,8471695,15,5,2,2
2020-2021,Ville Husso,STL,G,67.0,60.0,67.0,60.0,65.0,45.0,55.0,18.0,63.0,67.0,67.0,60.0,50.0,Backup,17,917.31666666667,0.893,3.21,40.92,49,25,1995-02-06,FIN,FIN,75,200,2014,4,94,8478024,9,6,1,1
2020-2021,Vitek Vanecek,WSH,G,49.0,50.0,24.0,41.0,38.0,56.0,7.0,13.0,39.0,42.0,42.0,43.0,26.0,Starter,37,2115.4833333333,0.908,2.69,85.25,95,24,1996-01-09,CZE,CZE,74,184,2014,2,39,8477970,21,10,4,2
