Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2024-2025,8475660,Cam Talbot,DET,G,75.0,76.5,69.1,70.6,50.0,76.5,50.0,64.7,52.9,67.6,67.6,39.7,73.5,18,17,22,21,35,17,35,25,33,23,23,42,19,68,Tandem (1A),47.0,2641.9,0.9,2.93,137.28,129.0,G,75.0,202.0,1987-07-05,CAN,,,,L,21,19,5,2,37,"[52, 17, 33, 62, 86]","[52, 21, 24, 52, 94]","[47, 8, 80, 100, 2]","['MIN', 'MIN', 'OTT', 'LAK', 'DET']"
2024-2025,8479193,Casey DeSmith,DAL,G,91.2,97.1,17.6,94.1,91.2,85.3,20.6,33.8,92.6,91.2,91.2,23.5,33.8,7,3,57,5,7,11,55,46,6,7,7,53,46,68,Backup,27.0,1500.75,0.915,2.6,80.61,65.0,G,72.0,188.0,1991-08-13,USA,,,,L,14,8,2,2,33,"[75, 46, 61, 60, 95]","[75, 49, 58, 67, 97]","[27, 42, 52, 28, 19]","['PIT', 'PIT', 'PIT', 'VAN', 'DAL']"
2024-2025,8479292,Charlie Lindgren,WSH,G,42.6,30.9,98.5,48.5,41.2,35.3,100.0,58.8,48.5,44.1,44.1,79.4,60.3,40,48,2,36,41,45,1,29,36,39,39,15,28,68,Tandem (1B),39.0,2281.97,0.895,2.73,109.29,104.0,G,74.0,190.0,1993-12-18,USA,,,,R,20,14,3,1,30,"[None, None, 24, 76, 44]","[None, None, 18, 63, 26]","[None, None, 76, 90, 91]","[None, None, 'WSH', 'WSH', 'WSH']"
2024-2025,8476945,Connor Hellebuyck,WPG,G,100.0,100.0,79.4,85.3,98.5,92.6,32.4,48.5,97.1,95.6,95.6,97.1,100.0,1,1,15,11,2,6,47,36,3,4,4,3,1,68,Starter,63.0,3736.22,0.925,2.01,167.17,125.0,G,76.0,207.0,1993-05-19,USA,2012.0,5.0,130.0,L,47,12,3,8,31,"[94, 75, 86, 98, 98]","[94, 75, 86, 98, 98]","[63, 81, 88, 60, 75]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2024-2025,8478971,Connor Ingram,UTA,G,51.5,55.9,38.2,88.2,22.1,61.8,52.9,38.2,42.6,22.1,22.1,36.8,42.6,34,31,43,9,54,27,33,43,40,54,54,44,40,68,Backup,22.0,1210.12,0.882,3.27,59.07,66.0,G,73.0,218.0,1997-03-31,CAN,2016.0,3.0,88.0,L,9,8,4,0,27,"[None, None, 64, 64, 29]","[None, None, 65, 74, 25]","[None, None, 42, 38, 63]","[None, None, 'ARI', 'ARI', 'UTA']"
2024-2025,8478435,Dan Vladar,CGY,G,8.8,11.8,8.8,16.2,10.3,38.2,98.5,76.5,2.9,19.1,19.1,7.4,17.6,63,61,63,58,62,43,2,17,66,56,56,64,57,68,Backup,30.0,1781.03,0.898,2.8,81.59,83.0,G,77.0,209.0,1997-08-20,CZE,2015.0,3.0,75.0,L,12,11,6,2,27,"[None, 36, 38, 1, 51]","[None, 40, 37, 1, 58]","[None, 31, 38, 40, 5]","[None, 'CGY', 'CGY', 'CGY', 'CGY']"
2024-2025,8480193,Daniil Tarasov,CBJ,G,16.2,14.7,39.7,17.6,14.7,33.8,10.3,8.8,17.6,20.6,20.6,26.5,10.3,58,59,42,57,59,46,62,63,56,55,55,51,62,68,Backup,20.0,1100.42,0.881,3.54,60.8,65.0,G,77.0,203.0,1999-03-27,RUS,2017.0,3.0,86.0,L,7,10,2,1,25,"[None, None, 6, 57, 14]","[None, None, 9, 60, 10]","[None, None, 33, 23, 77]","[None, None, 'CBJ', 'CBJ', 'CBJ']"
2024-2025,8475311,Darcy Kuemper,LAK,G,73.5,69.1,76.5,26.5,57.4,63.2,57.4,61.8,45.6,61.8,61.8,64.7,72.1,19,22,17,51,30,26,30,27,38,27,27,25,20,68,Starter,50.0,2973.65,0.921,2.02,127.33,100.0,G,77.0,215.0,1990-05-05,CAN,2009.0,6.0,161.0,L,31,11,7,5,34,"[36, 73, 80, 9, 94]","[36, 63, 66, 15, 91]","[69, 89, 89, 12, 95]","['ARI', 'COL', 'WSH', 'WSH', 'LAK']"
2024-2025,8479496,David Rittich,LAK,G,54.4,58.8,30.9,22.1,83.8,50.0,85.3,100.0,16.2,47.1,47.1,60.3,22.1,32,29,48,54,12,35,11,1,57,37,37,28,54,68,Tandem (1B),34.0,1860.47,0.886,2.84,75.49,88.0,G,75.0,200.0,1992-08-19,CZE,,,,L,16,14,2,0,32,"[33, 15, 44, 93, 20]","[37, 18, 38, 94, 30]","[29, 20, 54, 66, 11]","['TOR', 'NSH', 'WPG', 'LAK', 'LAK']"
2024-2025,8481692,Dustin Wolf,CGY,G,39.7,39.7,51.5,55.9,42.6,20.6,88.2,82.4,5.9,51.5,51.5,33.8,51.5,42,42,34,31,40,55,9,13,64,34,34,46,34,68,Starter,53.0,3181.18,0.91,2.64,160.13,140.0,G,72.0,166.0,2001-04-16,USA,2019.0,7.0,214.0,L,29,16,8,3,23,"[None, None, None, 4, 92]","[None, None, None, 4, 89]","[None, None, None, 11, 83]","[None, None, None, 'CGY', 'CGY']"
2024-2025,8478007,Elvis Merzlikins,CBJ,G,10.3,10.3,32.4,7.4,16.2,17.6,7.4,13.2,10.3,11.8,11.8,4.4,64.7,62,62,47,64,58,57,64,60,61,61,61,66,25,68,Starter,53.0,3170.8,0.892,3.18,159.2,168.0,G,75.0,190.0,1994-04-13,LVA,2014.0,3.0,76.0,L,26,21,5,1,30,"[34, 52, 1, 49, 33]","[29, 47, 1, 46, 39]","[79, 53, 44, 64, 17]","['CBJ', 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
2024-2025,8477480,Eric Comrie,WPG,G,35.3,44.1,10.3,5.9,27.9,86.8,73.5,17.6,30.9,29.4,29.4,98.5,8.8,45,39,62,65,50,10,19,57,48,49,49,2,63,68,Backup,20.0,1179.55,0.914,2.39,51.47,47.0,G,73.0,190.0,1995-07-06,CAN,2013.0,2.0,59.0,L,9,10,1,2,29,"[None, 97, 18, None, 61]","[None, 98, 22, None, 67]","[None, 21, 16, None, 38]","[None, 'WPG', 'BUF', None, 'WPG']"
2024-2025,8479406,Filip Gustavsson,MIN,G,72.1,64.7,82.4,73.5,72.1,39.7,95.6,88.2,82.4,75.0,75.0,55.9,79.4,20,25,13,19,20,42,4,9,13,18,18,31,15,68,Starter,58.0,3420.8,0.914,2.56,159.69,146.0,G,74.0,184.0,1998-06-07,SWE,2016.0,2.0,55.0,L,31,19,6,5,26,"[85, 30, 94, 12, 77]","[84, 36, 93, 5, 82]","[62, 18, 93, 91, 25]","['OTT', 'OTT', 'MIN', 'MIN', 'MIN']"
2024-2025,8475883,Frederik Andersen,CAR,G,79.4,70.6,94.1,97.1,48.5,70.6,70.6,85.3,95.6,97.1,97.1,80.9,13.2,15,21,5,3,36,21,21,11,4,3,3,14,60,68,Backup,22.0,1314.52,0.899,2.51,65.31,55.0,G,76.0,229.0,1989-10-02,DNK,2012.0,3.0,87.0,L,13,8,1,1,34,"[56, 95, 30, 90, 76]","[63, 91, 28, 78, 61]","[14, 92, 69, 93, 88]","['TOR', 'CAR', 'CAR', 'CAR', 'CAR']"
2024-2025,8478048,Igor Shesterkin,NYR,G,97.1,95.6,80.9,57.4,86.8,89.7,26.5,11.8,98.5,83.8,83.8,51.5,94.1,3,4,14,30,10,8,51,61,2,12,12,34,5,68,Starter,61.0,3505.13,0.905,2.86,190.77,167.0,G,73.0,199.0,1995-12-30,RUS,2014.0,4.0,118.0,L,27,29,5,6,28,"[81, 100, 96, 63, 88]","[85, 97, 98, 62, 83]","[7, 100, 58, 50, 89]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2024-2025,8478492,Ilya Samsonov,VGK,G,48.5,61.8,5.9,10.3,23.5,95.6,25.0,44.1,70.6,76.5,76.5,20.6,52.9,36,27,65,62,53,4,52,39,21,17,17,55,33,68,Backup,29.0,1745.15,0.891,2.82,78.77,82.0,G,75.0,208.0,1997-02-22,RUS,2015.0,1.0,22.0,L,16,9,4,2,27,"[30, 23, 88, 22, 47]","[30, 17, 90, 29, 54]","[44, 63, 66, 18, 4]","['WSH', 'WSH', 'TOR', 'TOR', 'VGK']"
2024-2025,8478009,Ilya Sorokin,NYI,G,92.6,94.1,42.6,75.0,85.3,80.9,19.1,26.5,86.8,63.2,63.2,50.0,97.1,6,5,40,18,11,14,56,51,10,26,26,35,3,68,Starter,61.0,3498.83,0.907,2.71,175.6,158.0,G,75.0,189.0,1995-08-04,RUS,2014.0,3.0,78.0,L,30,24,6,4,29,"[65, 98, 98, 53, 79]","[60, 100, 100, 59, 77]","[75, 71, 97, 7, 64]","['NYI', 'NYI', 'NYI', 'NYI', 'NYI']"
2024-2025,8478905,Ivan Fedotov,PHI,G,1.5,1.5,33.8,50.0,2.9,4.4,55.9,91.2,7.4,2.9,2.9,8.8,16.2,68,68,46,35,67,66,31,7,63,67,67,63,58,68,Backup,26.0,1427.35,0.88,3.15,60.87,75.0,G,79.0,209.0,1996-11-28,FIN,2015.0,7.0,188.0,L,6,13,4,0,27,"[None, None, None, None, 2]","[None, None, None, None, 2]","[None, None, None, None, 44]","[None, None, None, None, 'PHI']"
2024-2025,8474593,Jacob Markstrom,NJD,G,58.8,47.1,92.6,30.9,33.8,72.1,64.7,51.5,47.1,64.7,64.7,91.2,83.8,29,37,6,48,46,20,25,34,37,25,25,7,12,68,Tandem (1A),49.0,2902.43,0.9,2.5,125.77,121.0,G,78.0,207.0,1990-01-31,SWE,2008.0,2.0,31.0,L,26,16,6,4,34,"[44, 88, 37, 91, 36]","[47, 87, 32, 85, 23]","[36, 72, 78, 87, 80]","['CGY', 'CGY', 'CGY', 'CGY', 'NJD']"
2024-2025,8474596,Jake Allen,NJD,G,44.1,45.6,50.0,52.9,47.1,51.5,5.9,10.3,58.8,38.2,36.8,70.6,47.1,39,38,35,33,37,34,65,62,29,43,44,21,37,68,Backup,31.0,1736.67,0.906,2.66,90.24,77.0,G,74.0,197.0,1990-08-07,CAN,2008.0,2.0,34.0,L,13,16,1,4,34,"[43, 76, 17, 39, 80]","[42, 84, 14, 42, 80]","[84, 11, 53, 49, 69]","['MTL', 'MTL', 'MTL', 'NJD', 'NJD']"
2024-2025,8479979,Jake Oettinger,DAL,G,67.6,54.4,95.6,95.6,70.6,13.2,91.2,63.2,57.4,80.9,80.9,67.6,92.6,23,32,4,4,21,60,7,26,30,14,14,23,6,68,Starter,58.0,3409.93,0.909,2.59,166.12,147.0,G,78.0,225.0,1998-12-18,USA,2017.0,1.0,26.0,L,36,18,4,2,25,"[59, 56, 84, 28, 75]","[58, 58, 84, 21, 55]","[37, 36, 81, 57, 97]","['DAL', 'DAL', 'DAL', 'DAL', 'DAL']"
2024-2025,8482487,Jakub Dobes,MTL,G,88.2,80.9,85.3,41.2,94.1,52.9,8.8,32.4,100.0,69.1,69.1,100.0,5.9,9,14,11,41,5,33,63,47,1,22,22,1,65,68,Backup,16.0,874.18,0.909,2.75,47.25,40.0,G,76.0,215.0,2001-05-27,CZE,2020.0,5.0,136.0,L,7,4,3,1,23,"[None, None, None, None, 70]","[None, None, None, None, 66]","[None, None, None, None, 76]","[None, None, None, None, 'MTL']"
2024-2025,8473503,James Reimer,BUF,G,27.9,16.2,83.8,66.2,64.7,5.9,33.8,16.2,38.2,55.9,54.4,54.4,29.4,50,58,12,24,25,65,46,58,43,31,32,32,49,68,Backup,24.0,1362.83,0.896,3.04,75.17,69.0,G,74.0,200.0,1988-03-15,CAN,2006.0,4.0,99.0,L,10,10,2,1,36,"[72, 58, 9, 18, 64]","[73, 31, 6, 8, 76]","[18, 98, 98, 95, 22]","['CAR', 'SJS', 'SJS', 'DET', 'BUF']"
2024-2025,8480280,Jeremy Swayman,BOS,G,83.8,88.2,27.9,92.6,51.5,88.2,51.5,66.2,69.1,89.7,89.7,73.5,75.0,12,9,50,6,34,9,34,24,22,8,8,19,18,68,Starter,58.0,3388.92,0.892,3.12,165.05,176.0,G,75.0,195.0,1998-11-24,USA,2017.0,4.0,111.0,L,22,29,7,4,25,"[88, 37, 92, 97, 23]","[89, 37, 92, 95, 48]","[59, 46, 74, 70, 1]","['BOS', 'BOS', 'BOS', 'BOS', 'BOS']"
2024-2025,8482446,Joel Blomqvist,PIT,G,2.9,2.9,44.1,2.9,1.5,14.7,86.8,22.1,19.9,13.2,13.2,2.9,4.4,67,67,39,67,68,59,10,54,55,60,60,67,66,68,Backup,15.0,772.45,0.885,3.81,43.34,49.0,G,75.0,204.0,2002-01-10,FIN,2020.0,2.0,52.0,L,4,9,1,0,22,"[None, None, None, None, 5]","[None, None, None, None, 5]","[None, None, None, None, 47]","[None, None, None, None, 'PIT']"
2024-2025,8480981,Joel Hofer,STL,G,85.3,92.6,7.4,98.5,100.0,29.4,61.8,70.6,35.3,73.5,73.5,88.2,32.4,11,6,64,2,1,49,27,21,45,19,19,9,47,68,Backup,31.0,1678.82,0.904,2.64,70.99,74.0,G,77.0,193.0,2000-07-30,CAN,2018.0,4.0,107.0,L,16,8,3,1,24,"[None, None, None, 87, 57]","[None, None, None, 93, 70]","[None, None, None, 42, 7]","[None, None, None, 'STL', 'STL']"
2024-2025,8478916,Joey Daccord,SEA,G,89.7,89.7,72.1,72.1,82.4,67.6,39.7,69.1,73.5,79.4,79.4,66.2,85.3,8,8,20,20,13,23,42,22,19,15,15,24,11,68,Starter,57.0,3295.25,0.906,2.75,164.16,151.0,G,74.0,201.0,1996-08-19,USA,2015.0,7.0,199.0,L,27,23,5,2,28,"[None, None, None, 83, 67]","[None, None, None, 80, 72]","[None, None, None, 69, 60]","[None, None, None, 'SEA', 'SEA']"
2024-2025,8476434,John Gibson,ANA,G,66.2,79.4,2.9,76.5,97.1,22.1,4.4,5.9,91.2,77.9,77.9,29.4,61.8,24,15,67,17,3,54,66,65,7,16,16,49,27,68,Backup,29.0,1562.15,0.911,2.77,84.46,72.0,G,75.0,209.0,1993-07-14,USA,2011.0,2.0,39.0,L,11,11,2,0,31,"[76, 31, 40, 40, 89]","[76, 23, 46, 56, 92]","[34, 94, 6, 5, 23]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2024-2025,8477992,Jonas Johansson,TBL,G,13.2,13.2,29.4,27.9,7.4,55.9,2.9,14.7,64.7,4.4,4.4,10.3,11.8,60,60,49,50,64,31,67,59,25,66,66,62,61,68,Backup,19.0,1110.25,0.895,3.13,57.08,58.0,G,77.0,220.0,1995-09-19,SWE,2014.0,3.0,61.0,L,9,6,3,1,28,"[17, None, None, 5, 39]","[15, None, None, 7, 44]","[72, None, None, 46, 32]","['COL', None, None, 'TBL', 'TBL']"
2024-2025,8471734,Jonathan Quick,NYR,G,22.1,19.1,48.5,82.4,26.5,16.2,23.5,27.9,27.9,48.5,48.5,48.5,30.9,54,56,36,13,51,58,53,50,50,36,36,36,48,68,Backup,24.0,1325.68,0.893,3.17,65.71,70.0,G,73.0,219.0,1986-01-21,USA,2005.0,3.0,72.0,L,11,7,2,3,38,"[31, 89, 10, 59, 26]","[24, 94, 16, 53, 29]","[92, 26, 14, 83, 48]","['LAK', 'LAK', 'VGK', 'NYR', 'NYR']"
2024-2025,8476914,Joonas Korpisalo,BOS,G,36.8,48.5,16.2,35.3,36.8,69.1,35.3,52.9,29.4,10.3,10.3,44.1,57.4,44,36,58,45,44,22,45,33,49,62,62,39,30,68,Backup,27.0,1529.73,0.893,2.9,72.23,74.0,G,76.0,200.0,1994-04-28,FIN,2012.0,3.0,62.0,L,11,10,3,3,30,"[11, 4, 93, 7, 42]","[17, 4, 94, 14, 42]","[15, 59, 41, 4, 57]","['CBJ', 'CBJ', 'LAK', 'OTT', 'BOS']"
2024-2025,8476412,Jordan Binnington,STL,G,63.2,63.2,60.3,14.7,76.5,58.8,30.9,20.6,51.5,41.2,41.2,45.6,91.2,26,26,28,59,17,29,48,55,34,41,41,38,7,68,Starter,56.0,3232.72,0.9,2.69,146.28,145.0,G,74.0,172.0,1993-07-11,CAN,2011.0,3.0,88.0,L,28,22,5,3,31,"[73, 26, 42, 81, 48]","[69, 26, 54, 71, 50]","[56, 58, 9, 94, 54]","['STL', 'STL', 'STL', 'STL', 'STL']"
2024-2025,8479361,Joseph Woll,TOR,G,69.1,67.6,61.8,38.2,39.7,82.4,16.2,25.0,54.4,60.3,60.3,85.3,44.1,22,23,27,43,42,13,58,52,32,28,28,11,39,68,Tandem (1A),42.0,2442.33,0.909,2.73,123.71,111.0,G,75.0,212.0,1998-07-12,USA,2016.0,3.0,62.0,L,27,14,1,1,26,"[None, None, None, 43, 73]","[None, None, None, 33, 79]","[None, None, None, 78, 30]","[None, None, None, 'TOR', 'TOR']"
2024-2025,8481020,Justus Annunen,NSH,G,32.4,33.8,57.4,77.9,4.4,94.1,58.8,75.0,80.9,35.3,33.8,89.7,14.7,47,46,30,16,66,5,29,18,14,45,46,8,59,68,Tandem (1B),34.0,1787.63,0.883,3.19,82.73,95.0,G,76.0,210.0,2000-03-11,FIN,2018.0,3.0,64.0,L,15,15,1,0,24,"[None, None, None, 78, 8]","[None, None, None, 70, 11]","[None, None, None, 88, 16]","[None, None, None, 'COL', 'NSH']"
2024-2025,8477424,Juuse Saros,NSH,G,70.6,41.2,100.0,33.8,54.4,41.2,66.2,35.3,83.8,58.8,58.8,32.4,98.5,21,41,1,46,32,41,24,45,12,29,29,47,2,68,Starter,58.0,3352.82,0.895,2.99,161.14,167.0,G,71.0,180.0,1995-04-19,FIN,2013.0,4.0,99.0,L,20,31,6,4,29,"[97, 79, 100, 46, 22]","[98, 69, 96, 40, 8]","[2, 88, 100, 71, 92]","['NSH', 'NSH', 'NSH', 'NSH', 'NSH']"
2024-2025,8478872,Karel Vejmelka,UTA,G,64.7,60.3,67.6,83.8,75.0,30.9,63.2,39.7,88.2,33.8,39.7,25.0,77.9,25,28,23,12,18,48,26,42,9,46,42,52,16,68,Starter,58.0,3363.33,0.904,2.59,164.43,145.0,G,76.0,221.0,1996-05-25,CZE,2015.0,5.0,145.0,R,26,22,8,1,28,"[None, 11, 60, 33, 85]","[None, 11, 62, 23, 85]","[None, 13, 29, 76, 73]","[None, 'ARI', 'ARI', 'ARI', 'UTA']"
2024-2025,8480947,Kevin Lankinen,VAN,G,76.5,77.9,64.7,64.7,80.9,64.7,75.0,72.1,60.3,92.6,92.6,52.9,39.7,17,16,25,25,14,25,18,20,28,6,6,33,42,68,Starter,51.0,3017.0,0.902,2.63,138.02,132.0,G,74.0,190.0,1995-04-28,FIN,,,,L,25,15,10,4,29,"[66, 2, 82, 74, 55]","[72, 2, 82, 90, 33]","[4, 29, 48, 2, 98]","['CHI', 'CHI', 'NSH', 'NSH', 'VAN']"
2024-2025,8476999,Linus Ullmark,OTT,G,94.1,86.8,88.2,69.1,89.7,75.0,45.6,77.9,41.2,98.5,98.5,86.8,70.6,5,10,9,22,8,18,38,16,41,2,2,10,21,68,Tandem (1A),44.0,2467.28,0.909,2.72,122.66,112.0,G,76.0,223.0,1993-07-31,SWE,2012.0,6.0,163.0,L,25,14,3,4,31,"[78, 34, 97, 85, 52]","[82, 29, 97, 87, 47]","[24, 84, 90, 59, 86]","['BUF', 'BOS', 'BOS', 'BOS', 'OTT']"
2024-2025,8480313,Logan Thompson,WSH,G,80.9,85.3,45.6,51.5,66.2,83.8,29.4,36.8,63.2,88.2,88.2,92.6,66.2,14,11,38,34,24,12,49,44,26,9,9,6,24,68,Tandem (1A),43.0,2535.15,0.91,2.49,129.78,105.0,G,76.0,207.0,1997-02-25,CAN,,,,R,31,6,6,2,27,"[None, 69, 50, 45, 97]","[None, 68, 50, 49, 95]","[None, 50, 40, 47, 67]","[None, 'VGK', 'VGK', 'VGK', 'WSH']"
2024-2025,8480843,Lukas Dostal,ANA,G,57.4,72.1,13.2,44.1,88.2,47.1,89.7,19.1,55.9,70.6,70.6,82.4,58.8,30,20,60,39,9,37,8,56,31,21,21,13,29,68,Starter,54.0,3057.62,0.903,3.1,176.03,158.0,G,74.0,190.0,2000-06-22,CZE,2018.0,3.0,85.0,L,23,23,7,1,24,"[None, None, 72, 16, 83]","[None, None, 80, 22, 86]","[None, None, 12, 22, 50]","[None, None, 'ANA', 'ANA', 'ANA']"
2024-2025,8478406,Mackenzie Blackwood,COL,G,45.6,35.3,91.2,42.6,44.1,36.8,13.2,29.4,72.1,82.4,82.4,22.1,63.2,38,45,7,40,39,44,60,49,20,13,13,54,26,68,Starter,56.0,3223.53,0.912,2.55,156.89,137.0,G,76.0,225.0,1996-12-09,CAN,2015.0,2.0,42.0,L,28,21,6,4,27,"[40, 10, 28, 42, 72]","[46, 8, 33, 28, 57]","[17, 66, 46, 80, 94]","['NJD', 'NJD', 'NJD', 'SJS', 'COL']"
2024-2025,8470594,Marc-Andre Fleury,MIN,G,14.7,26.5,1.5,54.4,30.9,32.4,97.1,97.1,8.8,16.2,17.6,14.7,50.0,59,51,68,32,48,47,3,3,62,58,57,59,35,68,Backup,26.0,1389.25,0.899,2.94,59.17,68.0,G,74.0,185.0,1984-11-28,CAN,2003.0,1.0,1.0,L,14,9,1,1,39,"[95, 27, 48, 26, 11]","[91, 30, 56, 50, 16]","[89, 23, 20, 1, 8]","['VGK', 'MIN', 'MIN', 'MIN', 'MIN']"
