Season,Player ID,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2011-2012,8471239,Cory Schneider,VAN,G,98.3,93.1,100.0,91.4,55.2,98.3,43.1,39.7,98.3,98.3,100.0,100.0,25.9,2,5,1,6,27,2,34,36,2,2,1,1,44,58,Tandem (1B),33.0,1832.83,0.937,1.96,75.88,60.0,G,75.0,214.0,1986-03-18,USA,2004.0,1.0,26.0,L,20,8,1,3,25,"[None, None, None, 96, 93]","[None, None, None, 95, 89]","[None, None, None, 98, 100]","[None, None, None, 'VAN', 'VAN']"
2011-2012,8467950,Craig Anderson,OTT,G,34.5,34.5,39.7,62.1,36.2,50.0,22.4,20.7,65.5,56.9,56.9,17.2,77.6,39,39,36,23,38,30,46,47,21,26,26,49,14,58,Starter,63.0,3492.3,0.914,2.83,165.19,165.0,G,74.0,187.0,1981-05-21,USA,2001.0,3.0,73.0,L,33,22,6,3,30,"[None, None, 50, 37, 55]","[None, None, 48, 32, 53]","[None, None, 30, 71, 41]","[None, None, 'COL', 'OTT', 'OTT']"
2011-2012,8468166,Curtis Sanford,CBJ,G,12.1,31.0,3.4,1.7,100.0,32.8,100.0,89.7,1.7,25.9,25.9,20.7,44.8,52,41,57,58,1,40,1,7,58,44,44,47,33,58,Tandem (1B),36.0,1982.92,0.911,2.6,77.42,86.0,G,71.0,187.0,1979-10-05,CAN,,,,L,10,18,4,1,31,"[None, None, None, None, 25]","[None, None, None, None, 44]","[None, None, None, None, 8]","[None, None, None, None, 'CBJ']"
2011-2012,8471227,Devan Dubnyk,EDM,G,75.9,82.8,22.4,86.2,44.8,74.1,27.6,5.2,51.7,81.0,81.0,19.0,43.1,15,11,46,9,33,16,43,56,29,12,12,48,34,58,Tandem (1A),47.0,2653.45,0.914,2.67,127.37,118.0,G,78.0,224.0,1986-05-04,CAN,2004.0,1.0,14.0,L,20,20,3,2,25,"[None, None, 15, 82, 87]","[None, None, 23, 79, 91]","[None, None, 13, 85, 12]","[None, None, 'EDM', 'EDM', 'EDM']"
2011-2012,8460806,Dwayne Roloson,TBL,G,10.3,13.8,19.0,36.2,43.1,6.9,25.9,19.0,82.8,31.0,31.0,6.9,56.9,53,51,48,38,34,55,44,48,11,41,41,55,26,58,Tandem (1B),40.0,2093.52,0.886,3.67,101.37,128.0,G,73.0,170.0,1969-10-12,CAN,,,,L,13,16,3,1,41,"[None, None, 56, 45, 3]","[None, None, 60, 46, 3]","[None, None, 31, 35, 32]","[None, None, 'NYI', 'TBL', 'TBL']"
2011-2012,8460705,Evgeni Nabokov,NYI,G,93.1,91.4,98.3,46.6,41.4,96.6,13.8,10.3,96.6,96.6,96.6,53.4,69.0,5,6,2,32,35,3,51,53,3,3,3,28,19,58,Tandem (1A),42.0,2377.77,0.914,2.55,111.37,101.0,G,72.0,202.0,1975-07-25,KAZ,1994.0,9.0,219.0,L,19,18,3,2,36,"[None, None, 93, None, 89]","[None, None, 86, None, 87]","[None, None, 91, None, 81]","[None, None, 'SJS', None, 'NYI']"
2011-2012,8468685,Henrik Lundqvist,NYR,G,100.0,100.0,96.6,93.1,93.1,100.0,39.7,6.9,100.0,100.0,98.3,96.6,98.3,1,1,3,5,5,1,36,55,1,1,2,3,2,58,Starter,62.0,3754.05,0.93,1.97,162.6,123.0,G,73.0,182.0,1982-03-02,SWE,2000.0,7.0,205.0,L,39,18,5,8,29,"[None, None, 100, 90, 100]","[None, None, 100, 91, 100]","[None, None, 86, 56, 93]","[None, None, 'NYR', 'NYR', 'NYR']"
2011-2012,8468524,Ilya Bryzgalov,PHI,G,87.9,87.9,51.7,34.5,98.3,60.3,55.2,34.5,74.1,77.6,77.6,51.7,91.4,8,8,29,39,2,24,27,39,16,14,14,29,6,58,Starter,59.0,3415.18,0.909,2.48,137.12,141.0,G,75.0,213.0,1980-06-22,RUS,2000.0,2.0,44.0,L,33,16,7,6,31,"[None, None, 91, 85, 50]","[None, None, 81, 90, 51]","[None, None, 95, 33, 25]","[None, None, 'PHX', 'PHX', 'PHI']"
2011-2012,8473503,James Reimer,TOR,G,31.0,51.7,6.9,100.0,5.2,72.4,77.6,22.4,50.0,10.3,10.3,46.6,41.4,41,29,55,1,56,17,14,46,30,53,53,32,35,58,Tandem (1B),34.0,1879.25,0.9,3.1,81.45,97.0,G,74.0,200.0,1988-03-15,CAN,2006.0,4.0,99.0,L,14,14,4,3,23,"[None, None, None, 66, 15]","[None, None, None, 72, 32]","[None, None, None, 29, 3]","[None, None, None, 'TOR', 'TOR']"
2011-2012,8470860,Jaroslav Halak,STL,G,94.8,94.8,75.9,58.6,62.1,93.1,46.6,25.9,86.2,86.2,86.2,74.1,60.3,4,4,15,25,23,5,32,44,9,9,9,16,24,58,Tandem (1A),46.0,2746.62,0.926,1.97,107.63,90.0,G,71.0,189.0,1985-05-13,SVK,2003.0,9.0,271.0,L,26,12,7,6,26,"[None, None, 96, 61, 96]","[None, None, 95, 56, 96]","[None, None, 76, 74, 51]","[None, None, 'MTL', 'STL', 'STL']"
2011-2012,8467391,Jason LaBarbera,PHX,G,55.2,46.6,65.5,5.2,63.8,70.7,74.1,70.7,77.6,79.3,79.3,13.8,6.9,27,32,21,56,22,18,16,18,14,13,13,51,55,58,Backup,19.0,994.63,0.912,2.59,39.81,43.0,G,75.0,232.0,1980-01-18,CAN,1998.0,3.0,66.0,L,3,9,3,0,31,"[None, None, 71, 72, 19]","[None, None, 61, 82, 10]","[None, None, 68, 9, 94]","[None, None, 'PHX', 'PHX', 'PHX']"
2011-2012,8462044,Jean-Sebastien Giguere,COL,G,51.7,37.9,70.7,24.1,19.0,69.0,60.3,51.7,19.0,70.7,70.7,91.4,32.8,29,37,18,45,48,19,24,29,48,18,18,6,40,58,Backup,32.0,1819.57,0.919,2.28,71.85,69.0,G,73.0,202.0,1977-05-16,CAN,1995.0,1.0,13.0,L,15,11,3,2,34,"[None, None, 80, 27, 60]","[None, None, 68, 35, 48]","[None, None, 93, 24, 67]","[None, None, 'TOR', 'TOR', 'COL']"
2011-2012,8473523,Jhonas Enroth,BUF,G,62.1,60.3,44.8,87.9,89.7,13.8,75.9,43.1,60.3,60.3,58.6,8.6,13.8,23,24,33,8,7,51,15,34,24,24,25,54,51,58,Backup,26.0,1398.48,0.917,2.7,62.2,63.0,G,70.0,175.0,1988-06-25,SWE,2006.0,2.0,46.0,L,8,11,4,1,23,"[None, None, None, 51, 67]","[None, None, None, 50, 72]","[None, None, None, 54, 44]","[None, None, None, 'BUF', 'BUF']"
2011-2012,8470657,Jimmy Howard,DET,G,43.1,32.8,67.2,39.7,65.5,22.4,70.7,53.4,34.5,44.8,41.4,41.4,81.0,34,40,20,36,21,46,18,28,39,33,35,35,12,58,Starter,57.0,3360.28,0.92,2.12,122.82,119.0,G,73.0,218.0,1984-03-26,USA,2003.0,2.0,64.0,L,35,17,4,6,27,"[None, None, 73, 21, 81]","[None, None, 56, 14, 77]","[None, None, 80, 46, 62]","[None, None, 'DET', 'DET', 'DET']"
2011-2012,8469732,Joey MacDonald,DET,G,74.1,77.6,36.2,74.1,94.8,56.9,96.6,91.4,6.9,94.8,94.8,98.3,1.7,16,14,38,16,4,26,3,6,55,4,4,2,58,58,Backup,14.0,805.55,0.912,2.16,30.68,29.0,G,72.0,197.0,1980-02-07,CAN,,,,L,8,5,1,0,31,"[None, None, None, 58, 82]","[None, None, None, 64, 82]","[None, None, None, 41, 55]","[None, None, None, 'DET', 'DET']"
2011-2012,8460704,Johan Hedberg,NJD,G,56.9,43.1,77.6,65.5,69.0,29.3,62.1,87.9,41.4,24.1,24.1,89.7,34.5,26,34,14,21,19,42,23,8,35,45,45,7,39,58,Backup,27.0,1591.17,0.918,2.22,59.13,59.0,G,72.0,190.0,1973-05-05,SWE,1994.0,9.0,218.0,L,17,7,2,4,38,"[None, None, 66, 35, 79]","[None, None, 75, 30, 62]","[None, None, 48, 59, 84]","[None, None, 'ATL', 'NJD', 'NJD']"
2011-2012,8475361,Jonas Gustavsson,TOR,G,3.4,5.2,17.2,13.8,12.1,19.0,98.3,31.0,5.2,3.4,3.4,31.0,36.2,57,56,49,51,52,48,2,41,56,57,57,41,38,58,Tandem (1A),42.0,2300.7,0.902,2.92,99.43,112.0,G,76.0,201.0,1984-10-24,SWE,,,,L,17,17,4,4,26,"[None, None, 33, 9, 6]","[None, None, 31, 21, 8]","[None, None, 63, 3, 50]","[None, None, 'TOR', 'TOR', 'TOR']"
2011-2012,8473972,Jonas Hiller,ANA,G,89.7,89.7,62.1,17.2,79.3,84.5,10.3,12.1,84.5,74.1,74.1,81.0,75.9,7,7,23,49,13,10,53,52,10,16,16,12,15,58,Starter,73.0,4248.15,0.91,2.57,179.07,182.0,G,74.0,191.0,1982-02-12,CHE,,,,R,29,30,12,4,29,"[None, None, 95, 91, 39]","[None, None, 98, 88, 41]","[None, None, 43, 79, 46]","[None, None, 'ANA', 'ANA', 'ANA']"
2011-2012,8473541,Jonathan Bernier,LAK,G,29.3,17.2,86.2,96.6,10.3,15.5,56.9,94.8,8.6,67.2,67.2,87.9,15.5,42,49,9,3,53,50,26,4,54,20,20,8,50,58,Backup,16.0,890.2,0.909,2.36,33.34,35.0,G,72.0,185.0,1988-08-07,CAN,2006.0,1.0,11.0,L,5,6,2,1,23,"[None, None, None, 43, 41]","[None, None, None, 38, 20]","[None, None, None, 66, 79]","[None, None, None, 'LAK', 'LAK']"
2011-2012,8471734,Jonathan Quick,LAK,G,86.2,81.0,82.8,15.5,51.7,89.7,37.9,67.2,69.0,75.9,75.9,84.5,96.6,9,12,11,50,29,7,37,20,19,15,15,10,3,58,Starter,69.0,4099.43,0.929,1.95,159.38,133.0,G,73.0,219.0,1986-01-21,USA,2005.0,3.0,72.0,L,35,21,13,10,25,"[None, None, 48, 64, 91]","[None, None, 45, 51, 93]","[None, None, 26, 90, 77]","[None, None, 'LAK', 'LAK', 'LAK']"
2011-2012,8460535,Jose Theodore,FLA,G,67.2,72.4,43.1,27.6,87.9,44.8,19.0,36.2,63.8,50.0,48.3,65.5,53.4,20,17,34,43,8,33,48,38,22,30,31,21,28,58,Starter,53.0,3049.45,0.917,2.46,123.45,125.0,G,71.0,172.0,1976-09-13,CAN,1994.0,2.0,44.0,R,22,16,11,3,34,"[None, None, 86, 33, 77]","[None, None, 90, 24, 84]","[None, None, 33, 91, 19]","[None, None, 'WSH', 'MIN', 'FLA']"
2011-2012,8470216,Josh Harding,MIN,G,17.2,20.7,24.1,63.8,24.1,20.7,41.4,60.3,62.1,8.6,8.6,25.9,27.6,49,47,45,22,45,47,35,24,23,54,54,44,43,58,Tandem (1B),34.0,1849.87,0.917,2.63,80.4,81.0,G,74.0,194.0,1984-06-18,CAN,2002.0,2.0,38.0,R,13,12,4,2,27,"[None, None, 21, None, 37]","[None, None, 35, None, 31]","[None, None, 10, None, 70]","[None, None, 'MIN', None, 'MIN']"
2011-2012,8470140,Kari Lehtonen,DAL,G,48.3,44.8,41.4,84.5,39.7,53.4,53.4,65.5,91.4,62.1,60.3,55.2,87.9,31,33,35,10,36,28,28,21,6,23,24,27,8,58,Starter,59.0,3476.82,0.922,2.35,140.09,136.0,G,76.0,209.0,1983-11-16,FIN,2002.0,1.0,2.0,L,32,22,4,4,27,"[None, None, None, 48, 44]","[None, None, None, 62, 34]","[None, None, None, 16, 74]","[None, None, None, 'DAL', 'DAL']"
2011-2012,8470594,Marc-Andre Fleury,PIT,G,41.4,25.9,91.4,56.9,34.5,36.2,58.6,74.1,43.1,43.1,46.6,60.3,94.8,35,44,6,26,39,38,25,16,34,34,32,24,4,58,Starter,67.0,3891.22,0.913,2.36,153.4,153.0,G,74.0,185.0,1984-11-28,CAN,2003.0,1.0,1.0,L,42,17,4,3,26,"[None, None, 28, 59, 36]","[None, None, 26, 58, 19]","[None, None, 73, 53, 87]","[None, None, 'PIT', 'PIT', 'PIT']"
2011-2012,8462047,Martin Biron,NYR,G,53.4,53.4,32.8,41.4,8.6,81.0,12.1,27.6,44.8,29.3,29.3,79.3,19.0,28,28,40,35,54,12,52,43,33,42,42,13,48,58,Backup,21.0,1219.4,0.904,2.46,47.44,50.0,G,74.0,186.0,1977-08-15,CAN,1995.0,1.0,16.0,L,12,6,2,2,34,"[None, None, 30, 79, 31]","[None, None, 63, 74, 22]","[None, None, 1, 82, 58]","[None, None, 'NYI', 'NYR', 'NYR']"
2011-2012,8455710,Martin Brodeur,NJD,G,5.2,3.4,53.4,22.4,27.6,5.2,86.2,98.3,22.4,6.9,6.9,48.3,84.5,56,57,28,46,43,56,9,2,46,55,55,31,10,58,Starter,59.0,3387.42,0.908,2.41,117.1,136.0,G,74.0,220.0,1972-05-06,CAN,1990.0,1.0,20.0,L,31,21,4,3,39,"[None, None, 51, 14, 10]","[None, None, 51, 11, 6]","[None, None, 38, 30, 82]","[None, None, 'NJD', 'NJD', 'NJD']"
2011-2012,8464999,Mathieu Garon,TBL,G,8.6,10.3,27.6,25.9,56.9,3.4,79.3,93.1,20.7,13.8,13.8,12.1,50.0,54,53,43,44,26,57,13,5,47,51,51,52,30,58,Tandem (1A),48.0,2483.75,0.901,2.85,100.21,118.0,G,73.0,198.0,1978-01-09,CAN,1996.0,2.0,44.0,R,23,16,4,1,33,"[None, None, 31, 29, 8]","[None, None, 30, 41, 13]","[None, None, 66, 11, 36]","[None, None, 'CBJ', 'CBJ', 'TBL']"
2011-2012,8473607,Michal Neuvirth,WSH,G,24.1,24.1,48.3,10.3,31.0,58.6,93.1,82.8,25.9,41.4,43.1,34.5,39.7,45,45,31,53,41,25,5,11,44,35,34,39,36,58,Tandem (1B),38.0,2000.05,0.903,2.85,81.56,95.0,G,73.0,209.0,1988-03-23,CZE,2006.0,2.0,34.0,L,13,13,5,3,23,"[None, None, 61, 38, 17]","[None, None, 46, 40, 17]","[None, None, 56, 51, 34]","[None, None, 'WSH', 'WSH', 'WSH']"
2011-2012,8462147,Miikka Kiprusoff,CGY,G,32.8,27.6,60.3,44.8,37.9,39.7,51.7,77.6,67.2,53.4,53.4,36.2,100.0,40,43,24,33,37,36,29,14,20,28,28,38,1,58,Starter,70.0,4128.0,0.921,2.35,165.55,162.0,G,73.0,185.0,1976-10-26,FIN,1995.0,5.0,116.0,L,35,22,11,4,34,"[None, None, 63, 16, 75]","[None, None, 70, 12, 63]","[None, None, 50, 27, 75]","[None, None, 'CGY', 'CGY', 'CGY']"
2011-2012,8469608,Mike Smith,PHX,G,50.0,29.3,94.8,69.0,20.7,34.5,67.2,55.2,46.6,34.5,34.5,3.4,55.2,30,42,4,19,47,39,20,27,32,39,39,57,27,58,Starter,67.0,3903.2,0.93,2.21,176.7,144.0,G,77.0,220.0,1982-03-22,CAN,2001.0,5.0,161.0,L,38,18,10,8,29,"[None, None, 16, 8, 98]","[None, None, 20, 3, 98]","[None, None, 36, 95, 86]","[None, None, 'TBL', 'TBL', 'PHX']"
2011-2012,8473404,Niklas Backstrom,MIN,G,27.6,39.7,12.1,94.8,50.0,27.6,29.3,75.9,32.8,19.0,17.2,32.8,63.8,43,36,52,4,30,43,42,15,40,48,49,40,22,58,Tandem (1A),46.0,2589.68,0.919,2.43,102.41,105.0,G,74.0,192.0,1978-02-13,FIN,,,,L,19,18,7,4,33,"[None, None, 8, 46, 62]","[None, None, 10, 61, 75]","[None, None, 40, 8, 13]","[None, None, 'MIN', 'MIN', 'MIN']"
2011-2012,8459140,Nikolai Khabibulin,EDM,G,25.9,36.2,13.8,37.9,17.2,65.5,15.5,8.6,55.2,36.2,36.2,15.5,46.6,44,38,51,37,49,21,50,54,27,38,38,50,32,58,Tandem (1B),40.0,2255.5,0.91,2.66,106.39,100.0,G,73.0,208.0,1973-01-13,RUS,1992.0,9.0,204.0,L,12,20,7,2,38,"[None, None, 45, 11, 84]","[None, None, 50, 37, 55]","[None, None, 18, 1, 96]","[None, None, 'EDM', 'EDM', 'EDM']"
2011-2012,8471715,Ondrej Pavelec,WPG,G,63.8,63.8,56.9,75.9,84.5,24.1,24.1,13.8,72.4,32.8,32.8,44.8,70.7,22,22,26,15,10,45,45,51,17,40,40,33,18,58,Starter,68.0,3932.43,0.906,2.91,186.33,191.0,G,75.0,212.0,1987-08-31,CZE,2005.0,2.0,41.0,L,29,28,9,4,24,"[None, None, 23, 77, 69]","[None, None, 13, 85, 70]","[None, None, 90, 21, 48]","[None, None, 'ATL', 'ATL', 'WPG']"
2011-2012,8471469,Pekka Rinne,NSH,G,77.6,74.1,84.5,77.6,77.6,37.9,84.5,48.3,81.0,69.0,69.0,50.0,93.1,14,16,10,14,14,37,10,31,12,19,19,30,5,58,Starter,73.0,4168.87,0.923,2.39,166.57,166.0,G,77.0,217.0,1982-11-03,FIN,2004.0,8.0,258.0,L,43,18,8,5,28,"[None, None, 60, 88, 43]","[None, None, 71, 80, 39]","[None, None, 25, 96, 65]","[None, None, 'NSH', 'NSH', 'NSH']"
2011-2012,8469514,Peter Budaj,MTL,G,37.9,55.2,8.6,82.8,96.6,10.3,20.7,29.3,13.8,15.5,19.0,24.1,22.4,37,27,54,11,3,53,47,42,51,50,48,45,46,58,Backup,17.0,1036.95,0.913,2.55,44.89,44.0,G,73.0,196.0,1982-09-18,SVK,2001.0,2.0,63.0,L,5,7,5,0,28,"[None, None, 75, 19, 70]","[None, None, 85, 25, 74]","[None, None, 21, 4, 43]","[None, None, 'COL', 'COL', 'MTL']"
2011-2012,8469548,Ray Emery,CHI,G,44.8,41.4,58.6,8.6,72.4,46.6,17.2,46.6,53.4,91.4,91.4,27.6,31.0,33,35,25,54,17,32,49,32,28,6,6,43,41,58,Tandem (1B),34.0,1773.78,0.9,2.81,77.49,83.0,G,74.0,196.0,1982-09-28,CAN,2001.0,4.0,99.0,L,15,9,4,0,28,"[None, None, 78, None, 20]","[None, None, 88, None, 12]","[None, None, 5, None, 98]","[None, None, 'PHI', None, 'CHI']"
2011-2012,8473614,Richard Bachman,DAL,G,36.2,62.1,5.2,3.4,74.1,87.9,6.9,56.9,3.4,5.2,5.2,86.2,8.6,38,23,56,57,16,8,55,26,57,56,56,9,54,58,Backup,18.0,928.08,0.91,2.78,38.39,43.0,G,70.0,183.0,1987-07-25,USA,2006.0,4.0,120.0,L,8,5,1,1,24,"[None, None, None, None, 48]","[None, None, None, None, 67]","[None, None, None, None, 10]","[None, None, None, None, 'DAL']"
2011-2012,8466141,Roberto Luongo,VAN,G,81.0,86.2,20.7,70.7,70.7,75.9,48.3,44.8,70.7,87.9,87.9,70.7,79.3,12,9,47,18,18,15,31,33,18,8,8,18,13,58,Starter,55.0,3162.38,0.919,2.41,128.67,127.0,G,75.0,215.0,1979-04-04,CAN,1997.0,1.0,4.0,L,31,14,8,5,32,"[None, None, 58, 83, 65]","[None, None, 78, 83, 79]","[None, None, 20, 58, 22]","[None, None, 'VAN', 'VAN', 'VAN']"
2011-2012,8468011,Ryan Miller,BUF,G,72.4,65.5,79.3,29.3,82.8,55.2,69.0,32.8,79.3,48.3,44.8,62.1,89.7,17,21,13,42,11,27,19,40,13,31,33,23,7,58,Starter,61.0,3537.18,0.916,2.54,143.19,150.0,G,74.0,170.0,1980-07-17,USA,1999.0,5.0,138.0,L,31,21,7,6,31,"[None, None, 90, 50, 53]","[None, None, 80, 45, 65]","[None, None, 100, 72, 24]","[None, None, 'BUF', 'BUF', 'BUF']"
2011-2012,8466339,Scott Clemmensen,FLA,G,19.0,15.5,69.0,60.3,3.4,43.1,81.0,81.0,10.3,39.7,39.7,39.7,24.1,48,50,19,24,57,34,12,12,53,36,36,36,45,58,Backup,30.0,1565.87,0.913,2.57,58.06,67.0,G,74.0,200.0,1977-07-23,USA,1997.0,8.0,215.0,L,14,6,6,1,34,"[None, None, 46, 30, 32]","[None, None, 33, 27, 27]","[None, None, 70, 64, 53]","[None, None, 'FLA', 'FLA', 'FLA']"
2011-2012,8473575,Semyon Varlamov,COL,G,91.4,96.6,15.5,48.3,81.0,94.8,3.4,15.5,87.9,89.7,89.7,69.0,48.3,6,3,50,31,12,4,57,50,8,7,7,19,31,58,Starter,53.0,3151.35,0.913,2.59,135.22,136.0,G,74.0,201.0,1988-04-27,RUS,2006.0,1.0,23.0,L,26,24,3,4,23,"[None, None, 83, 93, 72]","[None, None, 91, 96, 81]","[None, None, 6, 43, 27]","[None, None, 'WSH', 'WSH', 'COL']"
2011-2012,8475683,Sergei Bobrovsky,PHI,G,82.8,84.5,46.6,98.3,29.3,82.8,1.7,17.2,31.0,72.4,72.4,63.8,51.7,11,10,32,2,42,11,58,49,41,17,17,22,29,58,Backup,29.0,1550.02,0.899,3.02,75.75,78.0,G,74.0,180.0,1988-09-20,RUS,,,,L,14,10,2,0,22,"[None, None, None, 87, 56]","[None, None, None, 87, 56]","[None, None, None, 77, 31]","[None, None, None, 'PHI', 'PHI']"
2011-2012,8473461,Steve Mason,CBJ,G,1.7,1.7,1.7,67.2,6.9,1.7,82.8,63.8,17.2,12.1,12.1,1.7,62.1,58,58,58,20,55,58,11,22,49,52,52,58,23,58,Tandem (1A),46.0,2533.68,0.894,3.39,102.27,143.0,G,76.0,210.0,1988-05-29,CAN,2006.0,3.0,69.0,R,16,26,3,1,23,"[None, None, 3, 17, 1]","[None, None, 8, 16, 1]","[None, None, 16, 19, 1]","[None, None, 'CBJ', 'CBJ', 'CBJ']"
