Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,W,L,OT/SO,Shutouts,all_history,evs_history,gpk_history,team_history
2019-2020,Brian Elliott,PHI,G,49.0,52.0,57.0,62.0,36.0,38.0,49.0,15.0,17.0,19.0,21.0,40.0,45.0,Tandem (1B),31,1673.9,0.899,2.87,69.93,80,34,1985-04-09,CAN,CAN,74,221,2003,9,291,8470880,G,16,7,4,2,"[99, 39, 44, 52, 20]","[93, 48, 72, 55, 15]","[87, 42, 6, 21, 39]","['STL', 'CGY', 'PHI', 'PHI', 'PHI']"
2019-2020,Cam Talbot,CGY,G,42.0,37.0,29.0,42.0,24.0,45.0,51.0,42.0,53.0,30.0,31.0,38.0,40.0,Backup,26,1414.65,0.919,2.67,62.34,63,32,1987-07-05,CAN,CAN,76,201,-,-,-,8475660,G,12,10,1,2,"[66, 89, 54, 8, 67]","[28, 85, 44, 36, 58]","[74, 76, 40, 2, 88]","['EDM', 'EDM', 'EDM', 'PHI', 'CGY']"
2019-2020,Carey Price,MTL,G,48.0,49.0,22.0,33.0,48.0,35.0,7.0,10.0,42.0,35.0,37.0,29.0,32.0,Starter,58,3439.8166666667,0.909,2.79,141.29,160,32,1987-08-16,CAN,CAN,75,217,2005,1,5,8471679,G,27,25,6,4,"[None, 65, 7, 56, 32]","[None, 71, 6, 53, 26]","[None, 37, 34, 85, 56]","[None, 'MTL', 'MTL', 'MTL', 'MTL']"
2019-2020,Carter Hart,PHI,G,32.0,41.0,35.0,48.0,51.0,29.0,63.0,13.0,13.0,20.0,22.0,20.0,23.0,Starter,43,2355.8333333333,0.914,2.42,96.64,95,21,1998-08-13,CAN,CAN,74,181,2016,2,48,8479394,G,24,13,3,1,"[None, None, None, 48, 64]","[None, None, None, 30, 56]","[None, None, None, 80, 33]","[None, None, None, 'PHI', 'PHI']"
2019-2020,Carter Hutton,BUF,G,56.0,45.0,37.0,5.0,50.0,47.0,24.0,35.0,48.0,38.0,38.0,37.0,51.0,Tandem (1B),31,1775.4333333333,0.898,3.18,78.2,94,33,1985-12-19,CAN,CAN,72,211,-,-,-,8475622,G,12,14,4,2,"[46, 48, 88, 32, 14]","[25, 42, 85, 20, 35]","[84, 55, 96, 73, 21]","['NSH', 'STL', 'STL', 'BUF', 'BUF']"
2019-2020,Chris Driedger,FLA,G,1.0,1.0,3.0,1.0,13.0,1.0,2.0,55.0,2.0,4.0,4.0,1.0,2.0,Backup,12,642.66666666667,0.938,2.05,29.85,22,25,1994-05-18,CAN,CAN,76,208,2012,3,76,8476904,G,7,2,1,1,"[None, None, None, None, 98]","[None, None, None, None, 98]","[None, None, None, None, 95]","[None, None, None, None, 'FLA']"
2019-2020,Connor Hellebuyck,WPG,G,7.0,9.0,20.0,24.0,15.0,30.0,52.0,47.0,16.0,17.0,18.0,12.0,12.0,Starter,58,3270.6166666667,0.922,2.57,157.28,140,26,1993-05-19,USA,USA,76,216,2012,5,130,8476945,G,31,21,5,6,"[87, 23, 71, 50, 95]","[90, 18, 47, 38, 95]","[15, 19, 90, 64, 59]","['WPG', 'WPG', 'WPG', 'WPG', 'WPG']"
2019-2020,Corey Crawford,CHI,G,9.0,7.0,27.0,26.0,47.0,2.0,39.0,65.0,34.0,22.0,24.0,16.0,34.0,Tandem (1A),40,2340.05,0.917,2.77,109.53,108,34,1984-12-31,CAN,CAN,74,216,2003,2,52,8470645,G,16,20,3,1,"[93, 71, 96, 62, 83]","[87, 73, 87, 52, 91]","[53, 44, 97, 94, 20]","['CHI', 'CHI', 'CHI', 'CHI', 'CHI']"
2019-2020,Cory Schneider,NJD,G,61.0,59.0,49.0,44.0,56.0,59.0,33.0,49.0,62.0,58.0,59.0,64.0,64.0,Backup,13,679.26666666667,0.887,3.53,31.07,40,33,1986-03-18,USA,USA,75,214,2004,1,26,8471239,G,3,6,2,1,"[82, 21, 51, 24, 6]","[62, 27, 24, 12, 14]","[57, 45, 46, 82, 14]","['NJD', 'NJD', 'NJD', 'NJD', 'NJD']"
2019-2020,Craig Anderson,OTT,G,57.0,51.0,42.0,36.0,63.0,42.0,61.0,58.0,52.0,40.0,42.0,57.0,60.0,Tandem (1B),34,1826.4,0.901,3.29,86.77,100,38,1981-05-21,USA,USA,74,187,2001,3,73,8467950,G,11,17,2,0,"[41, 79, 12, 21, 23]","[35, 92, 3, 17, 50]","[34, 24, 47, 65, 30]","['OTT', 'OTT', 'OTT', 'OTT', 'OTT']"
2019-2020,Curtis McElhinney,TBL,G,27.0,23.0,34.0,56.0,30.0,14.0,29.0,24.0,50.0,48.0,49.0,27.0,26.0,Backup,18,1080.9333333333,0.906,2.89,47.65,52,36,1983-05-23,CAN,CAN,74,210,2002,6,176,8470147,G,8,7,3,1,"[15, 60, 97, 76, 39]","[1, 65, 99, 76, 41]","[94, 23, 24, 52, 52]","['CBJ', 'TOR', 'TOR', 'CAR', 'TBL']"
2019-2020,Darcy Kuemper,ARI,G,5.0,15.0,16.0,10.0,35.0,20.0,41.0,25.0,4.0,3.0,3.0,2.0,5.0,Tandem (1B),29,1757.6,0.928,2.22,72.85,65,29,1990-05-05,CAN,CAN,77,215,2009,6,161,8475311,G,16,11,2,2,"[50, 3, 79, 79, 92]","[41, 5, 74, 56, 80]","[99, 60, 99, 86, 47]","['MIN', 'MIN', 'ARI', 'ARI', 'ARI']"
2019-2020,David Rittich,CGY,G,44.0,38.0,23.0,50.0,41.0,24.0,36.0,29.0,39.0,39.0,40.0,35.0,37.0,Starter,48,2791.9666666667,0.907,2.97,125.33,138,27,1992-08-19,CZE,CZE,76,205,-,-,-,8479496,G,24,17,6,2,"[None, None, 24, 53, 41]","[None, None, 15, 74, 29]","[None, None, 37, 29, 73]","[None, None, 'CGY', 'CGY', 'CGY']"
2019-2020,Devan Dubnyk,MIN,G,64.0,64.0,56.0,28.0,58.0,63.0,10.0,3.0,60.0,49.0,50.0,36.0,54.0,Tandem (1B),30,1664.65,0.89,3.35,64.06,93,33,1986-05-04,CAN,CAN,78,224,2004,1,14,8471227,G,12,15,2,1,"[32, 35, 28, 26, 2]","[54, 23, 31, 15, 5]","[9, 63, 32, 62, 12]","['MIN', 'MIN', 'MIN', 'MIN', 'MIN']"
2019-2020,Elvis Merzlikins,CBJ,G,36.0,30.0,26.0,2.0,61.0,15.0,16.0,4.0,22.0,13.0,11.0,10.0,14.0,Tandem (1B),33,1880.1333333333,0.923,2.27,69.23,71,25,1994-04-13,LVA,LVA,75,183,2014,3,76,8478007,G,13,9,8,5,"[None, None, None, None, 48]","[None, None, None, None, 64]","[None, None, None, None, 62]","[None, None, None, None, 'CBJ']"
2019-2020,Frederik Andersen,TOR,G,35.0,33.0,51.0,17.0,33.0,48.0,8.0,38.0,19.0,27.0,29.0,25.0,17.0,Starter,52,3006.6666666667,0.909,2.85,130.02,143,29,1989-10-02,DNK,DNK,76,238,2012,3,87,8475883,G,29,13,7,3,"[54, 73, 74, 74, 38]","[60, 68, 66, 80, 27]","[56, 85, 72, 30, 27]","['ANA', 'TOR', 'TOR', 'TOR', 'TOR']"
2019-2020,Henrik Lundqvist,NYR,G,19.0,13.0,55.0,29.0,55.0,13.0,62.0,54.0,33.0,43.0,44.0,44.0,53.0,Tandem (1B),30,1596.7333333333,0.905,3.16,85.4,84,37,1982-03-02,SWE,SWE,73,182,2000,7,205,8468685,G,10,12,3,1,"[94, 50, 68, 47, 80]","[99, 52, 57, 62, 85]","[19, 47, 60, 24, 23]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2019-2020,Igor Shesterkin,NYR,G,2.0,2.0,2.0,7.0,45.0,5.0,59.0,66.0,1.0,1.0,1.0,1.0,1.0,Backup,12,691.58333333333,0.932,2.52,36.39,29,23,1995-12-30,RUS,RUS,73,189,2014,4,118,8478048,G,10,2,0,0,"[None, None, None, None, 97]","[None, None, None, None, 94]","[None, None, None, None, 97]","[None, None, None, None, 'NYR']"
2019-2020,Ilya Samsonov,WSH,G,34.0,14.0,36.0,25.0,34.0,27.0,26.0,18.0,14.0,16.0,17.0,6.0,16.0,Backup,26,1411.0333333333,0.913,2.55,58.7,60,22,1997-02-22,RUS,RUS,75,214,2015,1,22,8478492,G,16,6,2,1,"[None, None, None, None, 50]","[None, None, None, None, 74]","[None, None, None, None, 50]","[None, None, None, None, 'WSH']"
2019-2020,Jack Campbell,TOR,G,39.0,35.0,39.0,14.0,31.0,50.0,35.0,14.0,46.0,59.0,60.0,28.0,47.0,Backup,26,1566.9833333333,0.904,2.8,63.92,73,27,1992-01-09,USA,USA,75,207,2010,1,11,8475789,G,11,12,3,0,"[None, None, None, 92, 24]","[None, None, None, 77, 32]","[None, None, None, 95, 15]","[None, None, None, 'LAK', 'TOR']"
2019-2020,Jacob Markstrom,VAN,G,16.0,19.0,21.0,39.0,19.0,25.0,55.0,61.0,11.0,15.0,16.0,15.0,21.0,Starter,43,2551.8833333333,0.918,2.75,119.93,117,29,1990-01-31,SWE,SWE,78,207,2008,2,31,8474593,G,23,16,4,2,"[81, 40, 41, 65, 82]","[59, 37, 54, 58, 77]","[88, 35, 28, 71, 64]","['VAN', 'VAN', 'VAN', 'VAN', 'VAN']"
2019-2020,Jake Allen,STL,G,18.0,25.0,15.0,65.0,8.0,7.0,27.0,20.0,5.0,7.0,8.0,18.0,18.0,Backup,24,1341.9833333333,0.927,2.15,54.82,48,29,1990-08-07,CAN,CAN,74,195,2008,2,34,8474596,G,12,6,3,2,"[59, 31, 21, 36, 94]","[37, 32, 38, 32, 88]","[79, 79, 18, 70, 74]","['STL', 'STL', 'STL', 'STL', 'STL']"
2019-2020,James Reimer,CAR,G,24.0,34.0,18.0,19.0,6.0,61.0,48.0,40.0,43.0,23.0,25.0,43.0,28.0,Backup,25,1378.0166666667,0.914,2.66,64.7,61,31,1988-03-15,CAN,CAN,75,205,2006,4,99,8473503,G,14,6,2,3,"[40, 66, 62, 18, 86]","[76, 79, 34, 29, 70]","[7, 31, 84, 12, 79]","['SJS', 'FLA', 'FLA', 'FLA', 'CAR']"
2019-2020,Jaroslav Halak,BOS,G,15.0,22.0,33.0,46.0,17.0,17.0,3.0,19.0,24.0,26.0,28.0,30.0,9.0,Tandem (1B),31,1833.3666666667,0.919,2.39,74.82,73,34,1985-05-13,SVK,SVK,71,189,2003,9,271,8470860,G,18,6,6,3,"[84, 76, 49, 88, 70]","[75, 60, 68, 92, 44]","[90, 89, 31, 9, 68]","['NYI', 'NYI', 'NYI', 'BOS', 'BOS']"
2019-2020,Jimmy Howard,DET,G,63.0,60.0,63.0,59.0,27.0,64.0,50.0,62.0,64.0,63.0,64.0,60.0,66.0,Backup,27,1371.5666666667,0.882,4.2,67.28,96,35,1984-03-26,USA,USA,73,218,2003,2,64,8470657,G,2,23,2,0,"[25, 84, 43, 70, 0]","[49, 50, 40, 79, 3]","[54, 98, 51, 20, 5]","['DET', 'DET', 'DET', 'DET', 'DET']"
2019-2020,John Gibson,ANA,G,10.0,8.0,30.0,9.0,39.0,31.0,53.0,60.0,37.0,32.0,34.0,34.0,39.0,Starter,51,2981.2833333333,0.904,3.0,137.48,149,26,1993-07-14,USA,USA,74,210,2011,2,39,8476434,G,20,26,5,1,"[72, 94, 91, 98, 42]","[32, 82, 91, 97, 62]","[96, 97, 93, 91, 26]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2019-2020,Jonathan Bernier,DET,G,38.0,36.0,10.0,58.0,32.0,28.0,28.0,37.0,58.0,54.0,55.0,50.0,56.0,Starter,46,2545.9333333333,0.907,2.97,120.96,126,31,1988-08-07,CAN,CAN,72,185,2006,1,11,8473541,G,15,22,3,1,"[18, 77, 31, 41, 53]","[13, 61, 50, 35, 65]","[78, 90, 65, 98, 61]","['TOR', 'ANA', 'COL', 'DET', 'DET']"
2019-2020,Jonathan Quick,LAK,G,52.0,50.0,60.0,60.0,46.0,41.0,42.0,11.0,57.0,52.0,53.0,52.0,58.0,Tandem (1A),42,2516.2333333333,0.904,2.79,107.69,117,33,1986-01-21,USA,USA,73,220,2005,3,72,8471734,G,16,22,4,1,"[78, 95, 85, 5, 36]","[63, 90, 78, 5, 42]","[62, 82, 85, 18, 9]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2019-2020,Joonas Korpisalo,CBJ,G,59.0,55.0,38.0,20.0,57.0,39.0,19.0,6.0,41.0,41.0,43.0,32.0,44.0,Tandem (1A),37,2125.9,0.911,2.6,80.92,92,25,1994-04-28,FIN,FIN,75,193,2012,3,62,8476914,G,19,12,5,2,"[91, 52, 15, 9, 27]","[96, 31, 4, 23, 33]","[47, 84, 62, 11, 58]","['CBJ', 'CBJ', 'CBJ', 'CBJ', 'CBJ']"
2019-2020,Jordan Binnington,STL,G,14.0,10.0,46.0,55.0,18.0,4.0,22.0,5.0,28.0,10.0,12.0,19.0,7.0,Starter,50,2927.8666666667,0.912,2.58,127.41,126,26,1993-07-11,CAN,CAN,74,172,2011,3,88,8476412,G,30,13,7,3,"[None, None, None, 83, 73]","[None, None, None, 89, 71]","[None, None, None, 53, 36]","[None, None, None, 'STL', 'STL']"
2019-2020,Juuse Saros,NSH,G,17.0,29.0,11.0,34.0,11.0,37.0,34.0,39.0,12.0,33.0,35.0,39.0,22.0,Tandem (1A),40,2175.6166666667,0.914,2.7,94.99,98,24,1995-04-19,FIN,FIN,71,180,2013,4,99,8477424,G,17,12,4,4,"[None, 82, 93, 77, 58]","[None, 69, 93, 67, 39]","[None, 94, 88, 61, 82]","[None, 'NSH', 'NSH', 'NSH', 'NSH']"
2019-2020,Laurent Brossoit,WPG,G,37.0,12.0,59.0,11.0,25.0,51.0,56.0,43.0,54.0,57.0,58.0,62.0,55.0,Backup,19,987.88333333333,0.895,3.28,47.25,54,26,1993-03-23,CAN,CAN,75,215,2011,6,164,8476316,G,6,7,1,0,"[None, None, 4, 97, 26]","[None, None, 16, 98, 52]","[None, None, 9, 79, 6]","[None, None, 'EDM', 'WPG', 'WPG']"
2019-2020,Linus Ullmark,BUF,G,46.0,39.0,62.0,12.0,14.0,43.0,1.0,32.0,36.0,25.0,27.0,31.0,31.0,Tandem (1B),34,2027.4,0.915,2.69,83.97,91,26,1993-07-31,SWE,SWE,77,212,2012,6,163,8476999,G,17,14,3,1,"[13, None, None, 17, 44]","[22, None, None, 33, 61]","[22, None, None, 14, 17]","['BUF', None, None, 'BUF', 'BUF']"
2019-2020,Louis Domingue,VAN,G,65.0,65.0,45.0,47.0,53.0,66.0,12.0,46.0,59.0,60.0,62.0,58.0,62.0,Backup,17,802.31666666667,0.882,3.81,36.18,51,27,1992-03-06,CAN,CAN,75,208,2010,5,138,8475839,G,3,9,2,0,"[34, 29, 9, 27, 3]","[74, 55, 18, 21, 0]","[13, 15, 16, 56, 41]","['ARI', 'ARI', 'TBL', 'TBL', 'VAN']"
2019-2020,Mackenzie Blackwood,NJD,G,30.0,17.0,40.0,35.0,42.0,11.0,20.0,48.0,15.0,29.0,30.0,41.0,25.0,Starter,47,2684.0166666667,0.915,2.77,118.99,124,22,1996-12-09,CAN,CAN,76,225,2015,2,42,8478406,G,22,14,8,3,"[None, None, None, 61, 56]","[None, None, None, 59, 76]","[None, None, None, 67, 35]","[None, None, None, 'NJD', 'NJD']"
2019-2020,Malcolm Subban,CHI,G,58.0,57.0,52.0,64.0,40.0,40.0,30.0,17.0,65.0,61.0,61.0,61.0,59.0,Backup,21,1136.0166666667,0.89,3.17,51.86,60,25,1993-12-21,CAN,CAN,74,215,2012,1,24,8476876,G,9,7,3,0,"[None, None, 59, 12, 18]","[None, None, 49, 11, 18]","[None, None, 68, 6, 45]","[None, None, 'VGK', 'VGK', 'CHI']"
2019-2020,Marc-Andre Fleury,VGK,G,41.0,46.0,43.0,45.0,23.0,46.0,45.0,9.0,29.0,45.0,46.0,53.0,20.0,Starter,49,2860.1,0.905,2.79,118.19,133,34,1984-11-28,CAN,CAN,74,185,2003,1,1,8470594,G,27,16,5,5,"[56, 61, 81, 58, 30]","[71, 47, 69, 42, 21]","[46, 48, 75, 74, 18]","['PIT', 'PIT', 'VGK', 'VGK', 'VGK']"
2019-2020,Marcus Hogberg,OTT,G,54.0,40.0,65.0,16.0,22.0,60.0,66.0,51.0,47.0,24.0,26.0,7.0,61.0,Backup,24,1344.55,0.904,3.12,61.38,70,24,1994-11-25,SWE,SWE,77,222,2013,3,78,8477405,G,5,8,8,0,"[None, None, None, None, 29]","[None, None, None, None, 45]","[None, None, None, None, 2]","[None, None, None, None, 'OTT']"
2019-2020,Martin Jones,SJS,G,47.0,63.0,5.0,66.0,62.0,55.0,40.0,16.0,61.0,62.0,63.0,63.0,52.0,Tandem (1A),41,2340.4166666667,0.896,3.03,106.29,118,29,1990-01-10,CAN,CAN,76,203,-,-,-,8474889,G,17,21,2,2,"[62, 63, 65, 29, 33]","[46, 53, 26, 3, 8]","[65, 73, 91, 89, 92]","['SJS', 'SJS', 'SJS', 'SJS', 'SJS']"
2019-2020,Matt Murray,PIT,G,50.0,53.0,19.0,38.0,60.0,22.0,23.0,28.0,44.0,46.0,47.0,55.0,35.0,Tandem (1A),38,2237.5,0.899,2.87,87.96,107,25,1994-05-25,CAN,CAN,77,203,2012,3,83,8476899,G,20,11,5,1,"[85, 85, 37, 71, 11]","[65, 84, 19, 86, 9]","[66, 52, 41, 26, 77]","['PIT', 'PIT', 'PIT', 'PIT', 'PIT']"
2019-2020,Michael Hutchinson,COL,G,62.0,62.0,58.0,27.0,65.0,62.0,5.0,64.0,66.0,65.0,66.0,65.0,65.0,Backup,16,847.01666666667,0.888,3.47,39.23,49,29,1990-03-02,CAN,CAN,75,201,2008,3,77,8474636,G,5,9,1,1,"[22, 13, None, None, 8]","[10, 13, None, None, 11]","[71, 16, None, None, 24]","['WPG', 'WPG', None, None, 'COL']"
2019-2020,Mike Smith,EDM,G,53.0,61.0,9.0,41.0,64.0,58.0,9.0,8.0,51.0,56.0,57.0,56.0,46.0,Tandem (1A),39,2156.85,0.902,2.95,91.57,106,37,1982-03-22,CAN,CAN,77,220,2001,5,161,8469608,G,19,12,6,1,"[47, 69, 76, 30, 15]","[88, 77, 63, 14, 6]","[32, 40, 74, 50, 91]","['ARI', 'ARI', 'CGY', 'CGY', 'EDM']"
2019-2020,Mikko Koskinen,EDM,G,13.0,18.0,13.0,43.0,20.0,21.0,64.0,59.0,26.0,36.0,39.0,23.0,27.0,Tandem (1A),38,2096.5166666667,0.917,2.78,102.31,97,31,1988-07-18,FIN,FIN,79,202,2009,2,31,8475156,G,18,13,3,1,"[None, None, None, 42, 91]","[None, None, None, 39, 83]","[None, None, None, 42, 80]","[None, None, None, 'EDM', 'EDM']"
2019-2020,Pavel Francouz,COL,G,23.0,47.0,1.0,53.0,2.0,49.0,37.0,26.0,10.0,28.0,20.0,33.0,6.0,Tandem (1B),34,1874.4333333333,0.923,2.46,76.89,77,29,1990-06-03,CZE,CSK,72,179,-,-,-,8480925,G,21,7,4,1,"[None, None, None, None, 65]","[None, None, None, None, 30]","[None, None, None, None, 98]","[None, None, None, None, 'COL']"
2019-2020,Pekka Rinne,NSH,G,51.0,27.0,66.0,54.0,37.0,3.0,6.0,34.0,25.0,34.0,36.0,42.0,33.0,Tandem (1A),36,1987.7666666667,0.895,3.17,84.09,105,36,1982-11-03,FIN,FIN,77,217,2004,8,258,8471469,G,18,14,4,3,"[6, 32, 82, 73, 9]","[15, 40, 76, 70, 48]","[12, 18, 38, 32, 0]","['NSH', 'NSH', 'NSH', 'NSH', 'NSH']"
2019-2020,Petr Mrazek,CAR,G,33.0,32.0,48.0,52.0,43.0,26.0,14.0,7.0,49.0,53.0,54.0,49.0,29.0,Tandem (1A),40,2320.9833333333,0.905,2.69,102.15,104,27,1992-02-14,CZE,CZE,74,188,2010,5,141,8475852,G,21,16,2,3,"[60, 15, 22, 68, 52]","[66, 35, 37, 73, 36]","[49, 26, 19, 17, 55]","['DET', 'DET', 'PHI', 'CAR', 'CAR']"
2019-2020,Philipp Grubauer,COL,G,22.0,5.0,31.0,18.0,16.0,10.0,58.0,31.0,23.0,18.0,19.0,17.0,19.0,Tandem (1A),36,2057.1,0.916,2.63,87.81,90,27,1991-11-25,DEU,DEU,73,188,2010,4,112,8475831,G,18,12,4,2,"[74, 90, 94, 59, 59]","[53, 81, 97, 61, 86]","[91, 68, 79, 76, 38]","['WSH', 'WSH', 'WSH', 'COL', 'COL']"
2019-2020,Robin Lehner,VGK,G,4.0,6.0,6.0,4.0,10.0,34.0,44.0,63.0,9.0,8.0,9.0,14.0,13.0,Tandem (1A),36,2056.9,0.92,2.89,101.81,99,28,1991-07-24,SWE,SWE,76,250,2009,2,46,8475215,G,19,10,5,1,"[49, 55, 25, 95, 89]","[31, 39, 22, 94, 79]","[82, 77, 50, 92, 89]","['BUF', 'BUF', 'BUF', 'NYI', 'VGK']"
2019-2020,Ryan Miller,ANA,G,11.0,3.0,41.0,49.0,1.0,16.0,47.0,52.0,27.0,42.0,41.0,54.0,42.0,Backup,23,1218.2333333333,0.906,3.15,61.86,64,39,1980-07-17,USA,USA,75,170,1999,5,138,8468011,G,9,6,4,0,"[68, 45, 99, 85, 68]","[79, 63, 96, 83, 89]","[29, 8, 54, 33, 42]","['VAN', 'VAN', 'ANA', 'ANA', 'ANA']"
2019-2020,Samuel Montembeault,FLA,G,66.0,66.0,64.0,63.0,66.0,9.0,13.0,22.0,63.0,64.0,65.0,45.0,63.0,Backup,14,700.75,0.89,3.34,27.32,39,22,1996-10-30,CAN,CAN,75,214,2015,3,77,8478470,G,5,5,1,0,"[None, None, None, None, 5]","[None, None, None, None, 2]","[None, None, None, None, 3]","[None, None, None, None, 'FLA']"
2019-2020,Semyon Varlamov,NYI,G,26.0,26.0,14.0,32.0,26.0,33.0,54.0,30.0,32.0,37.0,33.0,21.0,36.0,Starter,45,2536.6833333333,0.914,2.6,110.72,110,31,1988-04-27,RUS,RUS,74,206,2006,1,23,8473575,G,19,14,6,2,"[51, 8, 69, 38, 71]","[56, 3, 79, 44, 73]","[40, 10, 81, 48, 71]","['COL', 'COL', 'COL', 'COL', 'NYI']"
2019-2020,Sergei Bobrovsky,FLA,G,40.0,42.0,28.0,61.0,49.0,18.0,60.0,45.0,55.0,44.0,45.0,59.0,38.0,Starter,50,2785.9833333333,0.9,3.25,134.9,151,30,1988-09-20,RUS,RUS,74,182,-,-,-,8475683,G,23,19,6,1,"[24, 98, 78, 55, 35]","[19, 97, 94, 47, 24]","[41, 92, 21, 45, 67]","['CBJ', 'CBJ', 'CBJ', 'CBJ', 'FLA']"
