Season,Player,Team,Position,ovr_pct,evs_pct,pkl_pct,ldg_pct,mdg_pct,hdg_pct,rbd_pct,tmd_pct,gre_pct,qal_pct,bad_pct,awf_pct,wrk_pct,ovr_rank,evs_rank,pkl_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,wrk_rank,all_players,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Player ID,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,W,L,OT/SO,Shutouts,Age,ovr_history,evs_history,pkl_history,team_history
2013-2014,Brian Elliott,STL,G,70.1,62.7,70.1,14.9,89.6,50.7,94.0,94.0,73.1,82.1,62.7,59.7,41.8,21,26,21,58,8,34,5,5,18,11,24,27,40,67,Backup,31.0,1624.3166666666666,0.922173274596182,1.9577463343559856,57.01801539983438,53.0,8470880,G,74.0,221.0,1985-04-09,CAN,2003.0,9.0,291.0,L,18,6,2,4,28,"[18, 1, 94, 40, 62]","[3, 1, 91, 52, 53]","[86, 29, 87, 19, 76]","['OTT', 'COL', 'STL', 'STL', 'STL']"
2013-2014,Cam Talbot,NYR,G,95.5,88.1,97.0,98.5,88.1,97.0,88.1,56.7,98.5,100.0,98.5,99.3,16.4,4,9,3,2,9,3,9,30,2,1,2,1,57,67,Backup,21.0,1210.6666666666667,0.9410714285714286,1.635462555066079,47.9093615402136,33.0,8475660,G,75.0,202.0,1987-07-05,CAN,,,,L,12,6,1,3,26,"[None, None, None, None, 91]","[None, None, None, None, 83]","[None, None, None, None, 92]","[None, None, None, None, 'NYR']"
2013-2014,Cam Ward,CAR,G,49.3,56.7,35.8,28.4,29.9,79.1,7.5,10.4,56.7,31.3,10.4,19.4,52.2,35,30,44,49,48,15,63,61,29,45,59,53,33,67,Backup,30.0,1645.2666666666669,0.8980582524271845,3.0633331982657324,74.984092462967,84.0,8470320,G,73.0,194.0,1984-02-29,CAN,2002.0,1.0,25.0,L,10,12,6,0,29,"[91, 98, 89, 36, 32]","[95, 98, 93, 50, 40]","[71, 96, 72, 26, 19]","['CAR', 'CAR', 'CAR', 'CAR', 'CAR']"
2013-2014,Carey Price,MTL,G,85.1,82.1,79.1,65.7,37.3,74.6,38.8,50.7,68.7,64.2,44.8,34.3,91.0,11,13,15,24,43,18,42,34,21,23,36,44,7,67,Starter,59.0,3463.4,0.926695842450766,2.3214182595137727,150.87746255197416,134.0,8471679,G,75.0,217.0,1987-08-16,CAN,2005.0,1.0,5.0,L,34,20,5,6,26,"[45, 93, 69, 22, 97]","[38, 88, 44, 45, 92]","[53, 91, 79, 7, 98]","['MTL', 'MTL', 'MTL', 'MTL', 'MTL']"
2013-2014,Carter Hutton,NSH,G,4.5,13.4,6.0,77.6,14.9,20.9,73.1,80.6,14.9,26.9,7.5,21.6,56.7,65,59,64,16,58,54,19,14,56,48,61,52,30,67,Tandem (1B),40.0,2084.5333333333333,0.9095427435387674,2.6192912882179864,77.04159938645621,91.0,8475622,G,72.0,211.0,1985-12-19,CAN,,,,L,20,11,4,1,27,"[None, None, None, None, 7]","[None, None, None, None, 19]","[None, None, None, None, 14]","[None, None, None, None, 'NSH']"
2013-2014,Chad Johnson,BOS,G,88.1,85.1,85.1,62.7,94.0,83.6,28.4,55.2,85.1,85.1,67.2,95.5,34.3,9,11,11,26,5,12,49,31,10,9,21,3,45,67,Backup,27.0,1510.6666666666667,0.9251412429378532,2.105030891438658,62.53385098177141,53.0,8473434,G,75.0,197.0,1986-06-10,CAN,2006.0,5.0,125.0,L,17,4,3,2,27,"[None, None, None, None, 83]","[None, None, None, None, 79]","[None, None, None, None, 71]","[None, None, None, None, 'BOS']"
2013-2014,Corey Crawford,CHI,G,44.8,70.1,7.5,32.8,47.8,73.1,82.1,70.1,58.2,71.6,52.2,56.7,83.6,38,21,63,46,36,19,13,21,28,18,31,29,12,67,Starter,59.0,3395.4333333333334,0.9165035877364645,2.261861519884551,124.70960721475652,128.0,8470645,G,74.0,216.0,1984-12-31,CAN,2003.0,2.0,52.0,L,32,16,10,2,28,"[None, 82, 5, 86, 53]","[None, 83, 32, 87, 68]","[None, 48, 3, 68, 22]","[None, 'CHI', 'CHI', 'CHI', 'CHI']"
2013-2014,Cory Schneider,NJD,G,92.5,61.2,100.0,44.8,50.7,68.7,79.1,83.6,86.6,74.6,55.2,80.6,58.2,6,27,1,38,34,22,15,12,9,16,29,13,29,67,Tandem (1A),45.0,2679.9,0.920505871725384,1.9702227695063248,96.4403959404787,88.0,8471239,G,75.0,214.0,1986-03-18,USA,2004.0,1.0,26.0,L,16,15,12,3,27,"[None, 85, 91, 82, 85]","[None, 79, 77, 70, 56]","[None, 93, 100, 89, 100]","[None, 'VAN', 'VAN', 'VAN', 'NJD']"
2013-2014,Craig Anderson,OTT,G,32.8,58.2,3.0,56.7,65.7,49.3,50.7,40.3,71.6,58.2,38.8,43.3,77.6,46,29,66,30,24,35,34,41,19,27,40,38,16,67,Starter,53.0,2998.766666666667,0.9107674003569304,3.0012338405789047,136.88645054176828,150.0,8467950,G,74.0,187.0,1981-05-21,USA,2001.0,3.0,73.0,L,25,16,8,4,32,"[68, 48, 63, 89, 11]","[66, 37, 67, 75, 55]","[46, 72, 41, 96, 1]","['COL', 'OTT', 'OTT', 'OTT', 'OTT']"
2013-2014,Curtis McElhinney,CBJ,G,3.0,3.0,26.9,1.5,97.0,3.0,61.2,97.0,4.5,38.8,19.4,11.2,32.8,66,66,50,67,3,66,27,3,63,40,53,58,46,67,Backup,28.0,1423.0166666666669,0.9089615931721194,2.698492638877502,51.35353730408621,64.0,8470147,G,73.0,210.0,1983-05-23,CAN,2002.0,6.0,176.0,L,10,11,1,2,30,"[23, 22, None, None, 6]","[25, 17, None, None, 9]","[43, 40, None, None, 31]","['ANA', 'OTT', None, None, 'CBJ']"
2013-2014,Dan Ellis,FLA,G,22.4,20.9,20.9,10.4,13.4,38.8,1.5,3.0,32.8,6.0,80.6,49.3,4.5,53,54,54,61,59,42,67,66,44,62,13,34,65,67,Backup,20.0,1027.3166666666666,0.8793774319066148,3.621084053926897,50.67520437271489,62.0,8468540,G,73.0,195.0,1980-06-19,CAN,2000.0,2.0,60.0,L,5,11,0,1,33,"[28, 16, None, 57, 9]","[55, 6, None, 80, 7]","[8, 38, None, 12, 43]","['NSH', 'ANA', None, 'CAR', 'FLA']"
2013-2014,Darcy Kuemper,MIN,G,23.9,38.8,1.5,88.1,9.0,76.1,31.3,95.5,41.8,37.3,17.9,23.9,31.3,52,42,67,9,62,17,47,4,38,41,54,51,47,67,Backup,26.0,1480.2333333333331,0.9145299145299144,2.432049001283582,52.14538671860777,60.0,8475311,G,77.0,215.0,1990-05-05,CAN,2009.0,6.0,161.0,L,12,8,4,2,23,"[None, None, None, None, 29]","[None, None, None, None, 35]","[None, None, None, None, 10]","[None, None, None, None, 'MIN']"
2013-2014,Devan Dubnyk,NSH,G,52.2,35.8,82.1,26.9,32.8,34.3,11.9,9.0,29.9,7.5,94.0,94.0,55.2,33,44,13,50,46,45,60,62,46,61,5,4,31,67,Tandem (1B),34.0,1801.6166666666663,0.891005291005291,3.430252458440105,84.07373610765683,103.0,8471227,G,78.0,224.0,1986-05-04,CAN,2004.0,1.0,14.0,L,11,18,3,2,27,"[11, 77, 79, 94, 17]","[30, 77, 87, 89, 6]","[16, 74, 8, 100, 80]","['EDM', 'EDM', 'EDM', 'EDM', 'NSH']"
2013-2014,Eddie Lack,VAN,G,64.2,64.2,46.3,53.7,34.3,77.6,86.6,64.2,46.3,68.7,49.3,40.3,68.7,25,25,37,32,45,16,10,25,35,20,33,40,22,67,Tandem (1A),41.0,2318.9333333333334,0.9115969581749048,2.406278748850046,91.71464719287384,93.0,8475663,G,76.0,187.0,1988-01-05,SWE,,,,L,16,17,5,4,25,"[None, None, None, None, 58]","[None, None, None, None, 64]","[None, None, None, None, 44]","[None, None, None, None, 'VAN']"
2013-2014,Evgeni Nabokov,NYI,G,79.1,89.6,29.9,67.2,55.2,82.1,10.4,6.0,61.2,70.1,50.7,71.6,67.2,15,8,48,23,31,13,61,64,26,19,32,19,23,67,Tandem (1B),40.0,2234.233333333333,0.9050691244239631,2.7660495024393157,107.0487366116037,103.0,8460705,G,72.0,202.0,1975-07-25,KAZ,1994.0,9.0,219.0,L,15,14,8,4,38,"[98, None, 87, 87, 56]","[93, None, 89, 93, 80]","[95, None, 81, 50, 9]","['SJS', None, 'NYI', 'NYI', 'NYI']"
2013-2014,Frederik Andersen,ANA,G,83.6,76.1,89.6,76.1,100.0,16.4,22.4,22.4,97.0,29.9,9.0,97.0,37.3,12,17,8,17,1,57,53,53,3,46,60,2,43,67,Backup,28.0,1569.4,0.9233716475095786,2.29387026889257,67.28707806022379,60.0,8475883,G,76.0,229.0,1989-10-02,DNK,2012.0,3.0,87.0,L,20,5,0,0,23,"[None, None, None, None, 80]","[None, None, None, None, 73]","[None, None, None, None, 82]","[None, None, None, None, 'ANA']"
2013-2014,Henrik Lundqvist,NYR,G,100.0,100.0,76.1,92.5,71.6,98.5,34.3,19.4,100.0,97.0,85.1,86.6,98.5,1,1,17,6,20,2,45,55,1,3,11,9,2,67,Starter,63.0,3630.3,0.9204419889502764,2.3799685976365588,167.469364004802,144.0,8468685,G,73.0,182.0,1982-03-02,SWE,2000.0,7.0,205.0,L,33,24,5,5,31,"[100, 95, 100, 100, 98]","[100, 96, 100, 100, 100]","[93, 53, 98, 21, 70]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2013-2014,Ilya Bryzgalov,MIN,G,50.7,59.7,31.3,83.6,26.9,61.2,53.7,38.8,53.7,11.9,79.1,35.8,64.2,34,28,47,12,50,27,32,42,31,58,14,43,25,67,Backup,32.0,1814.0166666666669,0.9090909090909092,2.6791374573919757,78.41361054669001,81.0,8468524,G,75.0,213.0,1980-06-22,RUS,2000.0,2.0,44.0,L,12,9,8,4,33,"[95, 91, 67, 19, 64]","[88, 95, 79, 28, 70]","[96, 30, 25, 31, 38]","['PHX', 'PHX', 'PHI', 'PHI', 'MIN']"
2013-2014,Jacob Markstrom,VAN,G,9.0,14.9,25.4,6.0,10.4,9.0,9.0,35.8,7.5,4.5,74.6,58.2,3.0,62,58,51,64,61,62,62,44,61,63,17,28,66,67,Backup,16.0,813.35,0.8725761772853186,3.3933730866170775,33.80436204311249,46.0,8474593,G,78.0,207.0,1990-01-31,SWE,2008.0,2.0,31.0,L,2,8,3,0,23,"[None, None, None, 5, 16]","[None, None, None, 15, 13]","[None, None, None, 1, 50]","[None, None, None, 'FLA', 'VAN']"
2013-2014,James Reimer,TOR,G,26.9,43.3,9.0,41.8,4.5,92.5,6.0,7.5,83.6,34.3,14.9,6.0,50.7,50,39,62,40,65,6,64,63,11,43,56,61,34,67,Tandem (1B),36.0,1784.65,0.9105022831050228,3.294763679152775,90.75120819432216,98.0,8473503,G,74.0,200.0,1988-03-15,CAN,2006.0,4.0,99.0,L,12,16,1,1,25,"[None, 66, 8, 75, 31]","[None, 74, 31, 49, 46]","[None, 35, 5, 94, 7]","[None, 'TOR', 'TOR', 'TOR', 'TOR']"
2013-2014,Jaroslav Halak,WSH,G,68.7,55.2,80.6,19.4,52.2,55.2,80.6,91.0,9.0,19.4,95.5,79.1,62.7,22,31,14,55,33,31,14,7,60,53,4,14,26,67,Starter,52.0,2933.9,0.9205776173285198,2.2495654248611063,114.4075251351147,110.0,8470860,G,71.0,189.0,1985-05-13,SVK,2003.0,9.0,271.0,L,29,13,7,5,28,"[90, 74, 93, 35, 70]","[91, 67, 94, 36, 38]","[76, 79, 56, 49, 95]","['MTL', 'STL', 'STL', 'STL', 'WSH']"
2013-2014,Jean-Sebastien Giguere,COL,G,40.3,46.3,49.3,86.6,19.4,62.7,71.6,34.3,76.1,76.1,56.7,28.4,19.4,41,37,35,10,55,26,20,45,16,15,28,48,55,67,Backup,22.0,1211.85,0.912828947368421,2.6240871394974628,54.16620623992319,53.0,8462044,G,73.0,202.0,1977-05-16,CAN,1995.0,1.0,13.0,L,11,6,1,2,36,"[78, 27, 70, 26, 52]","[58, 33, 63, 33, 59]","[80, 27, 65, 36, 46]","['TOR', 'TOR', 'COL', 'COL', 'COL']"
2013-2014,Jeff Zatkoff,PIT,G,31.3,19.4,86.6,9.0,80.6,10.4,85.1,77.6,91.0,50.7,31.3,50.7,14.9,47,55,10,62,14,61,11,16,6,32,45,33,58,67,Backup,20.0,1170.8833333333334,0.9123711340206184,2.6134115269098825,48.06242262024323,51.0,8473553,G,74.0,186.0,1987-06-09,USA,2006.0,3.0,74.0,L,12,6,2,1,26,"[None, None, None, None, 35]","[None, None, None, None, 25]","[None, None, None, None, 74]","[None, None, None, None, 'PIT']"
2013-2014,Jhonas Enroth,BUF,G,61.2,53.7,56.7,16.4,86.6,58.2,74.6,26.9,52.2,77.6,58.2,14.9,20.9,27,32,30,57,10,29,18,50,32,14,27,56,54,67,Backup,28.0,1574.2333333333331,0.9112709832134293,2.8204205221589347,72.07363557242714,74.0,8473523,G,70.0,175.0,1988-06-25,SWE,2006.0,2.0,46.0,L,4,17,5,0,25,"[None, 45, 53, 52, 71]","[None, 45, 60, 47, 67]","[None, 50, 46, 57, 56]","[None, 'BUF', 'BUF', 'BUF', 'BUF']"
2013-2014,Jimmy Howard,DET,G,74.6,80.6,40.3,82.1,59.7,56.7,89.6,67.2,55.2,44.8,23.9,29.9,86.6,18,14,41,13,28,30,8,23,30,36,50,47,10,67,Starter,51.0,3003.8,0.9118621603711068,2.6566349290898192,121.82227032001674,133.0,8470657,G,73.0,218.0,1984-03-26,USA,2003.0,2.0,64.0,L,21,19,11,2,29,"[81, 19, 82, 98, 41]","[68, 12, 82, 98, 58]","[90, 46, 63, 54, 23]","['DET', 'DET', 'DET', 'DET', 'DET']"
2013-2014,Jonas Gustavsson,DET,G,10.4,9.0,47.8,38.8,17.9,13.4,40.3,82.1,16.4,65.7,46.3,7.5,44.8,61,62,36,42,56,59,41,13,55,22,35,60,38,67,Backup,27.0,1550.6666666666667,0.9074829931972788,2.631126397248495,59.27569484366396,68.0,8475361,G,76.0,201.0,1984-10-24,SWE,,,,L,16,5,4,0,28,"[43, 17, 12, None, 14]","[31, 25, 10, None, 14]","[68, 4, 48, None, 47]","['TOR', 'TOR', 'TOR', None, 'DET']"
2013-2014,Jonas Hiller,ANA,G,65.7,77.6,17.9,34.3,83.6,65.7,46.3,61.2,47.8,49.3,29.9,55.2,80.6,24,16,56,45,12,24,37,27,34,33,46,30,14,67,Starter,50.0,2908.8,0.911045218680504,2.4752475247524752,121.47118266081776,120.0,8473972,G,74.0,191.0,1982-02-12,CHE,,,,R,29,13,7,5,31,"[93, 88, 43, 71, 76]","[98, 87, 43, 91, 74]","[56, 83, 53, 3, 28]","['ANA', 'ANA', 'ANA', 'ANA', 'ANA']"
2013-2014,Jonathan Bernier,TOR,G,77.6,74.6,65.7,97.0,56.7,53.7,29.9,49.3,70.1,80.6,61.2,73.1,53.7,16,18,24,3,30,32,48,35,20,12,25,18,32,67,Starter,55.0,3078.5666666666666,0.922775601566872,2.6895633249239363,142.6818581649432,138.0,8473541,G,72.0,185.0,1988-08-07,CAN,2006.0,1.0,11.0,L,26,19,7,1,25,"[None, 43, 37, 61, 89]","[None, 40, 22, 68, 86]","[None, 71, 69, 38, 67]","[None, 'LAK', 'LAK', 'LAK', 'TOR']"
2013-2014,Jonathan Quick,LAK,G,73.1,79.1,53.7,64.2,23.9,71.6,64.2,86.6,67.2,67.2,47.8,47.8,85.1,19,15,32,25,52,20,25,10,22,21,34,35,11,67,Tandem (1A),49.0,2894.75,0.9142381348875936,2.13489938682097,107.21806290248288,103.0,8471734,G,73.0,219.0,1986-01-21,USA,2005.0,3.0,72.0,L,27,17,4,6,27,"[65, 79, 96, 15, 74]","[63, 66, 96, 8, 85]","[40, 95, 86, 84, 16]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2013-2014,Josh Harding,MIN,G,62.7,52.2,67.2,79.1,11.9,88.1,92.5,98.5,44.8,92.5,76.1,89.6,43.3,26,33,23,15,60,9,6,2,36,5,16,7,39,67,Backup,29.0,1657.7166666666667,0.9328671328671329,1.737329459195882,53.668418804709226,48.0,8470216,G,74.0,194.0,1984-06-18,CAN,2002.0,2.0,38.0,R,18,7,3,3,29,"[13, None, 39, None, 61]","[35, None, 25, None, 61]","[10, None, 67, None, 59]","['MIN', None, 'MIN', None, 'MIN']"
2013-2014,Justin Peters,CAR,G,53.7,50.7,52.2,95.5,92.5,23.9,3.0,1.5,62.7,41.8,26.9,41.8,13.4,32,34,33,4,6,52,66,67,25,38,48,39,59,67,Backup,21.0,1225.3333333333333,0.9185303514376996,2.49727965179543,55.56127340052654,51.0,8471251,G,73.0,210.0,1986-08-30,CAN,2004.0,2.0,38.0,L,7,9,4,1,27,"[None, None, None, 47, 59]","[None, None, None, 42, 62]","[None, None, None, 45, 53]","[None, None, None, 'CAR', 'CAR']"
2013-2014,Kari Lehtonen,DAL,G,98.5,95.5,88.1,58.2,35.8,89.6,16.4,31.3,88.1,86.6,68.7,62.7,95.5,2,4,9,29,44,8,57,47,8,8,20,25,4,67,Starter,65.0,3803.7833333333338,0.9189618644067796,2.4133866720414328,171.5835972506815,153.0,8470140,G,76.0,209.0,1983-11-16,FIN,2002.0,1.0,2.0,L,33,20,10,5,29,"[None, 54, 62, 91, 95]","[None, 75, 39, 86, 97]","[None, 9, 75, 82, 73]","[None, 'DAL', 'DAL', 'DAL', 'DAL']"
2013-2014,Karri Ramo,CGY,G,28.4,40.3,19.4,11.9,76.1,35.8,25.4,16.4,50.0,62.7,43.3,32.8,59.7,49,41,55,60,17,44,51,57,33,24,37,45,28,67,Tandem (1B),40.0,2194.2833333333333,0.9119718309859156,2.7343779669899813,97.98863496703832,100.0,8471403,G,74.0,206.0,1986-07-01,FIN,2004.0,6.0,191.0,L,17,15,4,2,27,"[None, None, None, None, 34]","[None, None, None, None, 37]","[None, None, None, None, 25]","[None, None, None, None, 'CGY']"
2013-2014,Kevin Poulin,NYI,G,7.5,6.0,37.3,59.7,49.3,1.5,68.7,11.9,11.9,22.4,4.5,11.2,40.3,63,64,43,28,35,67,22,60,58,51,63,58,41,67,Backup,28.0,1625.3166666666666,0.8914634146341464,3.285513592223054,74.41548244214908,89.0,8474690,G,74.0,206.0,1990-04-12,CAN,2008.0,5.0,126.0,L,11,16,1,0,23,"[None, None, None, None, 13]","[None, None, None, None, 10]","[None, None, None, None, 35]","[None, None, None, None, 'NYI']"
2013-2014,Marc-Andre Fleury,PIT,G,46.3,26.9,95.5,55.2,43.3,29.9,58.2,71.6,74.6,46.3,25.4,37.3,97.0,37,50,4,31,39,48,29,20,17,35,49,42,3,67,Starter,64.0,3787.883333333333,0.915445321307779,2.3759971488034215,140.75417248206773,150.0,8470594,G,74.0,185.0,1984-11-28,CAN,2003.0,1.0,1.0,L,39,18,5,5,28,"[61, 72, 60, 66, 38]","[23, 72, 19, 71, 20]","[91, 56, 96, 40, 97]","['PIT', 'PIT', 'PIT', 'PIT', 'PIT']"
2013-2014,Marek Mazanec,NSH,G,14.9,10.4,61.2,3.0,25.4,19.4,95.5,76.1,17.9,88.8,70.9,1.5,25.4,58,61,27,66,51,55,4,17,54,7,19,64,51,67,Backup,25.0,1349.5333333333333,0.9015384615384616,2.8454280492021935,57.18019131237993,64.0,8476992,G,76.0,202.0,1991-07-18,CZE,2012.0,6.0,179.0,R,8,10,4,2,22,"[None, None, None, None, 19]","[None, None, None, None, 16]","[None, None, None, None, 61]","[None, None, None, None, 'NSH']"
2013-2014,Martin Brodeur,NJD,G,11.9,4.5,58.2,35.8,3.0,40.3,98.5,100.0,23.9,16.4,1.5,17.9,65.7,60,65,29,44,66,41,2,1,50,55,65,54,24,67,Tandem (1B),39.0,2296.8166666666666,0.9011328527291452,2.507818792676821,77.86691332318249,96.0,8455710,G,74.0,220.0,1972-05-06,CAN,1990.0,1.0,20.0,L,19,14,6,3,41,"[76, 8, 20, 29, 4]","[73, 9, 5, 56, 3]","[58, 25, 91, 5, 64]","['NJD', 'NJD', 'NJD', 'NJD', 'NJD']"
2013-2014,Martin Jones,LAK,G,80.6,83.6,50.7,13.4,95.5,100.0,59.7,85.1,93.3,94.8,82.8,76.1,9.0,14,12,34,59,4,1,28,11,5,4,12,16,62,67,Backup,19.0,1094.6666666666667,0.934,1.8087697929354445,43.11818329277953,33.0,8474889,G,77.0,203.0,1990-01-10,CAN,,,,L,12,6,0,4,23,"[None, None, None, None, 79]","[None, None, None, None, 77]","[None, None, None, None, 52]","[None, None, None, None, 'LAK']"
2013-2014,Michal Neuvirth,BUF,G,34.3,23.9,71.6,37.3,7.5,59.7,77.6,53.7,34.3,9.0,92.5,91.0,6.0,45,52,20,43,63,28,16,32,43,60,6,6,64,67,Backup,15.0,884.0,0.920696324951644,2.7828054298642537,44.04425342000124,41.0,8473607,G,73.0,209.0,1988-03-23,CZE,2006.0,2.0,34.0,L,4,8,2,0,25,"[46, 41, 13, 38, 49]","[43, 41, 17, 29, 34]","[45, 51, 36, 77, 83]","['WSH', 'WSH', 'WSH', 'WSH', 'BUF']"
2013-2014,Mike Smith,PHX,G,89.6,98.5,16.4,23.9,79.1,85.1,17.9,23.9,89.6,53.7,34.3,31.3,92.5,8,2,57,52,15,11,56,52,7,30,43,46,6,67,Starter,62.0,3609.766666666667,0.9150187065740246,2.6428300998217797,160.014004281407,159.0,8469608,G,77.0,220.0,1982-03-22,CAN,2001.0,5.0,161.0,L,27,21,10,3,31,"[15, 21, 98, 64, 77]","[18, 8, 98, 82, 88]","[31, 90, 89, 15, 6]","['TBL', 'TBL', 'PHX', 'PHX', 'PHX']"
