Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2022-2023,Darcy Kuemper,WSH,G,20.0,29.0,14.0,26.0,18.0,33.0,50.0,36.0,31.0,30.0,30.0,28.0,25.0,Starter,57,0.908,2.87,163.61,154,32,1990-05-05,CAN,CAN,77,215,2009,6,10,161,8475311,https://assets.nhle.com/mugs/nhl/20222023/WSH/8475311.png
2022-2023,David Rittich,WPG,G,59.0,52.0,53.0,69.0,30.0,45.0,4.0,10.0,67.0,50.0,49.0,45.0,55.0,Backup,21,0.901,2.67,45.75,50,30,1992-08-19,CZE,CZE,76,205,-,-,-,-,8479496,https://assets.nhle.com/mugs/nhl/20222023/WPG/8479496.png
2022-2023,Elvis Merzlikins,CBJ,G,71.0,72.0,42.0,60.0,71.0,66.0,46.0,55.0,69.0,71.0,70.0,69.0,69.0,Backup,30,0.876,4.23,80.95,110,28,1994-04-13,LVA,LVA,75,183,2014,3,16,76,8478007,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8478007.png
2022-2023,Eric Comrie,BUF,G,42.0,38.0,69.0,57.0,42.0,38.0,22.0,61.0,40.0,57.0,56.0,50.0,43.0,Backup,19,0.886,3.67,58.25,68,27,1995-07-06,CAN,CAN,73,183,2013,2,29,59,8477480,https://assets.nhle.com/mugs/nhl/20222023/BUF/8477480.png
2022-2023,Felix Sandstrom,PHI,G,73.0,71.0,67.0,27.0,75.0,74.0,71.0,34.0,71.0,74.0,73.0,71.0,74.0,Backup,20,0.880,3.72,54.83,69,25,1997-01-12,SWE,SWE,74,191,2015,3,9,70,8478433,https://assets.nhle.com/mugs/nhl/20222023/PHI/8478433.png
2022-2023,Filip Gustavsson,MIN,G,8.0,6.0,21.0,2.0,16.0,36.0,33.0,30.0,4.0,17.0,16.0,23.0,15.0,1B,39,0.931,2.1,102.82,81,24,1998-06-07,SWE,SWE,74,184,2016,2,25,55,8479406,https://assets.nhle.com/mugs/nhl/20222023/MIN/8479406.png
2022-2023,Frederik Andersen,CAR,G,29.0,45.0,9.0,25.0,36.0,34.0,7.0,3.0,33.0,40.0,39.0,51.0,21.0,1B,34,0.903,2.48,80.78,82,32,1989-10-02,DNK,DNK,76,238,2012,3,26,87,8475883,https://assets.nhle.com/mugs/nhl/20222023/CAR/8475883.png
2022-2023,Igor Shesterkin,NYR,G,3.0,2.0,24.0,13.0,14.0,2.0,25.0,38.0,9.0,10.0,9.0,5.0,3.0,Starter,58,0.916,2.48,167.43,144,26,1995-12-30,RUS,RUS,73,189,2014,4,28,118,8478048,https://assets.nhle.com/mugs/nhl/20222023/NYR/8478048.png
2022-2023,Ilya Samsonov,TOR,G,26.0,27.0,15.0,24.0,59.0,9.0,42.0,13.0,27.0,26.0,25.0,31.0,12.0,1A,42,0.919,2.33,112.75,96,25,1997-02-22,RUS,RUS,75,214,2015,1,22,22,8478492,https://assets.nhle.com/mugs/nhl/20222023/TOR/8478492.png
2022-2023,Ilya Sorokin,NYI,G,2.0,3.0,4.0,4.0,7.0,5.0,66.0,39.0,3.0,4.0,3.0,3.0,5.0,Starter,62,0.924,2.34,185.35,140,27,1995-08-04,RUS,RUS,75,195,2014,3,18,78,8478009,https://assets.nhle.com/mugs/nhl/20222023/NYI/8478009.png
2022-2023,Jack Campbell,EDM,G,56.0,61.0,39.0,39.0,47.0,62.0,5.0,20.0,62.0,47.0,46.0,43.0,29.0,1B,36,0.888,3.41,93.33,115,30,1992-01-09,USA,USA,75,207,2010,1,11,11,8475789,https://assets.nhle.com/mugs/nhl/20222023/EDM/8475789.png
2022-2023,Jacob Markstrom,CGY,G,37.0,50.0,11.0,28.0,55.0,30.0,9.0,11.0,58.0,52.0,51.0,44.0,37.0,Starter,59,0.892,2.92,155.78,166,32,1990-01-31,SWE,SWE,78,207,2008,2,1,31,8474593,https://assets.nhle.com/mugs/nhl/20222023/CGY/8474593.png
2022-2023,Jake Allen,MTL,G,52.0,55.0,48.0,18.0,31.0,69.0,51.0,63.0,60.0,38.0,37.0,36.0,62.0,1A,42,0.891,3.55,133.08,145,32,1990-08-07,CAN,CAN,74,195,2008,2,4,34,8474596,https://assets.nhle.com/mugs/nhl/20222023/MTL/8474596.png
2022-2023,Jake Oettinger,DAL,G,13.0,18.0,28.0,23.0,34.0,13.0,8.0,14.0,10.0,6.0,4.0,8.0,7.0,Starter,62,0.919,2.37,163.07,144,23,1998-12-18,USA,USA,77,220,2017,1,26,26,8479979,https://assets.nhle.com/mugs/nhl/20222023/DAL/8479979.png
2022-2023,James Reimer,SJS,G,50.0,66.0,3.0,3.0,65.0,47.0,48.0,49.0,45.0,36.0,35.0,41.0,56.0,1A,43,0.890,3.48,131.53,147,34,1988-03-15,CAN,CAN,75,205,2006,4,6,99,8473503,https://assets.nhle.com/mugs/nhl/20222023/SJS/8473503.png
2022-2023,Jaroslav Halak,NYR,G,34.0,46.0,16.0,50.0,39.0,32.0,18.0,21.0,61.0,39.0,38.0,30.0,44.0,Backup,25,0.903,2.72,68.44,66,37,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860,https://assets.nhle.com/mugs/nhl/20222023/NYR/8470860.png
2022-2023,Jeremy Swayman,BOS,G,6.0,9.0,8.0,6.0,40.0,6.0,13.0,7.0,5.0,9.0,8.0,18.0,4.0,1B,37,0.920,2.27,93.81,76,23,1998-11-24,USA,USA,74,194,2017,4,18,111,8480280,https://assets.nhle.com/mugs/nhl/20222023/BOS/8480280.png
2022-2023,John Gibson,ANA,G,38.0,35.0,50.0,43.0,43.0,35.0,69.0,74.0,41.0,58.0,57.0,46.0,61.0,Starter,53,0.899,3.99,192.42,200,29,1993-07-14,USA,USA,74,210,2011,2,9,39,8476434,https://assets.nhle.com/mugs/nhl/20222023/ANA/8476434.png
2022-2023,Jonathan Quick,VGK,G,64.0,57.0,62.0,62.0,57.0,49.0,56.0,19.0,56.0,64.0,63.0,63.0,54.0,1B,41,0.882,3.41,104.81,127,36,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734,https://assets.nhle.com/mugs/nhl/20222023/VGK/8471734.png
2022-2023,Jonathan Quick,LAK,G,64.0,57.0,62.0,62.0,57.0,49.0,56.0,19.0,56.0,64.0,63.0,63.0,54.0,1B,41,0.882,3.41,104.81,127,36,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734,https://assets.nhle.com/mugs/nhl/20222023/LAK/8471734.png
2022-2023,Joonas Korpisalo,CBJ,G,41.0,28.0,44.0,35.0,60.0,26.0,57.0,64.0,24.0,35.0,34.0,34.0,48.0,1B,39,0.914,2.85,114.16,104,28,1994-04-28,FIN,FIN,75,193,2012,3,1,62,8476914,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8476914.png
2022-2023,Joonas Korpisalo,LAK,G,41.0,28.0,44.0,35.0,60.0,26.0,57.0,64.0,24.0,35.0,34.0,34.0,48.0,1B,39,0.914,2.85,114.16,104,28,1994-04-28,FIN,FIN,75,193,2012,3,1,62,8476914,https://assets.nhle.com/mugs/nhl/20222023/LAK/8476914.png
2022-2023,Jordan Binnington,STL,G,48.0,47.0,56.0,54.0,35.0,56.0,54.0,48.0,53.0,51.0,50.0,58.0,46.0,Starter,61,0.894,3.3,184.93,194,29,1993-07-11,CAN,CAN,74,172,2011,3,27,88,8476412,https://assets.nhle.com/mugs/nhl/20222023/STL/8476412.png
2022-2023,Juuse Saros,NSH,G,4.0,4.0,6.0,12.0,8.0,8.0,32.0,58.0,11.0,13.0,12.0,6.0,8.0,Starter,64,0.919,2.69,206.55,171,27,1995-04-19,FIN,FIN,71,180,2013,4,8,99,8477424,https://assets.nhle.com/mugs/nhl/20222023/NSH/8477424.png
2022-2023,Kaapo Kahkonen,SJS,G,67.0,67.0,35.0,19.0,72.0,63.0,43.0,45.0,48.0,46.0,45.0,60.0,67.0,1B,37,0.883,3.85,109.21,135,26,1996-08-16,FIN,FIN,74,217,2014,4,19,109,8478039,https://assets.nhle.com/mugs/nhl/20222023/SJS/8478039.png
2022-2023,Karel Vejmelka,ARI,G,45.0,40.0,59.0,36.0,45.0,48.0,59.0,69.0,57.0,59.0,58.0,61.0,60.0,Starter,50,0.899,3.43,167.81,168,26,1996-05-25,CZE,CZE,76,224,2015,5,24,145,8478872,https://assets.nhle.com/mugs/nhl/20222023/ARI/8478872.png
2022-2023,Kevin Lankinen,NSH,G,30.0,32.0,52.0,10.0,66.0,14.0,49.0,50.0,28.0,20.0,19.0,33.0,41.0,Backup,19,0.916,2.75,56.69,49,27,1995-04-28,FIN,FIN,74,190,-,-,-,-,8480947,https://assets.nhle.com/mugs/nhl/20222023/NSH/8480947.png
2022-2023,Linus Ullmark,BOS,G,1.0,1.0,12.0,11.0,5.0,7.0,14.0,18.0,2.0,2.0,1.0,1.0,2.0,1A,49,0.938,1.89,126.68,91,29,1993-07-31,SWE,SWE,77,212,2012,6,12,163,8476999,https://assets.nhle.com/mugs/nhl/20222023/BOS/8476999.png
2022-2023,Logan Thompson,VGK,G,15.0,19.0,40.0,44.0,27.0,10.0,37.0,29.0,32.0,31.0,31.0,22.0,16.0,1B,37,0.915,2.65,96.76,96,25,1997-02-25,CAN,CAN,76,205,-,-,-,-,8480313,https://assets.nhle.com/mugs/nhl/20222023/VGK/8480313.png
2022-2023,Lukas Dostal,ANA,G,46.0,13.0,73.0,74.0,3.0,57.0,52.0,75.0,25.0,5.0,5.0,2.0,68.0,Backup,19,0.901,3.78,66.31,67,22,2000-06-22,CZE,CZE,74,174,2018,3,23,85,8480843,https://assets.nhle.com/mugs/nhl/20222023/ANA/8480843.png
2022-2023,Mackenzie Blackwood,NJD,G,66.0,68.0,47.0,64.0,49.0,61.0,47.0,25.0,68.0,65.0,64.0,56.0,57.0,Backup,22,0.893,3.2,57.05,60,25,1996-12-09,CAN,CAN,76,225,2015,2,12,42,8478406,https://assets.nhle.com/mugs/nhl/20222023/NJD/8478406.png
2022-2023,Mads Sogaard,OTT,G,65.0,70.0,5.0,48.0,73.0,44.0,17.0,37.0,25.0,62.0,61.0,68.0,63.0,Backup,19,0.889,3.32,50.34,58,21,2000-12-13,DNK,DNK,79,196,-,-,-,-,8481544,https://assets.nhle.com/mugs/nhl/20222023/OTT/8481544.png
2022-2023,Magnus Hellberg,DET,G,61.0,69.0,13.0,56.0,63.0,43.0,34.0,33.0,66.0,69.0,69.0,65.0,70.0,Backup,18,0.888,3.2,44.72,50,31,1991-04-04,SWE,SWE,78,220,2011,2,8,38,8476433,https://assets.nhle.com/mugs/nhl/20222023/DET/8476433.png
2022-2023,Magnus Hellberg,OTT,G,61.0,69.0,13.0,56.0,63.0,43.0,34.0,33.0,66.0,69.0,69.0,65.0,70.0,Backup,18,0.888,3.2,44.72,50,31,1991-04-04,SWE,SWE,78,220,2011,2,8,38,8476433,https://assets.nhle.com/mugs/nhl/20222023/OTT/8476433.png
2022-2023,Marc-Andre Fleury,MIN,G,24.0,20.0,46.0,51.0,22.0,22.0,41.0,31.0,13.0,33.0,28.0,38.0,23.0,1A,46,0.908,2.85,125.35,126,37,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594,https://assets.nhle.com/mugs/nhl/20222023/MIN/8470594.png
2022-2023,Martin Jones,SEA,G,68.0,60.0,58.0,30.0,56.0,72.0,27.0,17.0,46.0,63.0,62.0,66.0,52.0,1A,48,0.886,2.99,114.92,131,32,1990-01-10,CAN,CAN,76,203,-,-,-,-,8474889,https://assets.nhle.com/mugs/nhl/20222023/SEA/8474889.png
2022-2023,Matt Murray,TOR,G,72.0,75.0,29.0,71.0,48.0,71.0,2.0,12.0,1.0,1.0,75.0,75.0,1.0,Backup,26,0.903,3.01,71.93,74,28,1994-05-25,CAN,CAN,77,203,2012,3,22,83,8483575,https://assets.nhle.com/mugs/nhl/20222023/TOR/8483575.png
2022-2023,Matt Murray,TOR,G,72.0,75.0,29.0,71.0,48.0,71.0,2.0,12.0,1.0,1.0,75.0,75.0,1.0,Backup,26,0.903,3.01,71.93,74,28,1994-05-25,CAN,CAN,77,203,2012,3,22,83,8476899,https://assets.nhle.com/mugs/nhl/20222023/TOR/8476899.png
2022-2023,Matt Murray,DAL,G,72.0,75.0,29.0,71.0,48.0,71.0,2.0,12.0,1.0,1.0,75.0,75.0,1.0,Fringe,3,0.844,3.39,7.22,10,24,1998-02-02,CAN,CAN,73,200,-,-,-,-,8483575,https://assets.nhle.com/mugs/nhl/20222023/DAL/8483575.png
2022-2023,Matt Murray,DAL,G,72.0,75.0,29.0,71.0,48.0,71.0,2.0,12.0,1.0,1.0,75.0,75.0,1.0,Fringe,3,0.844,3.39,7.22,10,24,1998-02-02,CAN,CAN,73,200,-,-,-,-,8476899,https://assets.nhle.com/mugs/nhl/20222023/DAL/8476899.png
2022-2023,Michael Hutchinson,CBJ,G,74.0,73.0,75.0,55.0,61.0,75.0,64.0,73.0,71.0,75.0,74.0,74.0,75.0,Backup,16,0.875,4.29,45.07,54,32,1990-03-02,CAN,CAN,75,201,2008,3,16,77,8474636,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8474636.png
2022-2023,Pavel Francouz,COL,G,11.0,7.0,27.0,16.0,1.0,58.0,31.0,26.0,17.0,25.0,24.0,14.0,9.0,Backup,16,0.915,2.61,42.16,42,32,1990-06-03,CZE,CSK,72,179,-,-,-,-,8480925,https://assets.nhle.com/mugs/nhl/20222023/COL/8480925.png
2022-2023,Petr Mrazek,CHI,G,57.0,63.0,49.0,45.0,50.0,59.0,68.0,57.0,64.0,55.0,52.0,39.0,59.0,1B,39,0.894,3.66,120.95,132,30,1992-02-14,CZE,CZE,74,188,2010,5,21,141,8475852,https://assets.nhle.com/mugs/nhl/20222023/CHI/8475852.png
2022-2023,Pheonix Copley,LAK,G,51.0,48.0,51.0,58.0,28.0,53.0,60.0,2.0,29.0,8.0,7.0,17.0,26.0,1B,37,0.903,2.64,95.05,92,30,1992-01-18,USA,USA,76,200,-,-,-,-,8477831,https://assets.nhle.com/mugs/nhl/20222023/LAK/8477831.png
2022-2023,Philipp Grubauer,SEA,G,62.0,58.0,41.0,37.0,64.0,52.0,38.0,4.0,59.0,48.0,47.0,49.0,49.0,1B,39,0.895,2.85,95.44,98,30,1991-11-25,DEU,DEU,73,188,2010,4,22,112,8475831,https://assets.nhle.com/mugs/nhl/20222023/SEA/8475831.png
2022-2023,Pyotr Kochetkov,CAR,G,14.0,41.0,1.0,42.0,62.0,1.0,21.0,16.0,43.0,32.0,32.0,57.0,18.0,Backup,24,0.909,2.44,64.26,57,23,1999-06-25,RUS,RUS,75,205,2019,2,5,36,8481611,https://assets.nhle.com/mugs/nhl/20222023/CAR/8481611.png
2022-2023,Sam Montembeault,MTL,G,55.0,33.0,71.0,21.0,37.0,64.0,70.0,68.0,44.0,34.0,33.0,19.0,64.0,1B,40,0.901,3.42,141.3,133,25,1996-10-30,CAN,CAN,75,214,2015,3,16,77,8478470,https://assets.nhle.com/mugs/nhl/20222023/MTL/8478470.png
2022-2023,Scott Wedgewood,DAL,G,17.0,21.0,36.0,47.0,13.0,21.0,35.0,53.0,16.0,23.0,23.0,9.0,31.0,Backup,21,0.915,2.72,55.12,51,30,1992-08-14,CAN,CAN,74,205,2010,3,24,84,8475809,https://assets.nhle.com/mugs/nhl/20222023/DAL/8475809.png
2022-2023,Semyon Varlamov,NYI,G,10.0,17.0,7.0,20.0,24.0,11.0,44.0,44.0,14.0,12.0,11.0,13.0,24.0,Backup,23,0.913,2.7,65.78,60,34,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575,https://assets.nhle.com/mugs/nhl/20222023/NYI/8473575.png
2022-2023,Sergei Bobrovsky,FLA,G,31.0,23.0,38.0,65.0,23.0,19.0,62.0,42.0,36.0,22.0,20.0,29.0,28.0,Starter,50,0.901,3.07,142.49,145,33,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683,https://assets.nhle.com/mugs/nhl/20222023/FLA/8475683.png
2022-2023,Spencer Knight,FLA,G,39.0,11.0,65.0,22.0,67.0,20.0,23.0,41.0,51.0,45.0,44.0,47.0,33.0,Backup,21,0.901,3.18,55.16,62,21,2001-04-19,USA,USA,75,192,2019,1,13,13,8481519,https://assets.nhle.com/mugs/nhl/20222023/FLA/8481519.png
2022-2023,Spencer Martin,VAN,G,75.0,74.0,74.0,73.0,74.0,68.0,63.0,43.0,72.0,73.0,72.0,73.0,73.0,Backup,29,0.871,3.99,80.86,107,27,1995-06-08,CAN,CAN,75,191,2013,3,2,63,8477484,https://assets.nhle.com/mugs/nhl/20222023/VAN/8477484.png
2022-2023,Stuart Skinner,EDM,G,16.0,16.0,33.0,31.0,21.0,18.0,26.0,35.0,26.0,29.0,29.0,26.0,22.0,Starter,50,0.913,2.75,147.79,133,23,1998-11-01,CAN,CAN,76,206,2017,3,16,78,8479973,https://assets.nhle.com/mugs/nhl/20222023/EDM/8479973.png
2022-2023,Thatcher Demko,VAN,G,28.0,8.0,63.0,33.0,32.0,39.0,29.0,52.0,50.0,49.0,48.0,25.0,35.0,Backup,32,0.901,3.16,93.48,99,26,1995-12-08,USA,USA,76,192,2014,2,6,36,8477967,https://assets.nhle.com/mugs/nhl/20222023/VAN/8477967.png
2022-2023,Thomas Greiss,STL,G,60.0,51.0,64.0,53.0,38.0,65.0,30.0,66.0,37.0,54.0,54.0,62.0,66.0,Backup,21,0.895,3.64,57.59,66,36,1986-01-29,DEU,DEU,74,219,2004,3,29,94,8471306,https://assets.nhle.com/mugs/nhl/20222023/STL/8471306.png
2022-2023,Tristan Jarry,PIT,G,18.0,24.0,20.0,9.0,11.0,46.0,15.0,32.0,18.0,16.0,15.0,11.0,19.0,1A,47,0.909,2.9,122.38,128,27,1995-04-29,CAN,CAN,74,194,2013,2,14,44,8477465,https://assets.nhle.com/mugs/nhl/20222023/PIT/8477465.png
2022-2023,Ukko-Pekka Luukkonen,BUF,G,63.0,62.0,66.0,66.0,29.0,67.0,53.0,65.0,52.0,60.0,59.0,48.0,58.0,1B,33,0.891,3.61,100.49,115,23,1999-03-09,FIN,FIN,77,217,2017,2,23,54,8480045,https://assets.nhle.com/mugs/nhl/20222023/BUF/8480045.png
2022-2023,Ville Husso,DET,G,44.0,44.0,43.0,49.0,58.0,25.0,40.0,27.0,38.0,43.0,42.0,54.0,32.0,Starter,56,0.896,3.11,149.34,167,27,1995-02-06,FIN,FIN,75,200,2014,4,4,94,8478024,https://assets.nhle.com/mugs/nhl/20222023/DET/8478024.png
2022-2023,Vitek Vanecek,NJD,G,35.0,30.0,23.0,15.0,19.0,54.0,12.0,5.0,21.0,19.0,18.0,24.0,20.0,Starter,52,0.911,2.45,127.72,119,26,1996-01-09,CZE,CZE,74,184,2014,2,9,39,8477970,https://assets.nhle.com/mugs/nhl/20222023/NJD/8477970.png
