Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2011-2012,Craig Anderson,OTT,G,29.0,35.0,25.0,6.0,29.0,45.0,44.0,53.0,26.0,24.0,24.0,43.0,23.0,Starter,63,0.914,2.83,163.87,165,30,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950,https://assets.nhle.com/mugs/nhl/20112012/OTT/8467950.png
2011-2012,Curtis Sanford,CBJ,G,43.0,36.0,51.0,38.0,2.0,54.0,7.0,15.0,38.0,3.0,3.0,9.0,47.0,1B,36,0.911,2.6,77.49,86,31,1979-10-05,CAN,CAN,71,187,-,-,-,-,8468166,https://assets.nhle.com/mugs/nhl/20112012/CBJ/8468166.png
2011-2012,Devan Dubnyk,EDM,G,21.0,11.0,48.0,33.0,40.0,9.0,53.0,57.0,41.0,40.0,40.0,42.0,39.0,1A,47,0.914,2.67,129.29,118,25,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227,https://assets.nhle.com/mugs/nhl/20112012/EDM/8471227.png
2011-2012,Dwayne Roloson,TBL,G,55.0,49.0,47.0,49.0,33.0,55.0,47.0,55.0,52.0,53.0,53.0,55.0,56.0,1B,40,0.886,3.67,99.77,128,41,1969-10-12,CAN,CAN,73,170,-,-,-,-,8460806,https://assets.nhle.com/mugs/nhl/20112012/TBL/8460806.png
2011-2012,Evgeni Nabokov,NYI,G,23.0,44.0,10.0,46.0,15.0,19.0,33.0,34.0,29.0,25.0,25.0,33.0,31.0,1A,42,0.914,2.55,105.29,101,36,1975-07-25,KAZ,RUS,72,202,1994,9,11,219,8460705,https://assets.nhle.com/mugs/nhl/20112012/NYI/8460705.png
2011-2012,Henrik Lundqvist,NYR,G,2.0,2.0,14.0,20.0,4.0,2.0,15.0,38.0,20.0,6.0,6.0,2.0,2.0,Starter,62,0.930,1.97,159.0,123,29,1982-03-02,SWE,SWE,73,182,2000,7,8,205,8468685,https://assets.nhle.com/mugs/nhl/20112012/NYR/8468685.png
2011-2012,Ilya Bryzgalov,PHI,G,33.0,30.0,41.0,17.0,28.0,41.0,37.0,16.0,13.0,34.0,34.0,38.0,16.0,Starter,59,0.909,2.48,141.25,141,31,1980-06-22,RUS,RUS,75,213,2000,2,14,44,8468524,https://assets.nhle.com/mugs/nhl/20112012/PHI/8468524.png
2011-2012,James Reimer,TOR,G,47.0,23.0,54.0,36.0,55.0,33.0,16.0,47.0,51.0,44.0,44.0,44.0,34.0,1B,34,0.900,3.1,82.66,97,23,1988-03-15,CAN,CAN,75,205,2006,4,6,99,8473503,https://assets.nhle.com/mugs/nhl/20112012/TOR/8473503.png
2011-2012,Jaroslav Halak,STL,G,6.0,5.0,19.0,42.0,3.0,8.0,23.0,14.0,5.0,13.0,13.0,20.0,7.0,1A,46,0.926,1.97,107.5,90,26,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860,https://assets.nhle.com/mugs/nhl/20112012/STL/8470860.png
2011-2012,Jason LaBarbera,PHX,G,31.0,47.0,3.0,55.0,23.0,14.0,52.0,48.0,2.0,14.0,14.0,36.0,45.0,Backup,19,0.912,2.59,42.5,43,31,1980-01-18,CAN,CAN,75,232,1998,3,8,66,8467391,https://assets.nhle.com/mugs/nhl/20112012/PHX/8467391.png
2011-2012,Jean-Sebastien Giguere,COL,G,42.0,42.0,36.0,14.0,56.0,29.0,26.0,12.0,40.0,15.0,15.0,13.0,37.0,Backup,32,0.919,2.28,71.11,69,34,1977-05-16,CAN,CAN,73,202,1995,1,13,13,8462044,https://assets.nhle.com/mugs/nhl/20112012/COL/8462044.png
2011-2012,Jhonas Enroth,BUF,G,40.0,28.0,28.0,25.0,34.0,44.0,14.0,37.0,11.0,37.0,37.0,30.0,30.0,Backup,26,0.917,2.7,61.61,63,23,1988-06-25,SWE,SWE,70,175,2006,2,16,46,8473523,https://assets.nhle.com/mugs/nhl/20112012/BUF/8473523.png
2011-2012,Jimmy Howard,DET,G,17.0,20.0,16.0,29.0,50.0,6.0,6.0,9.0,25.0,23.0,23.0,17.0,11.0,Starter,57,0.920,2.12,125.25,119,27,1984-03-26,USA,USA,73,218,2003,2,34,64,8470657,https://assets.nhle.com/mugs/nhl/20112012/DET/8470657.png
2011-2012,Joey MacDonald,DET,G,37.0,31.0,35.0,8.0,1.0,56.0,3.0,5.0,31.0,41.0,41.0,25.0,28.0,Backup,14,0.912,2.16,30.51,29,31,1980-02-07,CAN,CAN,72,197,-,-,-,-,8469732,https://assets.nhle.com/mugs/nhl/20112012/DET/8469732.png
2011-2012,Johan Hedberg,NJD,G,16.0,33.0,5.0,12.0,38.0,22.0,10.0,7.0,36.0,27.0,28.0,32.0,12.0,Backup,27,0.918,2.22,58.21,59,38,1973-05-05,SWE,SWE,72,190,1994,9,10,218,8460704,https://assets.nhle.com/mugs/nhl/20112012/NJD/8460704.png
2011-2012,Jonas Gustavsson,TOR,G,52.0,52.0,50.0,43.0,58.0,37.0,4.0,36.0,57.0,58.0,58.0,52.0,53.0,1A,42,0.902,2.92,97.52,112,26,1984-10-24,SWE,SWE,76,201,-,-,-,-,8475361,https://assets.nhle.com/mugs/nhl/20112012/TOR/8475361.png
2011-2012,Jonas Hiller,ANA,G,11.0,13.0,26.0,30.0,32.0,4.0,48.0,50.0,18.0,26.0,27.0,29.0,26.0,Starter,73,0.910,2.57,185.89,182,29,1982-02-12,CHE,CHE,74,191,-,-,-,-,8473972,https://assets.nhle.com/mugs/nhl/20112012/ANA/8473972.png
2011-2012,Jonathan Bernier,LAK,G,48.0,53.0,8.0,4.0,52.0,50.0,5.0,4.0,24.0,4.0,4.0,12.0,42.0,Backup,16,0.909,2.36,33.41,35,23,1988-08-07,CAN,CAN,72,185,2006,1,11,11,8473541,https://assets.nhle.com/mugs/nhl/20112012/LAK/8473541.png
2011-2012,Jonathan Quick,LAK,G,14.0,27.0,9.0,28.0,22.0,12.0,21.0,3.0,9.0,11.0,11.0,4.0,6.0,Starter,69,0.929,1.95,162.41,133,25,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734,https://assets.nhle.com/mugs/nhl/20112012/LAK/8471734.png
2011-2012,Jose Theodore,FLA,G,19.0,24.0,30.0,41.0,21.0,25.0,51.0,35.0,14.0,5.0,5.0,5.0,24.0,Starter,53,0.917,2.46,122.03,125,34,1976-09-13,CAN,CAN,71,172,1994,2,18,44,8460535,https://assets.nhle.com/mugs/nhl/20112012/FLA/8460535.png
2011-2012,Josh Harding,MIN,G,25.0,39.0,13.0,1.0,10.0,52.0,55.0,44.0,6.0,35.0,35.0,24.0,29.0,1B,34,0.917,2.62,80.8,81,27,1984-06-18,CAN,CAN,74,194,2002,2,8,38,8470216,https://assets.nhle.com/mugs/nhl/20112012/MIN/8470216.png
2011-2012,Kari Lehtonen,DAL,G,20.0,32.0,22.0,31.0,20.0,26.0,43.0,21.0,17.0,8.0,8.0,10.0,14.0,Starter,59,0.922,2.33,147.73,136,27,1983-11-16,FIN,FIN,76,209,2002,1,2,2,8470140,https://assets.nhle.com/mugs/nhl/20112012/DAL/8470140.png
2011-2012,Marc-Andre Fleury,PIT,G,18.0,40.0,7.0,15.0,18.0,36.0,29.0,17.0,34.0,46.0,45.0,28.0,17.0,Starter,67,0.913,2.36,155.04,153,26,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594,https://assets.nhle.com/mugs/nhl/20112012/PIT/8470594.png
2011-2012,Martin Biron,NYR,G,39.0,46.0,38.0,37.0,36.0,30.0,38.0,6.0,50.0,32.0,32.0,21.0,33.0,Backup,21,0.904,2.46,47.89,50,34,1977-08-15,CAN,CAN,74,186,1995,1,16,16,8462047,https://assets.nhle.com/mugs/nhl/20112012/NYR/8462047.png
2011-2012,Martin Brodeur,NJD,G,46.0,50.0,12.0,34.0,35.0,48.0,2.0,2.0,43.0,43.0,43.0,47.0,35.0,Starter,59,0.908,2.41,118.75,136,39,1972-05-06,CAN,CAN,74,220,1990,1,20,20,8455710,https://assets.nhle.com/mugs/nhl/20112012/NJD/8455710.png
2011-2012,Mathieu Garon,TBL,G,51.0,48.0,39.0,48.0,54.0,40.0,18.0,22.0,54.0,52.0,52.0,51.0,48.0,1A,48,0.901,2.85,100.57,118,33,1978-01-09,CAN,CAN,73,198,1996,2,18,44,8464999,https://assets.nhle.com/mugs/nhl/20112012/TBL/8464999.png
2011-2012,Michal Neuvirth,WSH,G,44.0,43.0,29.0,45.0,46.0,35.0,9.0,25.0,46.0,49.0,49.0,48.0,40.0,1B,38,0.903,2.85,77.73,95,23,1988-03-23,CZE,CZE,73,209,2006,2,4,34,8473607,https://assets.nhle.com/mugs/nhl/20112012/WSH/8473607.png
2011-2012,Miikka Kiprusoff,CGY,G,27.0,34.0,23.0,24.0,37.0,28.0,28.0,13.0,19.0,16.0,16.0,14.0,19.0,Starter,70,0.921,2.35,169.08,162,34,1976-10-26,FIN,FIN,73,185,1995,5,12,116,8462147,https://assets.nhle.com/mugs/nhl/20112012/CGY/8462147.png
2011-2012,Mike Smith,PHX,G,9.0,16.0,6.0,5.0,30.0,27.0,27.0,45.0,30.0,20.0,20.0,31.0,10.0,Starter,67,0.930,2.21,177.81,144,29,1982-03-22,CAN,CAN,77,220,2001,5,30,161,8469608,https://assets.nhle.com/mugs/nhl/20112012/PHX/8469608.png
2011-2012,Niklas Backstrom,MIN,G,28.0,12.0,40.0,10.0,17.0,47.0,50.0,24.0,28.0,36.0,36.0,39.0,25.0,1A,46,0.919,2.43,103.82,105,33,1978-02-13,FIN,FIN,74,192,-,-,-,-,8473404,https://assets.nhle.com/mugs/nhl/20112012/MIN/8473404.png
2011-2012,Nikolai Khabibulin,EDM,G,45.0,45.0,37.0,51.0,26.0,39.0,46.0,52.0,45.0,50.0,50.0,54.0,54.0,1B,40,0.910,2.66,106.67,100,38,1973-01-13,RUS,RUS,73,208,1992,9,12,204,8459140,https://assets.nhle.com/mugs/nhl/20112012/EDM/8459140.png
2011-2012,Ondrej Pavelec,WPG,G,38.0,25.0,46.0,27.0,44.0,34.0,42.0,54.0,42.0,48.0,47.0,45.0,43.0,Starter,68,0.906,2.91,184.59,191,24,1987-08-31,CZE,CZE,75,212,2005,2,11,41,8471715,https://assets.nhle.com/mugs/nhl/20112012/WPG/8471715.png
2011-2012,Pekka Rinne,NSH,G,7.0,10.0,17.0,3.0,14.0,31.0,11.0,29.0,3.0,9.0,10.0,16.0,4.0,Starter,73,0.923,2.39,168.63,166,28,1982-11-03,FIN,FIN,77,217,2004,8,31,258,8471469,https://assets.nhle.com/mugs/nhl/20112012/NSH/8471469.png
2011-2012,Peter Budaj,MTL,G,41.0,29.0,49.0,26.0,12.0,49.0,36.0,40.0,48.0,57.0,57.0,53.0,46.0,Backup,17,0.913,2.55,43.18,44,28,1982-09-18,SVK,SVK,73,196,2001,2,33,63,8469514,https://assets.nhle.com/mugs/nhl/20112012/MTL/8469514.png
2011-2012,Ray Emery,CHI,G,50.0,58.0,2.0,53.0,53.0,24.0,25.0,32.0,44.0,39.0,39.0,37.0,50.0,1B,34,0.900,2.81,75.95,83,28,1982-09-28,CAN,CAN,74,196,2001,4,3,99,8469548,https://assets.nhle.com/mugs/nhl/20112012/CHI/8469548.png
2011-2012,Richard Bachman,DAL,G,32.0,9.0,55.0,58.0,5.0,10.0,56.0,41.0,38.0,47.0,48.0,50.0,38.0,Backup,18,0.910,2.77,38.56,43,24,1987-07-25,USA,USA,70,183,2006,4,27,120,8473614,https://assets.nhle.com/mugs/nhl/20112012/DAL/8473614.png
2011-2012,Roberto Luongo,VAN,G,5.0,3.0,31.0,7.0,9.0,18.0,41.0,39.0,7.0,22.0,22.0,7.0,5.0,Starter,55,0.919,2.41,133.89,127,32,1979-04-04,CAN,CAN,75,215,1997,1,4,4,8466141,https://assets.nhle.com/mugs/nhl/20112012/VAN/8466141.png
2011-2012,Ryan Miller,BUF,G,10.0,8.0,18.0,47.0,19.0,7.0,22.0,42.0,15.0,18.0,18.0,26.0,15.0,Starter,61,0.916,2.54,149.0,150,31,1980-07-17,USA,USA,75,170,1999,5,12,138,8468011,https://assets.nhle.com/mugs/nhl/20112012/BUF/8468011.png
2011-2012,Scott Clemmensen,FLA,G,36.0,37.0,34.0,44.0,24.0,42.0,19.0,19.0,21.0,30.0,30.0,41.0,36.0,Backup,30,0.913,2.57,58.2,67,34,1977-07-23,USA,USA,74,200,1997,8,25,215,8466339,https://assets.nhle.com/mugs/nhl/20112012/FLA/8466339.png
2011-2012,Semyon Varlamov,COL,G,22.0,7.0,43.0,40.0,7.0,32.0,54.0,28.0,10.0,7.0,7.0,8.0,21.0,Starter,53,0.913,2.59,132.91,136,23,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575,https://assets.nhle.com/mugs/nhl/20112012/COL/8473575.png
2011-2012,Sergei Bobrovsky,PHI,G,49.0,41.0,42.0,22.0,57.0,23.0,57.0,46.0,35.0,33.0,33.0,34.0,44.0,Backup,29,0.899,3.02,75.59,78,22,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683,https://assets.nhle.com/mugs/nhl/20112012/PHI/8475683.png
2011-2012,Steve Mason,CBJ,G,56.0,51.0,57.0,13.0,49.0,58.0,17.0,49.0,49.0,55.0,55.0,57.0,55.0,1A,46,0.894,3.39,101.4,143,23,1988-05-29,CAN,CAN,76,188,2006,3,6,69,8473461,https://assets.nhle.com/mugs/nhl/20112012/CBJ/8473461.png
2011-2012,Thomas Greiss,SJS,G,34.0,17.0,56.0,54.0,45.0,13.0,1.0,1.0,27.0,42.0,42.0,49.0,32.0,Backup,19,0.915,2.3,34.7,40,25,1986-01-29,DEU,DEU,74,219,2004,3,29,94,8471306,https://assets.nhle.com/mugs/nhl/20112012/SJS/8471306.png
2011-2012,Tim Thomas,BOS,G,4.0,4.0,20.0,18.0,11.0,5.0,20.0,30.0,12.0,10.0,9.0,6.0,3.0,Starter,59,0.920,2.36,121.3,132,37,1974-04-15,USA,USA,71,201,1994,9,9,217,8460703,https://assets.nhle.com/mugs/nhl/20112012/BOS/8460703.png
2011-2012,Tomas Vokoun,WSH,G,13.0,15.0,27.0,2.0,13.0,43.0,40.0,43.0,39.0,29.0,26.0,19.0,18.0,1A,48,0.917,2.51,108.42,108,35,1976-07-02,CZE,CZE,73,210,1994,9,18,226,8460712,https://assets.nhle.com/mugs/nhl/20112012/WSH/8460712.png
2011-2012,Tuukka Rask,BOS,G,3.0,6.0,4.0,11.0,31.0,3.0,8.0,31.0,4.0,2.0,2.0,3.0,9.0,Backup,23,0.929,2.05,48.07,44,24,1987-03-10,FIN,FIN,75,176,2005,1,21,21,8471695,https://assets.nhle.com/mugs/nhl/20112012/BOS/8471695.png
2011-2012,Ty Conklin,DET,G,58.0,54.0,58.0,52.0,43.0,57.0,12.0,18.0,56.0,54.0,54.0,56.0,57.0,Backup,15,0.884,3.26,35.17,44,35,1976-03-30,USA,USA,73,185,-,-,-,-,8469152,https://assets.nhle.com/mugs/nhl/20112012/DET/8469152.png
