Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2012-2013,Corey Crawford,CHI,G,10.0,15.0,39.0,12.0,17.0,21.0,8.0,10.0,10.0,5.0,5.0,15.0,11.0,Backup,30,0.926,1.94,63.62,57,27,1984-12-31,CAN,CAN,74,216,2003,2,22,52,8470645,https://assets.nhle.com/mugs/nhl/20122013/CHI/8470645.png
2012-2013,Cory Schneider,VAN,G,1.0,1.0,1.0,10.0,20.0,1.0,29.0,39.0,1.0,1.0,1.0,7.0,1.0,Backup,30,0.927,2.11,70.04,61,26,1986-03-18,USA,USA,75,214,2004,1,26,26,8471239,https://assets.nhle.com/mugs/nhl/20122013/VAN/8471239.png
2012-2013,Craig Anderson,OTT,G,3.0,6.0,5.0,1.0,25.0,14.0,26.0,29.0,3.0,8.0,9.0,26.0,3.0,Backup,24,0.941,1.69,55.01,40,31,1981-05-21,USA,USA,74,187,2001,3,10,73,8467950,https://assets.nhle.com/mugs/nhl/20122013/OTT/8467950.png
2012-2013,Dan Ellis,CAR,G,38.0,20.0,53.0,17.0,2.0,52.0,48.0,53.0,48.0,42.0,42.0,45.0,46.0,Backup,19,0.906,3.13,50.54,52,32,1980-06-19,CAN,CAN,73,195,2000,2,30,60,8468540,https://assets.nhle.com/mugs/nhl/20122013/CAR/8468540.png
2012-2013,Devan Dubnyk,EDM,G,6.0,8.0,11.0,45.0,5.0,7.0,37.0,48.0,22.0,17.0,19.0,11.0,28.0,1B,38,0.921,2.57,102.7,90,26,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227,https://assets.nhle.com/mugs/nhl/20122013/EDM/8471227.png
2012-2013,Evgeni Nabokov,NYI,G,20.0,28.0,14.0,44.0,14.0,19.0,14.0,37.0,31.0,15.0,15.0,30.0,27.0,1B,41,0.91,2.5,101.64,103,37,1975-07-25,KAZ,RUS,72,202,1994,9,11,219,8460705,https://assets.nhle.com/mugs/nhl/20122013/NYI/8460705.png
2012-2013,Henrik Lundqvist,NYR,G,4.0,5.0,33.0,25.0,11.0,3.0,12.0,18.0,6.0,6.0,7.0,5.0,2.0,1A,43,0.926,2.05,106.99,88,30,1982-03-02,SWE,SWE,73,182,2000,7,8,205,8468685,https://assets.nhle.com/mugs/nhl/20122013/NYR/8468685.png
2012-2013,Ilya Bryzgalov,PHI,G,46.0,38.0,36.0,23.0,45.0,40.0,30.0,16.0,25.0,38.0,39.0,39.0,34.0,1B,40,0.9,2.79,96.25,107,32,1980-06-22,RUS,RUS,75,213,2000,2,14,44,8468524,https://assets.nhle.com/mugs/nhl/20122013/PHI/8468524.png
2012-2013,Jacob Markstrom,FLA,G,48.0,45.0,52.0,47.0,41.0,45.0,46.0,49.0,49.0,37.0,37.0,40.0,51.0,Backup,23,0.901,3.22,55.15,68,22,1990-01-31,SWE,SWE,78,207,2008,2,1,31,8474593,https://assets.nhle.com/mugs/nhl/20122013/FLA/8474593.png
2012-2013,Jake Allen,STL,G,40.0,50.0,6.0,51.0,1.0,48.0,49.0,20.0,43.0,49.0,51.0,52.0,33.0,Backup,15,0.905,2.46,32.71,33,22,1990-08-07,CAN,CAN,74,195,2008,2,4,34,8474596,https://assets.nhle.com/mugs/nhl/20122013/STL/8474596.png
2012-2013,James Reimer,TOR,G,21.0,22.0,22.0,19.0,43.0,16.0,24.0,41.0,35.0,19.0,20.0,22.0,16.0,1B,33,0.924,2.46,81.83,76,24,1988-03-15,CAN,CAN,75,205,2006,4,6,99,8473503,https://assets.nhle.com/mugs/nhl/20122013/TOR/8473503.png
2012-2013,Jaroslav Halak,STL,G,29.0,31.0,18.0,36.0,6.0,41.0,4.0,3.0,16.0,36.0,38.0,48.0,30.0,Backup,16,0.899,2.14,25.3,29,27,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860,https://assets.nhle.com/mugs/nhl/20122013/STL/8470860.png
2012-2013,Jason LaBarbera,PHX,G,5.0,17.0,3.0,38.0,12.0,6.0,52.0,50.0,4.0,4.0,4.0,3.0,39.0,Backup,15,0.923,2.64,39.51,32,32,1980-01-18,CAN,CAN,75,232,1998,3,8,66,8467391,https://assets.nhle.com/mugs/nhl/20122013/PHX/8467391.png
2012-2013,Jean-Sebastien Giguere,COL,G,35.0,34.0,26.0,37.0,33.0,32.0,32.0,23.0,44.0,16.0,17.0,1.0,40.0,Backup,18,0.908,2.84,38.96,43,35,1977-05-16,CAN,CAN,73,202,1995,1,13,13,8462044,https://assets.nhle.com/mugs/nhl/20122013/COL/8462044.png
2012-2013,Jimmy Howard,DET,G,7.0,3.0,15.0,18.0,18.0,17.0,6.0,12.0,8.0,11.0,13.0,18.0,10.0,1A,42,0.923,2.13,92.7,87,28,1984-03-26,USA,USA,73,218,2003,2,34,64,8470657,https://assets.nhle.com/mugs/nhl/20122013/DET/8470657.png
2012-2013,Joey MacDonald,CGY,G,41.0,48.0,10.0,14.0,16.0,50.0,41.0,19.0,29.0,20.0,21.0,31.0,41.0,Backup,21,0.902,2.87,49.54,55,32,1980-02-07,CAN,CAN,72,197,-,-,-,-,8469732,https://assets.nhle.com/mugs/nhl/20122013/CGY/8469732.png
2012-2013,Johan Hedberg,NJD,G,47.0,44.0,28.0,3.0,50.0,46.0,1.0,7.0,46.0,43.0,45.0,47.0,45.0,Backup,19,0.883,2.76,37.51,51,39,1973-05-05,SWE,SWE,72,190,1994,9,10,218,8460704,https://assets.nhle.com/mugs/nhl/20122013/NJD/8460704.png
2012-2013,Jonas Hiller,ANA,G,23.0,12.0,45.0,48.0,24.0,9.0,33.0,25.0,27.0,32.0,34.0,25.0,23.0,Backup,26,0.913,2.36,62.45,59,30,1982-02-12,CHE,CHE,74,191,-,-,-,-,8473972,https://assets.nhle.com/mugs/nhl/20122013/ANA/8473972.png
2012-2013,Jonathan Bernier,LAK,G,27.0,30.0,19.0,26.0,21.0,24.0,13.0,2.0,7.0,3.0,3.0,14.0,19.0,Backup,14,0.922,1.87,27.48,24,24,1988-08-07,CAN,CAN,72,185,2006,1,11,11,8473541,https://assets.nhle.com/mugs/nhl/20122013/LAK/8473541.png
2012-2013,Jonathan Quick,LAK,G,33.0,37.0,13.0,33.0,32.0,25.0,15.0,5.0,23.0,10.0,12.0,9.0,25.0,1B,37,0.902,2.45,78.49,87,26,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734,https://assets.nhle.com/mugs/nhl/20122013/LAK/8471734.png
2012-2013,Jose Theodore,FLA,G,43.0,29.0,42.0,52.0,53.0,5.0,35.0,38.0,34.0,40.0,41.0,43.0,47.0,Backup,15,0.893,3.29,31.69,42,35,1976-09-13,CAN,CAN,71,172,1994,2,18,44,8460535,https://assets.nhle.com/mugs/nhl/20122013/FLA/8460535.png
2012-2013,Justin Peters,CAR,G,53.0,53.0,43.0,8.0,40.0,53.0,53.0,52.0,51.0,52.0,53.0,53.0,53.0,Backup,19,0.892,3.46,50.39,55,26,1986-08-30,CAN,CAN,73,210,2004,2,8,38,8471251,https://assets.nhle.com/mugs/nhl/20122013/CAR/8471251.png
2012-2013,Kari Lehtonen,DAL,G,15.0,16.0,21.0,15.0,13.0,20.0,44.0,43.0,15.0,9.0,10.0,13.0,22.0,1B,36,0.916,2.66,98.34,88,28,1983-11-16,FIN,FIN,76,209,2002,1,2,2,8470140,https://assets.nhle.com/mugs/nhl/20122013/DAL/8470140.png
2012-2013,Marc-Andre Fleury,PIT,G,22.0,23.0,12.0,4.0,30.0,29.0,23.0,17.0,24.0,23.0,25.0,8.0,12.0,1B,33,0.916,2.39,72.98,74,27,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594,https://assets.nhle.com/mugs/nhl/20122013/PIT/8470594.png
2012-2013,Martin Brodeur,NJD,G,45.0,41.0,27.0,42.0,44.0,35.0,2.0,1.0,45.0,47.0,50.0,41.0,35.0,Backup,29,0.901,2.22,54.38,65,40,1972-05-06,CAN,CAN,74,220,1990,1,20,20,8455710,https://assets.nhle.com/mugs/nhl/20122013/NJD/8455710.png
2012-2013,Mathieu Garon,TBL,G,49.0,40.0,49.0,43.0,49.0,36.0,25.0,15.0,50.0,44.0,47.0,38.0,50.0,Backup,18,0.897,2.9,34.3,44,34,1978-01-09,CAN,CAN,73,198,1996,2,18,44,8464999,https://assets.nhle.com/mugs/nhl/20122013/TBL/8464999.png
2012-2013,Michal Neuvirth,WSH,G,42.0,42.0,17.0,30.0,38.0,31.0,22.0,27.0,39.0,35.0,36.0,17.0,42.0,Backup,13,0.91,2.74,31.58,33,24,1988-03-23,CZE,CZE,73,209,2006,2,4,34,8473607,https://assets.nhle.com/mugs/nhl/20122013/WSH/8473607.png
2012-2013,Miikka Kiprusoff,CGY,G,50.0,51.0,47.0,28.0,48.0,49.0,11.0,24.0,40.0,50.0,52.0,51.0,49.0,Backup,24,0.882,3.44,53.89,77,35,1976-10-26,FIN,FIN,73,185,1995,5,12,116,8462147,https://assets.nhle.com/mugs/nhl/20122013/CGY/8462147.png
2012-2013,Mike Smith,PHX,G,16.0,9.0,35.0,11.0,47.0,8.0,27.0,34.0,21.0,31.0,32.0,35.0,17.0,1B,34,0.91,2.58,78.47,84,30,1982-03-22,CAN,CAN,77,220,2001,5,30,161,8469608,https://assets.nhle.com/mugs/nhl/20122013/PHX/8469608.png
2012-2013,Niklas Backstrom,MIN,G,32.0,35.0,29.0,9.0,37.0,37.0,21.0,8.0,38.0,33.0,35.0,32.0,24.0,1A,42,0.909,2.5,80.74,98,34,1978-02-13,FIN,FIN,74,192,-,-,-,-,8473404,https://assets.nhle.com/mugs/nhl/20122013/MIN/8473404.png
2012-2013,Ondrej Pavelec,WPG,G,34.0,32.0,34.0,34.0,23.0,38.0,34.0,40.0,42.0,45.0,46.0,27.0,37.0,1A,44,0.905,2.8,112.8,119,25,1987-08-31,CZE,CZE,75,212,2005,2,11,41,8471715,https://assets.nhle.com/mugs/nhl/20122013/WPG/8471715.png
2012-2013,Pekka Rinne,NSH,G,25.0,19.0,38.0,13.0,26.0,30.0,3.0,11.0,13.0,22.0,24.0,28.0,21.0,1A,43,0.91,2.45,85.9,99,29,1982-11-03,FIN,FIN,77,217,2004,8,31,258,8471469,https://assets.nhle.com/mugs/nhl/20122013/NSH/8471469.png
2012-2013,Peter Budaj,MTL,G,44.0,46.0,23.0,6.0,46.0,43.0,7.0,6.0,26.0,28.0,30.0,36.0,32.0,Backup,13,0.909,2.28,21.31,25,29,1982-09-18,SVK,SVK,73,196,2001,2,33,63,8469514,https://assets.nhle.com/mugs/nhl/20122013/MTL/8469514.png
2012-2013,Ray Emery,CHI,G,18.0,33.0,4.0,49.0,19.0,10.0,17.0,14.0,30.0,34.0,33.0,16.0,15.0,Backup,21,0.922,1.94,41.43,36,29,1982-09-28,CAN,CAN,74,196,2001,4,3,99,8469548,https://assets.nhle.com/mugs/nhl/20122013/CHI/8469548.png
2012-2013,Richard Bachman,DAL,G,51.0,49.0,51.0,46.0,52.0,44.0,38.0,31.0,37.0,51.0,48.0,49.0,48.0,Backup,13,0.885,3.25,26.23,33,25,1987-07-25,USA,USA,70,183,2006,4,27,120,8473614,https://assets.nhle.com/mugs/nhl/20122013/DAL/8473614.png
2012-2013,Roberto Luongo,VAN,G,19.0,14.0,48.0,31.0,4.0,33.0,20.0,26.0,11.0,24.0,27.0,34.0,20.0,Backup,20,0.907,2.56,47.58,51,33,1979-04-04,CAN,CAN,75,215,1997,1,4,4,8466141,https://assets.nhle.com/mugs/nhl/20122013/VAN/8466141.png
2012-2013,Ryan Miller,BUF,G,11.0,11.0,16.0,35.0,28.0,11.0,28.0,46.0,14.0,14.0,16.0,20.0,26.0,1B,40,0.915,2.81,110.26,108,32,1980-07-17,USA,USA,75,170,1999,5,12,138,8468011,https://assets.nhle.com/mugs/nhl/20122013/BUF/8468011.png
2012-2013,Scott Clemmensen,FLA,G,52.0,52.0,44.0,53.0,51.0,34.0,40.0,33.0,41.0,48.0,44.0,50.0,52.0,Backup,19,0.874,3.67,39.75,53,35,1977-07-23,USA,USA,74,200,1997,8,25,215,8466339,https://assets.nhle.com/mugs/nhl/20122013/FLA/8466339.png
2012-2013,Semyon Varlamov,COL,G,30.0,25.0,32.0,41.0,8.0,39.0,47.0,44.0,47.0,41.0,43.0,44.0,38.0,1B,35,0.903,3.02,93.54,98,24,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575,https://assets.nhle.com/mugs/nhl/20122013/COL/8473575.png
2012-2013,Sergei Bobrovsky,CBJ,G,9.0,7.0,30.0,21.0,27.0,13.0,36.0,30.0,20.0,7.0,8.0,10.0,13.0,1B,38,0.932,2.0,86.6,74,23,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683,https://assets.nhle.com/mugs/nhl/20122013/CBJ/8475683.png
2012-2013,Steve Mason,CBJ,G,39.0,47.0,24.0,24.0,29.0,47.0,16.0,36.0,32.0,46.0,49.0,46.0,43.0,Backup,20,0.916,2.59,43.88,47,24,1988-05-29,CAN,CAN,76,188,2006,3,6,69,8473461,https://assets.nhle.com/mugs/nhl/20122013/CBJ/8473461.png
2012-2013,Steve Mason,PHI,G,39.0,47.0,24.0,24.0,29.0,47.0,16.0,36.0,32.0,46.0,49.0,46.0,43.0,Backup,20,0.916,2.59,43.88,47,24,1988-05-29,CAN,CAN,76,188,2006,3,6,69,8473461,https://assets.nhle.com/mugs/nhl/20122013/PHI/8473461.png
2012-2013,Tomas Vokoun,PIT,G,14.0,2.0,50.0,5.0,10.0,28.0,39.0,35.0,19.0,18.0,18.0,29.0,8.0,Backup,20,0.919,2.45,43.07,42,36,1976-07-02,CZE,CZE,73,210,1994,9,18,226,8460712,https://assets.nhle.com/mugs/nhl/20122013/PIT/8460712.png
2012-2013,Tuukka Rask,BOS,G,2.0,4.0,8.0,7.0,34.0,2.0,10.0,21.0,2.0,2.0,2.0,6.0,4.0,1B,36,0.929,2.0,82.82,70,25,1987-03-10,FIN,FIN,75,176,2005,1,21,21,8471695,https://assets.nhle.com/mugs/nhl/20122013/BOS/8471695.png
2012-2013,Viktor Fasth,ANA,G,8.0,21.0,9.0,29.0,15.0,12.0,42.0,32.0,18.0,27.0,26.0,4.0,5.0,Backup,25,0.921,2.18,58.31,52,30,1982-08-08,SWE,SWE,72,181,-,-,-,-,8476839,https://assets.nhle.com/mugs/nhl/20122013/ANA/8476839.png
