Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2016-2017,Jonathan Bernier,ANA,G,38.0,46.0,8.0,42.0,54.0,9.0,35.0,38.0,29.0,27.0,21.0,16.0,37.0,1B,39,0.915,2.5,90.29,83,28,1988-08-07,CAN,CAN,72,185,2006,1,11,11,8473541
2016-2017,Jonathan Quick,LAK,G,31.0,26.0,49.0,39.0,5.0,44.0,56.0,10.0,25.0,42.0,42.0,39.0,18.0,Backup,17,0.917,2.26,43.22,35,30,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734
2016-2017,Joonas Korpisalo,CBJ,G,42.0,48.0,26.0,60.0,3.0,35.0,38.0,52.0,37.0,43.0,43.0,48.0,35.0,Backup,14,0.905,2.88,36.88,38,22,1994-04-28,FIN,FIN,75,193,2012,3,1,62,8476914
2016-2017,Juuse Saros,NSH,G,16.0,27.0,5.0,5.0,29.0,34.0,4.0,31.0,14.0,4.0,5.0,8.0,12.0,Backup,21,0.923,2.35,52.67,47,21,1995-04-19,FIN,FIN,71,180,2013,4,8,99,8477424
2016-2017,Kari Lehtonen,DAL,G,51.0,42.0,60.0,55.0,34.0,52.0,58.0,41.0,48.0,53.0,54.0,51.0,49.0,Starter,59,0.902,2.85,142.18,151,32,1983-11-16,FIN,FIN,76,209,2002,1,2,2,8470140
2016-2017,Keith Kinkaid,NJD,G,36.0,33.0,21.0,7.0,22.0,56.0,6.0,44.0,43.0,49.0,49.0,44.0,48.0,Backup,26,0.917,2.64,64.14,65,27,1989-07-04,USA,USA,74,195,-,-,-,-,8476234
2016-2017,Louis Domingue,ARI,G,47.0,23.0,61.0,29.0,59.0,31.0,61.0,55.0,44.0,47.0,47.0,49.0,54.0,Backup,31,0.908,3.08,74.38,82,24,1992-03-06,CAN,CAN,75,208,2010,5,18,138,8475839
2016-2017,Marc-Andre Fleury,PIT,G,29.0,25.0,30.0,12.0,49.0,17.0,51.0,56.0,40.0,30.0,31.0,24.0,25.0,1B,38,0.909,3.02,105.06,107,31,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594
2016-2017,Martin Jones,SJS,G,35.0,44.0,23.0,44.0,38.0,18.0,20.0,8.0,18.0,25.0,26.0,41.0,28.0,Starter,65,0.912,2.4,158.48,152,26,1990-01-10,CAN,CAN,76,203,-,-,-,-,8474889
2016-2017,Matt Murray,PIT,G,1.0,4.0,31.0,28.0,7.0,6.0,55.0,42.0,1.0,2.0,2.0,2.0,2.0,1A,49,0.923,2.41,123.3,111,22,1994-05-25,CAN,CAN,77,203,2012,3,22,83,8476899
2016-2017,Michael Hutchinson,WPG,G,54.0,55.0,36.0,56.0,39.0,54.0,26.0,29.0,59.0,57.0,59.0,52.0,57.0,Backup,28,0.903,2.92,55.74,67,26,1990-03-02,CAN,CAN,75,201,2008,3,16,77,8474636
2016-2017,Michal Neuvirth,PHI,G,57.0,53.0,46.0,59.0,37.0,49.0,46.0,11.0,55.0,44.0,44.0,54.0,51.0,Backup,28,0.891,2.82,50.27,64,28,1988-03-23,CZE,CZE,73,209,2006,2,4,34,8473607
2016-2017,Mike Condon,PIT,G,43.0,49.0,37.0,41.0,41.0,39.0,39.0,19.0,35.0,46.0,46.0,47.0,38.0,1A,41,0.914,2.48,96.01,96,26,1990-04-27,USA,USA,74,195,-,-,-,-,8477237
2016-2017,Mike Condon,OTT,G,43.0,49.0,37.0,41.0,41.0,39.0,39.0,19.0,35.0,46.0,46.0,47.0,38.0,1A,41,0.914,2.48,96.01,96,26,1990-04-27,USA,USA,74,195,-,-,-,-,8477237
2016-2017,Mike Smith,ARI,G,25.0,10.0,47.0,19.0,36.0,24.0,53.0,61.0,49.0,41.0,41.0,46.0,43.0,Starter,55,0.914,2.92,158.84,156,34,1982-03-22,CAN,CAN,77,220,2001,5,30,161,8469608
2016-2017,Pekka Rinne,NSH,G,45.0,35.0,53.0,21.0,13.0,57.0,10.0,3.0,22.0,29.0,29.0,43.0,20.0,Starter,61,0.918,2.42,134.71,144,33,1982-11-03,FIN,FIN,77,217,2004,8,31,258,8471469
2016-2017,Peter Budaj,LAK,G,40.0,40.0,41.0,36.0,18.0,48.0,7.0,1.0,32.0,22.0,17.0,33.0,24.0,Starter,60,0.915,2.18,120.99,120,33,1982-09-18,SVK,SVK,73,196,2001,2,33,63,8469514
2016-2017,Peter Budaj,TBL,G,40.0,40.0,41.0,36.0,18.0,48.0,7.0,1.0,32.0,22.0,17.0,33.0,24.0,Starter,60,0.915,2.18,120.99,120,33,1982-09-18,SVK,SVK,73,196,2001,2,33,63,8469514
2016-2017,Petr Mrazek,DET,G,46.0,34.0,39.0,48.0,48.0,37.0,8.0,34.0,51.0,36.0,37.0,37.0,45.0,Starter,50,0.901,3.04,120.5,145,24,1992-02-14,CZE,CZE,74,188,2010,5,21,141,8475852
2016-2017,Philipp Grubauer,WSH,G,10.0,12.0,17.0,4.0,23.0,32.0,42.0,13.0,33.0,10.0,4.0,7.0,14.0,Backup,24,0.926,2.04,51.46,43,24,1991-11-25,DEU,DEU,73,188,2010,4,22,112,8475831
2016-2017,Roberto Luongo,FLA,G,26.0,37.0,9.0,50.0,15.0,27.0,34.0,33.0,19.0,26.0,27.0,15.0,27.0,1B,40,0.915,2.68,93.86,104,37,1979-04-04,CAN,CAN,75,215,1997,1,4,4,8466141
2016-2017,Robin Lehner,BUF,G,30.0,36.0,10.0,14.0,14.0,50.0,31.0,49.0,21.0,13.0,15.0,14.0,31.0,Starter,59,0.921,2.68,148.01,152,25,1991-07-24,SWE,SWE,76,250,2009,2,16,46,8475215
2016-2017,Ryan Miller,VAN,G,12.0,9.0,52.0,37.0,6.0,38.0,23.0,60.0,52.0,31.0,33.0,18.0,44.0,Starter,54,0.914,2.8,139.41,150,36,1980-07-17,USA,USA,75,170,1999,5,12,138,8468011
2016-2017,Scott Darling,CHI,G,4.0,3.0,25.0,17.0,33.0,4.0,52.0,48.0,10.0,21.0,23.0,29.0,10.0,Backup,32,0.924,2.38,71.88,67,27,1988-12-22,USA,USA,78,226,2007,6,2,153,8474152
2016-2017,Semyon Varlamov,COL,G,52.0,58.0,43.0,31.0,57.0,51.0,62.0,59.0,57.0,55.0,57.0,56.0,58.0,Backup,24,0.898,3.38,59.91,76,28,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575
2016-2017,Sergei Bobrovsky,CBJ,G,7.0,14.0,16.0,22.0,11.0,11.0,41.0,36.0,13.0,9.0,11.0,23.0,6.0,Starter,63,0.931,2.06,163.45,127,27,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683
2016-2017,Steve Mason,PHI,G,48.0,43.0,55.0,20.0,46.0,55.0,54.0,15.0,42.0,23.0,24.0,40.0,34.0,Starter,58,0.908,2.66,130.02,143,28,1988-05-29,CAN,CAN,76,188,2006,3,6,69,8473461
2016-2017,Thomas Greiss,NYI,G,6.0,11.0,12.0,46.0,16.0,2.0,22.0,58.0,12.0,16.0,18.0,13.0,22.0,Starter,51,0.913,2.69,130.2,126,30,1986-01-29,DEU,DEU,74,219,2004,3,29,94,8471306
2016-2017,Tuukka Rask,BOS,G,37.0,45.0,24.0,26.0,28.0,47.0,11.0,4.0,28.0,35.0,36.0,42.0,17.0,Starter,65,0.915,2.25,135.03,137,29,1987-03-10,FIN,FIN,75,176,2005,1,21,21,8471695
