Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2023-2024,Linus Ullmark,BOS,G,2.0,1.0,16.0,4.0,7.0,8.0,28.0,32.0,3.0,1.0,1.0,1.0,3.0,1A,41,0.915,2.57,117.59,103,30,1993-07-31,SWE,SWE,77,212,2012,6,12,163,8476999.0
2023-2024,Logan Thompson,VGK,G,24.0,26.0,50.0,29.0,19.0,39.0,40.0,17.0,19.0,24.0,24.0,17.0,14.0,1A,46,0.908,2.7,119.82,119,26,1997-02-25,CAN,CAN,76,205,-,-,-,-,8480313.0
2023-2024,Lukas Dostal,ANA,G,46.0,31.0,67.0,66.0,20.0,55.0,36.0,70.0,49.0,42.0,43.0,28.0,61.0,1A,44,0.902,3.33,124.55,129,23,2000-06-22,CZE,CZE,74,174,2018,3,23,85,8480843.0
2023-2024,Mackenzie Blackwood,SJS,G,51.0,56.0,31.0,51.0,37.0,57.0,60.0,64.0,55.0,49.0,50.0,61.0,64.0,1A,44,0.899,3.45,141.4,140,26,1996-12-09,CAN,CAN,76,225,2015,2,12,42,8478406.0
2023-2024,Marc-Andre Fleury,MIN,G,47.0,25.0,66.0,53.0,43.0,48.0,12.0,18.0,22.0,31.0,29.0,31.0,44.0,1B,40,0.895,2.98,97.81,111,38,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594.0
2023-2024,Martin Jones,TOR,G,52.0,38.0,64.0,48.0,39.0,58.0,31.0,22.0,58.0,50.0,51.0,51.0,42.0,Backup,22,0.902,2.87,59.49,56,33,1990-01-10,CAN,CAN,76,203,-,-,-,-,
2023-2024,Nico Daws,NJD,G,62.0,62.0,70.0,46.0,56.0,59.0,48.0,27.0,21.0,51.0,52.0,67.0,60.0,Backup,21,0.894,3.15,57.34,60,22,2000-12-22,DEU,DEU,76,205,2020,3,22,84,
2023-2024,Petr Mrazek,CHI,G,39.0,37.0,54.0,42.0,22.0,56.0,47.0,65.0,43.0,28.0,28.0,37.0,58.0,Starter,56,0.907,3.05,159.77,160,31,1992-02-14,CZE,CZE,74,188,2010,5,21,141,8475852.0
2023-2024,Philipp Grubauer,SEA,G,60.0,60.0,38.0,31.0,48.0,65.0,29.0,8.0,64.0,59.0,59.0,47.0,55.0,1B,36,0.899,2.85,91.02,95,31,1991-11-25,DEU,DEU,73,188,2010,4,22,112,8475831.0
2023-2024,Pyotr Kochetkov,CAR,G,13.0,39.0,3.0,12.0,54.0,7.0,1.0,5.0,42.0,37.0,37.0,56.0,12.0,1A,42,0.911,2.33,94.32,92,24,1999-06-25,RUS,RUS,75,205,2019,2,5,36,8481611.0
2023-2024,Sam Montembeault,MTL,G,48.0,28.0,46.0,9.0,40.0,62.0,66.0,67.0,24.0,5.0,5.0,8.0,53.0,1A,41,0.903,3.14,138.2,127,26,1996-10-30,CAN,CAN,75,214,2015,3,16,77,8478470.0
2023-2024,Samuel Ersson,PHI,G,67.0,66.0,19.0,14.0,66.0,64.0,58.0,3.0,60.0,39.0,40.0,45.0,52.0,Starter,51,0.89,2.82,125.24,132,23,1999-10-20,SWE,SWE,74,176,2018,5,19,143,8481035.0
2023-2024,Scott Wedgewood,DAL,G,35.0,22.0,42.0,28.0,38.0,41.0,8.0,24.0,27.0,29.0,30.0,23.0,36.0,Backup,32,0.899,2.85,74.9,85,31,1992-08-14,CAN,CAN,74,205,2010,3,24,84,
2023-2024,Semyon Varlamov,NYI,G,8.0,9.0,29.0,21.0,17.0,11.0,57.0,47.0,30.0,7.0,7.0,13.0,10.0,Backup,28,0.917,2.6,80.52,69,35,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575.0
2023-2024,Sergei Bobrovsky,FLA,G,16.0,17.0,17.0,38.0,16.0,26.0,10.0,19.0,17.0,10.0,10.0,19.0,11.0,Starter,58,0.915,2.37,145.52,135,34,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683.0
2023-2024,Spencer Martin,CAR,G,70.0,65.0,69.0,35.0,69.0,66.0,49.0,41.0,68.0,71.0,71.0,70.0,70.0,Backup,19,0.889,3.3,53.8,59,28,1995-06-08,CAN,CAN,75,191,2013,3,2,63,8477484.0
2023-2024,Stuart Skinner,EDM,G,18.0,24.0,34.0,24.0,18.0,35.0,7.0,23.0,16.0,23.0,19.0,22.0,17.0,Starter,59,0.905,2.62,152.67,147,24,1998-11-01,CAN,CAN,76,206,2017,3,16,78,8479973.0
2023-2024,Thatcher Demko,VAN,G,11.0,10.0,28.0,18.0,25.0,22.0,18.0,40.0,23.0,22.0,23.0,16.0,9.0,Starter,51,0.917,2.45,143.67,123,27,1995-12-08,USA,USA,76,192,2014,2,6,36,8477967.0
2023-2024,Tristan Jarry,PIT,G,36.0,30.0,27.0,16.0,4.0,67.0,20.0,36.0,39.0,16.0,17.0,25.0,31.0,Starter,51,0.903,2.91,137.38,133,28,1995-04-29,CAN,CAN,74,194,2013,2,14,44,8477465.0
2023-2024,Ukko-Pekka Luukkonen,BUF,G,32.0,43.0,18.0,64.0,15.0,31.0,37.0,38.0,13.0,20.0,21.0,27.0,32.0,Starter,54,0.91,2.57,144.66,132,24,1999-03-09,FIN,FIN,77,217,2017,2,23,54,8480045.0
2023-2024,Ville Husso,DET,G,63.0,59.0,24.0,50.0,59.0,46.0,63.0,51.0,61.0,67.0,67.0,68.0,49.0,Backup,19,0.892,3.55,58.37,60,28,1995-02-06,FIN,FIN,75,200,2014,4,4,94,8478024.0
2023-2024,Vitek Vanecek,NJD,G,57.0,55.0,21.0,22.0,10.0,71.0,9.0,11.0,54.0,48.0,49.0,63.0,40.0,Backup,32,0.89,3.18,81.83,95,27,1996-01-09,CZE,CZE,74,184,2014,2,9,39,8477970.0
