Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2009-2010,Jimmy Howard,DET,G,5.0,16.0,1.0,15.0,8.0,10.0,7.0,19.0,13.0,2.0,2.0,2.0,2.0,Starter,63,0.924,2.26,140.93,141,25,1984-03-26,USA,USA,73,218,2003,2,34,64,8470657
2009-2010,Johan Hedberg,ATL,G,32.0,25.0,46.0,42.0,38.0,28.0,42.0,50.0,43.0,47.0,47.0,51.0,41.0,1A,47,0.915,2.62,121.83,115,36,1973-05-05,SWE,SWE,72,190,1994,9,10,218,8460704
2009-2010,Jonas Gustavsson,TOR,G,46.0,43.0,25.0,57.0,56.0,8.0,6.0,26.0,57.0,53.0,53.0,30.0,48.0,1A,42,0.902,2.87,98.48,112,24,1984-10-24,SWE,SWE,76,201,-,-,-,-,8475361
2009-2010,Jonas Hiller,ANA,G,6.0,3.0,26.0,27.0,16.0,5.0,46.0,53.0,11.0,17.0,17.0,14.0,16.0,Starter,59,0.918,2.75,163.91,152,27,1982-02-12,CHE,CHE,74,191,-,-,-,-,8473972
2009-2010,Jonathan Quick,LAK,G,36.0,38.0,32.0,44.0,46.0,17.0,29.0,8.0,40.0,36.0,37.0,43.0,23.0,Starter,72,0.907,2.55,169.25,180,23,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734
2009-2010,Jose Theodore,WSH,G,28.0,10.0,38.0,48.0,28.0,19.0,35.0,44.0,21.0,33.0,35.0,46.0,19.0,1A,47,0.911,2.81,121.53,121,32,1976-09-13,CAN,CAN,71,172,1994,2,18,44,8460535
2009-2010,Josh Harding,MIN,G,24.0,24.0,34.0,41.0,54.0,7.0,13.0,43.0,39.0,12.0,12.0,20.0,45.0,Backup,25,0.905,3.05,55.83,66,25,1984-06-18,CAN,CAN,74,194,2002,2,8,38,8470216
2009-2010,Manny Legace,CAR,G,55.0,52.0,50.0,52.0,51.0,44.0,50.0,14.0,53.0,44.0,44.0,45.0,50.0,Backup,28,0.907,2.81,70.85,69,36,1973-02-04,CAN,CAN,70,200,1993,8,6,188,8459308
2009-2010,Marc-Andre Fleury,PIT,G,30.0,40.0,18.0,33.0,26.0,33.0,43.0,23.0,42.0,39.0,39.0,38.0,20.0,Starter,67,0.905,2.65,158.65,168,24,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594
2009-2010,Martin Biron,NYI,G,45.0,34.0,55.0,53.0,25.0,40.0,41.0,49.0,56.0,49.0,50.0,22.0,44.0,Backup,29,0.896,3.31,76.56,89,32,1977-08-15,CAN,CAN,74,186,1995,1,16,16,8462047
2009-2010,Martin Brodeur,NJD,G,15.0,15.0,37.0,35.0,19.0,18.0,2.0,4.0,10.0,10.0,10.0,23.0,8.0,Starter,77,0.916,2.25,159.74,168,37,1972-05-06,CAN,CAN,74,220,1990,1,20,20,8455710
2009-2010,Marty Turco,DAL,G,38.0,35.0,54.0,39.0,30.0,41.0,33.0,21.0,36.0,30.0,32.0,28.0,31.0,Starter,53,0.913,2.72,131.17,140,34,1975-08-13,CAN,CAN,71,184,1994,5,20,124,8460612
2009-2010,Mathieu Garon,CBJ,G,52.0,50.0,43.0,29.0,41.0,49.0,40.0,24.0,25.0,37.0,29.0,47.0,51.0,1B,35,0.903,2.81,76.89,83,31,1978-01-09,CAN,CAN,73,198,1996,2,18,44,8464999
2009-2010,Michael Leighton,CAR,G,48.0,58.0,27.0,13.0,29.0,54.0,55.0,36.0,44.0,25.0,26.0,32.0,43.0,1B,34,0.905,2.84,81.88,85,28,1981-05-19,CAN,CAN,75,186,1999,6,8,165,8468038
2009-2010,Michael Leighton,PHI,G,48.0,58.0,27.0,13.0,29.0,54.0,55.0,36.0,44.0,25.0,26.0,32.0,43.0,1B,34,0.905,2.84,81.88,85,28,1981-05-19,CAN,CAN,75,186,1999,6,8,165,8468038
2009-2010,Michal Neuvirth,WSH,G,20.0,13.0,20.0,3.0,21.0,42.0,51.0,48.0,5.0,31.0,33.0,39.0,22.0,Backup,17,0.914,2.75,41.19,40,21,1988-03-23,CZE,CZE,73,209,2006,2,4,34,8473607
2009-2010,Miikka Kiprusoff,CGY,G,26.0,29.0,21.0,25.0,24.0,32.0,25.0,15.0,20.0,11.0,11.0,11.0,18.0,Starter,73,0.92,2.31,166.37,163,32,1976-10-26,FIN,FIN,73,185,1995,5,12,116,8462147
2009-2010,Mike Smith,TBL,G,42.0,33.0,36.0,38.0,9.0,56.0,31.0,41.0,45.0,46.0,46.0,29.0,49.0,1A,42,0.9,3.09,99.09,117,27,1982-03-22,CAN,CAN,77,220,2001,5,30,161,8469608
2009-2010,Niklas Backstrom,MIN,G,37.0,45.0,12.0,21.0,49.0,36.0,15.0,6.0,31.0,20.0,20.0,19.0,27.0,Starter,60,0.903,2.73,123.19,158,31,1978-02-13,FIN,FIN,74,192,-,-,-,-,8473404
2009-2010,Nikolai Khabibulin,EDM,G,23.0,19.0,51.0,54.0,31.0,13.0,32.0,42.0,19.0,32.0,34.0,5.0,29.0,Backup,18,0.909,3.03,48.93,55,36,1973-01-13,RUS,RUS,73,208,1992,9,12,204,8459140
2009-2010,Ondrej Pavelec,ATL,G,25.0,41.0,4.0,31.0,27.0,20.0,59.0,60.0,46.0,53.0,53.0,42.0,47.0,1A,42,0.906,3.29,123.28,127,22,1987-08-31,CZE,CZE,75,212,2005,2,11,41,8471715
2009-2010,Pascal Leclaire,OTT,G,57.0,60.0,31.0,58.0,44.0,52.0,48.0,16.0,50.0,54.0,54.0,58.0,57.0,1B,34,0.887,3.2,75.91,93,26,1982-11-07,CAN,CAN,74,202,2001,1,8,8,8469461
2009-2010,Patrick Lalime,BUF,G,47.0,59.0,30.0,23.0,36.0,53.0,12.0,33.0,52.0,27.0,28.0,41.0,56.0,Backup,16,0.907,2.81,38.53,40,35,1974-07-07,CAN,CAN,75,192,1993,6,26,156,8459579
2009-2010,Pekka Rinne,NSH,G,22.0,12.0,39.0,8.0,32.0,39.0,17.0,17.0,41.0,24.0,25.0,26.0,15.0,Starter,58,0.911,2.53,130.83,137,26,1982-11-03,FIN,FIN,77,217,2004,8,31,258,8471469
2009-2010,Peter Budaj,COL,G,34.0,18.0,57.0,17.0,18.0,47.0,60.0,29.0,30.0,35.0,22.0,15.0,40.0,Backup,15,0.917,2.64,33.17,32,26,1982-09-18,SVK,SVK,73,196,2001,2,33,63,8469514
2009-2010,Ray Emery,PHI,G,53.0,21.0,59.0,16.0,37.0,60.0,45.0,10.0,37.0,41.0,41.0,50.0,32.0,Backup,29,0.906,2.64,71.81,74,26,1982-09-28,CAN,CAN,74,196,2001,4,3,99,8469548
2009-2010,Roberto Luongo,VAN,G,12.0,7.0,42.0,19.0,11.0,25.0,26.0,32.0,12.0,14.0,14.0,16.0,11.0,Starter,68,0.913,2.58,162.75,167,30,1979-04-04,CAN,CAN,75,215,1997,1,4,4,8466141
2009-2010,Ryan Miller,BUF,G,4.0,8.0,5.0,30.0,14.0,4.0,10.0,39.0,3.0,3.0,3.0,3.0,3.0,Starter,69,0.929,2.22,174.43,150,29,1980-07-17,USA,USA,75,170,1999,5,12,138,8468011
2009-2010,Scott Clemmensen,FLA,G,17.0,32.0,13.0,6.0,47.0,24.0,11.0,45.0,16.0,45.0,45.0,27.0,26.0,Backup,23,0.912,2.91,54.97,59,32,1977-07-23,USA,USA,74,200,1997,8,25,215,8466339
2009-2010,Semyon Varlamov,WSH,G,21.0,6.0,56.0,60.0,35.0,1.0,24.0,11.0,38.0,48.0,49.0,37.0,17.0,Backup,26,0.909,2.55,61.06,65,21,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575
2009-2010,Steve Mason,CBJ,G,44.0,44.0,44.0,20.0,57.0,30.0,8.0,28.0,35.0,42.0,42.0,33.0,37.0,Starter,58,0.901,3.05,134.49,163,21,1988-05-29,CAN,CAN,76,188,2006,3,6,69,8473461
2009-2010,Thomas Greiss,SJS,G,11.0,14.0,8.0,1.0,52.0,9.0,52.0,55.0,24.0,40.0,40.0,24.0,34.0,Backup,16,0.912,2.68,36.95,35,23,1986-01-29,DEU,DEU,74,219,2004,3,29,94,8471306
2009-2010,Tim Thomas,BOS,G,8.0,22.0,2.0,14.0,6.0,21.0,21.0,31.0,6.0,8.0,8.0,13.0,9.0,1A,43,0.915,2.56,92.13,104,35,1974-04-15,USA,USA,71,201,1994,9,9,217,8460703
2009-2010,Tomas Vokoun,FLA,G,3.0,1.0,47.0,10.0,3.0,11.0,53.0,59.0,14.0,5.0,5.0,4.0,10.0,Starter,63,0.925,2.55,175.28,157,33,1976-07-02,CZE,CZE,73,210,1994,9,18,226,8460712
2009-2010,Tuukka Rask,BOS,G,1.0,4.0,7.0,9.0,1.0,6.0,3.0,12.0,2.0,1.0,1.0,1.0,1.0,1A,45,0.931,1.97,100.33,84,22,1987-03-10,FIN,FIN,75,176,2005,1,21,21,8471695
2009-2010,Ty Conklin,STL,G,10.0,17.0,11.0,37.0,39.0,3.0,1.0,38.0,33.0,22.0,23.0,40.0,12.0,Backup,26,0.921,2.48,65.27,60,33,1976-03-30,USA,USA,73,185,-,-,-,-,8469152
2009-2010,Vesa Toskala,CGY,G,60.0,53.0,58.0,56.0,55.0,59.0,9.0,35.0,58.0,58.0,58.0,60.0,59.0,Backup,32,0.88,3.48,71.27,93,32,1977-05-20,FIN,FIN,70,198,1995,4,12,90,8462117
2009-2010,Vesa Toskala,TOR,G,60.0,53.0,58.0,56.0,55.0,59.0,9.0,35.0,58.0,58.0,58.0,60.0,59.0,Backup,32,0.88,3.48,71.27,93,32,1977-05-20,FIN,FIN,70,198,1995,4,12,90,8462117
