Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2020-2021,Curtis McElhinney,TBL,G,65.0,69.0,43.0,63.0,66.0,47.0,2.0,5.0,62.0,57.0,57.0,51.0,61.0,Backup,12,0.875,3.09,22.39,37,37,1983-05-23,CAN,CAN,74,210,2002,6,10,176,8470147
2020-2021,Darcy Kuemper,ARI,G,31.0,42.0,26.0,5.0,37.0,36.0,64.0,16.0,23.0,18.0,19.0,13.0,24.0,Backup,27,0.907,2.56,63.38,66,30,1990-05-05,CAN,CAN,77,215,2009,6,10,161,8475311
2020-2021,David Rittich,CGY,G,48.0,43.0,56.0,46.0,58.0,26.0,31.0,30.0,47.0,46.0,46.0,36.0,51.0,Backup,19,0.901,2.86,38.51,46,28,1992-08-19,CZE,CZE,76,205,-,-,-,-,8479496
2020-2021,David Rittich,TOR,G,48.0,43.0,56.0,46.0,58.0,26.0,31.0,30.0,47.0,46.0,46.0,36.0,51.0,Backup,19,0.901,2.86,38.51,46,28,1992-08-19,CZE,CZE,76,205,-,-,-,-,8479496
2020-2021,Devan Dubnyk,COL,G,64.0,58.0,41.0,57.0,63.0,64.0,37.0,23.0,60.0,55.0,55.0,59.0,64.0,Backup,22,0.895,3.2,49.45,63,34,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227
2020-2021,Devan Dubnyk,SJS,G,64.0,58.0,41.0,57.0,63.0,64.0,37.0,23.0,60.0,55.0,55.0,59.0,64.0,Backup,22,0.895,3.2,49.45,63,34,1986-05-04,CAN,CAN,78,224,2004,1,14,14,8471227
2020-2021,Dustin Tokarski,BUF,G,55.0,49.0,22.0,69.0,42.0,27.0,54.0,68.0,38.0,48.0,48.0,52.0,67.0,Backup,13,0.904,3.54,36.58,43,30,1989-09-16,CAN,CAN,72,198,2008,5,1,122,8474682
2020-2021,Elvis Merzlikins,CBJ,G,16.0,33.0,9.0,21.0,40.0,13.0,43.0,34.0,19.0,24.0,22.0,17.0,27.0,Backup,28,0.916,2.77,61.92,69,26,1994-04-13,LVA,LVA,75,183,2014,3,16,76,8478007
2020-2021,Filip Gustavsson,OTT,G,7.0,4.0,30.0,1.0,53.0,10.0,6.0,20.0,2.0,2.0,2.0,2.0,5.0,Backup,9,0.933,2.16,20.18,17,22,1998-06-07,SWE,SWE,74,184,2016,2,25,55,8479406
2020-2021,Frederik Andersen,TOR,G,53.0,38.0,61.0,32.0,51.0,60.0,3.0,27.0,49.0,53.0,53.0,55.0,43.0,Backup,24,0.895,2.96,57.34,70,30,1989-10-02,DNK,DNK,76,238,2012,3,26,87,8475883
2020-2021,Igor Shesterkin,NYR,G,6.0,8.0,47.0,3.0,49.0,2.0,51.0,61.0,6.0,4.0,4.0,5.0,8.0,1B,35,0.916,2.62,84.76,83,24,1995-12-30,RUS,RUS,73,189,2014,4,28,118,8478048
2020-2021,Ilya Samsonov,WSH,G,47.0,45.0,33.0,29.0,36.0,58.0,25.0,10.0,53.0,56.0,56.0,44.0,19.0,Backup,19,0.902,2.69,41.19,49,23,1997-02-22,RUS,RUS,75,214,2015,1,22,22,8478492
2020-2021,Ilya Sorokin,NYI,G,18.0,37.0,14.0,8.0,13.0,53.0,21.0,3.0,3.0,6.0,6.0,10.0,9.0,Backup,22,0.918,2.17,47.52,46,25,1995-08-04,RUS,RUS,75,195,2014,3,18,78,8478009
2020-2021,Jack Campbell,TOR,G,21.0,25.0,10.0,22.0,5.0,52.0,11.0,15.0,32.0,43.0,43.0,31.0,14.0,Backup,22,0.921,2.15,49.05,46,28,1992-01-09,USA,USA,75,207,2010,1,11,11,8475789
2020-2021,Jacob Markstrom,CGY,G,34.0,35.0,32.0,31.0,41.0,28.0,17.0,37.0,33.0,27.0,28.0,24.0,31.0,1A,43,0.904,2.68,95.06,111,30,1990-01-31,SWE,SWE,78,207,2008,2,1,31,8474593
2020-2021,Jake Allen,MTL,G,23.0,34.0,8.0,49.0,27.0,19.0,15.0,26.0,25.0,20.0,21.0,20.0,33.0,Backup,29,0.907,2.68,68.32,76,30,1990-08-07,CAN,CAN,74,195,2008,2,4,34,8474596
2020-2021,Jake Oettinger,DAL,G,35.0,41.0,48.0,45.0,18.0,49.0,22.0,4.0,18.0,36.0,36.0,41.0,42.0,Backup,29,0.911,2.36,58.94,63,21,1998-12-18,USA,USA,77,220,2017,1,26,26,8479979
2020-2021,James Reimer,CAR,G,36.0,29.0,35.0,15.0,17.0,61.0,36.0,40.0,52.0,22.0,25.0,19.0,23.0,Backup,22,0.906,2.66,53.51,59,32,1988-03-15,CAN,CAN,75,205,2006,4,6,99,8473503
2020-2021,Jaroslav Halak,BOS,G,39.0,48.0,7.0,44.0,46.0,24.0,1.0,6.0,27.0,50.0,50.0,61.0,20.0,Backup,19,0.905,2.53,38.23,46,35,1985-05-13,SVK,SVK,71,189,2003,9,10,271,8470860
2020-2021,Jeremy Swayman,BOS,G,1.0,1.0,3.0,40.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,Backup,10,0.945,1.5,20.03,15,21,1998-11-24,USA,USA,74,194,2017,4,18,111,8480280
2020-2021,John Gibson,ANA,G,37.0,26.0,46.0,7.0,30.0,59.0,61.0,62.0,54.0,51.0,52.0,45.0,52.0,1B,35,0.903,2.98,95.64,101,27,1993-07-14,USA,USA,74,210,2011,2,9,39,8476434
2020-2021,Jonas Johansson,BUF,G,50.0,59.0,4.0,27.0,68.0,18.0,5.0,24.0,65.0,69.0,69.0,57.0,59.0,Backup,15,0.897,2.86,31.23,39,24,1995-09-19,SWE,SWE,77,220,2014,3,1,61,8477992
2020-2021,Jonas Johansson,COL,G,50.0,59.0,4.0,27.0,68.0,18.0,5.0,24.0,65.0,69.0,69.0,57.0,59.0,Backup,15,0.897,2.86,31.23,39,24,1995-09-19,SWE,SWE,77,220,2014,3,1,61,8477992
2020-2021,Jonathan Bernier,DET,G,32.0,21.0,39.0,10.0,32.0,41.0,55.0,65.0,30.0,31.0,31.0,42.0,47.0,Backup,24,0.914,2.99,64.1,65,32,1988-08-07,CAN,CAN,72,185,2006,1,11,11,8473541
2020-2021,Jonathan Quick,LAK,G,58.0,65.0,37.0,53.0,50.0,57.0,60.0,19.0,66.0,54.0,54.0,56.0,48.0,Backup,22,0.898,2.85,52.7,58,34,1986-01-21,USA,USA,73,220,2005,3,11,72,8471734
2020-2021,Joonas Korpisalo,CBJ,G,56.0,52.0,57.0,30.0,48.0,65.0,30.0,39.0,41.0,40.0,40.0,38.0,58.0,1B,33,0.894,3.3,75.33,96,26,1994-04-28,FIN,FIN,75,193,2012,3,1,62,8476914
2020-2021,Jordan Binnington,STL,G,29.0,20.0,45.0,54.0,28.0,16.0,57.0,29.0,46.0,33.0,33.0,26.0,25.0,1A,42,0.91,2.65,107.18,108,27,1993-07-11,CAN,CAN,74,172,2011,3,27,88,8476412
2020-2021,Josef Korenar,SJS,G,54.0,54.0,17.0,65.0,44.0,44.0,34.0,56.0,55.0,60.0,60.0,57.0,65.0,Backup,10,0.899,3.17,22.57,26,22,1998-01-31,CZE,,73,185,-,-,-,-,8480373
2020-2021,Juuse Saros,NSH,G,5.0,5.0,54.0,13.0,4.0,14.0,42.0,44.0,10.0,16.0,17.0,28.0,11.0,1B,36,0.93,2.13,84.23,73,25,1995-04-19,FIN,FIN,71,180,2013,4,8,99,8477424
2020-2021,Kaapo Kahkonen,MIN,G,51.0,53.0,52.0,59.0,65.0,25.0,35.0,17.0,50.0,28.0,29.0,6.0,28.0,Backup,24,0.901,2.88,52.76,68,24,1996-08-16,FIN,FIN,74,217,2014,4,19,109,8478039
2020-2021,Keith Kinkaid,NYR,G,60.0,66.0,2.0,62.0,16.0,67.0,32.0,1.0,44.0,65.0,65.0,64.0,57.0,Backup,9,0.897,2.59,16.72,21,31,1989-07-04,USA,USA,74,195,-,-,-,-,8476234
2020-2021,Kevin Lankinen,CHI,G,17.0,10.0,64.0,24.0,24.0,37.0,48.0,67.0,48.0,58.0,58.0,49.0,32.0,1B,37,0.909,3.01,100.03,109,25,1995-04-28,FIN,FIN,74,190,-,-,-,-,8480947
2020-2021,Laurent Brossoit,WPG,G,22.0,27.0,15.0,55.0,35.0,7.0,38.0,52.0,37.0,23.0,26.0,16.0,40.0,Backup,14,0.918,2.42,31.93,30,27,1993-03-23,CAN,CAN,75,215,2011,6,13,164,8476316
2020-2021,Linus Ullmark,BUF,G,28.0,9.0,65.0,23.0,29.0,39.0,14.0,43.0,26.0,8.0,8.0,7.0,29.0,Backup,20,0.917,2.63,44.96,49,27,1993-07-31,SWE,SWE,77,212,2012,6,12,163,8476999
2020-2021,Mackenzie Blackwood,NJD,G,40.0,36.0,60.0,39.0,23.0,55.0,27.0,53.0,28.0,44.0,44.0,50.0,45.0,1B,35,0.902,3.04,92.02,106,23,1996-12-09,CAN,CAN,76,225,2015,2,12,42,8478406
2020-2021,Malcolm Subban,CHI,G,52.0,56.0,40.0,66.0,7.0,63.0,44.0,42.0,58.0,52.0,51.0,58.0,55.0,Backup,16,0.9,2.93,37.79,43,26,1993-12-21,CAN,CAN,74,215,2012,1,24,24,8476876
2020-2021,Marc-Andre Fleury,VGK,G,11.0,23.0,31.0,14.0,22.0,17.0,62.0,18.0,7.0,12.0,13.0,23.0,6.0,1B,36,0.928,1.98,88.7,71,35,1984-11-28,CAN,CAN,74,185,2003,1,1,1,8470594
2020-2021,Marcus Hogberg,OTT,G,69.0,68.0,69.0,67.0,67.0,34.0,63.0,47.0,68.0,63.0,63.0,67.0,68.0,Backup,14,0.876,3.74,27.4,40,25,1994-11-25,SWE,SWE,77,222,2013,3,17,78,8477405
2020-2021,Martin Jones,SJS,G,61.0,61.0,36.0,61.0,45.0,62.0,52.0,50.0,56.0,66.0,66.0,65.0,56.0,1B,34,0.896,3.28,85.4,102,30,1990-01-10,CAN,CAN,76,203,-,-,-,-,8474889
2020-2021,Matt Murray,OTT,G,59.0,55.0,29.0,33.0,64.0,54.0,28.0,48.0,34.0,42.0,42.0,54.0,54.0,Backup,27,0.893,3.38,62.83,79,26,1994-05-25,CAN,CAN,77,203,2012,3,22,83,8476899
2020-2021,Mike Smith,EDM,G,26.0,44.0,6.0,18.0,39.0,21.0,12.0,28.0,20.0,21.0,23.0,29.0,18.0,Backup,32,0.923,2.31,76.63,71,38,1982-03-22,CAN,CAN,77,220,2001,5,30,161,8469608
2020-2021,Mikko Koskinen,EDM,G,44.0,51.0,24.0,41.0,54.0,29.0,56.0,57.0,40.0,47.0,47.0,40.0,46.0,Backup,26,0.899,3.17,63.29,76,32,1988-07-18,FIN,FIN,79,202,2009,2,1,31,8475156
2020-2021,Pekka Rinne,NSH,G,46.0,30.0,66.0,47.0,56.0,43.0,8.0,36.0,35.0,32.0,32.0,47.0,44.0,Backup,24,0.906,2.84,50.4,62,37,1982-11-03,FIN,FIN,77,217,2004,8,31,258,8471469
2020-2021,Petr Mrazek,CAR,G,10.0,7.0,18.0,20.0,9.0,20.0,40.0,22.0,17.0,30.0,15.0,25.0,15.0,Backup,12,0.923,2.06,29.39,23,28,1992-02-14,CZE,CZE,74,188,2010,5,21,141,8475852
2020-2021,Philipp Grubauer,COL,G,13.0,16.0,16.0,34.0,34.0,5.0,46.0,8.0,9.0,10.0,10.0,14.0,7.0,1B,40,0.922,1.95,82.22,77,28,1991-11-25,DEU,DEU,73,188,2010,4,22,112,8475831
2020-2021,Robin Lehner,VGK,G,12.0,40.0,1.0,51.0,6.0,15.0,50.0,38.0,8.0,5.0,5.0,15.0,13.0,Backup,19,0.913,2.29,47.26,44,29,1991-07-24,SWE,SWE,76,250,2009,2,16,46,8475215
2020-2021,Ryan Miller,ANA,G,57.0,57.0,51.0,64.0,62.0,32.0,66.0,59.0,69.0,64.0,64.0,66.0,66.0,Backup,16,0.882,3.51,40.21,51,40,1980-07-17,USA,USA,75,170,1999,5,12,138,8468011
2020-2021,Scott Wedgewood,NJD,G,41.0,28.0,63.0,26.0,52.0,30.0,26.0,63.0,67.0,68.0,68.0,68.0,62.0,Backup,16,0.9,3.11,40.35,46,28,1992-08-14,CAN,CAN,74,205,2010,3,24,84,8475809
2020-2021,Semyon Varlamov,NYI,G,8.0,11.0,23.0,35.0,3.0,12.0,33.0,25.0,12.0,7.0,7.0,11.0,12.0,1B,36,0.929,2.04,81.48,72,32,1988-04-27,RUS,RUS,74,206,2006,1,23,23,8473575
2020-2021,Sergei Bobrovsky,FLA,G,42.0,46.0,49.0,60.0,31.0,35.0,65.0,54.0,59.0,38.0,38.0,34.0,36.0,Backup,31,0.906,2.91,75.47,88,31,1988-09-20,RUS,RUS,74,182,-,-,-,-,8475683
2020-2021,Thatcher Demko,VAN,G,19.0,31.0,11.0,37.0,12.0,31.0,39.0,66.0,16.0,35.0,34.0,30.0,35.0,1B,35,0.915,2.85,105.96,99,24,1995-12-08,USA,USA,76,192,2014,2,6,36,8477967
2020-2021,Thomas Greiss,DET,G,25.0,14.0,62.0,48.0,20.0,33.0,23.0,45.0,24.0,26.0,27.0,22.0,41.0,1B,34,0.912,2.7,69.22,79,34,1986-01-29,DEU,DEU,74,219,2004,3,29,94,8471306
2020-2021,Tristan Jarry,PIT,G,30.0,18.0,59.0,25.0,19.0,51.0,16.0,35.0,31.0,9.0,9.0,8.0,16.0,1B,39,0.909,2.75,88.75,100,25,1995-04-29,CAN,CAN,74,194,2013,2,14,44,8477465
2020-2021,Tuukka Rask,BOS,G,14.0,22.0,21.0,52.0,25.0,11.0,9.0,7.0,11.0,13.0,11.0,18.0,10.0,Backup,24,0.913,2.28,51.88,53,33,1987-03-10,FIN,FIN,75,176,2005,1,21,21,8471695
2020-2021,Ville Husso,STL,G,67.0,60.0,67.0,50.0,69.0,46.0,67.0,32.0,63.0,67.0,67.0,60.0,50.0,Backup,17,0.893,3.21,40.92,49,25,1995-02-06,FIN,FIN,75,200,2014,4,4,94,8478024
2020-2021,Vitek Vanecek,WSH,G,49.0,50.0,25.0,42.0,33.0,56.0,10.0,13.0,39.0,41.0,41.0,43.0,26.0,1B,37,0.908,2.69,85.25,95,24,1996-01-09,CZE,CZE,74,184,2014,2,9,39,8477970
