Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2025-2026,Karel Vejmelka,UTA,G,34.0,43.0,25.0,34.0,46.0,38.0,17.0,11.0,30.0,33.0,32.0,34.0,22.0,Starter,39,2287.85,0.900,2.57,115.18,98,29,1996-05-25,CZE,CZE,76,224,2015,5,145,8478872.0,25,11,2,1
2025-2026,Kevin Lankinen,VAN,G,52.0,29.0,68.0,26.0,48.0,25.0,48.0,50.0,64.0,50.0,51.0,42.0,59.0,Starter,27,1562.8333333333,0.884,3.46,85.23,90,30,1995-04-28,FIN,FIN,74,190,-,-,-,8480947.0,7,15,4,0
2025-2026,Leevi Meriläinen,OTT,G,72.0,71.0,69.0,71.0,70.0,67.0,37.0,10.0,71.0,71.0,71.0,70.0,72.0,Tandem (1B),20,1094.4833333333,0.860,3.51,47.85,64,23,2002-08-13,FIN,FIN,74,158,-,-,-,8482447.0,8,10,1,0
2025-2026,Linus Ullmark,OTT,G,42.0,33.0,60.0,19.0,43.0,46.0,9.0,24.0,58.0,30.0,29.0,31.0,38.0,Starter,28,1665.85,0.881,2.95,68.3,82,32,1993-07-31,SWE,SWE,77,212,2012,6,163,,14,8,5,1
2025-2026,Logan Thompson,WSH,G,13.0,9.0,31.0,30.0,2.0,17.0,57.0,35.0,5.0,11.0,11.0,10.0,6.0,Starter,37,2185.1,0.914,2.39,117.12,87,28,1997-02-25,CAN,CAN,76,205,-,-,-,8480313.0,18,15,4,2
2025-2026,Lukas Dostal,ANA,G,36.0,38.0,49.0,45.0,32.0,37.0,24.0,62.0,47.0,41.0,41.0,46.0,44.0,Starter,34,1936.1333333333,0.894,3.01,105.95,97,25,2000-06-22,CZE,CZE,74,174,2018,3,85,8480843.0,18,12,2,0
2025-2026,Mackenzie Blackwood,COL,G,10.0,17.0,7.0,17.0,11.0,45.0,51.0,36.0,4.0,13.0,13.0,23.0,5.0,Tandem (1B),17,987.3,0.907,2.49,48.83,41,28,1996-12-09,CAN,CAN,76,225,2015,2,42,8478406.0,13,3,1,2
2025-2026,Petr Mrazek,ANA,G,70.0,67.0,61.0,32.0,68.0,62.0,49.0,68.0,67.0,70.0,70.0,71.0,71.0,Backup,10,515.88333333333,0.858,4.07,27.47,35,33,1992-02-14,CZE,CZE,74,188,2010,5,141,8475852.0,3,5,0,0
2025-2026,Philipp Grubauer,SEA,G,26.0,24.0,53.0,49.0,26.0,18.0,67.0,45.0,48.0,28.0,28.0,32.0,39.0,Tandem (1B),20,1120.6,0.918,2.41,61.86,45,33,1991-11-25,DEU,DEU,73,188,2010,4,112,8475831.0,10,5,3,0
2025-2026,Pyotr Kochetkov,CAR,G,21.0,50.0,6.0,31.0,37.0,57.0,4.0,6.0,56.0,60.0,50.0,58.0,14.0,Backup,9,490.15,0.899,2.33,18.93,19,26,1999-06-25,RUS,RUS,75,205,2019,2,36,8481611.0,6,2,0,1
2025-2026,Samuel Ersson,PHI,G,69.0,69.0,33.0,70.0,69.0,55.0,6.0,4.0,69.0,69.0,69.0,65.0,67.0,Tandem (1A),23,1348.3833333333,0.861,3.2,61.66,72,25,1999-10-20,SWE,SWE,74,176,2018,5,143,8481035.0,8,8,5,0
2025-2026,Samuel Montembeault,MTL,G,63.0,65.0,34.0,66.0,31.0,63.0,42.0,39.0,61.0,56.0,57.0,60.0,61.0,Tandem (1A),22,1231.9333333333,0.869,3.46,66.32,71,28,1996-10-30,CAN,CAN,75,214,2015,3,77,8478470.0,9,8,2,0
2025-2026,Scott Wedgewood,COL,G,6.0,6.0,23.0,47.0,4.0,10.0,26.0,17.0,9.0,9.0,9.0,8.0,4.0,Starter,30,1738.7333333333,0.918,2.14,77.2,62,33,1992-08-14,CAN,CAN,74,205,2010,3,84,8475809.0,20,3,5,2
2025-2026,Sergei Bobrovsky,FLA,G,58.0,56.0,51.0,40.0,53.0,54.0,12.0,9.0,55.0,48.0,48.0,29.0,37.0,Starter,35,2063.4666666667,0.875,3.08,97.19,106,36,1988-09-20,RUS,RUS,74,182,-,-,-,8475683.0,20,14,1,3
2025-2026,Spencer Knight,CHI,G,8.0,13.0,15.0,50.0,52.0,1.0,38.0,57.0,24.0,17.0,17.0,5.0,16.0,Starter,34,2032.7333333333,0.913,2.54,109.1,86,24,2001-04-19,USA,USA,75,192,2019,1,13,8481519.0,15,13,6,3
2025-2026,Stuart Skinner,PIT,G,38.0,48.0,43.0,61.0,28.0,43.0,23.0,12.0,34.0,43.0,43.0,47.0,32.0,Starter,33,1907.1166666667,0.894,2.67,95.48,85,26,1998-11-01,CAN,CAN,76,206,2017,3,78,8479973.0,17,12,4,2
2025-2026,Thatcher Demko,VAN,G,37.0,22.0,44.0,41.0,16.0,33.0,14.0,34.0,51.0,52.0,53.0,36.0,46.0,Tandem (1B),20,1115.8666666667,0.895,2.9,58.7,54,29,1995-12-08,USA,USA,76,192,2014,2,36,8477967.0,8,10,1,1
2025-2026,Tristan Jarry,EDM,G,25.0,36.0,32.0,22.0,67.0,12.0,40.0,52.0,45.0,47.0,47.0,37.0,21.0,Tandem (1A),22,1233.3,0.900,2.82,64.79,58,30,1995-04-29,CAN,CAN,74,194,2013,2,44,8477465.0,14,5,2,2
2025-2026,Ukko-Pekka Luukkonen,BUF,G,28.0,47.0,10.0,37.0,36.0,52.0,30.0,20.0,33.0,26.0,21.0,38.0,35.0,Tandem (1A),21,1235.25,0.905,2.53,59.78,52,26,1999-03-09,FIN,FIN,77,217,2017,2,54,8480045.0,11,7,2,0
2025-2026,Ville Husso,ANA,G,60.0,59.0,50.0,69.0,10.0,66.0,61.0,65.0,42.0,59.0,60.0,66.0,58.0,Backup,11,604.48333333333,0.888,3.08,29.78,31,30,1995-02-06,FIN,FIN,75,200,2014,4,94,8478024.0,6,4,1,0
2025-2026,Vitek Vanecek,UTA,G,64.0,60.0,39.0,21.0,60.0,60.0,53.0,31.0,50.0,61.0,61.0,67.0,68.0,Backup,13,760.71666666667,0.883,2.92,36.68,37,29,1996-01-09,CZE,CZE,74,184,2014,2,39,8477970.0,2,9,2,0
2025-2026,Yaroslav Askarov,SJS,G,57.0,55.0,37.0,60.0,50.0,40.0,66.0,69.0,52.0,49.0,49.0,55.0,56.0,Starter,31,1692.8,0.889,3.51,102.89,99,23,2002-06-16,RUS,RUS,75,178,2020,1,11,8482137.0,16,13,1,0
