Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,evo_history,evd_history,ppl_history,pkl_history,team_history
2008-2009,Andrei Markov,MTL,D,34.0,228.0,15.0,189.0,59.0,221.0,97.0,58.0,16.0,214.0,47.0,190.0,,6.0,First Pair,78,1921.0166666667,12,52,64,10.38,51.06,46.94,29,1978-12-20,RUS,RUS,72,200,1998,6,162,8467496.0,"[74, 88]","[6, 2]","[88, 87]","[6, 2]","['MTL', 'MTL']"
2008-2009,Andrej Meszaros,TBL,D,85.0,191.0,79.0,89.0,68.0,195.0,58.0,135.0,118.0,78.0,77.0,137.0,,54.0,First Pair,52,1257.5833333333,2,14,16,4.65,50.00,46.11,22,1985-10-13,SVK,SVK,74,223,2004,1,23,8471236.0,"[88, 45]","[27, 15]","[97, 16]","[23, 63]","['OTT', 'TBL']"
2008-2009,Andrej Sekera,BUF,D,104.0,56.0,56.0,57.0,88.0,36.0,143.0,131.0,55.0,115.0,39.0,181.0,,123.0,Second Pair,69,1427.6666666667,3,16,19,3.46,46.88,53.90,22,1986-06-08,SVK,SVK,72,200,2004,3,71,8471284.0,"[30, 68]","[94, 56]","[85, 47]","[84, 59]","['BUF', 'BUF']"
2008-2009,Andrew Alberts,PHI,D,176.0,141.0,,105.0,157.0,164.0,185.0,201.0,105.0,100.0,179.0,36.0,,177.0,Third Pair,79,1247.8833333333,1,12,13,1.88,53.41,47.21,27,1981-06-30,USA,USA,77,218,2001,6,179,8469626.0,"[3, 38]","[58, 32]","[None, None]","[3, 77]","['BOS', 'PHI']"
2008-2009,Andrew Ference,BOS,D,118.0,90.0,65.0,182.0,100.0,107.0,86.0,217.0,81.0,86.0,70.0,102.0,,90.0,Second Pair,47,1012.0166666667,1,15,16,2.78,58.70,51.79,29,1979-03-17,CAN,CAN,71,182,1997,8,208,8466333.0,"[38, 56]","[15, 76]","[19, 66]","[2, 18]","['BOS', 'BOS']"
2008-2009,Andrew Hutchinson,TBL,D,95.0,144.0,,,225.0,75.0,7.0,34.0,119.0,26.0,121.0,224.0,,163.0,Third Pair,40,574.38333333333,2,3,5,2.13,37.84,44.81,28,1980-03-24,USA,USA,74,195,1999,2,54,8467927.0,"[None, 58]","[None, 43]","[None, None]","[None, None]","[None, 'TBL']"
2008-2009,Andrew Hutchinson,DAL,D,95.0,144.0,,,225.0,75.0,7.0,34.0,119.0,26.0,121.0,224.0,,163.0,Third Pair,40,574.38333333333,2,3,5,2.13,37.84,44.81,28,1980-03-24,USA,USA,74,195,1999,2,54,8467927.0,"[None, 58]","[None, 43]","[None, None]","[None, None]","[None, 'TBL']"
2008-2009,Andy Greene,NJD,D,177.0,13.0,118.0,,138.0,44.0,195.0,121.0,171.0,33.0,65.0,163.0,,167.0,Third Pair,49,798.25,2,7,9,2.11,51.35,51.15,25,1982-10-30,USA,USA,71,190,-,-,-,8472382.0,"[12, 31]","[85, 94]","[56, 7]","[93, None]","['NJD', 'NJD']"
2008-2009,Andy Sutton,NYI,D,114.0,106.0,,7.0,102.0,227.0,161.0,114.0,47.0,194.0,228.0,99.0,,67.0,Second Pair,23,465.36666666667,2,8,10,0.58,51.61,44.70,33,1975-03-10,CAN,CAN,78,245,-,-,-,8467304.0,"[49, 53]","[85, 39]","[25, None]","[85, 97]","['NYI', 'NYI']"
2008-2009,Anssi Salmela,NJD,D,67.0,146.0,75.0,,21.0,178.0,80.0,216.0,82.0,10.0,2.0,113.0,,122.0,Third Pair,26,415.53333333333,1,5,6,1.86,54.55,52.66,24,1984-08-13,FIN,FIN,73,200,-,-,-,8474557.0,"[None, 68]","[None, 42]","[None, 42]","[None, None]","[None, 'ATL']"
2008-2009,Anssi Salmela,ATL,D,67.0,146.0,75.0,,21.0,178.0,80.0,216.0,82.0,10.0,2.0,113.0,,122.0,Third Pair,26,415.53333333333,1,5,6,1.86,54.55,52.66,24,1984-08-13,FIN,FIN,73,200,-,-,-,8474557.0,"[None, 68]","[None, 42]","[None, 42]","[None, None]","[None, 'ATL']"
2008-2009,Anton Babchuk,CAR,D,5.0,8.0,7.0,86.0,14.0,92.0,15.0,18.0,19.0,52.0,12.0,223.0,,24.0,Second Pair,72,1301.0,16,19,35,6.28,55.41,53.43,24,1984-05-06,UKR,UKR,77,200,2002,1,21,8470265.0,"[None, 96]","[None, 96]","[None, 90]","[None, 60]","[None, 'CAR']"
2008-2009,Anton Stralman,TOR,D,89.0,155.0,88.0,,85.0,158.0,68.0,61.0,152.0,29.0,98.0,108.0,,153.0,Third Pair,38,591.58333333333,1,12,13,2.45,50.00,49.00,22,1986-08-01,SWE,SWE,71,193,2005,7,216,8471873.0,"[48, 67]","[13, 47]","[35, 46]","[None, None]","['TOR', 'TOR']"
2008-2009,Anton Volchenkov,OTT,D,136.0,2.0,,52.0,172.0,97.0,85.0,125.0,98.0,134.0,167.0,39.0,,70.0,Second Pair,68,1369.5833333333,2,8,10,3.81,38.98,51.22,26,1982-02-25,RUS,RUS,73,220,2000,1,21,8468501.0,"[54, 41]","[93, 99]","[None, None]","[49, 77]","['OTT', 'OTT']"
2008-2009,Barret Jackman,STL,D,152.0,137.0,,27.0,179.0,128.0,149.0,165.0,61.0,206.0,148.0,88.0,,109.0,First Pair,82,1922.1333333333,4,17,21,3.31,40.35,49.06,27,1981-03-05,CAN,CAN,72,203,1999,1,17,8467890.0,"[24, 42]","[45, 40]","[21, None]","[59, 86]","['STL', 'STL']"
2008-2009,Boris Valabik,ATL,D,201.0,223.0,,71.0,184.0,222.0,227.0,230.0,60.0,227.0,231.0,18.0,,216.0,Third Pair,50,762.23333333333,0,5,5,0.48,36.54,44.21,22,1986-02-14,SVK,SVK,79,255,2004,1,10,8471223.0,"[None, 13]","[None, 4]","[None, None]","[None, 64]","[None, 'ATL']"
2008-2009,Brad Lukowich,SJS,D,156.0,9.0,,48.0,107.0,29.0,178.0,207.0,96.0,114.0,15.0,31.0,,182.0,Third Pair,58,940.26666666667,0,8,8,1.78,48.00,54.04,32,1976-08-12,CAN,CAN,73,191,1994,4,90,8460580.0,"[15, 46]","[97, 94]","[None, None]","[81, 65]","['TBL', 'SJS']"
2008-2009,Brad Stuart,DET,D,45.0,176.0,,131.0,51.0,162.0,34.0,127.0,62.0,44.0,59.0,56.0,,95.0,Second Pair,67,1354.65,2,13,15,4.51,49.04,52.17,28,1979-11-06,CAN,CAN,74,215,1998,1,3,8467331.0,"[87, 77]","[3, 51]","[54, None]","[2, 67]","['LAK', 'DET']"
2008-2009,Braydon Coburn,PHI,D,98.0,165.0,67.0,62.0,43.0,145.0,107.0,103.0,165.0,217.0,181.0,78.0,,61.0,First Pair,80,1970.0333333333,7,21,28,6.49,47.27,50.86,23,1985-02-27,CAN,CAN,77,224,2003,1,8,8470601.0,"[62, 59]","[28, 26]","[65, 43]","[71, 61]","['PHI', 'PHI']"
2008-2009,Brendan Bell,OTT,D,119.0,172.0,21.0,,118.0,109.0,62.0,142.0,130.0,108.0,106.0,188.0,,97.0,Third Pair,53,939.51666666667,6,15,21,4.23,52.31,49.94,25,1983-03-31,CAN,CAN,74,205,2001,3,65,8469516.0,"[None, 46]","[None, 28]","[None, 81]","[None, None]","[None, 'OTT']"
2008-2009,Brendan Mikkelson,ANA,D,218.0,200.0,,,167.0,80.0,212.0,222.0,212.0,25.0,22.0,154.0,,229.0,Third Pair,34,473.83333333333,0,2,2,0.71,46.88,49.35,21,1987-06-22,CAN,CAN,75,210,2005,2,31,8471705.0,"[None, 7]","[None, 17]","[None, None]","[None, None]","[None, 'ANA']"
2008-2009,Brendan Witt,NYI,D,184.0,203.0,,144.0,132.0,231.0,176.0,199.0,193.0,220.0,180.0,24.0,,119.0,Second Pair,65,1320.0333333333,0,9,9,2.51,31.33,41.70,33,1975-02-20,CAN,CAN,74,223,1993,1,11,8459433.0,"[59, 11]","[40, 10]","[None, None]","[46, 19]","['NYI', 'NYI']"
2008-2009,Brent Burns,MIN,D,121.0,129.0,19.0,77.0,226.0,66.0,14.0,52.0,134.0,152.0,53.0,148.0,,31.0,First Pair,59,1322.75,8,19,27,9.76,45.31,44.87,23,1985-03-09,CAN,CAN,77,230,2003,1,20,8470613.0,"[77, 35]","[48, 45]","[76, 87]","[61, 54]","['MIN', 'MIN']"
2008-2009,Brent Seabrook,CHI,D,79.0,66.0,104.0,84.0,106.0,41.0,43.0,107.0,97.0,85.0,136.0,27.0,,69.0,First Pair,82,1911.4166666667,8,18,26,7.68,53.54,53.49,23,1985-04-20,CAN,CAN,75,220,2003,1,14,8470607.0,"[68, 63]","[62, 68]","[42, 20]","[49, 56]","['CHI', 'CHI']"
2008-2009,Brent Sopel,CHI,D,126.0,10.0,,72.0,134.0,140.0,118.0,86.0,113.0,119.0,92.0,171.0,,134.0,Third Pair,23,317.63333333333,1,1,2,0.42,40.91,47.68,31,1977-01-07,CAN,CAN,74,205,1995,6,144,8462176.0,"[48, 48]","[91, 95]","[8, None]","[29, 71]","['CHI', 'CHI']"
2008-2009,Bret Hedican,ANA,D,88.0,154.0,78.0,111.0,12.0,84.0,140.0,141.0,180.0,59.0,219.0,121.0,,189.0,Third Pair,51,831.5,1,5,6,1.83,45.16,55.03,38,1970-08-10,USA,USA,74,210,1988,10,198,8456547.0,"[92, 39]","[38, 31]","[None, 41]","[27, 45]","['CAR', 'ANA']"
2008-2009,Brett Clark,COL,D,167.0,5.0,105.0,29.0,162.0,136.0,148.0,174.0,115.0,200.0,79.0,147.0,,45.0,First Pair,76,1697.1666666667,2,10,12,4.69,40.43,49.04,31,1976-12-23,CAN,CAN,72,194,1996,6,154,8465122.0,"[61, 19]","[96, 99]","[48, 18]","[66, 84]","['COL', 'COL']"
2008-2009,Brett Festerling,ANA,D,213.0,149.0,,183.0,204.0,51.0,226.0,229.0,76.0,123.0,9.0,16.0,,225.0,Third Pair,40,666.91666666667,0,5,5,0.59,60.87,46.33,22,1986-03-03,CAN,CAN,73,210,-,-,-,8471978.0,"[None, 10]","[None, 41]","[None, None]","[None, 9]","[None, 'ANA']"
2008-2009,Brett Lebda,DET,D,48.0,60.0,,,180.0,4.0,31.0,12.0,49.0,21.0,202.0,192.0,,195.0,Third Pair,65,887.2,6,10,16,2.84,61.54,51.17,26,1982-01-15,USA,USA,69,195,-,-,-,8471187.0,"[59, 87]","[64, 71]","[34, None]","[None, None]","['DET', 'DET']"
2008-2009,Brian Campbell,CHI,D,40.0,79.0,70.0,,42.0,25.0,144.0,128.0,6.0,12.0,10.0,216.0,,39.0,First Pair,82,1851.15,7,45,52,6.59,53.57,54.28,29,1979-05-23,CAN,CAN,70,192,1997,6,156,8466285.0,"[93, 73]","[42, 68]","[61, 46]","[61, None]","['SJS', 'CHI']"
2008-2009,Brian Lee,OTT,D,185.0,88.0,120.0,8.0,192.0,70.0,135.0,166.0,170.0,53.0,48.0,105.0,,145.0,Second Pair,53,1000.95,2,11,13,2.26,49.06,47.88,21,1987-03-26,USA,USA,75,200,2005,1,9,8471683.0,"[None, 18]","[None, 61]","[None, 13]","[None, 95]","[None, 'OTT']"
2008-2009,Brian Rafalski,DET,D,22.0,100.0,13.0,17.0,25.0,11.0,59.0,49.0,25.0,38.0,49.0,228.0,,15.0,First Pair,78,1807.6333333333,10,49,59,7.78,57.94,53.51,34,1973-09-28,USA,USA,70,194,-,-,-,8467856.0,"[91, 89]","[87, 39]","[86, 91]","[72, 90]","['DET', 'DET']"
2008-2009,Brooks Orpik,PIT,D,187.0,124.0,,88.0,104.0,202.0,214.0,200.0,157.0,107.0,97.0,2.0,,150.0,Second Pair,79,1606.5,2,17,19,1.46,50.81,46.63,27,1980-09-26,USA,USA,75,217,2000,1,18,8468498.0,"[42, 14]","[72, 37]","[None, None]","[70, 45]","['PIT', 'PIT']"
2008-2009,Bruno Gervais,NYI,D,112.0,161.0,121.0,93.0,60.0,225.0,126.0,113.0,136.0,180.0,99.0,143.0,,114.0,Second Pair,69,1490.15,3,16,19,5.01,40.86,44.58,23,1984-10-03,CAN,CAN,73,200,2003,6,182,8470774.0,"[52, 54]","[58, 19]","[28, 9]","[37, 53]","['NYI', 'NYI']"
2008-2009,Bryan McCabe,FLA,D,75.0,213.0,35.0,,80.0,210.0,81.0,88.0,92.0,146.0,163.0,110.0,,17.0,First Pair,69,1596.4666666667,15,24,39,8.36,51.02,46.06,33,1975-06-08,CAN,CAN,74,223,1993,2,40,8459462.0,"[47, 73]","[15, 6]","[82, 65]","[7, None]","['TOR', 'FLA']"
2008-2009,Bryce Salvador,NJD,D,197.0,31.0,,32.0,220.0,72.0,152.0,124.0,153.0,121.0,165.0,64.0,,136.0,Second Pair,76,1480.6166666667,3,13,16,2.0,48.65,47.05,32,1976-02-11,CAN,CAN,75,215,1994,6,138,8460626.0,"[5, 22]","[70, 87]","[None, None]","[35, 89]","['STL', 'NJD']"
2008-2009,Cam Barker,CHI,D,111.0,110.0,44.0,34.0,151.0,38.0,112.0,115.0,43.0,51.0,157.0,76.0,,75.0,Second Pair,68,1247.2,6,34,40,5.89,43.08,51.94,22,1986-04-04,CAN,CAN,75,223,2004,1,3,8471216.0,"[73, 42]","[32, 60]","[15, 82]","[75, 79]","['CHI', 'CHI']"
2008-2009,Carlo Colaiacovo,TOR,D,77.0,69.0,73.0,,73.0,76.0,109.0,75.0,89.0,66.0,36.0,98.0,,105.0,Second Pair,73,1333.1166666667,3,27,30,5.02,51.28,51.74,25,1983-01-27,CAN,CAN,73,202,2001,1,17,8469470.0,"[82, 58]","[15, 86]","[None, 44]","[20, None]","['TOR', 'TOR']"
2008-2009,Carlo Colaiacovo,STL,D,77.0,69.0,73.0,,73.0,76.0,109.0,75.0,89.0,66.0,36.0,98.0,,105.0,Second Pair,73,1333.1166666667,3,27,30,5.02,51.28,51.74,25,1983-01-27,CAN,CAN,73,202,2001,1,17,8469470.0,"[82, 58]","[15, 86]","[None, 44]","[20, None]","['TOR', 'TOR']"
2008-2009,Chris Butler,BUF,D,173.0,159.0,,194.0,193.0,134.0,179.0,84.0,154.0,207.0,71.0,161.0,,188.0,Third Pair,47,785.71666666667,2,4,6,1.72,60.00,46.87,21,1986-10-27,USA,USA,73,196,2005,4,96,8471761.0,"[None, 24]","[None, 34]","[None, None]","[None, 1]","[None, 'BUF']"
2008-2009,Chris Campoli,NYI,D,134.0,134.0,63.0,155.0,113.0,170.0,189.0,47.0,108.0,143.0,57.0,128.0,,86.0,Second Pair,76,1485.5666666667,11,19,30,6.22,40.91,46.85,24,1984-07-09,CAN,CAN,72,200,2004,7,227,8470329.0,"[63, 36]","[74, 30]","[47, 54]","[1, 55]","['NYI', 'OTT']"
2008-2009,Chris Campoli,OTT,D,134.0,134.0,63.0,155.0,113.0,170.0,189.0,47.0,108.0,143.0,57.0,128.0,,86.0,Second Pair,76,1485.5666666667,11,19,30,6.22,40.91,46.85,24,1984-07-09,CAN,CAN,72,200,2004,7,227,8470329.0,"[63, 36]","[74, 30]","[47, 54]","[1, 55]","['NYI', 'OTT']"
2008-2009,Chris Chelios,DET,D,186.0,71.0,,50.0,183.0,1.0,95.0,170.0,208.0,3.0,68.0,132.0,,231.0,Fringe,28,326.8,0,0,0,0.47,52.94,50.22,46,1962-01-25,USA,USA,72,191,1981,2,40,8446053.0,"[70, 7]","[68, 63]","[None, None]","[39, 80]","['DET', 'DET']"
2008-2009,Chris Phillips,OTT,D,161.0,168.0,,116.0,130.0,126.0,138.0,70.0,205.0,165.0,168.0,129.0,,115.0,Second Pair,82,1793.1,6,16,22,3.92,41.05,50.05,30,1978-03-09,CAN,CAN,75,219,1996,1,1,8464956.0,"[29, 33]","[14, 35]","[None, None]","[12, 52]","['OTT', 'OTT']"
2008-2009,Chris Pronger,ANA,D,97.0,43.0,17.0,132.0,169.0,30.0,25.0,24.0,203.0,69.0,191.0,169.0,,12.0,First Pair,82,2209.1833333333,11,37,48,11.92,50.98,52.57,33,1974-10-10,CAN,CAN,78,188,1993,1,2,8459424.0,"[53, 62]","[89, 75]","[79, 88]","[57, 25]","['ANA', 'ANA']"
2008-2009,Christian Backman,CBJ,D,149.0,17.0,122.0,,74.0,9.0,122.0,184.0,184.0,18.0,75.0,167.0,,187.0,Third Pair,56,875.9,2,5,7,2.91,58.14,57.31,28,1980-04-28,SWE,SWE,76,210,1998,1,24,8467348.0,"[36, 41]","[45, 97]","[16, 12]","[55, None]","['STL', 'CBJ']"
2008-2009,Christian Ehrhoff,SJS,D,72.0,27.0,3.0,44.0,58.0,14.0,37.0,158.0,129.0,105.0,84.0,136.0,,42.0,Second Pair,77,1635.1,8,34,42,10.17,44.30,54.12,26,1982-07-06,DEU,DEU,74,201,2001,4,106,8469555.0,"[64, 71]","[91, 79]","[10, 99]","[83, 72]","['SJS', 'SJS']"
2008-2009,Christoph Schubert,OTT,D,70.0,219.0,99.0,12.0,218.0,207.0,16.0,7.0,125.0,24.0,214.0,4.0,,166.0,Third Pair,50,679.83333333333,3,3,6,2.86,43.18,43.35,26,1982-02-05,DEU,DEU,75,230,2001,4,127,,"[99, 32]","[5, 6]","[56, 21]","[79, 92]","['OTT', 'OTT']"
2008-2009,Colin White,NJD,D,160.0,29.0,,67.0,108.0,31.0,160.0,168.0,168.0,56.0,143.0,67.0,,151.0,Second Pair,71,1350.7,1,17,18,1.77,53.93,54.81,30,1977-12-12,CAN,CAN,76,215,1996,2,49,8465005.0,"[14, 43]","[67, 87]","[None, None]","[17, 79]","['NJD', 'NJD']"
2008-2009,Cory Murphy,FLA,D,32.0,80.0,38.0,,135.0,57.0,26.0,87.0,17.0,8.0,166.0,222.0,,64.0,Third Pair,32,574.63333333333,5,11,16,3.17,61.90,49.79,30,1978-02-13,CAN,CAN,69,175,-,-,-,8473924.0,"[42, 90]","[54, 62]","[45, 76]","[None, None]","['FLA', 'TBL']"
2008-2009,Cory Murphy,TBL,D,32.0,80.0,38.0,,135.0,57.0,26.0,87.0,17.0,8.0,166.0,222.0,,64.0,Third Pair,32,574.63333333333,5,11,16,3.17,61.90,49.79,30,1978-02-13,CAN,CAN,69,175,-,-,-,8473924.0,"[42, 90]","[54, 62]","[45, 76]","[None, None]","['FLA', 'TBL']"
2008-2009,Cory Sarich,CGY,D,131.0,63.0,,140.0,115.0,6.0,169.0,156.0,50.0,71.0,223.0,28.0,,194.0,Third Pair,76,1359.0833333333,2,18,20,3.13,58.57,55.78,30,1978-08-16,CAN,CAN,76,207,1996,2,27,8464981.0,"[11, 66]","[50, 76]","[None, None]","[63, 21]","['CGY', 'CGY']"
2008-2009,Craig Rivet,BUF,D,139.0,166.0,32.0,138.0,105.0,87.0,156.0,138.0,99.0,145.0,199.0,107.0,,89.0,Second Pair,64,1295.3,2,22,24,4.19,54.05,48.85,33,1974-09-13,CAN,CAN,74,207,1992,3,68,8459004.0,"[60, 35]","[79, 14]","[69, 75]","[65, 20]","['SJS', 'BUF']"
2008-2009,Dan Boyle,SJS,D,19.0,44.0,12.0,36.0,48.0,27.0,28.0,21.0,40.0,81.0,34.0,184.0,,4.0,First Pair,77,1907.5666666667,16,41,57,15.64,52.22,56.29,32,1976-07-12,CAN,CAN,71,194,-,-,-,8467096.0,"[54, 94]","[82, 78]","[92, 90]","[67, 81]","['TBL', 'SJS']"
2008-2009,Dan Girardi,NYR,D,36.0,180.0,39.0,16.0,6.0,189.0,72.0,102.0,150.0,120.0,30.0,30.0,,101.0,Second Pair,82,1765.35,4,18,22,6.05,42.68,51.82,24,1984-04-29,CAN,CAN,73,212,-,-,-,8471958.0,"[85, 83]","[82, 10]","[89, 57]","[97, 74]","['NYR', 'NYR']"
2008-2009,Dan Hamhuis,NSH,D,106.0,177.0,92.0,40.0,161.0,175.0,55.0,178.0,52.0,204.0,19.0,84.0,,88.0,First Pair,82,1872.5333333333,3,23,26,5.55,43.81,44.86,25,1982-12-13,CAN,CAN,73,204,2001,1,12,8469465.0,"[57, 55]","[20, 22]","[46, 34]","[78, 75]","['NSH', 'NSH']"
2008-2009,Daniel Tjarnqvist,COL,D,198.0,40.0,,80.0,165.0,8.0,200.0,42.0,225.0,16.0,66.0,219.0,,221.0,Third Pair,37,542.38333333333,2,2,4,0.66,54.84,54.82,31,1976-10-14,SWE,SWE,73,207,1995,4,88,8462115.0,"[None, 15]","[None, 82]","[None, None]","[None, 62]","[None, 'COL']"
2008-2009,Darryl Sydor,DAL,D,171.0,11.0,129.0,35.0,120.0,62.0,177.0,157.0,178.0,75.0,26.0,201.0,,139.0,Second Pair,73,1330.25,3,12,15,2.79,48.78,52.67,36,1972-05-13,CAN,CAN,73,211,1990,1,7,8458172.0,"[16, 32]","[55, 98]","[44, 0]","[36, 88]","['PIT', 'PIT']"
2008-2009,Darryl Sydor,PIT,D,171.0,11.0,129.0,35.0,120.0,62.0,177.0,157.0,178.0,75.0,26.0,201.0,,139.0,Second Pair,73,1330.25,3,12,15,2.79,48.78,52.67,36,1972-05-13,CAN,CAN,73,211,1990,1,7,8458172.0,"[16, 32]","[55, 98]","[44, 0]","[36, 88]","['PIT', 'PIT']"
2008-2009,David Hale,PHX,D,183.0,222.0,,185.0,213.0,204.0,205.0,74.0,101.0,225.0,50.0,23.0,,226.0,Third Pair,48,726.65,3,6,9,0.93,40.00,40.33,27,1981-06-18,USA,USA,73,222,2000,1,22,8468502.0,"[11, 26]","[33, 1]","[None, None]","[30, 5]","['CGY', 'PHX']"
2008-2009,Denis Gauthier,LAK,D,163.0,75.0,,28.0,146.0,103.0,151.0,101.0,179.0,169.0,196.0,5.0,,199.0,Third Pair,65,944.68333333333,2,2,4,1.13,38.60,49.83,31,1976-10-01,CAN,CAN,74,220,1995,1,20,8462050.0,"[None, 27]","[None, 65]","[None, None]","[None, 85]","[None, 'LAK']"
2008-2009,Denis Grebeshkov,EDM,D,73.0,209.0,116.0,152.0,29.0,142.0,218.0,59.0,33.0,212.0,54.0,196.0,,107.0,Second Pair,72,1524.4666666667,7,32,39,4.61,57.28,52.78,24,1983-10-11,RUS,RUS,72,206,2002,1,18,8470268.0,"[46, 78]","[6, 17]","[4, 30]","[56, 13]","['EDM', 'EDM']"
2008-2009,Dennis Seidenberg,CAR,D,37.0,47.0,49.0,79.0,46.0,186.0,39.0,118.0,41.0,133.0,31.0,42.0,,30.0,First Pair,70,1563.2666666667,5,25,30,5.01,46.15,47.82,27,1981-07-18,DEU,DEU,72,199,2001,6,172,8469619.0,"[95, 69]","[46, 84]","[52, 67]","[65, 51]","['CAR', 'CAR']"
2008-2009,Dennis Wideman,BOS,D,60.0,114.0,22.0,128.0,62.0,68.0,36.0,48.0,109.0,82.0,35.0,198.0,,13.0,First Pair,79,1946.9166666667,13,37,50,9.71,64.04,52.58,25,1983-03-20,CAN,CAN,72,202,2002,8,241,8469770.0,"[64, 79]","[47, 55]","[67, 85]","[72, 22]","['BOS', 'BOS']"
2008-2009,Derek Meech,DET,D,30.0,121.0,,,203.0,39.0,6.0,27.0,26.0,2.0,124.0,87.0,,201.0,Fringe,41,411.85,2,5,7,2.2,36.84,46.32,24,1984-04-21,CAN,CAN,71,200,2002,7,229,8470061.0,"[33, 92]","[89, 26]","[99, None]","[None, None]","['DET', 'DET']"
2008-2009,Derek Morris,NYR,D,86.0,108.0,71.0,188.0,140.0,209.0,78.0,79.0,69.0,37.0,102.0,142.0,,78.0,Second Pair,75,1566.6333333333,5,15,20,6.37,43.90,44.85,30,1978-08-24,CAN,CAN,72,210,1996,1,13,8464966.0,"[72, 59]","[36, 59]","[78, 35]","[7, 4]","['PHX', 'PHX']"
