Season,Player,Team,Position,tot_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,pdo_rank,ozs_rank,tmt_rank,cmp_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,tot_history,evo_history,evd_history,ppl_history,pkl_history,team_history
2007-2008,Anders Eriksson,CGY,D,,,,,,,184.0,124.0,124.0,101.0,158.0,67.0,15.0,,,Second Pair,61,1267.8666666667,1,17,18,3.09,44.83,55.99,32,1975-01-09,SWE,SWE,75,224,1993,1,22,8459443,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Andreas Lilja,DET,D,,,,,,,129.0,133.0,88.0,207.0,51.0,76.0,99.0,,,Second Pair,79,1440.3666666667,2,10,12,2.44,47.62,55.32,32,1975-07-13,SWE,SWE,75,220,2000,2,54,8468534,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Andrei Markov,MTL,D,,,,,,,60.0,114.0,30.0,26.0,217.0,26.0,219.0,,,First Pair,82,2046.7,16,42,58,9.3,49.06,43.65,28,1978-12-20,RUS,RUS,72,200,1998,6,162,8467496,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MTL']"
2007-2008,Andrei Zyuzin,CHI,D,,,,,,,77.0,47.0,222.0,220.0,109.0,78.0,81.0,,,Third Pair,32,479.0,2,3,5,2.44,34.48,49.13,29,1978-01-21,RUS,RUS,73,208,1996,1,2,8465250,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,Andrej Meszaros,OTT,D,,,,,,,135.0,24.0,22.0,36.0,125.0,38.0,80.0,,,Second Pair,82,1724.8166666667,9,27,36,8.35,51.79,51.34,21,1985-10-13,SVK,SVK,74,223,2004,1,23,8471236,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Andrej Sekera,BUF,D,,,,,,,127.0,188.0,135.0,66.0,144.0,44.0,129.0,,,Second Pair,37,725.9,2,6,8,1.17,51.92,55.06,21,1986-06-08,SVK,SVK,72,200,2004,3,71,8471284,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BUF']"
2007-2008,Andrew Alberts,BOS,D,,,,,,,184.0,212.0,197.0,188.0,116.0,15.0,100.0,,,Second Pair,35,721.7,0,2,2,0.74,60.00,45.12,26,1981-06-30,USA,USA,77,218,2001,6,179,8469626,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2007-2008,Andrew Ference,BOS,D,,,,,,,184.0,186.0,77.0,33.0,105.0,69.0,130.0,,,First Pair,59,1312.4166666667,1,14,15,2.74,37.50,46.97,28,1979-03-17,CAN,CAN,71,182,1997,8,208,8466333,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2007-2008,Andy Greene,NJD,D,,,,,,,184.0,213.0,190.0,90.0,204.0,56.0,41.0,,,Second Pair,59,1150.5666666667,2,8,10,2.67,45.83,50.57,24,1982-10-30,USA,USA,71,190,-,-,-,8472382,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NJD']"
2007-2008,Andy Sutton,NYI,D,,,,,,,147.0,157.0,151.0,211.0,85.0,68.0,89.0,,,Second Pair,58,1053.3333333333,1,7,8,2.27,42.62,50.93,32,1975-03-10,CAN,CAN,78,245,-,-,-,8467304,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Andy Wozniewski,TOR,D,,,,,,,41.0,117.0,55.0,224.0,117.0,28.0,79.0,,,Third Pair,48,680.3,2,7,9,1.31,53.85,48.93,27,1980-05-25,USA,USA,77,225,-,-,-,8471188,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Anton Stralman,TOR,D,,,,,,,16.0,154.0,167.0,154.0,132.0,73.0,32.0,,,Fringe,50,640.58333333333,3,6,9,1.75,41.03,48.52,21,1986-08-01,SWE,SWE,71,193,2005,7,216,8471873,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Anton Volchenkov,OTT,D,,,,,,,161.0,62.0,86.0,137.0,45.0,36.0,210.0,,,Second Pair,67,1374.1666666667,1,14,15,3.64,50.00,47.22,25,1982-02-25,RUS,RUS,73,220,2000,1,21,8468501,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Barret Jackman,STL,D,,,,,,,177.0,185.0,91.0,46.0,84.0,54.0,193.0,,,First Pair,78,1747.2333333333,2,14,16,3.16,47.00,47.44,26,1981-03-05,CAN,CAN,72,203,1999,1,17,8467890,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2007-2008,Brad Lukowich,TBL,D,,,,,,,150.0,209.0,155.0,18.0,13.0,75.0,108.0,,,Third Pair,59,979.73333333333,1,6,7,1.1,37.50,48.66,31,1976-08-12,CAN,CAN,73,191,1994,4,90,8460580,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TBL']"
2007-2008,Brad Stuart,DET,D,,,,,,,71.0,95.0,68.0,32.0,37.0,50.0,106.0,,,Second Pair,72,1522.4666666667,6,17,23,6.09,45.26,46.7,27,1979-11-06,CAN,CAN,74,215,1998,1,3,8467331,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Branislav Mezei,FLA,D,,,,,,,78.0,199.0,223.0,216.0,12.0,65.0,69.0,,,Third Pair,57,824.23333333333,2,2,4,1.01,38.30,46.37,26,1980-10-08,SVK,SVK,76,235,1999,1,10,8467883,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'FLA']"
2007-2008,Braydon Coburn,PHI,D,,,,,,,85.0,74.0,100.0,148.0,147.0,20.0,208.0,,,Second Pair,78,1656.1666666667,9,27,36,6.09,56.99,49.46,22,1985-02-27,CAN,CAN,77,224,2003,1,8,8470601,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PHI']"
2007-2008,Brendan Witt,NYI,D,,,,,,,111.0,113.0,181.0,128.0,44.0,58.0,139.0,,,Second Pair,59,1284.5,2,5,7,2.35,43.28,48.78,32,1975-02-20,CAN,CAN,74,223,1993,1,11,8459433,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Brent Burns,MIN,D,,,,,,,28.0,22.0,73.0,125.0,150.0,19.0,202.0,,,First Pair,82,1893.8833333333,15,28,43,9.94,55.34,48.49,22,1985-03-09,CAN,CAN,77,230,2003,1,20,8470613,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MIN']"
2007-2008,Brent Seabrook,CHI,D,,,,,,,58.0,71.0,112.0,163.0,49.0,35.0,103.0,,,Second Pair,82,1762.8666666667,9,23,32,5.76,53.26,49.49,22,1985-04-20,CAN,CAN,75,220,2003,1,14,8470607,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,Brent Sopel,CHI,D,,,,,,,152.0,159.0,9.0,30.0,209.0,44.0,42.0,,,Second Pair,58,1177.6666666667,1,19,20,2.2,49.15,50.08,30,1977-01-07,CAN,CAN,74,205,1995,6,144,8462176,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,Bret Hedican,CAR,D,,,,,,,117.0,105.0,63.0,199.0,124.0,27.0,187.0,,,Second Pair,66,1273.3333333333,2,15,17,2.61,57.14,52.97,37,1970-08-10,USA,USA,74,210,1988,10,198,8456547,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CAR']"
2007-2008,Brett Clark,COL,D,,,,,,,55.0,72.0,97.0,29.0,135.0,30.0,205.0,,,First Pair,57,1319.95,5,16,21,5.28,53.95,51.88,30,1976-12-23,CAN,CAN,72,194,1996,6,154,8465122,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'COL']"
2007-2008,Brett Lebda,DET,D,,,,,,,122.0,41.0,146.0,69.0,172.0,62.0,8.0,,,Third Pair,78,1285.1166666667,3,11,14,4.82,47.62,50.99,25,1982-01-15,USA,USA,69,195,-,-,-,8471187,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Brian Campbell,SJS,D,,,,,,,106.0,76.0,1.0,10.0,183.0,30.0,57.0,,,First Pair,83,2083.8666666667,8,54,62,8.75,56.69,55.07,28,1979-05-23,CAN,CAN,70,192,1997,6,156,8466285,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'SJS']"
2007-2008,Brian Pothier,WSH,D,,,,,,,8.0,77.0,53.0,95.0,185.0,55.0,46.0,,,Second Pair,38,710.48333333333,5,9,14,1.94,52.38,57.21,30,1977-04-15,USA,USA,72,204,-,-,-,8468427,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,Brian Rafalski,DET,D,,,,,,,86.0,14.0,39.0,87.0,173.0,29.0,78.0,,,First Pair,73,1756.3166666667,13,42,55,10.67,63.95,59.11,33,1973-09-28,USA,USA,70,194,-,-,-,8467856,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Brooks Orpik,PIT,D,,,,,,,167.0,172.0,120.0,68.0,2.0,16.0,146.0,,,Third Pair,78,1323.35,1,10,11,2.13,55.13,49.51,26,1980-09-26,USA,USA,75,217,2000,1,18,8468498,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2007-2008,Bruno Gervais,NYI,D,,,,,,,184.0,126.0,61.0,50.0,213.0,39.0,138.0,,,Second Pair,60,1200.3166666667,0,13,13,3.26,50.00,50.33,22,1984-10-03,CAN,CAN,73,200,2003,6,182,8470774,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Bryan Allen,FLA,D,,,,,,,171.0,196.0,127.0,112.0,50.0,25.0,183.0,,,Second Pair,73,1554.0833333333,2,14,16,2.47,52.69,45.47,27,1980-08-21,CAN,CAN,77,223,1998,1,4,8467332,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'FLA']"
2007-2008,Bryan Berard,NYI,D,,,,,,,139.0,50.0,74.0,175.0,164.0,46.0,28.0,,,Third Pair,54,952.65,5,17,22,5.07,47.83,49.58,30,1977-03-05,USA,USA,74,220,1995,1,1,8462032,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Bryan McCabe,TOR,D,,,,,,,153.0,131.0,157.0,197.0,79.0,44.0,137.0,,,First Pair,54,1398.4666666667,5,18,23,5.79,49.21,45.85,32,1975-06-08,CAN,CAN,74,223,1993,2,40,8459462,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Bryce Salvador,NJD,D,,,,,,,160.0,223.0,105.0,81.0,98.0,17.0,196.0,,,Second Pair,64,1267.15,1,10,11,1.1,53.33,43.9,31,1976-02-11,CAN,CAN,75,215,1994,6,138,8460626,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NJD']"
2007-2008,Cam Barker,CHI,D,,,,,,,9.0,134.0,19.0,164.0,101.0,15.0,162.0,,,Third Pair,45,773.95,6,12,18,1.97,53.06,45.58,21,1986-04-04,CAN,CAN,75,223,2004,1,3,8471216,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2007-2008,Carlo Colaiacovo,TOR,D,,,,,,,21.0,54.0,138.0,17.0,32.0,80.0,198.0,,,Third Pair,28,488.15,2,4,6,1.31,42.42,52.53,24,1983-01-27,CAN,CAN,73,202,2001,1,17,8469470,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Chris Campoli,NYI,D,,,,,,,184.0,155.0,69.0,26.0,123.0,20.0,110.0,,,Second Pair,46,880.8,4,14,18,4.73,59.52,52.81,23,1984-07-09,CAN,CAN,72,200,2004,7,227,8470329,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYI']"
2007-2008,Chris Chelios,DET,D,,,,,,,48.0,48.0,52.0,78.0,152.0,46.0,6.0,,,Third Pair,69,1170.2333333333,3,9,12,2.87,56.00,52.96,45,1962-01-25,USA,USA,72,191,1981,2,40,8446053,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Chris Phillips,OTT,D,,,,,,,100.0,175.0,179.0,132.0,107.0,31.0,224.0,,,First Pair,81,1820.5666666667,5,13,18,3.0,50.96,46.27,29,1978-03-09,CAN,CAN,75,219,1996,1,1,8464956,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Chris Pronger,ANA,D,,,,,,,47.0,28.0,186.0,196.0,163.0,42.0,175.0,,,First Pair,72,1872.0166666667,12,31,43,9.01,50.82,48.07,32,1974-10-10,CAN,CAN,78,188,1993,1,2,8459424,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2007-2008,Christian Backman,NYR,D,,,,,,,103.0,86.0,59.0,120.0,131.0,49.0,87.0,,,Second Pair,63,1210.2,3,15,18,3.86,48.39,49.87,27,1980-04-28,SWE,SWE,76,210,1998,1,24,8467348,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Christian Ehrhoff,SJS,D,,,,,,,184.0,61.0,107.0,111.0,93.0,37.0,67.0,,,Second Pair,77,1672.9666666667,1,21,22,6.69,56.58,58.2,25,1982-07-06,DEU,DEU,74,201,2001,4,106,8469555,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'SJS']"
2007-2008,Christoph Schubert,OTT,D,,,,,,,2.0,2.0,28.0,193.0,1.0,29.0,44.0,,,Third Pair,82,1112.55,8,16,24,7.56,55.36,45.99,25,1982-02-05,DEU,DEU,75,230,2001,4,127,8469575,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Colin White,NJD,D,,,,,,,97.0,233.0,115.0,106.0,57.0,48.0,60.0,,,Second Pair,57,1121.1166666667,2,8,10,0.74,43.64,45.45,29,1977-12-12,CAN,CAN,76,215,1996,2,49,8465005,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NJD']"
2007-2008,Cory Murphy,FLA,D,,,,,,,112.0,107.0,165.0,108.0,225.0,41.0,30.0,,,Third Pair,47,723.4,2,15,17,3.43,50.00,50.42,29,1978-02-13,CAN,CAN,69,175,-,-,-,8473924,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'FLA']"
2007-2008,Cory Sarich,CGY,D,,,,,,,128.0,161.0,211.0,219.0,14.0,34.0,233.0,,,Second Pair,80,1505.5,2,5,7,2.4,49.40,49.52,29,1978-08-16,CAN,CAN,76,207,1996,2,27,8464981,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Craig Rivet,SJS,D,,,,,,,75.0,109.0,131.0,166.0,137.0,56.0,43.0,,,Second Pair,74,1568.3666666667,5,30,35,5.63,52.17,57.76,32,1974-09-13,CAN,CAN,74,207,1992,3,68,8459004,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'SJS']"
2007-2008,Dan Boyle,TBL,D,,,,,,,74.0,16.0,125.0,113.0,162.0,85.0,12.0,,,First Pair,37,1013.95,4,21,25,6.09,36.67,51.91,31,1976-07-12,CAN,CAN,71,194,-,-,-,8467096,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TBL']"
2007-2008,Dan Girardi,NYR,D,,,,,,,34.0,82.0,118.0,3.0,31.0,57.0,96.0,,,Second Pair,82,1738.1,10,18,28,7.29,51.16,50.93,23,1984-04-29,CAN,CAN,73,212,-,-,-,8471958,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Dan Hamhuis,NSH,D,,,,,,,92.0,79.0,156.0,27.0,71.0,50.0,201.0,,,First Pair,80,1818.3833333333,4,23,27,6.0,46.53,50.3,24,1982-12-13,CAN,CAN,73,204,2001,1,12,8469465,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NSH']"
2007-2008,Darryl Sydor,PIT,D,,,,,,,184.0,198.0,183.0,19.0,175.0,23.0,140.0,,,Third Pair,74,1298.9166666667,1,12,13,2.88,52.05,49.46,35,1972-05-13,CAN,CAN,73,211,1990,1,7,8458172,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PIT']"
2007-2008,David Hale,CGY,D,,,,,,,184.0,153.0,224.0,167.0,38.0,49.0,102.0,,,Third Pair,58,805.26666666667,0,2,2,1.47,48.89,52.65,26,1981-06-18,USA,USA,73,222,2000,1,22,8468502,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CGY']"
2007-2008,Denis Grebeshkov,EDM,D,,,,,,,154.0,194.0,27.0,23.0,192.0,39.0,149.0,,,Third Pair,71,1198.3,3,15,18,2.44,50.00,51.19,23,1983-10-11,RUS,RUS,72,206,2002,1,18,8470268,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'EDM']"
2007-2008,Dennis Seidenberg,CAR,D,,,,,,,184.0,64.0,31.0,4.0,5.0,36.0,120.0,,,Second Pair,47,885.2,0,15,15,3.48,54.17,52.83,26,1981-07-18,DEU,DEU,72,199,2001,6,172,8469619,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CAR']"
2007-2008,Dennis Wideman,BOS,D,,,,,,,72.0,51.0,141.0,57.0,182.0,36.0,55.0,,,First Pair,81,2037.75,13,23,36,9.32,55.06,50.88,24,1983-03-20,CAN,CAN,72,202,2002,8,241,8469770,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2007-2008,Derek Meech,DET,D,,,,,,,184.0,15.0,231.0,15.0,72.0,80.0,2.0,,,Fringe,32,388.48333333333,0,3,3,2.34,37.50,51.86,23,1984-04-21,CAN,CAN,71,200,2002,7,229,8470061,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DET']"
2007-2008,Derek Morris,PHX,D,,,,,,,36.0,110.0,98.0,86.0,196.0,29.0,230.0,,,Second Pair,82,1780.5333333333,8,17,25,5.93,53.33,46.46,29,1978-08-24,CAN,CAN,72,210,1996,1,13,8464966,D,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PHX']"
