Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,rbd_rank,tmd_rank,gre_rank,qal_rank,bad_rank,awf_rank,fan_rank,Role,GP,TOI,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,W,L,OT/SO,Shutouts
2025-2026,Dan Vladar,PHI,G,37.0,23.0,63.0,7.0,39.0,38.0,29.0,11.0,19.0,15.0,15.0,14.0,33.0,Starter,33,1892.8333333333,0.904,2.47,89.82,78,28,1997-08-20,CZE,CZE,77,209,2015,3,75,8478435.0,17,8,6,0
2025-2026,Daniil Tarasov,FLA,G,50.0,58.0,9.0,42.0,53.0,47.0,59.0,52.0,27.0,36.0,36.0,40.0,57.0,Backup,19,1101.3166666667,0.899,2.83,54.48,52,26,1999-03-27,RUS,RUS,77,196,2017,3,86,8480193.0,8,8,2,0
2025-2026,Darcy Kuemper,LAK,G,19.0,11.0,45.0,41.0,8.0,17.0,14.0,7.0,16.0,22.0,22.0,25.0,18.0,Starter,36,2081.4833333333,0.900,2.59,94.61,90,35,1990-05-05,CAN,CAN,77,215,2009,6,161,8475311.0,14,11,9,2
2025-2026,David Rittich,NYI,G,32.0,35.0,20.0,14.0,51.0,28.0,42.0,14.0,20.0,34.0,34.0,34.0,25.0,Tandem (1B),23,1379.4,0.900,2.57,70.81,59,33,1992-08-19,CZE,CZE,76,205,-,-,-,8479496.0,12,8,3,2
2025-2026,Dennis Hildeby,TOR,G,6.0,27.0,1.0,69.0,1.0,44.0,72.0,70.0,7.0,3.0,3.0,2.0,37.0,Backup,19,950.6,0.910,2.9,58.6,46,24,2001-08-19,SWE,,79,222,2022,4,122,,5,6,4,1
2025-2026,Devin Cooley,CGY,G,1.0,15.0,2.0,61.0,35.0,3.0,62.0,55.0,1.0,1.0,1.0,1.0,11.0,Backup,19,1058.8666666667,0.921,2.27,57.48,40,28,1997-05-25,USA,USA,77,192,-,-,-,8482445.0,7,6,3,0
2025-2026,Dustin Wolf,CGY,G,26.0,38.0,28.0,27.0,52.0,35.0,23.0,39.0,29.0,39.0,39.0,28.0,42.0,Starter,41,2298.25,0.895,3.0,113.25,115,24,2001-04-16,USA,USA,72,156,2019,7,214,8481692.0,16,21,3,2
2025-2026,Elvis Merzlikins,CBJ,G,52.0,45.0,61.0,47.0,61.0,20.0,56.0,66.0,58.0,45.0,45.0,55.0,55.0,Backup,21,1187.75,0.888,3.49,68.77,69,31,1994-04-13,LVA,LVA,75,183,2014,3,76,8478007.0,11,8,1,1
2025-2026,Eric Comrie,WPG,G,40.0,24.0,72.0,28.0,16.0,39.0,69.0,43.0,43.0,13.0,13.0,11.0,43.0,Backup,19,1056.15,0.892,3.07,56.17,54,30,1995-07-06,CAN,CAN,73,183,2013,2,59,8477480.0,9,9,1,0
2025-2026,Filip Gustavsson,MIN,G,16.0,7.0,55.0,18.0,6.0,29.0,18.0,37.0,21.0,17.0,17.0,8.0,9.0,Starter,36,2137.6,0.906,2.64,104.51,94,27,1998-06-07,SWE,SWE,74,184,2016,2,55,8479406.0,20,9,6,3
2025-2026,Frederik Andersen,CAR,G,55.0,61.0,23.0,24.0,57.0,59.0,25.0,29.0,65.0,60.0,61.0,66.0,58.0,Tandem (1B),22,1324.9833333333,0.871,3.26,69.28,72,35,1989-10-02,DNK,DNK,76,238,2012,3,87,8475883.0,7,10,5,0
2025-2026,Igor Shesterkin,NYR,G,9.0,3.0,33.0,33.0,7.0,11.0,45.0,38.0,10.0,8.0,8.0,22.0,13.0,Starter,34,2006.0,0.913,2.45,101.28,82,29,1995-12-30,RUS,RUS,73,189,2014,4,118,8478048.0,17,12,4,1
2025-2026,Ilya Sorokin,NYI,G,3.0,2.0,18.0,19.0,28.0,2.0,55.0,62.0,22.0,20.0,20.0,16.0,5.0,Starter,35,2091.0666666667,0.916,2.44,124.52,85,30,1995-08-04,RUS,RUS,75,195,2014,3,78,8478009.0,20,13,2,6
2025-2026,Jacob Fowler,MTL,G,25.0,47.0,3.0,2.0,43.0,63.0,28.0,3.0,35.0,63.0,63.0,57.0,29.0,Backup,10,595.18333333333,0.901,2.62,30.78,26,20,2004-11-24,USA,,73,223,2023,3,69,8484170.0,4,4,2,1
2025-2026,Jacob Markstrom,NJD,G,54.0,55.0,60.0,60.0,55.0,32.0,6.0,17.0,63.0,57.0,58.0,51.0,50.0,Tandem (1A),30,1704.7666666667,0.882,3.2,82.81,91,35,1990-01-31,SWE,SWE,78,207,2008,2,31,8474593.0,15,13,1,0
2025-2026,Jake Allen,NJD,G,23.0,39.0,17.0,12.0,10.0,67.0,61.0,54.0,18.0,23.0,24.0,38.0,32.0,Tandem (1A),28,1647.35,0.905,2.66,84.86,73,35,1990-08-07,CAN,CAN,74,195,2008,2,34,8474596.0,12,14,1,1
2025-2026,Jake Oettinger,DAL,G,35.0,34.0,27.0,15.0,33.0,53.0,15.0,20.0,25.0,29.0,30.0,27.0,16.0,Starter,37,2195.1666666667,0.897,2.73,105.43,100,26,1998-12-18,USA,USA,77,220,2017,1,26,8479979.0,23,10,4,2
2025-2026,Jakub Dobes,MTL,G,49.0,33.0,49.0,11.0,59.0,18.0,71.0,30.0,37.0,44.0,44.0,52.0,21.0,Tandem (1B),27,1562.8833333333,0.892,2.96,83.79,77,24,2001-05-27,CZE,,76,205,2020,5,136,8482487.0,18,5,4,0
2025-2026,Jeremy Swayman,BOS,G,27.0,8.0,65.0,44.0,11.0,9.0,65.0,44.0,12.0,12.0,12.0,18.0,24.0,Starter,38,2242.6333333333,0.903,2.92,131.24,109,26,1998-11-24,USA,USA,74,194,2017,4,111,8480280.0,22,12,3,1
2025-2026,Jesper Wallstedt,MIN,G,5.0,14.0,22.0,3.0,34.0,25.0,40.0,68.0,8.0,2.0,2.0,4.0,3.0,Tandem (1B),23,1389.3,0.913,2.72,71.91,63,22,2002-11-14,SWE,SWE,75,214,2021,1,20,8482661.0,14,5,4,4
2025-2026,Jet Greaves,CBJ,G,10.0,17.0,16.0,49.0,37.0,5.0,17.0,32.0,13.0,6.0,6.0,9.0,14.0,Starter,37,2198.2666666667,0.910,2.62,111.18,96,24,2001-03-30,CAN,CAN,72,184,-,-,-,8482982.0,18,12,6,2
2025-2026,Joel Hofer,STL,G,46.0,37.0,66.0,13.0,24.0,60.0,21.0,25.0,39.0,38.0,38.0,47.0,30.0,Tandem (1A),30,1653.9166666667,0.895,2.94,79.91,81,25,2000-07-30,CAN,CAN,77,179,2018,4,107,8480981.0,12,11,3,4
2025-2026,Joey Daccord,SEA,G,28.0,16.0,69.0,50.0,3.0,19.0,60.0,31.0,9.0,18.0,18.0,20.0,20.0,Starter,33,1923.8333333333,0.902,2.81,98.38,90,29,1996-08-19,USA,USA,74,201,2015,7,199,8478916.0,16,12,5,2
2025-2026,John Gibson,DET,G,22.0,18.0,51.0,20.0,18.0,22.0,44.0,51.0,34.0,31.0,32.0,24.0,19.0,Starter,37,2155.1833333333,0.904,2.62,106.23,94,32,1993-07-14,USA,USA,74,210,2011,2,39,8476434.0,22,12,2,4
2025-2026,Jonas Johansson,TBL,G,53.0,42.0,57.0,22.0,72.0,8.0,34.0,35.0,47.0,46.0,46.0,41.0,49.0,Backup,19,1091.05,0.890,2.91,50.47,53,29,1995-09-19,SWE,SWE,77,220,2014,3,61,8477992.0,10,7,1,0
2025-2026,Jonathan Quick,NYR,G,47.0,59.0,8.0,35.0,66.0,43.0,36.0,56.0,54.0,56.0,57.0,54.0,59.0,Backup,20,1122.65,0.890,3.1,56.14,58,39,1986-01-21,USA,USA,73,220,2005,3,72,8471734.0,4,14,2,1
2025-2026,Joonas Korpisalo,BOS,G,51.0,57.0,32.0,56.0,58.0,31.0,68.0,46.0,51.0,42.0,42.0,46.0,53.0,Tandem (1B),22,1199.5333333333,0.892,3.15,68.62,63,31,1994-04-28,FIN,FIN,75,193,2012,3,62,8476914.0,10,8,2,1
2025-2026,Jordan Binnington,STL,G,69.0,65.0,71.0,70.0,45.0,56.0,51.0,23.0,61.0,66.0,67.0,63.0,67.0,Tandem (1A),32,1774.5333333333,0.864,3.65,82.96,108,32,1993-07-11,CAN,CAN,74,172,2011,3,88,8476412.0,8,17,6,1
2025-2026,Joseph Woll,TOR,G,14.0,21.0,15.0,39.0,48.0,12.0,30.0,57.0,14.0,4.0,4.0,12.0,10.0,Tandem (1B),25,1419.7,0.909,2.92,71.82,69,27,1998-07-12,USA,USA,75,203,2016,3,62,8479361.0,13,7,4,2
2025-2026,Justus Annunen,NSH,G,57.0,54.0,46.0,52.0,49.0,46.0,3.0,33.0,26.0,35.0,35.0,43.0,62.0,Backup,18,909.56666666667,0.884,3.23,45.19,49,25,2000-03-11,FIN,FIN,76,210,-,-,-,8481020.0,5,7,2,0
2025-2026,Juuse Saros,NSH,G,41.0,56.0,13.0,54.0,47.0,51.0,22.0,58.0,49.0,40.0,40.0,45.0,52.0,Starter,44,2515.7,0.892,3.2,122.07,134,30,1995-04-19,FIN,FIN,71,180,2013,4,99,8477424.0,21,17,5,0
2025-2026,Karel Vejmelka,UTA,G,34.0,31.0,31.0,25.0,44.0,33.0,16.0,12.0,24.0,24.0,25.0,26.0,22.0,Starter,44,2585.75,0.902,2.58,132.7,111,29,1996-05-25,CZE,CZE,76,224,2015,5,145,8478872.0,27,14,2,1
2025-2026,Kevin Lankinen,VAN,G,62.0,51.0,68.0,32.0,62.0,30.0,39.0,49.0,66.0,54.0,55.0,50.0,66.0,Tandem (1A),32,1749.1,0.875,3.67,94.09,107,30,1995-04-28,FIN,FIN,74,190,-,-,-,8480947.0,7,19,4,0
2025-2026,Leevi Meriläinen,OTT,G,72.0,71.0,70.0,71.0,70.0,68.0,37.0,9.0,72.0,71.0,71.0,70.0,72.0,Backup,20,1094.4833333333,0.860,3.51,47.85,64,23,2002-08-13,FIN,FIN,74,158,-,-,-,,8,10,1,0
2025-2026,Linus Ullmark,OTT,G,36.0,30.0,58.0,21.0,40.0,49.0,8.0,22.0,55.0,26.0,26.0,29.0,26.0,Tandem (1A),30,1785.85,0.884,2.86,72.22,85,32,1993-07-31,SWE,SWE,77,212,2012,6,163,8476999.0,16,8,5,1
2025-2026,Logan Thompson,WSH,G,12.0,10.0,29.0,30.0,2.0,21.0,58.0,40.0,6.0,11.0,11.0,10.0,7.0,Starter,39,2304.3666666667,0.912,2.45,124.74,94,28,1997-02-25,CAN,CAN,76,205,-,-,-,8480313.0,19,16,4,2
2025-2026,Lukas Dostal,ANA,G,29.0,29.0,50.0,40.0,26.0,37.0,20.0,60.0,41.0,27.0,28.0,36.0,38.0,Starter,38,2176.8166666667,0.897,2.92,119.05,106,25,2000-06-22,CZE,CZE,74,174,2018,3,85,8480843.0,21,13,2,0
2025-2026,Mackenzie Blackwood,COL,G,4.0,9.0,4.0,16.0,9.0,27.0,52.0,41.0,2.0,9.0,9.0,19.0,4.0,Tandem (1B),22,1282.2166666667,0.916,2.25,63.71,48,28,1996-12-09,CAN,CAN,76,225,2015,2,42,8478406.0,16,5,1,3
2025-2026,Nikita Tolopilo,VAN,G,7.0,1.0,38.0,1.0,60.0,1.0,70.0,72.0,3.0,7.0,7.0,23.0,36.0,Backup,9,493.56666666667,0.910,3.04,31.26,25,25,2000-04-06,BLR,,78,229,-,-,-,8484268.0,3,3,1,0
2025-2026,Petr Mrazek,ANA,G,70.0,67.0,64.0,31.0,67.0,66.0,50.0,67.0,68.0,69.0,70.0,72.0,71.0,Backup,10,515.88333333333,0.858,4.07,27.47,35,33,1992-02-14,CZE,CZE,74,188,2010,5,141,8475852.0,3,5,0,0
2025-2026,Philipp Grubauer,SEA,G,24.0,26.0,47.0,53.0,27.0,16.0,67.0,48.0,45.0,28.0,29.0,31.0,39.0,Tandem (1B),22,1236.8,0.916,2.43,67.56,50,33,1991-11-25,DEU,DEU,73,188,2010,4,112,8475831.0,11,6,3,0
2025-2026,Pyotr Kochetkov,CAR,G,21.0,48.0,6.0,29.0,36.0,58.0,1.0,5.0,57.0,61.0,49.0,59.0,12.0,Backup,9,490.15,0.899,2.33,18.93,19,26,1999-06-25,RUS,RUS,75,205,2019,2,36,8481611.0,6,2,0,1
2025-2026,Samuel Ersson,PHI,G,71.0,70.0,30.0,68.0,71.0,62.0,4.0,1.0,70.0,70.0,69.0,68.0,69.0,Tandem (1B),25,1448.3833333333,0.856,3.36,65.71,81,25,1999-10-20,SWE,SWE,74,176,2018,5,143,8481035.0,8,10,5,0
2025-2026,Samuel Montembeault,MTL,G,60.0,60.0,34.0,63.0,20.0,61.0,47.0,45.0,59.0,53.0,54.0,58.0,60.0,Tandem (1B),23,1291.9333333333,0.875,3.34,72.77,72,28,1996-10-30,CAN,CAN,75,214,2015,3,77,8478470.0,10,8,2,0
2025-2026,Scott Wedgewood,COL,G,11.0,12.0,25.0,58.0,4.0,14.0,19.0,16.0,11.0,10.0,10.0,7.0,6.0,Tandem (1A),31,1798.7333333333,0.912,2.3,80.02,69,33,1992-08-14,CAN,CAN,74,205,2010,3,84,8475809.0,20,4,5,2
2025-2026,Sergei Bobrovsky,FLA,G,61.0,63.0,48.0,36.0,50.0,64.0,9.0,8.0,62.0,50.0,51.0,35.0,44.0,Starter,40,2318.2166666667,0.871,3.13,108.29,121,36,1988-09-20,RUS,RUS,74,182,-,-,-,8475683.0,21,17,1,3
2025-2026,Spencer Knight,CHI,G,18.0,20.0,14.0,57.0,56.0,4.0,33.0,50.0,32.0,25.0,27.0,15.0,23.0,Starter,39,2334.7833333333,0.908,2.62,121.72,102,24,2001-04-19,USA,USA,75,192,2019,1,13,8481519.0,16,16,7,3
2025-2026,Stuart Skinner,PIT,G,44.0,49.0,37.0,62.0,22.0,48.0,27.0,10.0,30.0,43.0,43.0,49.0,35.0,Starter,36,2087.7333333333,0.890,2.79,104.95,97,26,1998-11-01,CAN,CAN,76,206,2017,3,78,8479973.0,19,12,5,2
2025-2026,Thatcher Demko,VAN,G,38.0,25.0,43.0,43.0,14.0,36.0,13.0,34.0,50.0,49.0,50.0,32.0,47.0,Backup,20,1115.8666666667,0.895,2.9,58.7,54,29,1995-12-08,USA,USA,76,192,2014,2,36,8477967.0,8,10,1,1
2025-2026,Tristan Jarry,EDM,G,42.0,36.0,59.0,23.0,65.0,15.0,54.0,53.0,56.0,48.0,48.0,39.0,34.0,Tandem (1B),25,1387.5,0.893,3.07,76.4,71,30,1995-04-29,CAN,CAN,74,194,2013,2,44,8477465.0,15,7,2,2
2025-2026,Ukko-Pekka Luukkonen,BUF,G,33.0,50.0,11.0,37.0,32.0,55.0,32.0,21.0,36.0,32.0,23.0,42.0,41.0,Tandem (1B),22,1247.4833333333,0.902,2.6,60.51,54,26,1999-03-09,FIN,FIN,77,217,2017,2,54,8480045.0,11,7,2,0
2025-2026,Ville Husso,ANA,G,64.0,64.0,56.0,67.0,31.0,65.0,57.0,63.0,48.0,62.0,62.0,69.0,63.0,Backup,12,662.1,0.882,3.26,32.76,36,30,1995-02-06,FIN,FIN,75,200,2014,4,94,8478024.0,6,5,1,0
2025-2026,Vitek Vanecek,UTA,G,63.0,62.0,26.0,17.0,64.0,57.0,53.0,27.0,53.0,58.0,59.0,65.0,68.0,Backup,14,820.68333333333,0.884,2.92,40.28,40,29,1996-01-09,CZE,CZE,74,184,2014,2,39,8477970.0,3,9,2,0
2025-2026,Yaroslav Askarov,SJS,G,59.0,52.0,36.0,55.0,46.0,40.0,64.0,69.0,42.0,47.0,47.0,56.0,61.0,Starter,35,1903.5666666667,0.888,3.53,113.96,112,23,2002-06-16,RUS,RUS,75,178,2020,1,11,8482137.0,17,15,2,0
