Season,Player,Team,Position,tot_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,pdo_rank,ozs_rank,tmt_rank,cmp_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,tot_history,evo_history,evd_history,ppl_history,pkl_history,team_history
2007-2008,Brad Richards,DAL,F,,,,,,,348.0,305.0,201.0,81.0,393.0,85.0,71.0,,,First Line,74,1736.4333333333,20,42,62,18.69,41.11,51.44,27,1980-05-02,CAN,CAN,72,199,1998,3,64,8467389,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DAL']"
2007-2008,Brad Winchester,DAL,F,,,,,,,379.0,316.0,401.0,320.0,18.0,91.0,13.0,,,Fringe,41,310.48333333333,1,2,3,2.47,30.43,45.94,26,1981-03-01,USA,USA,77,230,2000,2,35,8468515,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DAL']"
2007-2008,Brandon Bochenski,NSH,F,,,,,,,360.0,163.0,122.0,223.0,369.0,20.0,113.0,,,Fourth Line,40,477.66666666667,3,10,13,6.56,65.22,54.32,25,1982-04-04,USA,USA,73,195,2001,7,223,8469666,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NSH']"
2007-2008,Brandon Dubinsky,NYR,F,,,,,,,134.0,105.0,118.0,44.0,22.0,62.0,126.0,,,Third Line,82,1188.9833333333,14,26,40,15.19,55.41,57.89,21,1986-04-29,USA,USA,74,208,2004,2,60,8471273,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Branko Radivojevic,MIN,F,,,,,,,341.0,386.0,300.0,242.0,178.0,72.0,403.0,,,Third Line,73,1087.65,7,10,17,6.82,38.33,43.6,26,1980-11-24,SVK,SVK,72,208,1999,3,93,8467966,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MIN']"
2007-2008,Brendan Morrison,VAN,F,,,,,,,67.0,274.0,357.0,221.0,343.0,14.0,51.0,,,Third Line,39,599.81666666667,9,16,25,5.57,50.00,43.23,32,1975-08-15,CAN,CAN,71,176,1993,2,39,8459461,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'VAN']"
2007-2008,Brendan Shanahan,NYR,F,,,,,,,227.0,64.0,228.0,254.0,334.0,47.0,30.0,,,First Line,73,1351.1166666667,23,23,46,25.23,53.33,51.44,38,1969-01-23,CAN,CAN,75,220,1987,1,2,8451302,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Brenden Morrow,DAL,F,,,,,,,96.0,146.0,48.0,140.0,38.0,3.0,16.0,,,First Line,82,1639.3666666667,32,42,74,27.77,65.59,53.8,28,1979-01-16,CAN,CAN,71,212,1997,1,25,8466160,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DAL']"
2007-2008,Brett McLean,FLA,F,,,,,,,161.0,186.0,183.0,257.0,359.0,53.0,195.0,,,Second Line,67,1087.6333333333,14,23,37,12.69,45.90,49.47,29,1978-08-14,CAN,CAN,71,184,1997,9,242,8465968,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'FLA']"
2007-2008,Brian Gionta,NJD,F,,,,,,,216.0,44.0,181.0,105.0,310.0,49.0,179.0,,,First Line,82,1498.0166666667,22,31,53,27.55,53.13,55.78,28,1979-01-18,USA,USA,67,178,1998,3,82,8467407,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NJD']"
2007-2008,Brian Rolston,MIN,F,,,,,,,53.0,159.0,354.0,280.0,318.0,40.0,154.0,,,First Line,81,1625.7,31,28,59,20.11,51.95,48.71,34,1973-02-21,USA,USA,74,215,1991,1,11,8458525,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MIN']"
2007-2008,Brian Sutherby,ANA,F,,,,,,,389.0,206.0,394.0,116.0,34.0,69.0,7.0,,,Fringe,50,429.48333333333,1,1,2,3.99,35.71,49.95,25,1982-03-01,CAN,CAN,74,208,2000,1,26,8468506,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2007-2008,Brian Willsie,LAK,F,,,,,,,295.0,137.0,246.0,365.0,198.0,68.0,321.0,,,Fourth Line,53,563.21666666667,4,8,12,6.07,43.18,48.89,29,1978-03-16,CAN,CAN,73,202,1996,6,146,8465113,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'LAK']"
2007-2008,Brooks Laich,WSH,F,,,,,,,176.0,75.0,170.0,76.0,112.0,71.0,78.0,,,Third Line,82,1151.75,21,16,37,13.16,41.18,50.9,24,1983-06-23,CAN,CAN,74,200,2001,6,193,8469639,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,Bryan Little,ATL,F,,,,,,,305.0,270.0,51.0,200.0,378.0,37.0,209.0,,,Second Line,48,749.25,6,10,16,7.08,48.72,48.67,19,1987-11-12,CAN,CAN,72,191,2006,1,12,8473412,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Bryan Smolinski,MTL,F,,,,,,,244.0,307.0,223.0,313.0,227.0,59.0,345.0,,,Fourth Line,64,840.4,8,17,25,8.64,44.68,45.53,35,1971-12-27,USA,USA,73,203,1990,1,21,8458069,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MTL']"
2007-2008,Byron Ritchie,VAN,F,,,,,,,364.0,385.0,283.0,204.0,115.0,56.0,376.0,,,Fourth Line,71,874.91666666667,3,8,11,5.07,35.90,34.63,30,1977-04-24,CAN,CAN,70,190,1995,7,165,8462197,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'VAN']"
2007-2008,Chad Kilger,TOR,F,,,,,,,40.0,180.0,205.0,134.0,17.0,32.0,118.0,,,Fourth Line,53,616.58333333333,10,7,17,6.92,51.11,43.77,30,1976-11-27,CAN,CAN,76,224,1995,1,4,8462035,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TOR']"
2007-2008,Chad LaRose,CAR,F,,,,,,,115.0,25.0,124.0,84.0,106.0,38.0,120.0,,,Third Line,58,814.96666666667,11,12,23,12.05,54.55,50.66,25,1982-03-27,USA,USA,70,181,-,-,-,8469812,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CAR']"
2007-2008,Chris Clark,WSH,F,,,,,,,32.0,188.0,347.0,388.0,194.0,26.0,178.0,,,Second Line,18,304.2,5,4,9,4.2,56.25,54.2,31,1976-03-08,USA,USA,72,191,1994,3,77,8460567,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'WSH']"
2007-2008,Chris Drury,NYR,F,,,,,,,88.0,57.0,203.0,242.0,323.0,44.0,64.0,,,First Line,82,1623.1333333333,25,33,58,26.17,53.03,53.13,31,1976-08-20,USA,USA,70,191,1994,3,72,8460562,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NYR']"
2007-2008,Chris Gratton,TBL,F,,,,,,,83.0,212.0,342.0,381.0,122.0,55.0,365.0,,,Fourth Line,60,762.25,10,11,21,8.17,46.00,52.91,32,1975-07-05,CAN,CAN,76,226,1993,1,3,8459425,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'TBL']"
2007-2008,Chris Higgins,MTL,F,,,,,,,132.0,51.0,267.0,16.0,210.0,26.0,243.0,,,Second Line,82,1471.45,27,25,52,25.02,52.11,45.97,24,1983-06-02,USA,USA,72,205,2002,1,14,8470274,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MTL']"
2007-2008,Chris Kelly,OTT,F,,,,,,,225.0,246.0,154.0,247.0,204.0,47.0,298.0,,,Second Line,75,1245.2333333333,11,19,30,11.74,49.28,47.28,26,1980-11-11,CAN,CAN,72,190,1999,3,94,8467967,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Chris Kunitz,ANA,F,,,,,,,174.0,151.0,68.0,287.0,123.0,44.0,66.0,,,Second Line,82,1386.1833333333,21,29,50,20.54,55.88,53.39,27,1979-09-26,CAN,CAN,72,188,-,-,-,8470543,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2007-2008,Chris Neil,OTT,F,,,,,,,281.0,88.0,66.0,383.0,6.0,54.0,279.0,,,Fourth Line,68,867.55,6,14,20,11.15,50.00,55.08,28,1979-06-18,CAN,CAN,73,209,1998,6,161,8467493,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'OTT']"
2007-2008,Chris Thorburn,ATL,F,,,,,,,283.0,319.0,153.0,336.0,76.0,45.0,314.0,,,Fringe,73,652.45,5,13,18,5.42,43.75,43.15,24,1983-06-03,CAN,CAN,75,235,2001,2,50,8469501,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ATL']"
2007-2008,Chuck Kobasew,BOS,F,,,,,,,224.0,222.0,261.0,91.0,155.0,34.0,265.0,,,Second Line,73,1290.3333333333,22,17,39,17.72,53.23,50.04,25,1982-04-17,CAN,CAN,72,192,2001,1,14,8469467,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
