Season,Player ID,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2023-2024,8473986,Alex Killorn,ANA,F,62.8,58.7,40.0,64.3,73.2,81.5,76.7,57.5,73.3,3.9,46.1,39.7,58.2,66.4,84.0,164,182,264,103.0,54.0,82,103,187,118,419,237,265,184,148,71,438,286,198,First Line,63.0,1180.12,18.0,18.0,36.0,18.9,43.21,47.4,L,73.0,205.0,1989-09-14,CAN,2007.0,3.0,77.0,L,33,"[94, 82, 70, 79, 38]","[58, 69, 57, 58, 63]","[90, 88, 58, 42, 31]","['TBL', 'TBL', 'TBL', 'TBL', 'ANA']"
2023-2024,8482155,Alex Laferriere,LAK,F,3.9,30.1,10.7,,,16.7,55.7,73.3,8.4,35.3,72.6,71.5,6.2,85.8,18.3,422,307,392,,,366,195,118,400,283,121,126,412,63,359,438,286,198,Fourth Line,81.0,1070.83,12.0,11.0,23.0,15.79,42.31,49.89,R,73.0,205.0,2001-10-28,USA,2020.0,3.0,83.0,R,21,"[None, None, None, None, 6]","[None, None, None, None, 30]","[None, None, None, None, 13]","[None, None, None, None, 'LAK']"
2023-2024,8481618,Alex Newhook,MTL,F,37.4,29.2,26.5,4.9,,80.1,67.6,34.7,54.1,34.5,35.8,36.5,88.8,57.1,31.5,275,311,323,273.0,,88,143,287,202,285,282,279,50,189,301,438,286,198,Second Line,55.0,930.95,15.0,19.0,34.0,12.81,50.0,46.89,C,71.0,200.0,2001-01-28,CAN,2019.0,1.0,16.0,L,22,"[None, None, 46, 22, 54]","[None, None, 21, 20, 47]","[None, None, 44, 37, 18]","[None, None, 'COL', 'COL', 'MTL']"
2023-2024,8479423,Alex Nylander,CBJ,F,58.0,58.4,18.9,49.7,,80.6,92.9,84.7,23.7,35.3,10.3,81.7,85.6,40.6,93.8,185,183,356,145.0,,86,32,68,334,283,394,81,64,261,28,438,286,198,Second Line,28.0,454.97,11.0,4.0,15.0,9.66,51.22,47.64,L,73.0,205.0,1998-03-02,CAN,2016.0,1.0,8.0,R,25,"[64, None, None, None, 57]","[45, None, None, None, 55]","[32, None, None, None, 19]","['CHI', None, None, None, 'CBJ']"
2023-2024,8471214,Alex Ovechkin,WSH,F,57.5,85.4,0.2,93.0,,93.4,90.6,92.0,75.8,31.5,81.1,100.0,40.2,43.2,68.0,187,65,438,21.0,,30,42,36,107,298,84,1,263,250,141,438,286,198,First Line,79.0,1518.47,31.0,34.0,65.0,31.02,40.2,45.2,L,75.0,238.0,1985-09-17,RUS,2004.0,1.0,1.0,R,37,"[98, 91, 95, 38, 16]","[96, 90, 93, 84, 76]","[0, 0, 1, 0, 0]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2023-2024,8477949,Alex Tuch,BUF,F,92.0,87.7,83.3,74.8,42.9,86.5,88.6,83.3,95.4,32.6,18.9,81.3,61.2,38.8,99.1,36,55,74,73.0,114.0,60,51,74,21,293,356,83,171,269,5,438,286,198,First Line,75.0,1462.78,22.0,37.0,59.0,24.12,54.55,48.96,R,76.0,219.0,1996-05-10,USA,2014.0,1.0,18.0,R,27,"[59, 83, 69, 95, 89]","[40, 88, 82, 87, 87]","[84, 92, 83, 75, 85]","['VGK', 'VGK', 'BUF', 'BUF', 'BUF']"
2023-2024,8482222,Alexander Barabanov,SJS,F,5.9,36.1,12.8,27.6,,14.2,36.5,55.5,63.2,43.4,36.8,36.1,9.6,19.6,63.7,413,281,383,208.0,,377,278,196,162,249,278,281,397,353,160,438,286,198,Second Line,46.0,730.13,4.0,9.0,13.0,9.93,28.85,41.51,L,70.0,195.0,1994-06-17,RUS,,,,L,29,"[None, 28, 13, 29, 4]","[None, 55, 41, 28, 47]","[None, 39, 14, 18, 13]","[None, 'SJS', 'SJS', 'SJS', 'SJS']"
2023-2024,8482125,Alexander Holtz,NJD,F,39.7,15.3,20.1,11.9,,92.5,71.5,35.4,23.3,20.8,20.1,91.8,47.7,46.8,20.1,265,372,351,253.0,,34,126,284,336,345,351,37,230,234,351,438,286,198,Fourth Line,82.0,954.07,16.0,12.0,28.0,12.55,47.06,48.33,R,72.0,198.0,2002-01-23,SWE,2020.0,1.0,7.0,R,21,"[None, None, None, None, 41]","[None, None, None, None, 15]","[None, None, None, None, 20]","[None, None, None, None, 'NJD']"
2023-2024,8477021,Alexander Kerfoot,ARI,F,13.9,8.9,80.8,12.9,37.9,11.6,23.5,44.1,83.3,54.6,56.2,33.3,61.0,73.3,44.3,378,400,85,250.0,124.0,388,335,246,74,200,193,293,172,118,245,438,286,198,Second Line,82.0,1429.6,13.0,32.0,45.0,17.4,46.24,46.52,C,71.0,185.0,1994-08-11,CAN,2012.0,5.0,150.0,L,29,"[16, 22, 52, 13, 13]","[32, 3, 6, 25, 8]","[57, 70, 78, 90, 63]","['TOR', 'TOR', 'TOR', 'TOR', 'ARI']"
2023-2024,8477505,Alexander Wennberg,NYR,F,44.7,14.2,84.7,56.6,25.3,46.6,15.3,9.8,59.1,50.5,21.7,43.4,31.5,53.4,85.2,243,377,68,125.0,149.0,235,371,396,180,218,344,249,301,205,66,438,286,198,Second Line,79.0,1421.12,10.0,20.0,30.0,13.58,53.57,49.55,C,74.0,190.0,1994-09-22,SWE,2013.0,1.0,14.0,L,28,"[68, 77, 56, 30, 53]","[55, 47, 19, 16, 20]","[79, 59, 88, 66, 88]","['CBJ', 'FLA', 'SEA', 'SEA', 'NYR']"
2023-2024,8480074,Alexandre Texier,CBJ,F,19.6,48.6,12.6,,8.6,72.4,51.1,21.5,55.3,11.2,8.2,18.7,41.6,12.3,72.1,353,226,384,,182.0,122,215,345,197,387,403,357,257,385,123,438,286,198,Third Line,78.0,1184.1,12.0,18.0,30.0,11.19,44.71,43.7,L,73.0,196.0,1999-09-13,FRA,2017.0,2.0,45.0,L,23,"[57, 16, 48, None, 13]","[30, 22, 32, None, 54]","[66, 39, 28, None, 7]","['CBJ', 'CBJ', 'CBJ', None, 'CBJ']"
2023-2024,8480281,Alexey Toropchenko,STL,F,30.8,14.4,56.6,,38.9,44.5,34.0,39.7,6.8,72.6,87.0,12.1,44.5,4.1,11.2,304,376,191,,122.0,244,289,265,407,121,58,386,244,421,390,438,286,198,Fourth Line,82.0,1026.8,14.0,7.0,21.0,14.01,43.64,41.69,R,78.0,225.0,1999-06-25,RUS,2017.0,4.0,113.0,L,24,"[None, None, 17, 54, 29]","[None, None, 34, 18, 11]","[None, None, 47, 73, 43]","[None, None, 'STL', 'STL', 'STL']"
2023-2024,8482109,Alexis Lafrenière,NYR,F,45.2,50.2,18.5,19.6,,69.6,80.4,78.5,63.0,66.2,70.5,93.6,55.7,83.1,53.2,241,219,358,231.0,,134,87,95,163,149,130,29,195,75,206,438,286,198,Second Line,82.0,1415.9,28.0,29.0,57.0,28.01,52.67,53.87,L,74.0,191.0,2001-10-11,CAN,2020.0,1.0,1.0,L,21,"[None, 63, 69, 29, 45]","[None, 55, 26, 27, 68]","[None, 25, 32, 18, 18]","[None, 'NYR', 'NYR', 'NYR', 'NYR']"
2023-2024,8481656,Aliaksei Protas,WSH,F,34.2,54.6,81.7,,57.6,7.3,12.6,41.8,59.8,52.1,24.0,20.8,31.7,52.1,52.1,289,200,81,,85.0,407,383,256,177,211,334,348,300,211,211,438,286,198,Third Line,78.0,1072.2,6.0,23.0,29.0,12.12,50.0,50.79,L,78.0,250.0,2001-01-06,BLR,2019.0,3.0,91.0,L,22,"[None, None, 45, 38, 40]","[None, None, 43, 54, 59]","[None, None, 74, 91, 67]","[None, None, 'WSH', 'WSH', 'WSH']"
2023-2024,8475314,Anders Lee,NYI,F,57.8,94.3,14.2,66.4,,6.2,80.1,96.8,18.0,19.2,76.5,86.1,68.0,44.3,78.1,186,26,377,97.0,,412,88,15,359,352,104,62,141,245,97,438,286,198,Second Line,81.0,1260.93,20.0,17.0,37.0,28.84,56.04,54.16,L,75.0,234.0,1990-07-03,USA,2009.0,6.0,152.0,L,33,"[61, 93, 71, 79, 22]","[95, 97, 88, 96, 94]","[17, 38, 2, 20, 28]","['NYI', 'NYI', 'NYI', 'NYI', 'NYI']"
2023-2024,8477444,Andre Burakovsky,SEA,F,36.1,61.2,12.3,0.3,,68.5,41.6,31.1,71.7,60.3,18.0,72.6,22.6,68.9,48.2,281,171,385,286.0,,139,256,303,125,175,360,121,340,137,228,438,286,198,Third Line,49.0,713.68,7.0,9.0,16.0,9.46,37.84,47.99,L,75.0,203.0,1995-02-09,AUT,2013.0,1.0,23.0,L,28,"[90, 89, 85, 40, 8]","[71, 59, 75, 58, 51]","[26, 70, 27, 14, 12]","['COL', 'COL', 'COL', 'SEA', 'SEA']"
2023-2024,8476960,Andreas Athanasiou,CHI,F,26.9,63.0,3.2,23.8,,50.7,57.3,58.9,40.2,95.2,7.3,49.8,43.2,5.9,15.5,321,163,425,219.0,,217,188,181,262,22,407,221,250,413,371,438,286,198,Fourth Line,28.0,366.73,2.0,7.0,9.0,3.87,35.71,37.56,C,74.0,190.0,1994-08-06,CAN,2012.0,4.0,110.0,L,29,"[9, 51, 70, 22, 15]","[70, 75, 71, 62, 53]","[3, 1, 3, 4, 3]","['EDM', 'LAK', 'LAK', 'CHI', 'CHI']"
2023-2024,8483808,Andrei Kuzmenko,CGY,F,88.8,60.0,68.5,18.2,,96.8,87.2,44.5,68.7,69.4,2.7,91.6,84.5,58.4,27.9,50,176,139,235.0,,15,57,244,138,135,427,38,69,183,317,438,286,198,Third Line,72.0,1071.67,22.0,24.0,46.0,17.89,52.44,51.82,L,71.0,200.0,1996-02-04,RUS,,,,R,27,"[None, None, None, 92, 81]","[None, None, None, 63, 54]","[None, None, None, 73, 59]","[None, None, None, 'VAN', 'CGY']"
2023-2024,8480830,Andrei Svechnikov,CAR,F,86.1,97.9,18.7,89.2,,43.8,85.6,91.1,87.2,0.7,91.3,87.4,68.9,91.6,64.6,62,10,357,32.0,,247,64,40,57,433,39,56,137,38,156,438,286,198,Second Line,59.0,1001.8,19.0,33.0,52.0,20.51,58.73,53.92,R,75.0,200.0,2000-03-26,RUS,2018.0,1.0,2.0,L,23,"[74, 41, 71, 92, 78]","[97, 97, 98, 98, 97]","[24, 11, 16, 31, 16]","['CAR', 'CAR', 'CAR', 'CAR', 'CAR']"
2023-2024,8471699,Andrew Cogliano,COL,F,49.1,8.7,77.2,,32.8,66.2,11.9,1.1,13.5,70.3,30.6,5.3,52.3,44.7,9.6,224,401,101,,134.0,149,386,434,379,131,305,416,210,243,397,438,286,198,Fourth Line,75.0,795.73,6.0,13.0,19.0,4.85,56.41,50.14,C,70.0,179.0,1987-06-14,CAN,2005.0,1.0,25.0,L,36,"[21, 50, 15, 66, 51]","[47, 57, 20, 13, 9]","[61, 80, 62, 72, 82]","['DAL', 'DAL', 'COL', 'COL', 'COL']"
2023-2024,8477429,Andrew Copp,DET,F,40.2,28.3,77.6,41.6,75.8,48.6,39.0,29.5,62.1,13.5,10.7,28.3,71.5,21.0,68.5,263,315,99,168.0,49.0,226,267,310,167,377,392,315,126,347,139,438,286,198,Second Line,79.0,1285.67,13.0,20.0,33.0,13.58,47.42,44.91,C,73.0,200.0,1994-07-08,USA,2013.0,4.0,104.0,L,29,"[83, 67, 78, 19, 34]","[55, 58, 70, 18, 16]","[96, 89, 91, 52, 79]","['WPG', 'WPG', 'NYR', 'DET', 'DET']"
2023-2024,8478233,Andrew Mangiapane,CGY,F,81.1,94.5,63.2,57.0,,11.2,66.0,89.0,76.9,34.0,45.9,54.1,33.3,86.8,62.6,84,25,162,124.0,,390,150,49,102,287,238,202,293,59,165,438,286,198,Second Line,75.0,1199.65,14.0,26.0,40.0,21.43,50.0,51.39,L,70.0,183.0,1996-04-04,CAN,2015.0,6.0,166.0,L,27,"[81, 92, 98, 68, 49]","[79, 85, 94, 95, 94]","[74, 94, 94, 38, 56]","['CGY', 'CGY', 'CGY', 'CGY', 'CGY']"
2023-2024,8478463,Anthony Beauvillier,NSH,F,1.8,40.6,11.6,32.9,,2.3,19.6,61.9,47.5,44.3,49.3,66.7,39.5,36.1,35.4,431,261,388,193.0,,429,352,168,230,245,223,147,266,281,284,438,286,198,Third Line,60.0,814.85,5.0,12.0,17.0,10.99,42.31,46.43,R,71.0,181.0,1997-06-08,CAN,2015.0,1.0,28.0,L,26,"[60, 72, 9, 10, 1]","[64, 69, 63, 31, 37]","[26, 54, 9, 21, 11]","['NYI', 'NYI', 'NYI', 'VAN', 'NSH']"
2023-2024,8478519,Anthony Cirelli,TBL,F,73.1,70.8,95.7,45.1,33.8,5.7,43.2,82.2,62.3,96.3,38.6,23.1,59.1,75.8,87.9,119,129,20,158.0,132.0,414,250,79,166,17,270,338,180,107,54,438,286,198,First Line,79.0,1462.98,20.0,25.0,45.0,20.18,47.57,52.82,C,73.0,193.0,1997-07-15,CAN,2015.0,3.0,72.0,L,26,"[88, 41, 76, 58, 78]","[75, 65, 59, 80, 65]","[92, 47, 98, 79, 97]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2023-2024,8477407,Anthony Duclair,TBL,F,82.2,87.2,1.6,38.8,,96.1,93.2,74.7,55.7,83.6,22.4,58.0,96.6,57.8,95.7,79,57,432,176.0,,18,31,112,195,73,341,185,16,186,20,438,286,198,Second Line,73.0,1151.48,24.0,18.0,42.0,18.83,50.0,45.32,L,72.0,198.0,1995-08-26,CAN,2013.0,3.0,80.0,L,28,"[22, 35, 81, None, 76]","[65, 86, 88, None, 83]","[1, 4, 1, None, 2]","['OTT', 'FLA', 'FLA', None, 'TBL']"
2023-2024,8477511,Anthony Mantha,VGK,F,88.4,76.5,96.3,12.2,,89.0,84.5,62.3,71.0,18.3,33.6,34.2,57.1,39.0,56.6,52,104,17,252.0,,49,69,166,128,356,292,289,189,268,191,438,286,198,Third Line,74.0,1052.58,23.0,21.0,44.0,13.99,58.14,55.38,R,77.0,240.0,1994-09-16,CAN,2013.0,1.0,20.0,L,28,"[86, 83, 79, 74, 94]","[94, 92, 86, 69, 76]","[97, 82, 91, 94, 95]","['DET', 'WSH', 'WSH', 'WSH', 'VGK']"
2023-2024,8482113,Anton Lundell,FLA,F,40.0,43.4,67.1,50.7,70.7,35.2,46.1,47.0,44.7,19.9,22.1,62.8,69.4,89.5,44.5,264,249,145,142.0,59.0,285,237,233,242,349,342,164,135,47,244,438,286,198,Third Line,78.0,1199.35,13.0,22.0,35.0,16.74,57.63,51.67,C,73.0,196.0,2001-10-03,FIN,2020.0,1.0,12.0,L,21,"[None, None, 73, 42, 23]","[None, None, 61, 38, 38]","[None, None, 59, 71, 65]","[None, None, 'FLA', 'FLA', 'FLA']"
2023-2024,8471685,Anze Kopitar,LAK,F,95.2,90.6,95.9,75.9,46.0,83.8,67.8,54.3,83.6,71.2,24.2,46.3,54.8,75.1,92.7,22,42,19,70.0,108.0,72,142,201,73,127,333,236,199,110,33,438,286,198,First Line,81.0,1592.32,26.0,44.0,70.0,16.96,56.04,53.56,C,75.0,225.0,1987-08-24,SVN,2005.0,1.0,11.0,L,36,"[95, 91, 91, 95, 93]","[85, 89, 93, 93, 84]","[93, 67, 97, 94, 93]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2023-2024,8478550,Artemi Panarin,NYR,F,99.1,97.0,23.7,95.1,,99.1,97.7,69.2,97.0,77.2,1.4,96.3,80.1,68.0,76.9,5,14,335,15.0,,5,11,136,14,101,433,17,88,141,102,438,286,198,First Line,82.0,1649.75,49.0,71.0,120.0,33.72,56.15,55.74,L,72.0,176.0,1991-10-30,RUS,,,,R,31,"[98, 95, 86, 96, 99]","[94, 92, 88, 92, 97]","[57, 29, 10, 42, 23]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2023-2024,8481560,Arthur Kaliyev,LAK,F,34.5,66.9,62.3,47.9,,8.9,16.7,53.9,34.7,21.0,26.9,83.8,9.4,73.7,2.3,288,146,166,150.0,,400,365,203,286,344,321,72,398,116,429,438,286,198,Fourth Line,51.0,601.92,7.0,8.0,15.0,9.89,50.0,57.55,R,74.0,212.0,2001-06-26,UZB,2019.0,2.0,33.0,L,22,"[None, None, 44, 36, 42]","[None, None, 59, 56, 74]","[None, None, 86, 34, 68]","[None, None, 'LAK', 'LAK', 'LAK']"
2023-2024,8477476,Artturi Lehkonen,COL,F,73.5,68.5,94.5,49.0,55.1,44.1,58.9,77.2,75.1,25.8,66.0,73.7,55.9,90.9,80.6,117,139,25,147.0,90.0,246,181,101,110,323,150,116,194,41,86,438,286,198,First Line,45.0,831.22,16.0,18.0,34.0,16.21,58.21,58.89,L,71.0,179.0,1995-07-04,FIN,2013.0,2.0,55.0,L,28,"[73, 70, 69, 63, 81]","[68, 58, 74, 54, 72]","[91, 94, 95, 71, 97]","['MTL', 'MTL', 'COL', 'COL', 'COL']"
2023-2024,8479318,Auston Matthews,TOR,F,99.8,99.8,65.5,91.3,,100.0,100.0,99.8,94.5,90.4,51.8,88.8,94.1,82.6,92.2,2,2,152,26.0,,1,1,2,25,43,212,50,27,77,35,438,286,198,First Line,81.0,1698.28,69.0,38.0,107.0,47.75,59.7,56.32,C,75.0,215.0,1997-09-17,USA,2016.0,1.0,1.0,L,25,"[100, 100, 100, 99, 100]","[98, 99, 99, 99, 99]","[12, 28, 72, 39, 79]","['TOR', 'TOR', 'TOR', 'TOR', 'TOR']"
2023-2024,8476624,Barclay Goodrow,NYR,F,18.0,7.8,38.8,,97.0,52.5,16.4,11.6,34.5,12.1,79.0,8.2,60.5,43.8,55.5,360,405,269,,7.0,209,366,388,287,383,93,403,174,247,196,438,286,198,Fourth Line,80.0,1005.13,4.0,8.0,12.0,8.04,36.84,38.76,C,74.0,210.0,1993-02-26,CAN,,,,L,30,"[26, 4, 29, 46, 10]","[9, 38, 10, 21, 6]","[86, 93, 66, 43, 26]","['TBL', 'TBL', 'NYR', 'NYR', 'NYR']"
2023-2024,8480849,Barrett Hayton,ARI,F,37.2,64.8,53.2,39.9,14.6,5.0,25.8,61.2,20.8,91.8,52.1,35.4,5.9,25.3,65.8,276,155,206,173.0,170.0,417,325,171,347,37,211,284,413,328,151,438,286,198,Second Line,33.0,561.45,3.0,7.0,10.0,9.67,34.21,53.31,C,73.0,200.0,2000-06-09,CAN,2018.0,1.0,5.0,L,23,"[None, None, 53, 47, 30]","[None, None, 37, 66, 70]","[None, None, 57, 56, 51]","[None, None, 'ARI', 'ARI', 'ARI']"
2023-2024,8479359,Beck Malenstyn,WSH,F,3.4,16.7,23.5,,9.1,10.7,10.5,25.3,35.6,61.2,97.0,0.2,93.2,43.4,96.8,424,366,336,,181.0,392,391,328,282,171,14,438,31,249,15,438,286,198,Third Line,81.0,1153.73,6.0,15.0,21.0,11.19,47.76,41.04,L,75.0,209.0,1998-02-04,CAN,2016.0,5.0,145.0,L,25,"[None, None, None, None, 5]","[None, None, None, None, 17]","[None, None, None, None, 24]","[None, None, None, None, 'WSH']"
2023-2024,8476399,Blake Coleman,CGY,F,66.4,82.2,84.5,54.9,84.3,19.6,73.7,90.9,58.0,5.5,69.6,35.2,23.7,90.4,62.3,148,79,69,130.0,32.0,353,116,41,185,412,134,285,335,43,166,438,286,198,Second Line,78.0,1336.38,30.0,24.0,54.0,26.31,52.63,52.19,L,71.0,199.0,1991-11-28,USA,2011.0,3.0,75.0,L,31,"[79, 72, 54, 43, 83]","[48, 69, 76, 84, 79]","[96, 87, 92, 73, 79]","['TBL', 'TBL', 'CGY', 'CGY', 'CGY']"
2023-2024,8481481,Blake Lizotte,LAK,F,68.3,61.0,86.5,,72.2,49.1,21.7,18.0,48.4,58.2,69.4,58.9,47.5,52.7,3.2,140,172,60,,56.0,224,343,360,227,184,135,181,231,208,425,438,286,198,Fourth Line,62.0,732.9,7.0,8.0,15.0,7.45,57.89,51.92,C,69.0,176.0,1997-12-13,USA,,,,L,25,"[51, 36, 66, 82, 55]","[56, 63, 56, 64, 58]","[85, 60, 73, 93, 78]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2023-2024,8471218,Blake Wheeler,NYR,F,20.3,68.0,21.5,67.5,,13.5,41.1,61.0,78.8,7.3,24.7,89.0,63.0,64.6,46.1,350,141,345,94.0,,380,258,172,94,404,331,49,163,156,237,438,286,198,Fourth Line,54.0,686.75,9.0,12.0,21.0,9.48,50.98,45.24,R,77.0,222.0,1986-08-31,USA,2004.0,1.0,5.0,R,37,"[94, 55, 44, 19, 26]","[87, 91, 81, 70, 52]","[85, 5, 18, 32, 18]","['WPG', 'WPG', 'WPG', 'WPG', 'NYR']"
2023-2024,8480870,Bo Groulx,ANA,F,1.6,16.4,37.2,,30.3,10.3,0.2,3.7,0.5,1.8,87.9,18.0,4.8,12.8,50.7,432,367,276,,139.0,394,434,423,435,428,54,360,418,383,217,438,286,198,Fourth Line,45.0,548.48,0.0,2.0,2.0,4.03,26.32,41.42,C,74.0,202.0,2000-02-06,FRA,2018.0,2.0,54.0,L,23,"[None, None, None, None, 3]","[None, None, None, None, 16]","[None, None, None, None, 36]","[None, None, None, None, 'ANA']"
