Season,Player ID,Player,Team,Position,ovr_pct,evo_pct,evd_pct,ppl_pct,pkl_pct,fin_pct,gol_pct,xgl_pct,ast_pct,pen_pct,hit_pct,ozs_pct,pdo_pct,tmt_pct,cmp_pct,ovr_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,ozs_rank,pdo_rank,tmt_rank,cmp_rank,all_players,ppl_players,pkl_players,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Specific Position,Height (in),Weight (lbs),Date of Birth,Birth Country,Draft Year,Draft Round,Overall Draft Position,Shoots Catches,Age,ovr_history,evo_history,evd_history,team_history
2025-2026,8477505,Alexander Wennberg,SJS,F,61.7,4.3,95.7,62.8,7.3,62.4,15.3,2.9,74.8,87.4,9.9,27.0,38.7,19.1,80.2,171,426,20,106.0,180.0,168,373,432,113,57,401,325,273,360,89,444,282,193,First Line,80.0,1636.48,18.0,37.0,55.0,17.31,43.01,47.13,C,74.0,190.0,1994-09-22,SWE,2013.0,1.0,14.0,L,30,"[56, 30, 53, 57, 66]","[19, 16, 20, 11, 2]","[88, 66, 88, 82, 98]","['SEA', 'SEA', 'NYR', 'SJS', 'SJS']"
2025-2026,8480074,Alexandre Texier,MTL,F,38.5,57.2,11.0,41.1,,73.9,55.2,32.4,37.4,33.6,34.9,30.6,80.9,41.7,76.6,274,191,396,167.0,,117,199,301,279,293,290,309,86,260,105,444,282,193,Third Line,51.0,696.35,8.0,13.0,21.0,8.21,60.47,50.69,L,73.0,196.0,1999-09-13,FRA,2017.0,2.0,45.0,L,25,"[48, None, 13, 37, 52]","[32, None, 54, 43, 65]","[28, None, 7, 13, 19]","['CBJ', None, 'CBJ', 'STL', 'MTL']"
2025-2026,8480281,Alexey Toropchenko,STL,F,9.0,4.5,66.4,,38.3,19.4,10.4,21.6,16.7,37.8,88.3,4.1,25.7,8.1,28.8,405,425,150,,120.0,359,395,349,370,276,53,427,331,409,317,444,282,193,Fourth Line,65.0,779.4,4.0,7.0,11.0,7.71,33.33,41.36,R,78.0,225.0,1999-06-25,RUS,2017.0,4.0,113.0,L,26,"[17, 54, 29, 12, 6]","[34, 18, 11, 11, 3]","[47, 73, 43, 76, 63]","['STL', 'STL', 'STL', 'STL', 'STL']"
2025-2026,8482109,Alexis Lafrenière,NYR,F,52.5,74.8,27.7,23.8,,38.5,77.9,90.1,87.4,66.7,61.3,91.2,63.7,74.8,81.5,212,113,322,216.0,,274,98,45,57,149,173,40,162,113,83,444,282,193,Second Line,82.0,1443.07,24.0,33.0,57.0,25.66,54.64,52.97,L,74.0,191.0,2001-10-11,CAN,2020.0,1.0,1.0,L,23,"[69, 29, 45, 29, 67]","[26, 27, 68, 72, 77]","[32, 18, 18, 7, 67]","['NYR', 'NYR', 'NYR', 'NYR', 'NYR']"
2025-2026,8481656,Aliaksei Protas,WSH,F,80.2,76.6,71.2,,67.9,68.2,82.7,86.3,93.2,77.3,11.3,59.2,88.5,76.1,87.8,89,105,129,,63.0,142,77,62,31,102,395,182,52,107,55,444,282,193,First Line,76.0,1385.95,25.0,27.0,52.0,24.84,58.25,51.55,L,78.0,250.0,2001-01-06,BLR,2019.0,3.0,91.0,L,24,"[45, 38, 40, 91, 75]","[43, 54, 59, 63, 87]","[74, 91, 67, 89, 43]","['WSH', 'WSH', 'WSH', 'WSH', 'WSH']"
2025-2026,8475314,Anders Lee,NYI,F,25.5,95.9,17.1,56.4,,0.2,70.5,98.4,60.6,18.9,67.6,73.2,73.2,39.9,82.4,332,19,369,124.0,,444,131,8,176,358,145,120,120,268,79,444,282,193,Second Line,82.0,1282.3,19.0,23.0,42.0,34.97,52.75,51.56,L,75.0,234.0,1990-07-03,USA,2009.0,6.0,152.0,L,35,"[71, 79, 22, 73, 5]","[88, 96, 94, 93, 97]","[2, 20, 28, 27, 11]","['NYI', 'NYI', 'NYI', 'NYI', 'NYI']"
2025-2026,8477444,Andre Burakovsky,CHI,F,16.9,58.1,8.6,5.3,,39.2,20.9,23.4,41.9,52.5,16.9,80.4,19.6,3.6,51.1,370,187,407,268.0,,271,348,341,259,211,370,88,358,429,218,444,282,193,Second Line,75.0,1230.75,11.0,22.0,33.0,12.9,39.05,43.69,L,75.0,203.0,1995-02-09,AUT,2013.0,1.0,23.0,L,30,"[85, 40, 8, 33, 20]","[75, 58, 51, 38, 71]","[27, 14, 12, 17, 4]","['COL', 'SEA', 'SEA', 'SEA', 'CHI']"
2025-2026,8483808,Andrei Kuzmenko,LAK,F,73.4,60.6,63.3,7.8,,75.0,40.3,27.7,33.6,88.1,7.7,87.6,31.3,61.0,43.2,119,176,164,261.0,,112,263,322,296,54,411,56,306,174,253,444,282,193,Third Line,52.0,775.62,13.0,12.0,25.0,11.18,47.73,54.64,L,71.0,200.0,1996-02-04,RUS,,,,R,29,"[None, 92, 81, 67, 69]","[None, 63, 54, 45, 73]","[None, 73, 59, 76, 48]","[None, 'VAN', 'CGY', 'LAK', 'LAK']"
2025-2026,8480830,Andrei Svechnikov,CAR,F,66.9,96.2,10.8,87.2,,11.9,58.1,89.9,83.1,1.4,84.0,91.7,15.5,97.5,77.5,148,18,397,37.0,,392,186,46,76,436,72,38,376,12,101,444,282,193,Second Line,79.0,1341.82,31.0,39.0,70.0,30.12,51.04,55.67,R,75.0,200.0,2000-03-26,RUS,2018.0,1.0,2.0,L,25,"[71, 92, 78, 43, 65]","[98, 98, 97, 93, 96]","[16, 31, 16, 21, 8]","['CAR', 'CAR', 'CAR', 'CAR', 'CAR']"
2025-2026,8477429,Andrew Copp,DET,F,13.7,21.6,78.2,50.4,31.6,6.5,16.7,47.1,68.9,39.0,9.2,42.1,61.5,16.2,61.3,384,349,98,141.0,133.0,416,367,236,139,271,404,258,172,373,173,444,282,193,Second Line,79.0,1309.28,9.0,34.0,43.0,22.12,51.22,50.5,C,73.0,200.0,1994-07-08,USA,2013.0,4.0,104.0,L,31,"[78, 19, 34, 33, 3]","[70, 18, 16, 25, 23]","[91, 52, 79, 63, 83]","['NYR', 'DET', 'DET', 'DET', 'DET']"
2025-2026,8478233,Andrew Mangiapane,CHI,F,69.1,83.6,53.6,,,25.0,36.0,46.4,42.1,67.3,48.6,38.5,7.7,77.9,45.5,138,74,207,,,334,282,239,258,146,229,274,411,99,243,444,282,193,Fourth Line,62.0,774.03,8.0,8.0,16.0,8.85,36.23,45.77,L,70.0,183.0,1996-04-04,CAN,2015.0,6.0,166.0,L,29,"[98, 68, 49, 77, 62]","[94, 95, 94, 84, 67]","[94, 38, 56, 64, 45]","['CGY', 'CGY', 'CGY', 'WSH', 'CHI']"
2025-2026,8478463,Anthony Beauvillier,WSH,F,15.3,56.5,30.6,,39.9,9.0,53.4,82.7,10.6,36.0,64.9,53.4,52.7,40.8,42.3,377,194,309,,117.0,405,207,78,397,284,157,208,211,264,257,444,282,193,Second Line,82.0,1295.37,15.0,13.0,28.0,20.43,51.06,49.43,R,71.0,181.0,1997-06-08,CAN,2015.0,1.0,28.0,L,28,"[9, 10, 1, 38, 27]","[63, 31, 37, 41, 72]","[9, 21, 11, 59, 27]","['NYI', 'VAN', 'NSH', 'WSH', 'WSH']"
2025-2026,8478519,Anthony Cirelli,TBL,F,88.7,84.2,97.5,43.6,32.1,54.7,76.1,83.3,57.9,83.8,26.8,41.9,91.4,94.8,89.2,51,71,12,160.0,132.0,202,106,75,188,73,326,259,39,24,49,444,282,193,Second Line,71.0,1229.4,23.0,29.0,52.0,22.93,67.42,55.98,C,73.0,193.0,1997-07-15,CAN,2015.0,3.0,72.0,L,28,"[76, 58, 78, 93, 86]","[59, 80, 65, 89, 84]","[98, 79, 97, 99, 88]","['TBL', 'TBL', 'TBL', 'TBL', 'TBL']"
2025-2026,8477407,Anthony Duclair,NYI,F,31.3,66.2,0.9,14.5,,84.5,56.3,24.3,45.7,66.2,7.9,56.1,70.0,32.4,77.0,306,151,441,242.0,,70,194,337,242,151,410,196,134,301,103,444,282,193,Fourth Line,62.0,818.72,12.0,15.0,27.0,9.01,53.85,42.07,L,72.0,198.0,1995-08-26,CAN,2013.0,3.0,80.0,L,30,"[81, None, 76, 20, 17]","[88, None, 83, 66, 47]","[1, None, 2, 2, 1]","['FLA', None, 'TBL', 'NYI', 'NYI']"
2025-2026,8477511,Anthony Mantha,PIT,F,96.2,67.3,87.8,1.1,,99.8,98.2,55.4,69.1,17.6,20.5,60.1,93.9,49.5,32.9,18,146,55,280.0,,2,9,199,138,364,354,178,28,225,299,444,282,193,Third Line,81.0,1230.17,33.0,31.0,64.0,19.54,56.6,49.85,R,77.0,240.0,1994-09-16,CAN,2013.0,1.0,20.0,L,30,"[79, 74, 94, None, 95]","[86, 69, 76, None, 58]","[91, 94, 95, None, 73]","['WSH', 'WSH', 'VGK', None, 'PIT']"
2025-2026,8482113,Anton Lundell,FLA,F,62.6,30.0,82.9,64.2,93.8,45.0,54.1,56.3,58.1,58.3,54.5,59.0,60.8,77.3,77.3,167,312,77,102.0,13.0,245,204,195,187,185,203,183,175,102,102,444,282,193,First Line,64.0,1225.73,18.0,26.0,44.0,19.81,47.06,49.91,C,73.0,196.0,2001-10-03,FIN,2020.0,1.0,12.0,L,23,"[73, 42, 23, 64, 74]","[61, 38, 38, 29, 25]","[59, 71, 65, 84, 80]","['FLA', 'FLA', 'FLA', 'FLA', 'FLA']"
2025-2026,8471685,Anze Kopitar,LAK,F,90.1,81.1,93.9,71.3,,74.3,57.4,42.6,76.4,61.9,6.1,79.3,97.1,62.4,71.2,45,85,28,82.0,,115,189,256,106,169,418,93,14,168,129,444,282,193,First Line,67.0,1281.13,12.0,26.0,38.0,17.59,66.67,50.79,C,75.0,225.0,1987-08-24,SVN,2005.0,1.0,11.0,L,38,"[91, 95, 93, 94, 72]","[93, 93, 84, 86, 69]","[97, 94, 93, 86, 95]","['LAK', 'LAK', 'LAK', 'LAK', 'LAK']"
2025-2026,8481721,Arseny Gritsyuk,NJD,F,85.6,73.2,86.7,36.5,,88.3,68.5,36.5,81.3,16.9,48.9,61.9,11.5,42.6,44.6,65,120,60,180.0,,53,140,283,84,367,228,170,394,256,247,444,282,193,Third Line,66.0,1001.5,13.0,18.0,31.0,12.99,52.0,52.78,R,72.0,195.0,2001-03-15,RUS,2019.0,5.0,129.0,L,24,"[None, None, None, None, 85]","[None, None, None, None, 74]","[None, None, None, None, 86]","[None, None, None, None, 'NJD']"
2025-2026,8478550,Artemi Panarin,LAK,F,99.1,97.7,27.5,95.4,,99.5,99.3,74.8,93.9,81.8,0.5,99.1,68.2,49.1,76.4,5,11,323,14.0,,3,4,113,28,82,443,5,142,227,106,444,282,193,First Line,78.0,1625.7,28.0,56.0,84.0,26.77,56.91,51.74,L,72.0,176.0,1991-10-30,RUS,,,,R,33,"[86, 96, 99, 98, 98]","[88, 92, 97, 96, 96]","[10, 42, 23, 18, 40]","['NYR', 'NYR', 'NYR', 'NYR', 'LAK']"
2025-2026,8477476,Artturi Lehkonen,COL,F,82.2,85.8,92.8,24.1,59.6,46.6,92.6,97.5,82.9,24.3,35.8,84.7,95.7,98.9,87.6,80,64,33,215.0,79.0,238,34,12,77,334,286,69,20,6,56,444,282,193,First Line,70.0,1293.7,21.0,27.0,48.0,27.57,68.0,58.53,L,71.0,179.0,1995-07-04,FIN,2013.0,2.0,55.0,L,30,"[69, 63, 81, 87, 72]","[74, 54, 72, 86, 84]","[95, 71, 97, 88, 85]","['COL', 'COL', 'COL', 'COL', 'COL']"
2025-2026,8479318,Auston Matthews,TOR,F,98.6,99.5,59.2,83.7,49.2,68.0,98.9,99.8,88.7,77.9,26.6,77.7,84.7,18.2,100.0,7,3,182,47.0,99.0,143,6,2,51,99,327,100,69,364,1,444,282,193,First Line,60.0,1248.23,27.0,26.0,53.0,32.37,51.72,47.64,C,75.0,215.0,1997-09-17,USA,2016.0,1.0,1.0,L,27,"[100, 99, 100, 94, 94]","[99, 99, 99, 99, 99]","[72, 39, 79, 53, 49]","['TOR', 'TOR', 'TOR', 'TOR', 'TOR']"
2025-2026,8476624,Barclay Goodrow,SJS,F,2.5,2.9,27.9,,95.9,27.7,2.5,3.6,3.8,4.5,79.7,6.8,3.8,5.2,33.1,434,432,321,,9.0,322,429,429,427,422,91,415,428,422,298,444,282,193,Fourth Line,82.0,930.5,5.0,7.0,12.0,9.39,31.91,44.52,C,74.0,210.0,1993-02-26,CAN,,,,L,32,"[29, 46, 10, 1, 8]","[10, 21, 6, 2, 4]","[66, 43, 26, 16, 39]","['NYR', 'NYR', 'NYR', 'SJS', 'SJS']"
2025-2026,8480849,Barrett Hayton,UTA,F,24.1,80.0,77.9,55.3,,0.5,13.7,84.0,23.0,38.1,19.4,50.2,5.6,84.5,59.5,338,90,99,127.0,,443,380,72,342,275,359,222,420,70,181,444,282,193,Third Line,67.0,1013.23,10.0,15.0,25.0,19.89,50.0,56.09,C,73.0,200.0,2000-06-09,CAN,2018.0,1.0,5.0,L,25,"[53, 47, 30, 56, 9]","[37, 66, 70, 87, 73]","[57, 56, 51, 71, 87]","['ARI', 'ARI', 'ARI', 'UTA', 'UTA']"
2025-2026,8479359,Beck Malenstyn,BUF,F,19.4,10.6,47.5,,18.7,30.6,9.5,9.0,13.3,79.1,96.6,1.1,27.7,33.6,34.9,359,398,234,,158.0,309,399,405,385,94,16,440,322,296,290,444,282,193,Fourth Line,81.0,910.73,7.0,7.0,14.0,9.03,47.92,46.9,L,75.0,209.0,1998-02-04,CAN,2016.0,5.0,145.0,L,27,"[None, None, 5, 19, 37]","[None, None, 17, 16, 9]","[None, None, 24, 44, 64]","[None, None, 'WSH', 'BUF', 'BUF']"
2025-2026,8484762,Beckett Sennecke,ANA,F,40.1,83.1,23.0,50.7,,4.5,92.8,98.9,69.4,86.9,64.2,67.8,18.0,35.8,16.4,267,76,343,140.0,,425,33,6,137,59,160,144,365,286,372,444,282,193,Second Line,82.0,1430.5,23.0,37.0,60.0,32.15,47.71,52.57,R,75.0,206.0,2006-01-28,CAN,2024.0,1.0,3.0,R,19,"[None, None, None, None, 42]","[None, None, None, None, 82]","[None, None, None, None, 24]","[None, None, None, None, 'ANA']"
2025-2026,8485414,Ben Kindel,PIT,F,62.8,67.8,58.3,27.7,,43.5,53.2,50.5,39.4,73.6,15.5,57.2,18.7,55.9,24.5,166,144,186,205.0,,252,208,221,270,118,376,191,362,197,336,444,282,193,Third Line,77.0,1159.87,17.0,18.0,35.0,22.38,50.0,51.62,C,71.0,182.0,2007-04-19,CAN,2025.0,1.0,11.0,R,18,"[None, None, None, None, 64]","[None, None, None, None, 68]","[None, None, None, None, 58]","[None, None, None, None, 'PIT']"
2025-2026,8483570,Ben Meyers,SEA,F,57.7,50.7,75.2,,37.3,46.2,47.7,51.1,36.9,69.8,63.3,0.9,9.2,3.8,16.0,189,220,111,,122.0,240,231,218,281,135,164,441,404,428,374,444,282,193,Fourth Line,52.0,620.78,7.0,8.0,15.0,8.22,39.29,52.69,C,71.0,194.0,1998-11-15,USA,,,,L,26,"[None, 41, None, None, 60]","[None, 35, None, None, 53]","[None, 77, None, None, 76]","[None, 'COL', None, None, 'SEA']"
2025-2026,8484800,Berkly Catton,SEA,F,13.5,36.0,35.1,21.3,,14.4,19.6,41.2,2.5,47.5,8.3,99.8,41.2,4.7,18.9,385,285,289,223.0,,381,354,262,432,233,408,2,262,424,361,444,282,193,Fourth Line,66.0,853.75,7.0,10.0,17.0,11.2,46.55,48.31,C,70.0,179.0,2006-01-14,CAN,2024.0,1.0,8.0,L,19,"[None, None, None, None, 21]","[None, None, None, None, 39]","[None, None, None, None, 35]","[None, None, None, None, 'SEA']"
