Season,Player,Team,Position,tot_rank,evo_rank,evd_rank,ppl_rank,pkl_rank,fin_rank,gol_rank,xgl_rank,ast_rank,pen_rank,hit_rank,pdo_rank,ozs_rank,tmt_rank,cmp_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID,Specific Position,tot_history,evo_history,evd_history,ppl_history,pkl_history,team_history
2008-2009,Alexander Semin,WSH,F,,,,,,,3.0,4.0,76.0,286.0,358.0,139.0,19.0,,,First Line,62,1192.95,34,45,79,23.81,63.51,58.22,24,1984-03-03,RUS,RUS,74,211,2002,1,13,8470120,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'WSH', 'WSH']"
2008-2009,Alexander Steen,STL,F,,,,,,,367.0,297.0,238.0,238.0,251.0,247.0,309.0,,,Second Line,81,1323.2166666667,8,20,28,11.99,40.98,47.78,24,1984-03-01,CAN,SWE,72,211,2002,1,24,8470257,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'TOR', 'STL']"
2008-2009,Alexandre Burrows,VAN,F,,,,,,,48.0,85.0,155.0,220.0,229.0,72.0,390.0,,,Second Line,82,1381.5166666667,28,23,51,18.37,58.06,53.4,27,1981-04-11,CAN,CAN,73,197,-,-,-,8470358,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'VAN', 'VAN']"
2008-2009,Alexei Ponikarovsky,TOR,F,,,,,,,39.0,29.0,49.0,291.0,173.0,175.0,323.0,,,Second Line,82,1294.2333333333,23,38,61,18.93,53.21,55.41,28,1980-04-09,UKR,UKR,76,225,1998,4,87,8467412,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'TOR', 'TOR']"
2008-2009,Andreas Nodl,PHI,F,,,,,,,398.0,388.0,372.0,120.0,152.0,308.0,343.0,,,Fourth Line,38,423.51666666667,1,3,4,2.42,16.67,47.27,21,1987-02-28,AUT,AUT,73,196,2006,2,39,8473568,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'PHI']"
2008-2009,Andrei Kostitsyn,MTL,F,,,,,,,46.0,175.0,251.0,80.0,130.0,94.0,225.0,,,Second Line,74,1153.6333333333,23,18,41,16.66,50.00,48.69,23,1985-02-03,BLR,BLR,72,214,2003,1,10,8470603,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'MTL', 'MTL']"
2008-2009,Andrew Brunette,MIN,F,,,,,,,156.0,298.0,52.0,133.0,376.0,127.0,97.0,,,Second Line,80,1355.5666666667,22,28,50,14.5,49.41,51.14,35,1973-08-24,CAN,CAN,73,215,1993,7,174,8459596,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'COL', 'MIN']"
2008-2009,Andrew Cogliano,EDM,F,,,,,,,93.0,215.0,186.0,24.0,306.0,63.0,77.0,,,Third Line,82,1181.05,18,20,38,13.73,50.00,47.7,21,1987-06-14,CAN,CAN,70,179,2005,1,25,8471699,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'EDM', 'EDM']"
2008-2009,Andrew Ebbett,ANA,F,,,,,,,392.0,66.0,2.0,105.0,223.0,30.0,10.0,,,Third Line,48,665.68333333333,8,24,32,11.03,62.00,55.82,25,1983-01-02,CAN,CAN,69,174,-,-,-,8473682,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2008-2009,Andrew Ladd,CHI,F,,,,,,,86.0,50.0,36.0,153.0,106.0,83.0,388.0,,,Third Line,82,1180.35,15,34,49,15.02,59.38,54.26,22,1985-12-12,CAN,CAN,75,205,2004,1,4,8471217,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'CHI', 'CHI']"
2008-2009,Andrew Murray,CBJ,F,,,,,,,143.0,184.0,399.0,173.0,28.0,262.0,374.0,,,Fourth Line,67,755.0,8,3,11,7.91,42.42,56.08,26,1981-11-06,CAN,CAN,74,210,2001,8,242,8469685,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'CBJ', 'CBJ']"
2008-2009,Andy Hilbert,NYI,F,,,,,,,227.0,124.0,150.0,189.0,244.0,202.0,372.0,,,Second Line,67,1082.0833333333,11,16,27,12.29,46.67,50.15,27,1981-02-06,USA,USA,70,188,2000,2,37,8468517,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NYI', 'NYI']"
2008-2009,Andy McDonald,STL,F,,,,,,,161.0,158.0,121.0,207.0,308.0,260.0,202.0,,,First Line,46,877.48333333333,15,29,44,13.32,44.64,51.29,31,1977-08-25,CAN,CAN,70,175,-,-,-,8468434,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'STL', 'STL']"
2008-2009,Anthony Stewart,FLA,F,,,,,,,384.0,95.0,390.0,32.0,52.0,261.0,319.0,,,Fringe,59,451.1,2,5,7,5.39,31.58,46.19,23,1985-01-05,CAN,CAN,75,230,2003,1,25,8470618,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'FLA']"
2008-2009,Antoine Vermette,CBJ,F,,,,,,,159.0,153.0,131.0,245.0,213.0,220.0,306.0,,,First Line,79,1450.4166666667,16,25,41,19.06,44.12,48.41,26,1982-07-20,CAN,CAN,73,197,2000,2,55,8468535,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'OTT', 'CBJ']"
2008-2009,Antti Miettinen,MIN,F,,,,,,,261.0,235.0,148.0,284.0,260.0,102.0,205.0,,,First Line,82,1498.5833333333,15,29,44,15.7,47.76,45.09,28,1980-07-03,FIN,FIN,72,190,2000,7,224,8468704,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'DAL', 'MIN']"
2008-2009,Antti Pihlstrom,NSH,F,,,,,,,402.0,186.0,349.0,141.0,53.0,236.0,105.0,,,Fourth Line,53,606.76666666667,2,5,7,6.56,48.00,53.91,23,1984-10-22,FIN,FIN,71,190,-,-,-,8473973,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'NSH']"
2008-2009,Anze Kopitar,LAK,F,,,,,,,98.0,130.0,162.0,30.0,228.0,241.0,141.0,,,First Line,82,1676.9666666667,27,39,66,25.09,48.00,54.7,21,1987-08-24,SVN,SVN,75,225,2005,1,11,8471685,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'LAK', 'LAK']"
2008-2009,Arron Asham,PHI,F,,,,,,,178.0,279.0,227.0,283.0,63.0,174.0,179.0,,,Fringe,78,682.3,8,12,20,6.96,50.00,48.16,30,1978-04-13,CAN,CAN,71,210,1996,3,71,8465025,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NJD', 'PHI']"
2008-2009,B.J. Crombeen,STL,F,,,,,,,209.0,230.0,350.0,333.0,144.0,277.0,359.0,,,Fourth Line,81,1030.6166666667,12,10,22,10.99,40.32,48.45,23,1985-07-10,USA,USA,74,209,2003,2,54,8470647,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'STL']"
2008-2009,Ben Eager,CHI,F,,,,,,,32.0,278.0,370.0,387.0,76.0,141.0,1.0,,,Fringe,75,639.05,11,4,15,6.19,51.11,46.48,24,1984-01-22,CAN,CAN,74,226,2002,1,23,8470280,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CHI']"
2008-2009,Ben Guite,COL,F,,,,,,,237.0,331.0,308.0,354.0,89.0,173.0,382.0,,,Fourth Line,50,635.96666666667,5,7,12,4.72,50.00,46.33,30,1978-07-17,CAN,CAN,73,210,1997,7,172,8466300,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'COL', 'COL']"
2008-2009,Benoit Pouliot,MIN,F,,,,,,,280.0,403.0,321.0,384.0,313.0,11.0,232.0,,,Fourth Line,37,438.25,5,6,11,3.33,57.89,41.66,21,1986-09-29,CAN,CAN,75,200,2005,1,4,8471678,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MIN']"
2008-2009,Bill Guerin,PIT,F,,,,,,,97.0,139.0,229.0,331.0,295.0,152.0,127.0,,,Second Line,78,1301.4333333333,21,27,48,19.69,47.44,46.51,37,1970-11-09,USA,USA,74,220,1989,1,5,8456464,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NYI', 'PIT']"
2008-2009,Blair Betts,NYR,F,,,,,,,363.0,264.0,382.0,197.0,77.0,281.0,317.0,,,Fourth Line,81,859.75,6,4,10,7.87,36.11,45.08,28,1980-02-16,CAN,CAN,75,210,1998,2,33,8467361,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NYR', 'NYR']"
2008-2009,Blake Comeau,NYI,F,,,,,,,282.0,254.0,213.0,241.0,142.0,234.0,98.0,,,Second Line,53,862.61666666667,7,18,25,10.47,37.29,45.54,22,1986-02-18,CAN,CAN,73,200,2004,2,47,8471260,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NYI', 'NYI']"
2008-2009,Blake Wheeler,BOS,F,,,,,,,45.0,52.0,53.0,341.0,250.0,3.0,163.0,,,Third Line,81,1109.0,21,24,45,16.75,69.88,53.48,22,1986-08-31,USA,USA,77,220,2004,1,5,8471218,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2008-2009,Bobby Holik,NJD,F,,,,,,,299.0,329.0,381.0,397.0,54.0,197.0,302.0,,,Fourth Line,62,631.68333333333,4,5,9,5.32,48.00,51.35,37,1971-01-01,CZE,CZE,76,230,1989,1,10,8447958,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'ATL', 'NJD']"
2008-2009,Bobby Ryan,ANA,F,,,,,,,7.0,31.0,137.0,45.0,159.0,18.0,11.0,,,Third Line,64,987.83333333333,31,26,57,17.88,61.73,56.2,21,1987-03-17,USA,USA,74,208,2005,1,2,8471676,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'ANA']"
2008-2009,Boyd Devereaux,TOR,F,,,,,,,207.0,322.0,113.0,119.0,133.0,224.0,145.0,,,Third Line,23,314.93333333333,6,5,11,2.56,47.62,49.26,30,1978-04-16,CAN,CAN,74,195,1996,1,6,8464960,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'TOR', 'TOR']"
2008-2009,Boyd Gordon,WSH,F,,,,,,,339.0,249.0,302.0,210.0,194.0,215.0,362.0,,,Fourth Line,63,848.08333333333,5,9,14,6.86,40.63,48.03,24,1983-10-19,CAN,CAN,72,200,2002,1,17,8470159,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'WSH', 'WSH']"
2008-2009,Brad Boyes,STL,F,,,,,,,40.0,112.0,226.0,116.0,325.0,221.0,255.0,,,First Line,82,1569.55,33,39,72,24.66,43.16,51.81,26,1982-04-17,CAN,CAN,72,199,2000,1,24,8468504,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'STL', 'STL']"
2008-2009,Brad May,TOR,F,,,,,,,395.0,392.0,335.0,393.0,124.0,42.0,24.0,,,Fringe,58,421.03333333333,1,6,7,2.35,50.00,38.12,36,1971-11-29,CAN,CAN,73,213,1990,1,14,8457261,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'ANA', 'TOR']"
2008-2009,Brad Richards,DAL,F,,,,,,,152.0,244.0,244.0,176.0,403.0,263.0,200.0,,,First Line,56,1146.7833333333,16,32,48,13.22,45.07,47.51,28,1980-05-02,CAN,CAN,72,199,1998,3,64,8467389,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'DAL', 'DAL']"
2008-2009,Brad Richardson,LAK,F,,,,,,,403.0,257.0,109.0,215.0,141.0,301.0,307.0,,,Fourth Line,31,334.66666666667,0,5,5,3.07,31.58,45.98,23,1985-02-04,CAN,CAN,72,190,2003,5,163,8470755,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'LAK']"
2008-2009,Brad Winchester,STL,F,,,,,,,257.0,294.0,374.0,344.0,44.0,192.0,117.0,,,Fourth Line,64,778.41666666667,13,8,21,9.83,51.11,45.08,27,1981-03-01,USA,USA,77,230,2000,2,35,8468515,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'DAL', 'STL']"
2008-2009,Brandon Dubinsky,NYR,F,,,,,,,240.0,97.0,166.0,135.0,26.0,227.0,93.0,,,Second Line,82,1364.1166666667,13,28,41,18.54,49.37,52.1,22,1986-04-29,USA,USA,74,208,2004,2,60,8471273,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NYR', 'NYR']"
2008-2009,Brandon Sutter,CAR,F,,,,,,,403.0,283.0,203.0,16.0,125.0,233.0,7.0,,,Fringe,50,441.25,1,5,6,4.07,45.00,49.81,19,1989-02-14,USA,CAN,75,190,2007,1,11,8474091,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'CAR']"
2008-2009,Brendan Morrison,DAL,F,,,,,,,76.0,265.0,304.0,270.0,357.0,31.0,73.0,,,Third Line,81,1151.0833333333,16,15,31,11.53,57.63,48.66,33,1975-08-15,CAN,CAN,71,176,1993,2,39,8459461,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'VAN', 'DAL']"
2008-2009,Brendan Shanahan,NJD,F,,,,,,,275.0,161.0,101.0,389.0,366.0,149.0,25.0,,,Third Line,34,506.41666666667,6,8,14,6.95,45.83,46.88,39,1969-01-23,CAN,CAN,75,220,1987,1,2,8451302,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NYR', 'NJD']"
2008-2009,Brenden Morrow,DAL,F,,,,,,,127.0,93.0,67.0,381.0,42.0,104.0,143.0,,,First Line,18,384.31666666667,5,10,15,6.32,44.00,47.98,29,1979-01-16,CAN,CAN,71,212,1997,1,25,8466160,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'DAL', 'DAL']"
2008-2009,Brett McLean,FLA,F,,,,,,,254.0,239.0,270.0,258.0,352.0,195.0,195.0,,,Fourth Line,80,994.1,7,12,19,9.83,40.68,43.19,30,1978-08-14,CAN,CAN,71,184,1997,9,242,8465968,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'FLA', 'FLA']"
2008-2009,Brian Gionta,NJD,F,,,,,,,138.0,37.0,40.0,115.0,330.0,117.0,133.0,,,Second Line,81,1374.3666666667,20,40,60,22.86,57.14,56.33,29,1979-01-18,USA,USA,67,178,1998,3,82,8467407,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NJD', 'NJD']"
2008-2009,Brian Rolston,NJD,F,,,,,,,174.0,192.0,340.0,328.0,320.0,46.0,56.0,,,Third Line,64,966.5,15,17,32,14.34,58.82,50.79,35,1973-02-21,USA,USA,74,215,1991,1,11,8458525,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'MIN', 'NJD']"
2008-2009,Brian Sutherby,DAL,F,,,,,,,235.0,146.0,355.0,225.0,38.0,146.0,58.0,,,Fourth Line,59,643.76666666667,8,7,15,7.03,51.28,48.76,26,1982-03-01,CAN,CAN,74,208,2000,1,26,8468506,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'ANA', 'DAL']"
2008-2009,Brian Willsie,COL,F,,,,,,,390.0,174.0,334.0,372.0,211.0,289.0,149.0,,,Fourth Line,42,494.91666666667,1,3,4,4.9,35.29,50.44,30,1978-03-16,CAN,CAN,73,202,1996,6,146,8465113,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'LAK', 'COL']"
2008-2009,Brooks Laich,WSH,F,,,,,,,189.0,44.0,246.0,20.0,149.0,234.0,177.0,,,Second Line,82,1417.25,23,30,53,23.01,51.43,55.52,25,1983-06-23,CAN,CAN,74,200,2001,6,193,8469639,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'WSH', 'WSH']"
2008-2009,Bryan Little,ATL,F,,,,,,,60.0,136.0,200.0,78.0,356.0,66.0,358.0,,,Second Line,79,1335.1666666667,31,20,51,20.72,50.52,47.48,20,1987-11-12,CAN,CAN,72,191,2006,1,12,8473412,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'ATL', 'ATL']"
2008-2009,Byron Bitz,BOS,F,,,,,,,168.0,390.0,359.0,268.0,23.0,214.0,134.0,,,Fourth Line,35,362.66666666667,4,3,7,2.2,46.15,48.9,24,1984-07-21,CAN,CAN,77,215,2003,4,107,8470700,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'BOS']"
2008-2009,Cal Clutterbuck,MIN,F,,,,,,,270.0,310.0,353.0,3.0,1.0,149.0,393.0,,,Fourth Line,78,1014.4,11,7,18,10.62,45.10,44.65,20,1987-11-18,CAN,CAN,72,212,2006,3,72,8473504,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'MIN']"
2008-2009,Chad LaRose,CAR,F,,,,,,,77.0,28.0,269.0,110.0,131.0,168.0,52.0,,,Third Line,81,1226.1166666667,19,12,31,16.68,50.67,50.49,26,1982-03-27,USA,USA,70,181,-,-,-,8469812,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'CAR', 'CAR']"
2008-2009,Chris Clark,WSH,F,,,,,,,315.0,276.0,365.0,379.0,143.0,144.0,251.0,,,Fourth Line,32,370.21666666667,1,5,6,3.66,42.11,45.46,32,1976-03-08,USA,USA,72,191,1994,3,77,8460567,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'WSH', 'WSH']"
2008-2009,Chris Conner,DAL,F,,,,,,,372.0,292.0,68.0,129.0,110.0,274.0,119.0,,,Fourth Line,38,415.45,3,10,13,3.72,42.11,48.35,24,1983-12-23,USA,USA,67,181,-,-,-,8472368,R,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, 'DAL']"
2008-2009,Chris Drury,NYR,F,,,,,,,199.0,74.0,180.0,256.0,344.0,176.0,121.0,,,First Line,81,1639.8666666667,22,34,56,26.5,45.45,49.19,32,1976-08-20,USA,USA,70,191,1994,3,72,8460562,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'NYR', 'NYR']"
2008-2009,Chris Higgins,MTL,F,,,,,,,151.0,45.0,260.0,96.0,177.0,70.0,304.0,,,Second Line,57,968.75,12,11,23,14.97,51.85,46.94,25,1983-06-02,USA,USA,72,205,2002,1,14,8470274,L,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'MTL', 'MTL']"
2008-2009,Chris Kelly,OTT,F,,,,,,,232.0,316.0,272.0,321.0,191.0,273.0,280.0,,,Second Line,82,1279.2,12,11,23,10.36,39.06,48.1,27,1980-11-11,CAN,CAN,72,190,1999,3,94,8467967,C,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, 'OTT', 'OTT']"
