Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2013-2014,Ian Cole,STL,D,182.0,1.0,,,205.0,26.0,113.0,87.0,177.0,71.0,182.0,185.0,,153.0,Third Pair,46,693.86666666667,3,2,24,1989-02-21,USA,USA,73,225,2007,1,18,18,8474013,https://assets.nhle.com/mugs/nhl/20132014/STL/8474013.png
2013-2014,Jack Johnson,CBJ,D,160.0,95.0,68.0,88.0,195.0,93.0,87.0,150.0,145.0,187.0,92.0,88.0,,33.0,First Pair,82,2023.7166666667,5,9,26,1987-01-13,USA,USA,73,227,2005,1,3,3,8471677,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8471677.png
2013-2014,Jacob Trouba,WPG,D,44.0,217.0,110.0,127.0,114.0,206.0,32.0,15.0,97.0,186.0,2.0,132.0,,31.0,First Pair,65,1458.3666666667,10,9,19,1994-02-26,USA,USA,75,203,2012,1,9,9,8476885,https://assets.nhle.com/mugs/nhl/20132014/WPG/8476885.png
2013-2014,Jake Gardiner,TOR,D,161.0,220.0,41.0,,197.0,209.0,110.0,23.0,207.0,211.0,9.0,127.0,,83.0,Second Pair,80,1686.1,10,10,23,1990-07-04,USA,USA,74,203,2008,1,17,17,8474581,https://assets.nhle.com/mugs/nhl/20132014/TOR/8474581.png
2013-2014,Jake Muzzin,LAK,D,10.0,26.0,29.0,,16.0,3.0,11.0,50.0,22.0,27.0,150.0,46.0,,77.0,Second Pair,76,1446.3166666667,5,9,24,1989-02-21,CAN,CAN,75,227,2007,5,20,141,8474162,https://assets.nhle.com/mugs/nhl/20132014/LAK/8474162.png
2013-2014,Jakub Kindl,DET,D,69.0,146.0,101.0,,81.0,33.0,68.0,85.0,50.0,17.0,95.0,133.0,,143.0,Third Pair,66,1137.2166666667,2,6,26,1987-02-10,CZE,CZE,75,199,2005,1,19,19,8471693,https://assets.nhle.com/mugs/nhl/20132014/DET/8471693.png
2013-2014,James Wisniewski,CBJ,D,53.0,76.0,19.0,62.0,83.0,55.0,54.0,115.0,34.0,154.0,111.0,107.0,,16.0,First Pair,75,1696.6333333333,7,20,29,1984-02-21,USA,USA,71,203,2002,5,25,156,8470222,https://assets.nhle.com/mugs/nhl/20132014/CBJ/8470222.png
2013-2014,Jamie McBain,BUF,D,132.0,178.0,107.0,165.0,97.0,210.0,142.0,122.0,129.0,162.0,25.0,207.0,,99.0,Second Pair,69,1391.4666666667,6,4,25,1988-02-25,USA,USA,73,195,2006,2,33,63,8473571,https://assets.nhle.com/mugs/nhl/20132014/BUF/8473571.png
2013-2014,Jan Hejda,COL,D,169.0,149.0,,83.0,170.0,162.0,169.0,79.0,158.0,222.0,122.0,74.0,,114.0,First Pair,78,1740.9166666667,6,2,35,1978-06-18,CZE,CZE,76,230,2003,4,5,106,8470699,https://assets.nhle.com/mugs/nhl/20132014/COL/8470699.png
2013-2014,Jared Cowen,OTT,D,104.0,212.0,,142.0,67.0,204.0,162.0,25.0,171.0,143.0,195.0,22.0,,157.0,Second Pair,68,1394.8333333333,6,4,22,1991-01-25,CAN,CAN,77,238,2009,1,9,9,8475174,https://assets.nhle.com/mugs/nhl/20132014/OTT/8475174.png
2013-2014,Jared Spurgeon,MIN,D,106.0,18.0,22.0,34.0,108.0,16.0,151.0,129.0,48.0,42.0,11.0,144.0,,62.0,First Pair,67,1516.95,5,13,23,1989-11-29,CAN,CAN,69,166,2008,6,5,156,8474716,https://assets.nhle.com/mugs/nhl/20132014/MIN/8474716.png
2013-2014,Jason Demers,SJS,D,25.0,84.0,54.0,5.0,12.0,67.0,112.0,54.0,26.0,100.0,45.0,155.0,,67.0,Second Pair,75,1461.55,5,14,25,1988-06-09,CAN,CAN,73,195,2008,7,5,186,8474218,https://assets.nhle.com/mugs/nhl/20132014/SJS/8474218.png
2013-2014,Jason Garrison,VAN,D,54.0,87.0,15.0,33.0,91.0,89.0,59.0,59.0,42.0,117.0,196.0,177.0,,35.0,Second Pair,81,1692.6333333333,7,19,28,1984-11-13,CAN,CAN,73,218,-,-,-,-,8474520,https://assets.nhle.com/mugs/nhl/20132014/VAN/8474520.png
2013-2014,Jay Bouwmeester,STL,D,49.0,116.0,74.0,66.0,94.0,60.0,61.0,66.0,35.0,113.0,67.0,200.0,,51.0,First Pair,82,1971.9833333333,4,14,29,1983-09-27,CAN,CAN,76,206,2002,1,3,3,8470151,https://assets.nhle.com/mugs/nhl/20132014/STL/8470151.png
2013-2014,Jay Harrison,CAR,D,66.0,189.0,14.0,,39.0,212.0,71.0,100.0,101.0,26.0,180.0,37.0,,96.0,Third Pair,68,1130.6,4,4,30,1982-11-03,CAN,CAN,76,188,2001,3,19,82,8469531,https://assets.nhle.com/mugs/nhl/20132014/CAR/8469531.png
2013-2014,Jeff Petry,EDM,D,110.0,213.0,120.0,139.0,115.0,195.0,109.0,94.0,94.0,193.0,81.0,54.0,,101.0,Second Pair,80,1726.7833333333,7,5,25,1987-12-09,USA,USA,75,209,2006,2,15,45,8473507,https://assets.nhle.com/mugs/nhl/20132014/EDM/8473507.png
2013-2014,Joe Corvo,OTT,D,6.0,202.0,28.0,,22.0,182.0,12.0,7.0,77.0,45.0,112.0,187.0,,58.0,Third Pair,25,438.05,3,4,36,1977-06-20,USA,USA,72,204,1997,4,3,83,8466215,https://assets.nhle.com/mugs/nhl/20132014/OTT/8466215.png
2013-2014,John Carlson,WSH,D,76.0,88.0,8.0,145.0,142.0,136.0,23.0,34.0,183.0,171.0,30.0,169.0,,12.0,First Pair,82,2010.45,10,14,23,1990-01-10,USA,USA,75,215,2008,1,27,27,8474590,https://assets.nhle.com/mugs/nhl/20132014/WSH/8474590.png
2013-2014,John Erskine,WSH,D,130.0,130.0,,148.0,172.0,168.0,77.0,82.0,137.0,178.0,219.0,23.0,,150.0,Third Pair,37,577.1,1,2,33,1980-06-26,CAN,CAN,76,220,1998,2,12,39,8467365,https://assets.nhle.com/mugs/nhl/20132014/WSH/8467365.png
2013-2014,John Moore,NYR,D,41.0,152.0,69.0,,68.0,100.0,31.0,67.0,46.0,1.0,54.0,129.0,,170.0,Third Pair,74,1134.3166666667,4,5,22,1990-11-19,USA,USA,75,207,2009,1,21,21,8475186,https://assets.nhle.com/mugs/nhl/20132014/NYR/8475186.png
2013-2014,John-Michael Liles,CAR,D,92.0,47.0,93.0,,62.0,128.0,120.0,143.0,87.0,110.0,21.0,118.0,,73.0,Second Pair,41,805.83333333333,2,4,32,1980-11-25,USA,USA,70,185,2000,5,29,159,8468639,https://assets.nhle.com/mugs/nhl/20132014/CAR/8468639.png
2013-2014,John-Michael Liles,TOR,D,92.0,47.0,93.0,,62.0,128.0,120.0,143.0,87.0,110.0,21.0,118.0,,73.0,Second Pair,41,805.83333333333,2,4,32,1980-11-25,USA,USA,70,185,2000,5,29,159,8468639,https://assets.nhle.com/mugs/nhl/20132014/TOR/8468639.png
2013-2014,Johnny Boychuk,BOS,D,12.0,20.0,,47.0,11.0,42.0,13.0,73.0,43.0,153.0,80.0,78.0,,57.0,Second Pair,75,1589.4166666667,5,11,29,1984-01-19,CAN,CAN,74,227,2002,2,31,61,8470187,https://assets.nhle.com/mugs/nhl/20132014/BOS/8470187.png
2013-2014,Johnny Oduya,CHI,D,153.0,34.0,,31.0,125.0,15.0,144.0,111.0,200.0,125.0,116.0,202.0,,139.0,Second Pair,77,1548.2833333333,3,5,31,1981-10-01,SWE,SWE,72,191,2001,7,25,221,8469665,https://assets.nhle.com/mugs/nhl/20132014/CHI/8469665.png
2013-2014,Jon Merrill,NJD,D,188.0,71.0,124.0,,175.0,23.0,211.0,190.0,135.0,32.0,72.0,206.0,,210.0,Second Pair,52,999.76666666667,2,5,21,1992-02-03,USA,USA,75,204,2010,2,8,38,8475750,https://assets.nhle.com/mugs/nhl/20132014/NJD/8475750.png
2013-2014,Jonas Brodin,MIN,D,222.0,21.0,112.0,130.0,220.0,14.0,214.0,157.0,221.0,93.0,36.0,227.0,,147.0,First Pair,79,1888.25,8,1,20,1993-07-12,SWE,SWE,74,196,2011,1,10,10,8476463,https://assets.nhle.com/mugs/nhl/20132014/MIN/8476463.png
2013-2014,Jonathan Ericsson,DET,D,127.0,176.0,,93.0,96.0,48.0,128.0,164.0,115.0,48.0,186.0,100.0,,175.0,Second Pair,48,1019.8333333333,1,3,29,1984-03-02,SWE,SWE,76,218,2002,9,31,291,8470318,https://assets.nhle.com/mugs/nhl/20132014/DET/8470318.png
2013-2014,Jordan Leopold,STL,D,125.0,62.0,55.0,,187.0,35.0,45.0,57.0,151.0,9.0,29.0,198.0,,130.0,Third Pair,27,421.16666666667,1,3,33,1980-08-03,USA,USA,73,206,1999,2,16,44,8467917,https://assets.nhle.com/mugs/nhl/20132014/STL/8467917.png
2013-2014,Jordie Benn,DAL,D,111.0,151.0,,114.0,92.0,132.0,107.0,206.0,38.0,140.0,113.0,116.0,,141.0,Second Pair,78,1494.1166666667,3,5,26,1987-07-26,CAN,CAN,74,201,-,-,-,-,8474818,https://assets.nhle.com/mugs/nhl/20132014/DAL/8474818.png
2013-2014,Josh Gorges,MTL,D,181.0,14.0,,9.0,139.0,80.0,224.0,202.0,83.0,216.0,56.0,112.0,,97.0,Second Pair,66,1401.9833333333,1,8,29,1984-08-14,CAN,CAN,73,204,-,-,-,-,8470324,https://assets.nhle.com/mugs/nhl/20132014/MTL/8470324.png
2013-2014,Justin Braun,SJS,D,65.0,35.0,96.0,58.0,14.0,34.0,76.0,162.0,106.0,179.0,26.0,141.0,,123.0,Second Pair,82,1720.85,4,5,26,1987-02-10,USA,USA,74,205,2007,7,20,201,8474027,https://assets.nhle.com/mugs/nhl/20132014/SJS/8474027.png
2013-2014,Justin Faulk,CAR,D,61.0,199.0,65.0,152.0,21.0,196.0,66.0,84.0,118.0,77.0,79.0,120.0,,49.0,First Pair,76,1779.2833333333,5,8,21,1992-03-20,USA,USA,72,214,2010,2,7,37,8475753,https://assets.nhle.com/mugs/nhl/20132014/CAR/8475753.png
2013-2014,Justin Schultz,EDM,D,116.0,226.0,87.0,109.0,167.0,224.0,170.0,8.0,102.0,150.0,46.0,225.0,,55.0,First Pair,74,1726.3,11,12,23,1990-07-06,CAN,CAN,74,190,2008,2,13,43,8474602,https://assets.nhle.com/mugs/nhl/20132014/EDM/8474602.png
2013-2014,Karl Alzner,WSH,D,178.0,98.0,,121.0,165.0,115.0,147.0,171.0,197.0,174.0,53.0,161.0,,136.0,Second Pair,82,1683.8833333333,2,5,24,1988-09-24,CAN,CAN,75,213,2007,1,5,5,8473991,https://assets.nhle.com/mugs/nhl/20132014/WSH/8473991.png
2013-2014,Keaton Ellerby,WPG,D,179.0,145.0,,,110.0,49.0,186.0,196.0,175.0,22.0,14.0,47.0,,221.0,Third Pair,51,709.35,2,2,24,1988-11-05,CAN,CAN,77,220,2007,1,10,10,8474184,https://assets.nhle.com/mugs/nhl/20132014/WPG/8474184.png
2013-2014,Keith Ballard,MIN,D,189.0,92.0,,,199.0,56.0,182.0,114.0,167.0,148.0,40.0,69.0,,217.0,Third Pair,45,612.45,2,4,30,1982-11-26,USA,USA,71,204,2002,1,11,11,8470054,https://assets.nhle.com/mugs/nhl/20132014/MIN/8470054.png
2013-2014,Keith Yandle,PHX,D,9.0,195.0,16.0,,65.0,175.0,4.0,30.0,21.0,23.0,85.0,226.0,,7.0,First Pair,82,1979.9833333333,8,27,26,1986-09-09,USA,USA,73,192,2005,4,14,105,8471735,https://assets.nhle.com/mugs/nhl/20132014/PHX/8471735.png
2013-2014,Kevan Miller,BOS,D,209.0,2.0,,1.0,212.0,25.0,160.0,185.0,193.0,3.0,27.0,33.0,,178.0,Third Pair,47,820.71666666667,1,2,25,1987-11-15,USA,USA,74,210,-,-,-,-,8476191,https://assets.nhle.com/mugs/nhl/20132014/BOS/8476191.png
2013-2014,Kevin Bieksa,VAN,D,33.0,167.0,84.0,50.0,45.0,160.0,7.0,90.0,66.0,73.0,124.0,79.0,,40.0,First Pair,76,1730.8333333333,4,9,32,1981-06-16,CAN,CAN,73,197,2001,5,20,151,8469598,https://assets.nhle.com/mugs/nhl/20132014/VAN/8469598.png
2013-2014,Kevin Connauton,DAL,D,121.0,222.0,,,74.0,207.0,28.0,208.0,203.0,25.0,102.0,115.0,,166.0,Third Pair,36,551.9,1,2,23,1990-02-23,CAN,CAN,74,205,2009,3,22,83,8475246,https://assets.nhle.com/mugs/nhl/20132014/DAL/8475246.png
2013-2014,Kevin Klein,NSH,D,146.0,48.0,,43.0,189.0,107.0,115.0,99.0,90.0,128.0,16.0,103.0,,129.0,Third Pair,77,1334.5,2,3,28,1984-12-13,CAN,CAN,73,206,2003,2,7,37,8470630,https://assets.nhle.com/mugs/nhl/20132014/NSH/8470630.png
2013-2014,Kevin Klein,NYR,D,146.0,48.0,,43.0,189.0,107.0,115.0,99.0,90.0,128.0,16.0,103.0,,129.0,Third Pair,77,1334.5,2,3,28,1984-12-13,CAN,CAN,73,206,2003,2,7,37,8470630,https://assets.nhle.com/mugs/nhl/20132014/NYR/8470630.png
2013-2014,Kevin Shattenkirk,STL,D,52.0,13.0,23.0,,89.0,12.0,26.0,72.0,72.0,15.0,123.0,146.0,,26.0,Second Pair,81,1666.0666666667,10,12,24,1989-01-29,USA,USA,72,212,2007,1,14,14,8474031,https://assets.nhle.com/mugs/nhl/20132014/STL/8474031.png
2013-2014,Kimmo Timonen,PHI,D,64.0,37.0,2.0,35.0,51.0,47.0,39.0,43.0,152.0,72.0,168.0,168.0,,25.0,Second Pair,77,1565.3833333333,6,16,38,1975-03-18,FIN,FIN,70,194,1993,10,16,250,8459670,https://assets.nhle.com/mugs/nhl/20132014/PHI/8459670.png
2013-2014,Kris Letang,PIT,D,5.0,142.0,3.0,116.0,63.0,98.0,6.0,20.0,13.0,81.0,6.0,138.0,,2.0,First Pair,37,896.65,11,6,26,1987-04-24,CAN,CAN,72,201,2005,3,1,62,8471724,https://assets.nhle.com/mugs/nhl/20132014/PIT/8471724.png
2013-2014,Kris Russell,CGY,D,147.0,7.0,83.0,37.0,191.0,111.0,96.0,154.0,96.0,56.0,22.0,178.0,,38.0,First Pair,68,1573.15,7,12,26,1987-05-02,CAN,CAN,70,170,2005,3,6,67,8471729,https://assets.nhle.com/mugs/nhl/20132014/CGY/8471729.png
2013-2014,Kyle Quincey,DET,D,134.0,54.0,,70.0,118.0,28.0,88.0,101.0,202.0,50.0,204.0,151.0,,155.0,Second Pair,82,1706.05,4,4,28,1985-08-12,CAN,CAN,74,210,2003,4,31,132,8470724,https://assets.nhle.com/mugs/nhl/20132014/DET/8470724.png
2013-2014,Ladislav Smid,CGY,D,221.0,66.0,,87.0,209.0,177.0,222.0,165.0,223.0,168.0,212.0,13.0,,149.0,Second Pair,73,1323.45,2,2,27,1986-02-01,CZE,CZE,76,210,2004,1,9,9,8471222,https://assets.nhle.com/mugs/nhl/20132014/CGY/8471222.png
2013-2014,Ladislav Smid,EDM,D,221.0,66.0,,87.0,209.0,177.0,222.0,165.0,223.0,168.0,212.0,13.0,,149.0,Second Pair,73,1323.45,2,2,27,1986-02-01,CZE,CZE,76,210,2004,1,9,9,8471222,https://assets.nhle.com/mugs/nhl/20132014/EDM/8471222.png
2013-2014,Luca Sbisa,ANA,D,136.0,147.0,,60.0,99.0,137.0,139.0,127.0,130.0,49.0,214.0,11.0,,159.0,Third Pair,30,511.7,1,1,23,1990-01-30,ITA,CHE,74,206,2008,1,19,19,8474579,https://assets.nhle.com/mugs/nhl/20132014/ANA/8474579.png
2013-2014,Luke Schenn,PHI,D,98.0,155.0,,6.0,111.0,169.0,73.0,96.0,91.0,67.0,118.0,2.0,,132.0,Third Pair,79,1306.6166666667,4,6,23,1989-11-02,CAN,CAN,74,225,2008,1,5,5,8474568,https://assets.nhle.com/mugs/nhl/20132014/PHI/8474568.png
2013-2014,Marc Methot,OTT,D,97.0,123.0,,91.0,77.0,109.0,104.0,103.0,111.0,87.0,121.0,48.0,,100.0,Second Pair,75,1630.5833333333,6,8,28,1985-06-21,CAN,CAN,76,230,2003,6,1,168,8470760,https://assets.nhle.com/mugs/nhl/20132014/OTT/8470760.png
2013-2014,Marc Staal,NYR,D,107.0,140.0,,42.0,50.0,95.0,106.0,161.0,131.0,144.0,84.0,154.0,,168.0,Second Pair,72,1478.1333333333,3,5,26,1987-01-13,CAN,CAN,76,208,2005,1,12,12,8471686,https://assets.nhle.com/mugs/nhl/20132014/NYR/8471686.png
2013-2014,Marc-Edouard Vlasic,SJS,D,18.0,16.0,,28.0,2.0,10.0,49.0,62.0,62.0,180.0,13.0,205.0,,76.0,Second Pair,81,1677.8833333333,5,9,26,1987-03-30,CAN,CAN,73,205,2005,2,5,35,8471709,https://assets.nhle.com/mugs/nhl/20132014/SJS/8471709.png
2013-2014,Marco Scandella,MIN,D,186.0,32.0,,81.0,219.0,31.0,145.0,123.0,100.0,217.0,74.0,163.0,,164.0,Second Pair,76,1429.6666666667,3,5,23,1990-02-23,CAN,CAN,75,212,2008,2,25,55,8474618,https://assets.nhle.com/mugs/nhl/20132014/MIN/8474618.png
2013-2014,Marek Zidlicky,NJD,D,90.0,59.0,75.0,,82.0,8.0,124.0,124.0,59.0,35.0,206.0,114.0,,59.0,Second Pair,81,1753.6333333333,12,15,36,1977-02-03,CZE,CZE,71,190,2001,6,11,176,8469623,https://assets.nhle.com/mugs/nhl/20132014/NJD/8469623.png
2013-2014,Mark Barberio,TBL,D,86.0,170.0,,,55.0,99.0,86.0,11.0,218.0,41.0,225.0,176.0,,202.0,Third Pair,49,714.25,5,0,23,1990-03-23,CAN,CAN,73,200,2008,6,1,152,8474717,https://assets.nhle.com/mugs/nhl/20132014/TBL/8474717.png
2013-2014,Mark Fayne,NJD,D,139.0,10.0,,16.0,130.0,1.0,89.0,156.0,179.0,182.0,161.0,145.0,,165.0,Second Pair,72,1318.4166666667,4,3,26,1987-05-15,USA,USA,75,209,2005,5,30,155,8471816,https://assets.nhle.com/mugs/nhl/20132014/NJD/8471816.png
2013-2014,Mark Fistric,ANA,D,152.0,65.0,,59.0,60.0,124.0,208.0,225.0,69.0,165.0,209.0,1.0,,198.0,Third Pair,34,523.8,0,3,27,1986-06-01,CAN,CAN,74,225,2004,1,28,28,8471241,https://assets.nhle.com/mugs/nhl/20132014/ANA/8471241.png
2013-2014,Mark Fraser,EDM,D,210.0,131.0,,108.0,183.0,215.0,225.0,193.0,147.0,221.0,222.0,3.0,,179.0,Third Pair,42,645.56666666667,1,1,26,1986-09-29,CAN,CAN,76,220,2005,3,23,84,8471748,https://assets.nhle.com/mugs/nhl/20132014/EDM/8471748.png
2013-2014,Mark Fraser,TOR,D,210.0,131.0,,108.0,183.0,215.0,225.0,193.0,147.0,221.0,222.0,3.0,,179.0,Third Pair,42,645.56666666667,1,1,26,1986-09-29,CAN,CAN,76,220,2005,3,23,84,8471748,https://assets.nhle.com/mugs/nhl/20132014/TOR/8471748.png
2013-2014,Mark Giordano,CGY,D,36.0,63.0,47.0,32.0,123.0,79.0,27.0,27.0,27.0,218.0,138.0,137.0,,9.0,First Pair,64,1614.9666666667,14,14,29,1983-10-03,CAN,CAN,72,205,-,-,-,-,8470966,https://assets.nhle.com/mugs/nhl/20132014/CGY/8470966.png
2013-2014,Mark Pysyk,BUF,D,224.0,201.0,114.0,174.0,223.0,191.0,154.0,223.0,222.0,226.0,129.0,175.0,,185.0,Second Pair,44,863.36666666667,1,1,21,1992-01-11,CAN,CAN,73,198,2010,1,23,23,8475796,https://assets.nhle.com/mugs/nhl/20132014/BUF/8475796.png
2013-2014,Mark Streit,PHI,D,67.0,156.0,24.0,,47.0,148.0,171.0,78.0,33.0,90.0,106.0,188.0,,32.0,Second Pair,82,1692.7333333333,10,18,35,1977-12-11,CHE,CHE,71,186,2004,9,4,262,8468309,https://assets.nhle.com/mugs/nhl/20132014/PHI/8468309.png
2013-2014,Mark Stuart,WPG,D,123.0,58.0,,100.0,93.0,139.0,105.0,126.0,123.0,108.0,167.0,10.0,,117.0,Second Pair,69,1285.8166666667,2,4,29,1984-04-27,USA,USA,74,215,2003,1,21,21,8470614,https://assets.nhle.com/mugs/nhl/20132014/WPG/8470614.png
2013-2014,Martin Marincin,EDM,D,215.0,223.0,,118.0,162.0,213.0,220.0,224.0,174.0,201.0,104.0,220.0,,213.0,Second Pair,44,843.16666666667,0,3,21,1992-02-18,SVK,SVK,77,217,2010,2,16,46,8475716,https://assets.nhle.com/mugs/nhl/20132014/EDM/8475716.png
2013-2014,Matt Bartkowski,BOS,D,77.0,185.0,,39.0,102.0,87.0,60.0,215.0,8.0,76.0,197.0,51.0,,160.0,Second Pair,64,1250.3166666667,0,7,25,1988-06-04,USA,USA,73,201,2008,7,9,190,8474749,https://assets.nhle.com/mugs/nhl/20132014/BOS/8474749.png
2013-2014,Matt Carkner,NYI,D,93.0,166.0,,,52.0,214.0,67.0,218.0,60.0,13.0,227.0,61.0,,223.0,Fringe,53,635.46666666667,0,3,32,1980-11-03,CAN,CAN,77,229,1999,2,30,58,8467931,https://assets.nhle.com/mugs/nhl/20132014/NYI/8467931.png
2013-2014,Matt Carle,TBL,D,105.0,127.0,80.0,30.0,73.0,145.0,127.0,176.0,93.0,116.0,55.0,210.0,,48.0,First Pair,82,1819.3166666667,2,11,28,1984-09-25,USA,USA,72,197,2003,2,17,47,8470640,https://assets.nhle.com/mugs/nhl/20132014/TBL/8470640.png
2013-2014,Matt Donovan,NYI,D,62.0,206.0,58.0,73.0,8.0,208.0,57.0,159.0,150.0,74.0,208.0,108.0,,95.0,Second Pair,52,939.6,2,4,23,1990-05-09,USA,USA,73,205,2008,4,5,96,8474659,https://assets.nhle.com/mugs/nhl/20132014/NYI/8474659.png
2013-2014,Matt Greene,LAK,D,84.0,117.0,,155.0,121.0,18.0,94.0,140.0,17.0,29.0,226.0,6.0,,174.0,Third Pair,38,603.75,2,3,30,1983-05-13,USA,USA,75,236,2002,2,14,44,8470121,https://assets.nhle.com/mugs/nhl/20132014/LAK/8470121.png
2013-2014,Matt Irwin,SJS,D,28.0,78.0,12.0,,18.0,94.0,15.0,142.0,32.0,80.0,73.0,153.0,,46.0,Second Pair,62,1166.5,2,9,25,1987-11-29,CAN,CAN,74,200,-,-,-,-,8475625,https://assets.nhle.com/mugs/nhl/20132014/SJS/8475625.png
2013-2014,Matt Niskanen,PIT,D,55.0,85.0,31.0,,59.0,37.0,51.0,32.0,136.0,112.0,177.0,101.0,,52.0,Second Pair,81,1724.8,10,10,26,1986-12-06,USA,USA,73,203,2005,1,28,28,8471702,https://assets.nhle.com/mugs/nhl/20132014/PIT/8471702.png
2013-2014,Mattias Ekholm,NSH,D,197.0,103.0,,71.0,207.0,43.0,161.0,187.0,133.0,98.0,60.0,186.0,,219.0,Third Pair,62,1042.6333333333,1,4,23,1990-05-24,SWE,SWE,76,215,2009,4,11,102,8475218,https://assets.nhle.com/mugs/nhl/20132014/NSH/8475218.png
2013-2014,Michael Del Zotto,NSH,D,32.0,162.0,37.0,,35.0,155.0,53.0,83.0,30.0,5.0,91.0,106.0,,91.0,Third Pair,67,1152.9166666667,3,10,23,1990-06-24,CAN,CAN,72,195,2008,1,20,20,8474584,https://assets.nhle.com/mugs/nhl/20132014/NSH/8474584.png
2013-2014,Michael Del Zotto,NYR,D,32.0,162.0,37.0,,35.0,155.0,53.0,83.0,30.0,5.0,91.0,106.0,,91.0,Third Pair,67,1152.9166666667,3,10,23,1990-06-24,CAN,CAN,72,195,2008,1,20,20,8474584,https://assets.nhle.com/mugs/nhl/20132014/NYR/8474584.png
2013-2014,Michael Kostka,CHI,D,21.0,115.0,118.0,,146.0,110.0,20.0,21.0,9.0,94.0,136.0,121.0,,80.0,Third Pair,28,431.93333333333,4,4,27,1985-11-28,CAN,CAN,73,210,-,-,-,-,8474497,https://assets.nhle.com/mugs/nhl/20132014/CHI/8474497.png
2013-2014,Michael Kostka,TBL,D,21.0,115.0,118.0,,146.0,110.0,20.0,21.0,9.0,94.0,136.0,121.0,,80.0,Third Pair,28,431.93333333333,4,4,27,1985-11-28,CAN,CAN,73,210,-,-,-,-,8474497,https://assets.nhle.com/mugs/nhl/20132014/TBL/8474497.png
2013-2014,Michael Stone,PHX,D,75.0,51.0,49.0,124.0,173.0,170.0,38.0,12.0,121.0,97.0,174.0,30.0,,89.0,Second Pair,70,1274.45,8,8,23,1990-06-07,CAN,CAN,75,210,2008,3,8,69,8474628,https://assets.nhle.com/mugs/nhl/20132014/PHX/8474628.png
2013-2014,Michal Rozsival,CHI,D,94.0,23.0,,153.0,15.0,9.0,200.0,192.0,75.0,10.0,213.0,77.0,,180.0,Third Pair,42,698.6,1,3,34,1978-09-03,CZE,CZE,73,210,1996,4,25,105,8465058,https://assets.nhle.com/mugs/nhl/20132014/CHI/8465058.png
2013-2014,Mike Green,WSH,D,29.0,129.0,9.0,,98.0,103.0,18.0,14.0,63.0,92.0,145.0,166.0,,8.0,First Pair,70,1591.0833333333,9,20,27,1985-10-12,CAN,CAN,73,210,2004,1,29,29,8471242,https://assets.nhle.com/mugs/nhl/20132014/WSH/8471242.png
2013-2014,Mike Komisarek,CAR,D,185.0,224.0,,,154.0,220.0,158.0,227.0,140.0,59.0,169.0,7.0,,226.0,Fringe,32,374.36666666667,0,1,31,1982-01-19,USA,USA,76,235,2001,1,7,7,8469460,https://assets.nhle.com/mugs/nhl/20132014/CAR/8469460.png
2013-2014,Mike Weaver,FLA,D,180.0,96.0,,48.0,156.0,118.0,202.0,188.0,119.0,209.0,12.0,62.0,,148.0,Second Pair,72,1330.7166666667,1,2,35,1978-05-02,CAN,CAN,70,186,-,-,-,-,8468478,https://assets.nhle.com/mugs/nhl/20132014/FLA/8468478.png
2013-2014,Mike Weaver,MTL,D,180.0,96.0,,48.0,156.0,118.0,202.0,188.0,119.0,209.0,12.0,62.0,,148.0,Second Pair,72,1330.7166666667,1,2,35,1978-05-02,CAN,CAN,70,186,-,-,-,-,8468478,https://assets.nhle.com/mugs/nhl/20132014/MTL/8468478.png
2013-2014,Mike Weber,BUF,D,225.0,132.0,,72.0,225.0,203.0,209.0,216.0,219.0,197.0,218.0,9.0,,144.0,Third Pair,68,1211.5666666667,1,1,25,1987-12-16,USA,USA,74,188,2006,2,27,57,8473426,https://assets.nhle.com/mugs/nhl/20132014/BUF/8473426.png
2013-2014,Morgan Rielly,TOR,D,171.0,221.0,81.0,,188.0,223.0,100.0,181.0,180.0,122.0,44.0,110.0,,106.0,Third Pair,73,1287.3,2,8,19,1994-03-09,CAN,CAN,73,222,2012,1,5,5,8476853,https://assets.nhle.com/mugs/nhl/20132014/TOR/8476853.png
2013-2014,Nate Guenin,COL,D,206.0,134.0,,170.0,192.0,211.0,199.0,199.0,166.0,36.0,151.0,66.0,,181.0,Third Pair,68,1174.9333333333,1,4,30,1982-12-10,USA,USA,75,207,2002,4,31,127,8470317,https://assets.nhle.com/mugs/nhl/20132014/COL/8470317.png
2013-2014,Nate Prosser,MIN,D,227.0,3.0,,15.0,227.0,90.0,212.0,183.0,224.0,215.0,194.0,193.0,,204.0,Third Pair,53,769.91666666667,2,0,27,1986-05-07,USA,USA,74,201,-,-,-,-,8475613,https://assets.nhle.com/mugs/nhl/20132014/MIN/8475613.png
