Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2020-2021,Andrej Sekera,DAL,D,195.0,78.0,,82.0,176.0,31.0,202.0,89.0,187.0,76.0,101.0,142.0,,189.0,Third Pair,46,719.43333333333,3,1,34,1986-06-08,SVK,SVK,72,200,2004,3,6,71,8471284.0,https://assets.nhle.com/mugs/nhl/20202021/DAL/8471284.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
2020-2021,Andy Greene,NYI,D,194.0,34.0,,11.0,160.0,145.0,193.0,172.0,188.0,91.0,96.0,192.0,,113.0,Third Pair,55,967.03333333333,1,2,37,1982-10-30,USA,USA,71,190,-,-,-,-,8472382.0,https://assets.nhle.com/mugs/nhl/20202021/NYI/8472382.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2020-2021,Anton Stralman,FLA,D,140.0,154.0,,117.0,111.0,146.0,179.0,60.0,173.0,105.0,44.0,144.0,,141.0,Second Pair,38,720.08333333333,3,2,34,1986-08-01,SWE,SWE,71,193,2005,7,22,216,8471873.0,https://assets.nhle.com/mugs/nhl/20202021/FLA/8471873.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2020-2021,Artem Zub,OTT,D,170.0,169.0,,128.0,178.0,179.0,220.0,84.0,103.0,214.0,199.0,50.0,,138.0,Second Pair,47,863.96666666667,3,6,24,1995-10-03,RUS,RUS,74,200,-,-,-,-,8482245.0,https://assets.nhle.com/mugs/nhl/20202021/OTT/8482245.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2020-2021,Ben Chiarot,MTL,D,57.0,146.0,,148.0,45.0,66.0,42.0,154.0,108.0,108.0,202.0,58.0,,79.0,Second Pair,41,893.28333333333,1,4,29,1991-05-09,CAN,CAN,75,232,2009,4,29,120,8475279.0,https://assets.nhle.com/mugs/nhl/20202021/MTL/8475279.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2020-2021,Ben Harpur,NSH,D,214.0,212.0,,3.0,223.0,168.0,177.0,223.0,100.0,155.0,169.0,85.0,,202.0,Third Pair,33,541.13333333333,0,3,25,1995-01-12,CAN,CAN,78,231,2013,4,17,108,8477433.0,https://assets.nhle.com/mugs/nhl/20202021/NSH/8477433.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2020-2021,Ben Hutton,ANA,D,115.0,172.0,,108.0,108.0,176.0,76.0,120.0,176.0,209.0,104.0,126.0,,130.0,Second Pair,38,701.25,1,1,27,1993-04-20,CAN,CAN,75,201,2012,5,26,147,8477018.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8477018.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Ben Hutton,TOR,D,115.0,172.0,,108.0,108.0,176.0,76.0,120.0,176.0,209.0,104.0,126.0,,130.0,Second Pair,38,701.25,1,1,27,1993-04-20,CAN,CAN,75,201,2012,5,26,147,8477018.0,https://assets.nhle.com/mugs/nhl/20202021/TOR/8477018.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2020-2021,Bowen Byram,COL,D,190.0,89.0,,,125.0,26.0,187.0,218.0,167.0,6.0,226.0,42.0,,220.0,Third Pair,19,332.71666666667,0,1,19,2001-06-13,CAN,CAN,73,190,2019,1,4,4,8481524.0,https://assets.nhle.com/mugs/nhl/20202021/COL/8481524.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2020-2021,Brady Skjei,CAR,D,51.0,152.0,,66.0,58.0,142.0,22.0,44.0,164.0,174.0,172.0,90.0,,82.0,Second Pair,52,1078.0833333333,3,2,26,1994-03-26,USA,USA,75,210,2012,1,28,28,8476869.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8476869.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Brandon Carlo,BOS,D,108.0,32.0,,16.0,127.0,14.0,48.0,40.0,210.0,83.0,122.0,68.0,,110.0,Second Pair,27,505.15,3,0,23,1996-11-26,USA,USA,78,218,2015,2,7,37,8478443.0,https://assets.nhle.com/mugs/nhl/20202021/BOS/8478443.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2020-2021,Brandon Montour,BUF,D,54.0,129.0,,146.0,140.0,148.0,55.0,29.0,76.0,78.0,185.0,132.0,,71.0,Second Pair,50,1024.4,7,7,26,1994-04-11,CAN,CAN,72,194,2014,2,25,55,8477986.0,https://assets.nhle.com/mugs/nhl/20202021/BUF/8477986.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2020-2021,Brandon Montour,FLA,D,54.0,129.0,,146.0,140.0,148.0,55.0,29.0,76.0,78.0,185.0,132.0,,71.0,Second Pair,50,1024.4,7,7,26,1994-04-11,CAN,CAN,72,194,2014,2,25,55,8477986.0,https://assets.nhle.com/mugs/nhl/20202021/FLA/8477986.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2020-2021,Brayden McNabb,VGK,D,129.0,22.0,,59.0,25.0,63.0,180.0,143.0,177.0,75.0,140.0,18.0,,123.0,Second Pair,41,791.25,2,1,29,1991-01-21,CAN,CAN,76,215,2009,3,5,66,8475188.0,https://assets.nhle.com/mugs/nhl/20202021/VGK/8475188.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2020-2021,Braydon Coburn,NYI,D,159.0,204.0,,143.0,122.0,200.0,119.0,195.0,154.0,125.0,223.0,46.0,,203.0,Third Pair,19,304.85,0,1,35,1985-02-27,CAN,CAN,77,224,2003,1,8,8,8470601.0,https://assets.nhle.com/mugs/nhl/20202021/NYI/8470601.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2020-2021,Braydon Coburn,OTT,D,159.0,204.0,,143.0,122.0,200.0,119.0,195.0,154.0,125.0,223.0,46.0,,203.0,Third Pair,19,304.85,0,1,35,1985-02-27,CAN,CAN,77,224,2003,1,8,8,8470601.0,https://assets.nhle.com/mugs/nhl/20202021/OTT/8470601.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2020-2021,Brendan Smith,NYR,D,125.0,187.0,,98.0,207.0,171.0,107.0,16.0,140.0,61.0,74.0,24.0,,187.0,Third Pair,48,788.83333333333,5,3,31,1989-02-08,CAN,CAN,74,200,2007,1,27,27,8474090.0,https://assets.nhle.com/mugs/nhl/20202021/NYR/8474090.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2020-2021,Brenden Dillon,WSH,D,136.0,80.0,,28.0,79.0,42.0,201.0,182.0,72.0,54.0,193.0,16.0,,156.0,Second Pair,56,1060.8333333333,2,7,29,1990-11-13,CAN,CAN,76,224,-,-,-,-,8475455.0,https://assets.nhle.com/mugs/nhl/20202021/WSH/8475455.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2020-2021,Brent Burns,SJS,D,10.0,155.0,17.0,97.0,30.0,177.0,27.0,35.0,4.0,134.0,161.0,195.0,,10.0,First Pair,56,1463.3333333333,7,14,35,1985-03-09,CAN,CAN,77,230,2003,1,20,20,8470613.0,https://assets.nhle.com/mugs/nhl/20202021/SJS/8470613.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2020-2021,Brett Kulak,MTL,D,67.0,49.0,,,29.0,9.0,64.0,147.0,124.0,59.0,142.0,149.0,,144.0,Third Pair,46,740.95,2,4,26,1994-01-06,CAN,CAN,73,197,2012,4,14,105,8476967.0,https://assets.nhle.com/mugs/nhl/20202021/MTL/8476967.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2020-2021,Brett Pesce,CAR,D,17.0,45.0,31.0,24.0,10.0,85.0,70.0,75.0,6.0,149.0,40.0,222.0,,65.0,First Pair,55,1253.5666666667,4,13,25,1994-11-15,USA,USA,75,206,2013,3,5,66,8477488.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8477488.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Brian Dumoulin,PIT,D,102.0,41.0,,14.0,59.0,41.0,165.0,85.0,131.0,44.0,73.0,92.0,,97.0,First Pair,41,916.78333333333,4,3,28,1991-09-06,USA,USA,76,207,2009,2,21,51,8475208.0,https://assets.nhle.com/mugs/nhl/20202021/PIT/8475208.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2020-2021,Cal Foote,TBL,D,165.0,86.0,,,194.0,139.0,60.0,130.0,171.0,13.0,187.0,69.0,,217.0,Fringe,35,451.11666666667,1,1,21,1998-12-13,USA,USA,77,224,2017,1,14,14,8479984.0,https://assets.nhle.com/mugs/nhl/20202021/TBL/8479984.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2020-2021,Cale Makar,COL,D,7.0,18.0,1.0,46.0,12.0,16.0,82.0,14.0,7.0,7.0,6.0,161.0,,7.0,First Pair,44,1068.8833333333,8,22,21,1998-10-30,CAN,CAN,71,187,2017,1,4,4,8480069.0,https://assets.nhle.com/mugs/nhl/20202021/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2020-2021,Caleb Jones,EDM,D,164.0,170.0,,,186.0,123.0,197.0,145.0,73.0,101.0,11.0,137.0,,210.0,Third Pair,33,449.03333333333,0,3,23,1997-06-06,USA,USA,73,194,2015,4,26,117,8478452.0,https://assets.nhle.com/mugs/nhl/20202021/EDM/8478452.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2020-2021,Calvin de Haan,CHI,D,92.0,79.0,,73.0,99.0,161.0,75.0,169.0,87.0,157.0,43.0,28.0,,87.0,Second Pair,43,815.31666666667,1,4,29,1991-05-09,CAN,CAN,73,195,2009,1,12,12,8475177.0,https://assets.nhle.com/mugs/nhl/20202021/CHI/8475177.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2020-2021,Cam Fowler,ANA,D,98.0,150.0,69.0,169.0,74.0,131.0,171.0,34.0,158.0,97.0,115.0,215.0,,86.0,Second Pair,56,1218.5833333333,5,5,28,1991-12-05,CAN,USA,74,215,2010,1,12,12,8475764.0,https://assets.nhle.com/mugs/nhl/20202021/ANA/8475764.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2020-2021,Carson Soucy,MIN,D,138.0,48.0,,45.0,211.0,51.0,152.0,81.0,28.0,218.0,145.0,74.0,,154.0,Third Pair,50,764.26666666667,1,7,26,1994-07-27,CAN,CAN,77,208,2013,5,16,137,8477369.0,https://assets.nhle.com/mugs/nhl/20202021/MIN/8477369.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2020-2021,Chad Ruhwedel,PIT,D,199.0,17.0,,123.0,193.0,4.0,133.0,189.0,182.0,133.0,216.0,34.0,,218.0,Third Pair,17,249.78333333333,0,1,30,1990-05-07,USA,USA,71,191,-,-,-,-,8477244.0,https://assets.nhle.com/mugs/nhl/20202021/PIT/8477244.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2020-2021,Charlie McAvoy,BOS,D,32.0,21.0,79.0,9.0,14.0,12.0,121.0,95.0,17.0,114.0,91.0,99.0,,35.0,First Pair,51,1223.7833333333,5,12,22,1997-12-21,USA,USA,73,209,2016,1,14,14,8479325.0,https://assets.nhle.com/mugs/nhl/20202021/BOS/8479325.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2020-2021,Chris Tanev,CGY,D,177.0,8.0,,85.0,77.0,13.0,203.0,176.0,198.0,176.0,67.0,210.0,,95.0,Second Pair,56,1216.9333333333,2,2,30,1989-12-20,CAN,CAN,74,193,-,-,-,-,8475690.0,https://assets.nhle.com/mugs/nhl/20202021/CGY/8475690.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2020-2021,Christian Djoos,DET,D,167.0,182.0,64.0,,206.0,173.0,145.0,151.0,96.0,4.0,183.0,218.0,,166.0,Third Pair,36,543.05,2,5,26,1994-08-06,SWE,SWE,72,180,2012,7,14,195,8477043.0,https://assets.nhle.com/mugs/nhl/20202021/DET/8477043.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2020-2021,Christian Wolanin,LAK,D,70.0,225.0,90.0,,26.0,220.0,163.0,217.0,14.0,24.0,218.0,226.0,,222.0,Third Pair,18,238.85,0,2,25,1995-03-17,CAN,CAN,74,190,2015,4,16,107,8478846.0,https://assets.nhle.com/mugs/nhl/20202021/LAK/8478846.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2020-2021,Christian Wolanin,OTT,D,70.0,225.0,90.0,,26.0,220.0,163.0,217.0,14.0,24.0,218.0,226.0,,222.0,Third Pair,18,238.85,0,2,25,1995-03-17,CAN,CAN,74,190,2015,4,16,107,8478846.0,https://assets.nhle.com/mugs/nhl/20202021/OTT/8478846.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2020-2021,Cody Ceci,PIT,D,118.0,67.0,,112.0,133.0,120.0,164.0,80.0,101.0,96.0,78.0,83.0,,114.0,Second Pair,53,981.46666666667,4,5,26,1993-12-21,CAN,CAN,74,210,2012,1,15,15,8476879.0,https://assets.nhle.com/mugs/nhl/20202021/PIT/8476879.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2020-2021,Colin Miller,BUF,D,144.0,130.0,80.0,125.0,172.0,109.0,101.0,141.0,142.0,70.0,105.0,35.0,,115.0,Third Pair,48,864.0,4,3,27,1992-10-29,CAN,CAN,73,200,2012,5,30,151,8476525.0,https://assets.nhle.com/mugs/nhl/20202021/BUF/8476525.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2020-2021,Colton Parayko,STL,D,84.0,33.0,,111.0,189.0,86.0,33.0,103.0,42.0,154.0,110.0,129.0,,37.0,Second Pair,32,682.6,2,5,27,1993-05-12,CAN,CAN,78,228,2012,3,25,86,8476892.0,https://assets.nhle.com/mugs/nhl/20202021/STL/8476892.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2020-2021,Connor Clifton,BOS,D,216.0,19.0,,42.0,216.0,58.0,186.0,131.0,213.0,153.0,124.0,12.0,,201.0,Second Pair,44,801.35,1,2,25,1995-04-28,USA,USA,71,190,2013,5,12,133,8477365.0,https://assets.nhle.com/mugs/nhl/20202021/BOS/8477365.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2020-2021,Connor Murphy,CHI,D,120.0,57.0,,102.0,130.0,163.0,68.0,152.0,170.0,216.0,14.0,41.0,,44.0,First Pair,49,1086.45,3,5,27,1993-03-26,USA,USA,76,212,2011,1,20,20,8476473.0,https://assets.nhle.com/mugs/nhl/20202021/CHI/8476473.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2020-2021,Conor Timmins,COL,D,122.0,31.0,,,44.0,17.0,105.0,219.0,155.0,126.0,86.0,180.0,,209.0,Third Pair,31,420.15,0,2,21,1998-09-18,CAN,CAN,74,202,2017,2,1,32,8479982.0,https://assets.nhle.com/mugs/nhl/20202021/COL/8479982.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2020-2021,Damon Severson,NJD,D,80.0,177.0,77.0,147.0,63.0,121.0,140.0,79.0,71.0,185.0,131.0,148.0,,74.0,First Pair,56,1259.1333333333,3,10,26,1994-08-07,CAN,CAN,74,205,2012,2,30,60,8476923.0,https://assets.nhle.com/mugs/nhl/20202021/NJD/8476923.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2020-2021,Dan Renouf,COL,D,119.0,149.0,,,38.0,23.0,176.0,226.0,24.0,223.0,206.0,37.0,,225.0,Fringe,18,182.95,0,1,26,1994-06-01,CAN,CAN,73,198,-,-,-,-,8479252.0,https://assets.nhle.com/mugs/nhl/20202021/COL/8479252.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2020-2021,Danny DeKeyser,DET,D,212.0,144.0,,15.0,219.0,195.0,208.0,83.0,194.0,173.0,190.0,156.0,,124.0,Second Pair,47,850.68333333333,4,3,30,1990-03-07,USA,USA,75,183,-,-,-,-,8477215.0,https://assets.nhle.com/mugs/nhl/20202021/DET/8477215.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2020-2021,Dante Fabbro,NSH,D,141.0,90.0,,65.0,151.0,115.0,104.0,165.0,152.0,118.0,113.0,174.0,,103.0,Second Pair,40,772.6,2,5,22,1998-06-20,CAN,CAN,72,189,2016,1,17,17,8479371.0,https://assets.nhle.com/mugs/nhl/20202021/NSH/8479371.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
2020-2021,Darnell Nurse,EDM,D,15.0,176.0,36.0,145.0,22.0,181.0,11.0,7.0,127.0,64.0,171.0,44.0,,12.0,First Pair,56,1435.0,16,8,25,1995-02-04,CAN,CAN,76,221,2013,1,7,7,8477498.0,https://assets.nhle.com/mugs/nhl/20202021/EDM/8477498.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2020-2021,David Savard,CBJ,D,211.0,27.0,,58.0,195.0,127.0,127.0,205.0,221.0,190.0,129.0,33.0,,96.0,Second Pair,54,1071.6833333333,1,0,29,1990-10-22,CAN,CAN,73,235,2009,4,3,94,8475233.0,https://assets.nhle.com/mugs/nhl/20202021/CBJ/8475233.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2020-2021,David Savard,TBL,D,211.0,27.0,,58.0,195.0,127.0,127.0,205.0,221.0,190.0,129.0,33.0,,96.0,Second Pair,54,1071.6833333333,1,0,29,1990-10-22,CAN,CAN,73,235,2009,4,3,94,8475233.0,https://assets.nhle.com/mugs/nhl/20202021/TBL/8475233.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2020-2021,Dean Kukan,CBJ,D,184.0,44.0,,,175.0,37.0,146.0,192.0,168.0,32.0,112.0,117.0,,192.0,Third Pair,35,496.61666666667,1,1,27,1993-07-08,CHE,CHE,74,190,-,-,-,-,8478567.0,https://assets.nhle.com/mugs/nhl/20202021/CBJ/8478567.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2020-2021,Derek Forbort,WPG,D,188.0,147.0,,106.0,183.0,185.0,175.0,168.0,132.0,167.0,194.0,93.0,,102.0,Second Pair,56,1161.15,2,4,28,1992-03-04,USA,USA,76,208,2010,1,15,15,8475762.0,https://assets.nhle.com/mugs/nhl/20202021/WPG/8475762.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2020-2021,Devon Toews,COL,D,25.0,12.0,63.0,56.0,7.0,5.0,51.0,24.0,114.0,36.0,65.0,183.0,,33.0,First Pair,53,1312.3166666667,9,9,26,1994-02-21,CAN,CAN,73,191,2014,4,18,108,8478038.0,https://assets.nhle.com/mugs/nhl/20202021/COL/8478038.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2020-2021,Dmitry Kulikov,NJD,D,186.0,131.0,,135.0,100.0,60.0,168.0,203.0,208.0,211.0,214.0,39.0,,188.0,Second Pair,48,920.05,0,1,29,1990-10-29,RUS,RUS,73,201,2009,1,14,14,8475179.0,https://assets.nhle.com/mugs/nhl/20202021/NJD/8475179.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
2020-2021,Dmitry Kulikov,EDM,D,186.0,131.0,,135.0,100.0,60.0,168.0,203.0,208.0,211.0,214.0,39.0,,188.0,Second Pair,48,920.05,0,1,29,1990-10-29,RUS,RUS,73,201,2009,1,14,14,8475179.0,https://assets.nhle.com/mugs/nhl/20202021/EDM/8475179.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
2020-2021,Dmitry Orlov,WSH,D,50.0,74.0,,,39.0,90.0,116.0,28.0,93.0,47.0,130.0,75.0,,77.0,Second Pair,51,1010.5,8,6,29,1991-07-23,RUS,RUS,71,214,2009,2,25,55,8475200.0,https://assets.nhle.com/mugs/nhl/20202021/WSH/8475200.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2020-2021,Dougie Hamilton,CAR,D,1.0,63.0,3.0,41.0,1.0,32.0,1.0,4.0,11.0,112.0,186.0,135.0,,3.0,First Pair,55,1249.7166666667,10,16,27,1993-06-17,CAN,CAN,78,230,2011,1,9,9,8476462.0,https://assets.nhle.com/mugs/nhl/20202021/CAR/8476462.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2020-2021,Drew Doughty,LAK,D,182.0,157.0,12.0,132.0,146.0,89.0,212.0,216.0,80.0,132.0,144.0,94.0,,28.0,First Pair,56,1477.3333333333,8,11,30,1989-12-08,CAN,CAN,73,210,2008,1,2,2,8474563.0,https://assets.nhle.com/mugs/nhl/20202021/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2020-2021,Duncan Keith,CHI,D,111.0,196.0,57.0,155.0,101.0,216.0,98.0,140.0,128.0,57.0,197.0,206.0,,46.0,First Pair,53,1237.7166666667,4,7,37,1983-07-16,CAN,CAN,73,192,2002,2,24,54,8470281.0,https://assets.nhle.com/mugs/nhl/20202021/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2020-2021,Dylan Coghlan,VGK,D,89.0,175.0,,,35.0,183.0,103.0,108.0,123.0,52.0,37.0,102.0,,207.0,Third Pair,29,391.15,3,1,22,1998-02-19,CAN,CAN,74,208,-,-,-,-,8479639.0,https://assets.nhle.com/mugs/nhl/20202021/VGK/8479639.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2020-2021,Dylan DeMelo,WPG,D,127.0,142.0,,142.0,48.0,95.0,174.0,215.0,86.0,110.0,149.0,48.0,,169.0,Third Pair,52,882.48333333333,0,5,27,1993-05-01,CAN,CAN,72,195,2011,6,28,179,8476331.0,https://assets.nhle.com/mugs/nhl/20202021/WPG/8476331.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2020-2021,Erik Brannstrom,OTT,D,97.0,220.0,40.0,,113.0,189.0,108.0,171.0,116.0,116.0,204.0,150.0,,133.0,Third Pair,30,490.73333333333,2,5,20,1999-09-02,SWE,SWE,70,185,2017,1,15,15,8480073.0,https://assets.nhle.com/mugs/nhl/20202021/OTT/8480073.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2020-2021,Erik Cernak,TBL,D,18.0,65.0,,17.0,78.0,21.0,15.0,19.0,25.0,187.0,134.0,22.0,,83.0,Second Pair,46,910.08333333333,5,10,23,1997-05-28,SVK,SVK,76,224,2015,2,13,43,8478416.0,https://assets.nhle.com/mugs/nhl/20202021/TBL/8478416.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2020-2021,Erik Gudbranson,NSH,D,135.0,213.0,,88.0,98.0,203.0,88.0,138.0,195.0,177.0,189.0,19.0,,151.0,Third Pair,44,786.83333333333,1,1,28,1992-01-07,CAN,CAN,77,222,2010,1,3,3,8475790.0,https://assets.nhle.com/mugs/nhl/20202021/NSH/8475790.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
