Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL
2011-2012,Brad Stuart,DET,D,80.0,117.0,,115.0,69.0,74.0,95.0,98.0,83.0,78.0,16.0,63.0,,100.0,Second Pair,81,1705.4333333333,6,6,31,1979-11-06,CAN,CAN,74,215,1998,1,3,3,8467331,https://assets.nhle.com/mugs/nhl/20112012/DET/8467331.png
2011-2012,Brayden McNabb,BUF,D,188.0,14.0,,170.0,191.0,54.0,175.0,224.0,107.0,179.0,5.0,45.0,,159.0,Third Pair,25,445.96666666667,1,2,20,1991-01-21,CAN,CAN,76,215,2009,3,5,66,8475188,https://assets.nhle.com/mugs/nhl/20112012/BUF/8475188.png
2011-2012,Braydon Coburn,PHI,D,36.0,188.0,,43.0,34.0,139.0,59.0,105.0,35.0,126.0,154.0,60.0,,96.0,First Pair,81,1785.5333333333,4,10,26,1985-02-27,CAN,CAN,77,224,2003,1,8,8,8470601,https://assets.nhle.com/mugs/nhl/20112012/PHI/8470601.png
2011-2012,Brendan Mikkelson,TBL,D,181.0,101.0,119.0,,211.0,178.0,77.0,135.0,144.0,15.0,40.0,110.0,,214.0,Third Pair,41,590.41666666667,1,2,24,1987-06-22,CAN,CAN,75,210,2005,2,1,31,8471705,https://assets.nhle.com/mugs/nhl/20112012/TBL/8471705.png
2011-2012,Brent Burns,SJS,D,8.0,154.0,18.0,132.0,35.0,60.0,11.0,18.0,17.0,160.0,102.0,149.0,,17.0,First Pair,81,1825.65,11,14,26,1985-03-09,CAN,CAN,77,230,2003,1,20,20,8470613,https://assets.nhle.com/mugs/nhl/20112012/SJS/8470613.png
2011-2012,Brent Seabrook,CHI,D,29.0,62.0,87.0,134.0,17.0,75.0,61.0,36.0,67.0,77.0,76.0,37.0,,19.0,First Pair,78,1928.5166666667,9,8,26,1985-04-20,CAN,CAN,75,220,2003,1,14,14,8470607,https://assets.nhle.com/mugs/nhl/20112012/CHI/8470607.png
2011-2012,Brett Clark,TBL,D,144.0,15.0,100.0,15.0,103.0,134.0,190.0,143.0,93.0,204.0,84.0,84.0,,81.0,Second Pair,82,1506.8,2,7,34,1976-12-23,CAN,CAN,72,194,1996,6,19,154,8465122,https://assets.nhle.com/mugs/nhl/20112012/TBL/8465122.png
2011-2012,Brett Lebda,CBJ,D,158.0,213.0,120.0,,173.0,173.0,65.0,107.0,208.0,156.0,178.0,154.0,,220.0,Third Pair,30,494.3,1,1,29,1982-01-15,USA,USA,69,195,-,-,-,-,8471187,https://assets.nhle.com/mugs/nhl/20112012/CBJ/8471187.png
2011-2012,Brian Campbell,FLA,D,105.0,47.0,59.0,147.0,91.0,14.0,154.0,124.0,85.0,41.0,10.0,222.0,,32.0,First Pair,82,2205.5166666667,4,23,32,1979-05-23,CAN,CAN,70,192,1997,6,22,156,8466285,https://assets.nhle.com/mugs/nhl/20112012/FLA/8466285.png
2011-2012,Brian Lee,OTT,D,196.0,184.0,,70.0,204.0,163.0,201.0,205.0,96.0,117.0,215.0,20.0,,198.0,Third Pair,55,854.4,1,6,24,1987-03-26,USA,USA,75,200,2005,1,9,9,8471683,https://assets.nhle.com/mugs/nhl/20112012/OTT/8471683.png
2011-2012,Brian Lee,TBL,D,196.0,184.0,,70.0,204.0,163.0,201.0,205.0,96.0,117.0,215.0,20.0,,198.0,Third Pair,55,854.4,1,6,24,1987-03-26,USA,USA,75,200,2005,1,9,9,8471683,https://assets.nhle.com/mugs/nhl/20112012/TBL/8471683.png
2011-2012,Brooks Orpik,PIT,D,125.0,67.0,,44.0,32.0,82.0,212.0,186.0,103.0,62.0,179.0,5.0,,142.0,First Pair,73,1646.3333333333,2,7,30,1980-09-26,USA,USA,75,217,2000,1,18,18,8468498,https://assets.nhle.com/mugs/nhl/20112012/PIT/8468498.png
2011-2012,Bruno Gervais,TBL,D,64.0,74.0,,11.0,149.0,170.0,51.0,12.0,75.0,26.0,131.0,147.0,,152.0,Third Pair,50,713.36666666667,6,4,26,1984-10-03,CAN,CAN,73,200,2003,6,15,182,8470774,https://assets.nhle.com/mugs/nhl/20112012/TBL/8470774.png
2011-2012,Bryan Allen,CAR,D,133.0,89.0,,96.0,117.0,192.0,129.0,173.0,95.0,207.0,217.0,85.0,,116.0,Second Pair,82,1571.15,1,6,31,1980-08-21,CAN,CAN,77,223,1998,1,4,4,8467332,https://assets.nhle.com/mugs/nhl/20112012/CAR/8467332.png
2011-2012,Bryce Salvador,NJD,D,232.0,109.0,,14.0,230.0,22.0,226.0,232.0,192.0,144.0,183.0,132.0,,224.0,Second Pair,82,1656.85,0,5,35,1976-02-11,CAN,CAN,75,215,1994,6,8,138,8460626,https://assets.nhle.com/mugs/nhl/20112012/NJD/8460626.png
2011-2012,Cam Barker,EDM,D,223.0,228.0,70.0,,217.0,204.0,184.0,158.0,224.0,161.0,211.0,67.0,,194.0,Second Pair,25,459.01666666667,2,0,25,1986-04-04,CAN,CAN,75,223,2004,1,3,3,8471216,https://assets.nhle.com/mugs/nhl/20112012/EDM/8471216.png
2011-2012,Cam Fowler,ANA,D,182.0,204.0,24.0,,156.0,197.0,172.0,210.0,155.0,85.0,75.0,216.0,,67.0,First Pair,82,1907.3666666667,5,11,19,1991-12-05,CAN,USA,74,215,2010,1,12,12,8475764,https://assets.nhle.com/mugs/nhl/20112012/ANA/8475764.png
2011-2012,Carl Gunnarsson,TOR,D,140.0,104.0,102.0,123.0,124.0,146.0,165.0,71.0,140.0,223.0,25.0,129.0,,84.0,Second Pair,76,1649.4333333333,4,4,24,1986-11-09,SWE,SWE,74,198,2007,7,13,194,8474125,https://assets.nhle.com/mugs/nhl/20112012/TOR/8474125.png
2011-2012,Carlo Colaiacovo,STL,D,87.0,35.0,84.0,,54.0,26.0,137.0,121.0,90.0,138.0,112.0,120.0,,106.0,Second Pair,64,1216.25,2,8,28,1983-01-27,CAN,CAN,73,202,2001,1,17,17,8469470,https://assets.nhle.com/mugs/nhl/20112012/STL/8469470.png
2011-2012,Chris Butler,CGY,D,171.0,167.0,,150.0,84.0,126.0,177.0,144.0,214.0,195.0,136.0,170.0,,149.0,Second Pair,68,1469.3333333333,2,2,24,1986-10-27,USA,USA,73,196,2005,4,5,96,8471761,https://assets.nhle.com/mugs/nhl/20112012/CGY/8471761.png
2011-2012,Chris Campoli,MTL,D,146.0,153.0,112.0,,125.0,109.0,183.0,82.0,139.0,150.0,11.0,117.0,,139.0,Third Pair,43,739.63333333333,2,2,27,1984-07-09,CAN,CAN,72,200,2004,7,34,227,8470329,https://assets.nhle.com/mugs/nhl/20112012/MTL/8470329.png
2011-2012,Chris Phillips,OTT,D,149.0,179.0,,106.0,98.0,168.0,126.0,180.0,175.0,108.0,51.0,99.0,,120.0,Second Pair,80,1528.6833333333,5,6,33,1978-03-09,CAN,CAN,75,219,1996,1,1,1,8464956,https://assets.nhle.com/mugs/nhl/20112012/OTT/8464956.png
2011-2012,Chris Tanev,VAN,D,194.0,3.0,,167.0,70.0,8.0,215.0,230.0,213.0,229.0,4.0,221.0,,223.0,Third Pair,25,418.1,0,1,21,1989-12-20,CAN,CAN,74,193,-,-,-,-,8475690,https://assets.nhle.com/mugs/nhl/20112012/VAN/8475690.png
2011-2012,Christian Ehrhoff,BUF,D,40.0,172.0,3.0,46.0,31.0,105.0,49.0,44.0,104.0,59.0,29.0,192.0,,18.0,First Pair,66,1521.8166666667,5,12,29,1982-07-06,DEU,DEU,74,201,2001,4,10,106,8469555,https://assets.nhle.com/mugs/nhl/20112012/BUF/8469555.png
2011-2012,Clayton Stoner,MIN,D,218.0,48.0,,40.0,224.0,72.0,168.0,161.0,197.0,232.0,222.0,59.0,,191.0,Third Pair,51,897.31666666667,1,1,26,1985-02-19,CAN,CAN,76,216,2004,3,14,79,8470886,https://assets.nhle.com/mugs/nhl/20112012/MIN/8470886.png
2011-2012,Cody Franson,TOR,D,23.0,175.0,37.0,,60.0,85.0,36.0,26.0,27.0,40.0,166.0,51.0,,101.0,Third Pair,57,922.85,5,5,24,1987-08-08,CAN,CAN,77,224,2005,3,18,79,8471742,https://assets.nhle.com/mugs/nhl/20112012/TOR/8471742.png
2011-2012,Colin White,SJS,D,210.0,11.0,,59.0,171.0,5.0,198.0,202.0,215.0,155.0,132.0,100.0,,200.0,Third Pair,54,807.16666666667,1,1,33,1977-12-12,CAN,CAN,76,215,1996,2,23,49,8465005,https://assets.nhle.com/mugs/nhl/20112012/SJS/8465005.png
2011-2012,Corey Potter,EDM,D,157.0,206.0,42.0,27.0,203.0,218.0,63.0,76.0,169.0,94.0,44.0,116.0,,88.0,Second Pair,62,1236.75,4,9,27,1984-01-05,USA,USA,75,204,2003,4,21,122,8470714,https://assets.nhle.com/mugs/nhl/20112012/EDM/8470714.png
2011-2012,Cory Sarich,CGY,D,163.0,75.0,,72.0,109.0,11.0,180.0,154.0,146.0,127.0,197.0,15.0,,206.0,Third Pair,62,998.73333333333,1,2,33,1978-08-16,CAN,CAN,76,207,1996,2,1,27,8464981,https://assets.nhle.com/mugs/nhl/20112012/CGY/8464981.png
2011-2012,Dan Boyle,SJS,D,20.0,83.0,2.0,108.0,24.0,53.0,25.0,43.0,50.0,50.0,81.0,204.0,,4.0,First Pair,81,2071.5,9,13,35,1976-07-12,CAN,CAN,71,194,-,-,-,-,8467096,https://assets.nhle.com/mugs/nhl/20112012/SJS/8467096.png
2011-2012,Dan Girardi,NYR,D,93.0,140.0,34.0,87.0,14.0,200.0,159.0,152.0,161.0,175.0,90.0,61.0,,35.0,First Pair,82,2152.2666666667,5,10,27,1984-04-29,CAN,CAN,73,212,-,-,-,-,8471958,https://assets.nhle.com/mugs/nhl/20112012/NYR/8471958.png
2011-2012,Dan Hamhuis,VAN,D,41.0,126.0,41.0,62.0,30.0,63.0,54.0,117.0,37.0,182.0,70.0,145.0,,60.0,First Pair,82,1921.1833333333,4,16,28,1982-12-13,CAN,CAN,73,204,2001,1,12,12,8469465,https://assets.nhle.com/mugs/nhl/20112012/VAN/8469465.png
2011-2012,David Rundblad,OTT,D,47.0,222.0,93.0,,27.0,203.0,101.0,83.0,79.0,4.0,85.0,86.0,,185.0,Third Pair,30,450.28333333333,1,3,20,1990-10-08,SWE,SWE,74,187,2009,1,17,17,8475182,https://assets.nhle.com/mugs/nhl/20112012/OTT/8475182.png
2011-2012,David Rundblad,PHX,D,47.0,222.0,93.0,,27.0,203.0,101.0,83.0,79.0,4.0,85.0,86.0,,185.0,Third Pair,30,450.28333333333,1,3,20,1990-10-08,SWE,SWE,74,187,2009,1,17,17,8475182,https://assets.nhle.com/mugs/nhl/20112012/PHX/8475182.png
2011-2012,David Savard,CBJ,D,207.0,181.0,99.0,,219.0,42.0,179.0,231.0,84.0,75.0,216.0,127.0,,186.0,Third Pair,31,513.81666666667,2,2,20,1990-10-22,CAN,CAN,73,235,2009,4,3,94,8475233,https://assets.nhle.com/mugs/nhl/20112012/CBJ/8475233.png
2011-2012,David Schlemko,PHX,D,63.0,162.0,,122.0,74.0,190.0,69.0,56.0,101.0,141.0,133.0,102.0,,102.0,Second Pair,46,844.41666666667,1,3,24,1987-05-07,CAN,CAN,73,191,-,-,-,-,8473673,https://assets.nhle.com/mugs/nhl/20112012/PHX/8473673.png
2011-2012,Dennis Seidenberg,BOS,D,46.0,55.0,68.0,90.0,40.0,103.0,21.0,118.0,130.0,114.0,117.0,79.0,,26.0,First Pair,80,1923.1333333333,5,7,30,1981-07-18,DEU,DEU,72,199,2001,6,7,172,8469619,https://assets.nhle.com/mugs/nhl/20112012/BOS/8469619.png
2011-2012,Dennis Wideman,WSH,D,71.0,177.0,50.0,103.0,114.0,130.0,43.0,112.0,72.0,121.0,139.0,144.0,,13.0,First Pair,82,1960.2666666667,11,19,28,1983-03-20,CAN,CAN,72,202,2002,8,12,241,8469770,https://assets.nhle.com/mugs/nhl/20112012/WSH/8469770.png
2011-2012,Derek Joslin,CAR,D,88.0,226.0,,,133.0,226.0,56.0,33.0,97.0,14.0,53.0,48.0,,221.0,Fringe,44,465.68333333333,2,2,24,1987-03-17,CAN,CAN,73,210,2005,5,24,149,8471810,https://assets.nhle.com/mugs/nhl/20112012/CAR/8471810.png
2011-2012,Derek Morris,PHX,D,135.0,200.0,,168.0,123.0,198.0,85.0,108.0,186.0,39.0,188.0,107.0,,128.0,Second Pair,59,1120.35,2,3,33,1978-08-24,CAN,CAN,72,210,1996,1,13,13,8464966,https://assets.nhle.com/mugs/nhl/20112012/PHX/8464966.png
2011-2012,Derek Smith,CGY,D,122.0,122.0,97.0,,202.0,167.0,150.0,80.0,24.0,103.0,41.0,190.0,,177.0,Third Pair,47,748.98333333333,2,6,26,1984-10-13,CAN,CAN,73,197,-,-,-,-,8473953,https://assets.nhle.com/mugs/nhl/20112012/CGY/8473953.png
2011-2012,Deryk Engelland,PIT,D,86.0,139.0,,34.0,129.0,129.0,68.0,57.0,66.0,20.0,106.0,9.0,,189.0,Third Pair,73,1178.8333333333,4,5,29,1982-04-03,CAN,CAN,74,212,2000,6,27,194,8468674,https://assets.nhle.com/mugs/nhl/20112012/PIT/8468674.png
2011-2012,Dion Phaneuf,TOR,D,39.0,196.0,38.0,133.0,80.0,169.0,17.0,64.0,94.0,198.0,35.0,28.0,,8.0,First Pair,82,2073.7166666667,12,14,26,1985-04-10,CAN,CAN,75,222,2003,1,9,9,8470602,https://assets.nhle.com/mugs/nhl/20112012/TOR/8470602.png
2011-2012,Dmitry Kulikov,FLA,D,75.0,100.0,78.0,152.0,152.0,79.0,90.0,100.0,16.0,147.0,147.0,73.0,,63.0,Second Pair,58,1267.6333333333,4,13,20,1990-10-29,RUS,RUS,73,201,2009,1,14,14,8475179,https://assets.nhle.com/mugs/nhl/20112012/FLA/8475179.png
2011-2012,Dmitry Orlov,WSH,D,160.0,215.0,,,201.0,160.0,186.0,74.0,61.0,81.0,43.0,68.0,,182.0,Third Pair,60,1012.4833333333,3,7,20,1991-07-23,RUS,RUS,71,214,2009,2,25,55,8475200,https://assets.nhle.com/mugs/nhl/20112012/WSH/8475200.png
2011-2012,Douglas Murray,SJS,D,112.0,34.0,,29.0,87.0,81.0,64.0,204.0,159.0,152.0,138.0,22.0,,111.0,Second Pair,60,1102.15,0,3,31,1980-03-12,SWE,SWE,75,240,1999,8,26,241,8468114,https://assets.nhle.com/mugs/nhl/20112012/SJS/8468114.png
2011-2012,Drew Doughty,LAK,D,28.0,131.0,63.0,124.0,38.0,15.0,76.0,21.0,34.0,143.0,114.0,96.0,,38.0,First Pair,77,1916.6833333333,10,15,21,1989-12-08,CAN,CAN,73,210,2008,1,2,2,8474563,https://assets.nhle.com/mugs/nhl/20112012/LAK/8474563.png
2011-2012,Duncan Keith,CHI,D,18.0,164.0,40.0,117.0,7.0,135.0,34.0,102.0,43.0,67.0,111.0,218.0,,10.0,First Pair,74,1990.2,4,17,28,1983-07-16,CAN,CAN,73,192,2002,2,24,54,8470281,https://assets.nhle.com/mugs/nhl/20112012/CHI/8470281.png
2011-2012,Dustin Byfuglien,WPG,D,1.0,178.0,11.0,,22.0,122.0,1.0,2.0,7.0,66.0,199.0,74.0,,1.0,First Pair,66,1591.6,12,19,26,1985-03-27,USA,USA,77,260,2003,8,16,245,8470834,https://assets.nhle.com/mugs/nhl/20112012/WPG/8470834.png
2011-2012,Dylan Olsen,CHI,D,226.0,229.0,,169.0,194.0,215.0,194.0,228.0,232.0,6.0,38.0,42.0,,232.0,Third Pair,28,364.76666666667,0,0,20,1991-01-03,USA,CAN,74,223,2009,1,28,28,8475153,https://assets.nhle.com/mugs/nhl/20112012/CHI/8475153.png
2011-2012,Dylan Reese,NYI,D,65.0,220.0,,,42.0,205.0,131.0,169.0,29.0,149.0,129.0,168.0,,196.0,Third Pair,28,478.38333333333,1,2,27,1984-08-29,USA,USA,73,205,2003,7,12,209,8470798,https://assets.nhle.com/mugs/nhl/20112012/NYI/8470798.png
2011-2012,Ed Jovanovski,FLA,D,119.0,176.0,110.0,159.0,174.0,154.0,86.0,70.0,105.0,72.0,69.0,95.0,,121.0,Third Pair,66,1101.85,3,5,35,1976-06-26,CAN,CAN,75,220,1994,1,1,1,8460492,https://assets.nhle.com/mugs/nhl/20112012/FLA/8460492.png
2011-2012,Eric Brewer,TBL,D,120.0,124.0,113.0,164.0,105.0,184.0,120.0,67.0,183.0,227.0,175.0,54.0,,89.0,First Pair,82,1907.9833333333,1,8,32,1979-04-17,CAN,CAN,76,216,1997,1,5,5,8466142,https://assets.nhle.com/mugs/nhl/20112012/TBL/8466142.png
2011-2012,Erik Gudbranson,FLA,D,184.0,135.0,,,225.0,148.0,72.0,134.0,171.0,45.0,135.0,16.0,,211.0,Third Pair,72,1022.25,2,4,19,1992-01-07,CAN,CAN,77,222,2010,1,3,3,8475790,https://assets.nhle.com/mugs/nhl/20112012/FLA/8475790.png
2011-2012,Erik Gustafsson,PHI,D,192.0,212.0,,,119.0,187.0,218.0,139.0,207.0,13.0,8.0,231.0,,215.0,Third Pair,30,503.98333333333,1,3,22,1988-12-15,SWE,SWE,70,180,-,-,-,-,8475640,https://assets.nhle.com/mugs/nhl/20112012/PHI/8475640.png
2011-2012,Erik Johnson,COL,D,42.0,120.0,16.0,119.0,37.0,138.0,31.0,85.0,86.0,22.0,30.0,92.0,,43.0,Second Pair,73,1521.4,4,13,23,1988-03-21,USA,USA,76,225,2006,1,1,1,8473446,https://assets.nhle.com/mugs/nhl/20112012/COL/8473446.png
2011-2012,Erik Karlsson,OTT,D,2.0,208.0,17.0,,16.0,149.0,4.0,1.0,6.0,36.0,83.0,203.0,,5.0,First Pair,81,2050.6666666667,19,36,21,1990-05-31,SWE,SWE,72,190,2008,1,15,15,8474578,https://assets.nhle.com/mugs/nhl/20112012/OTT/8474578.png
2011-2012,Fedor Tyutin,CBJ,D,137.0,53.0,29.0,48.0,142.0,24.0,115.0,93.0,162.0,219.0,150.0,113.0,,54.0,First Pair,66,1592.8833333333,5,8,28,1983-07-19,RUS,RUS,74,221,2001,2,10,40,8469492,https://assets.nhle.com/mugs/nhl/20112012/CBJ/8469492.png
2011-2012,Filip Kuba,OTT,D,101.0,127.0,76.0,157.0,21.0,172.0,167.0,176.0,121.0,37.0,145.0,215.0,,57.0,First Pair,73,1723.8,6,8,34,1976-12-29,CZE,CZE,76,225,1995,8,10,192,8462225,https://assets.nhle.com/mugs/nhl/20112012/OTT/8462225.png
2011-2012,Francis Bouillon,NSH,D,193.0,186.0,,174.0,163.0,152.0,209.0,120.0,195.0,180.0,46.0,38.0,,199.0,Third Pair,66,1158.0333333333,4,2,35,1975-10-17,USA,USA,68,194,-,-,-,-,8465914,https://assets.nhle.com/mugs/nhl/20112012/NSH/8465914.png
2011-2012,Francois Beauchemin,ANA,D,139.0,97.0,49.0,53.0,108.0,102.0,92.0,91.0,222.0,120.0,77.0,101.0,,46.0,First Pair,82,2095.3833333333,8,7,31,1980-06-04,CAN,CAN,71,208,1998,3,17,75,8467400,https://assets.nhle.com/mugs/nhl/20112012/ANA/8467400.png
