Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2012-2013,Keaton Ellerby,LAK,D,176.0,49.0,,51.0,169.0,37.0,126.0,184.0,167.0,12.0,135.0,29.0,,185.0,Third Pair,44,636.9,0,1,23,1988-11-05,CAN,CAN,77,220,2007,1,10,10,8474184
2012-2013,Keith Aulie,TBL,D,125.0,176.0,,,118.0,174.0,123.0,91.0,139.0,62.0,188.0,4.0,,187.0,Fringe,45,576.85,2,3,23,1989-06-11,CAN,CAN,78,222,2007,4,25,116,8474048
2012-2013,Keith Ballard,VAN,D,156.0,74.0,,144.0,121.0,69.0,107.0,152.0,186.0,56.0,59.0,68.0,,186.0,Third Pair,36,556.91666666667,0,1,29,1982-11-26,USA,USA,71,204,2002,1,11,11,8470054
2012-2013,Keith Yandle,PHX,D,6.0,184.0,52.0,,42.0,154.0,3.0,5.0,10.0,7.0,81.0,188.0,,11.0,First Pair,48,1067.8666666667,10,11,25,1986-09-09,USA,USA,73,192,2005,4,14,105,8471735
2012-2013,Kevin Bieksa,VAN,D,36.0,158.0,90.0,125.0,59.0,162.0,11.0,43.0,76.0,50.0,127.0,63.0,,37.0,Second Pair,36,789.86666666667,6,1,31,1981-06-16,CAN,CAN,73,197,2001,5,20,151,8469598
2012-2013,Kevin Klein,NSH,D,88.0,55.0,,86.0,184.0,96.0,72.0,50.0,17.0,189.0,26.0,102.0,,68.0,Second Pair,47,959.66666666667,3,7,27,1984-12-13,CAN,CAN,73,206,2003,2,7,37,8470630
2012-2013,Kevin Shattenkirk,STL,D,34.0,15.0,21.0,58.0,105.0,12.0,33.0,40.0,23.0,11.0,123.0,120.0,,32.0,Second Pair,48,1021.6166666667,5,7,23,1989-01-29,USA,USA,72,212,2007,1,14,14,8474031
2012-2013,Kimmo Timonen,PHI,D,58.0,44.0,5.0,53.0,40.0,59.0,59.0,135.0,55.0,140.0,173.0,146.0,,13.0,Second Pair,45,979.48333333333,5,14,37,1975-03-18,FIN,FIN,70,194,1993,10,16,250,8459670
2012-2013,Kris Letang,PIT,D,2.0,79.0,18.0,49.0,7.0,86.0,9.0,21.0,1.0,93.0,30.0,104.0,,1.0,First Pair,35,897.26666666667,5,15,25,1987-04-24,CAN,CAN,72,201,2005,3,1,62,8471724
2012-2013,Kris Russell,STL,D,111.0,3.0,,,140.0,18.0,75.0,97.0,85.0,26.0,24.0,119.0,,109.0,Third Pair,33,529.6,1,3,25,1987-05-02,CAN,CAN,70,170,2005,3,6,67,8471729
2012-2013,Kyle Quincey,DET,D,83.0,72.0,59.0,84.0,52.0,28.0,51.0,110.0,171.0,15.0,150.0,123.0,,114.0,Second Pair,36,692.0,1,2,27,1985-08-12,CAN,CAN,74,210,2003,4,31,132,8470724
2012-2013,Ladislav Smid,EDM,D,185.0,94.0,,103.0,147.0,181.0,187.0,121.0,192.0,130.0,164.0,10.0,,126.0,Second Pair,48,975.3,1,0,26,1986-02-01,CZE,CZE,76,210,2004,1,9,9,8471222
2012-2013,Lubomir Visnovsky,NYI,D,27.0,90.0,28.0,12.0,11.0,83.0,53.0,32.0,143.0,79.0,101.0,157.0,,38.0,First Pair,35,798.18333333333,3,3,36,1976-08-11,SVK,SVK,70,192,2000,4,22,118,8468598
2012-2013,Luca Sbisa,ANA,D,120.0,152.0,,99.0,139.0,155.0,127.0,102.0,61.0,61.0,120.0,12.0,,140.0,Second Pair,41,813.2,1,3,22,1990-01-30,ITA,CHE,74,206,2008,1,19,19,8474579
2012-2013,Luke Schenn,PHI,D,75.0,138.0,,55.0,91.0,159.0,38.0,127.0,75.0,159.0,116.0,3.0,,69.0,Second Pair,47,1027.55,3,2,22,1989-11-02,CAN,CAN,74,225,2008,1,5,5,8474568
2012-2013,Marc Methot,OTT,D,134.0,89.0,,104.0,123.0,79.0,151.0,123.0,82.0,103.0,131.0,36.0,,134.0,First Pair,47,1044.7166666667,2,5,27,1985-06-21,CAN,CAN,76,230,2003,6,1,168,8470760
2012-2013,Marc-Andre Bergeron,TBL,D,9.0,104.0,58.0,,22.0,125.0,5.0,31.0,8.0,1.0,84.0,126.0,,59.0,Third Pair,25,344.13333333333,1,3,31,1980-10-13,CAN,CAN,69,190,-,-,-,-,8469765
2012-2013,Marc-Andre Bergeron,CAR,D,9.0,104.0,58.0,,22.0,125.0,5.0,31.0,8.0,1.0,84.0,126.0,,59.0,Third Pair,25,344.13333333333,1,3,31,1980-10-13,CAN,CAN,69,190,-,-,-,-,8469765
2012-2013,Marc-Edouard Vlasic,SJS,D,59.0,33.0,,67.0,23.0,20.0,87.0,66.0,113.0,172.0,9.0,181.0,,100.0,Second Pair,48,999.58333333333,3,2,25,1987-03-30,CAN,CAN,73,205,2005,2,5,35,8471709
2012-2013,Marek Zidlicky,NJD,D,68.0,100.0,60.0,,80.0,19.0,96.0,76.0,56.0,46.0,167.0,112.0,,71.0,Second Pair,48,1007.7333333333,4,6,35,1977-02-03,CZE,CZE,71,190,2001,6,11,176,8469623
2012-2013,Mark Fayne,NJD,D,127.0,5.0,,10.0,112.0,2.0,85.0,151.0,142.0,132.0,134.0,149.0,,146.0,Second Pair,31,561.03333333333,1,2,25,1987-05-15,USA,USA,75,209,2005,5,30,155,8471816
2012-2013,Mark Fistric,EDM,D,126.0,16.0,,68.0,101.0,85.0,188.0,183.0,12.0,155.0,73.0,1.0,,160.0,Third Pair,25,383.33333333333,0,4,26,1986-06-01,CAN,CAN,74,225,2004,1,28,28,8471241
2012-2013,Mark Fraser,TOR,D,106.0,58.0,,3.0,133.0,164.0,138.0,190.0,7.0,173.0,183.0,2.0,,116.0,Third Pair,45,763.08333333333,0,7,25,1986-09-29,CAN,CAN,76,220,2005,3,23,84,8471748
2012-2013,Mark Giordano,CGY,D,84.0,61.0,76.0,34.0,122.0,109.0,90.0,98.0,39.0,158.0,132.0,99.0,,36.0,First Pair,47,1088.5166666667,4,6,28,1983-10-03,CAN,CAN,72,205,-,-,-,-,8470966
2012-2013,Mark Streit,NYI,D,41.0,162.0,7.0,72.0,26.0,178.0,115.0,79.0,54.0,82.0,104.0,141.0,,21.0,First Pair,48,1120.6666666667,6,8,34,1977-12-11,CHE,CHE,71,186,2004,9,4,262,8468309
2012-2013,Mark Stuart,WPG,D,128.0,36.0,,83.0,144.0,112.0,83.0,85.0,137.0,55.0,121.0,8.0,,131.0,Third Pair,42,701.55,2,1,28,1984-04-27,USA,USA,74,215,2003,1,21,21,8470614
2012-2013,Matt Carle,TBL,D,63.0,101.0,64.0,26.0,56.0,145.0,125.0,124.0,28.0,96.0,14.0,179.0,,35.0,First Pair,48,1139.9,5,8,27,1984-09-25,USA,USA,72,197,2003,2,17,47,8470640
2012-2013,Matt Hunwick,COL,D,99.0,110.0,107.0,122.0,83.0,103.0,66.0,103.0,140.0,127.0,105.0,145.0,,151.0,Second Pair,43,925.38333333333,0,3,27,1985-05-21,USA,USA,71,194,2004,7,31,224,8471436
2012-2013,Matt Irwin,SJS,D,18.0,24.0,3.0,,16.0,25.0,18.0,68.0,25.0,136.0,53.0,118.0,,34.0,Second Pair,38,725.83333333333,6,2,24,1987-11-29,CAN,CAN,74,200,-,-,-,-,8475625
2012-2013,Matt Niskanen,PIT,D,51.0,99.0,54.0,25.0,46.0,81.0,64.0,37.0,109.0,45.0,140.0,82.0,,91.0,Second Pair,40,814.3,4,6,25,1986-12-06,USA,USA,73,203,2005,1,28,28,8471702
2012-2013,Michael Del Zotto,NYR,D,15.0,142.0,74.0,87.0,17.0,150.0,67.0,46.0,18.0,14.0,79.0,67.0,,45.0,First Pair,46,1066.1833333333,3,10,22,1990-06-24,CAN,CAN,72,195,2008,1,20,20,8474584
2012-2013,Michael Kostka,TOR,D,141.0,148.0,103.0,24.0,130.0,143.0,86.0,181.0,118.0,166.0,137.0,92.0,,80.0,First Pair,35,772.78333333333,0,4,26,1985-11-28,CAN,CAN,73,210,-,-,-,-,8474497
2012-2013,Michael Stone,PHX,D,45.0,34.0,88.0,118.0,66.0,140.0,41.0,4.0,162.0,170.0,146.0,13.0,,97.0,Third Pair,40,667.46666666667,5,3,22,1990-06-07,CAN,CAN,75,210,2008,3,8,69,8474628
2012-2013,Michal Rozsival,CHI,D,100.0,28.0,106.0,,31.0,17.0,191.0,165.0,31.0,30.0,168.0,73.0,,128.0,Second Pair,27,489.01666666667,0,4,33,1978-09-03,CZE,CZE,73,210,1996,4,25,105,8465058
2012-2013,Mike Green,WSH,D,25.0,113.0,19.0,138.0,65.0,111.0,15.0,3.0,119.0,125.0,76.0,137.0,,5.0,First Pair,35,869.88333333333,12,9,26,1985-10-12,CAN,CAN,73,210,2004,1,29,29,8471242
2012-2013,Mike Weaver,FLA,D,157.0,82.0,,110.0,173.0,114.0,177.0,141.0,58.0,171.0,7.0,66.0,,120.0,Second Pair,27,543.73333333333,1,3,34,1978-05-02,CAN,CAN,70,186,-,-,-,-,8468478
2012-2013,Mike Weber,BUF,D,189.0,111.0,,61.0,192.0,167.0,171.0,147.0,174.0,149.0,189.0,5.0,,130.0,Second Pair,42,771.26666666667,1,1,24,1987-12-16,USA,USA,74,188,2006,2,27,57,8473426
2012-2013,Nick Leddy,CHI,D,90.0,95.0,94.0,,81.0,46.0,118.0,49.0,134.0,23.0,57.0,148.0,,105.0,Third Pair,48,836.13333333333,6,4,21,1991-03-20,USA,USA,72,205,2009,1,16,16,8475181
2012-2013,Nick Schultz,EDM,D,161.0,124.0,,64.0,115.0,183.0,176.0,153.0,132.0,163.0,166.0,116.0,,132.0,Second Pair,48,894.35,1,3,30,1982-08-25,CAN,CAN,73,203,2000,2,3,33,8468513
2012-2013,Nicklas Grossmann,PHI,D,180.0,25.0,,39.0,185.0,115.0,163.0,130.0,117.0,116.0,109.0,11.0,,118.0,Second Pair,30,549.98333333333,1,3,27,1985-01-22,SWE,SWE,76,230,2004,2,26,56,8471269
2012-2013,Nikita Nikitin,CBJ,D,152.0,63.0,26.0,16.0,178.0,58.0,120.0,72.0,156.0,190.0,39.0,154.0,,62.0,Second Pair,38,805.5,3,3,26,1986-06-16,RUS,RUS,76,217,2004,5,7,136,8471348
2012-2013,Niklas Hjalmarsson,CHI,D,117.0,8.0,,18.0,92.0,13.0,140.0,120.0,88.0,89.0,124.0,177.0,,108.0,Second Pair,46,961.75,2,3,25,1987-06-06,SWE,SWE,75,197,2005,4,17,108,8471769
2012-2013,Niklas Kronwall,DET,D,76.0,31.0,13.0,63.0,54.0,52.0,149.0,56.0,91.0,32.0,115.0,117.0,,23.0,First Pair,48,1169.3666666667,5,9,31,1981-01-12,SWE,SWE,72,194,2000,1,29,29,8468509
2012-2013,Oliver Ekman-Larsson,PHX,D,22.0,132.0,95.0,145.0,50.0,74.0,46.0,23.0,24.0,123.0,20.0,101.0,,56.0,First Pair,48,1204.6166666667,3,11,21,1991-07-17,SWE,SWE,74,200,2009,1,6,6,8475171
2012-2013,P.K. Subban,MTL,D,16.0,137.0,9.0,100.0,60.0,21.0,21.0,34.0,36.0,70.0,62.0,103.0,,3.0,First Pair,42,976.25,11,13,23,1989-05-13,CAN,CAN,72,210,2007,2,13,43,8474056
2012-2013,Patrick Wiercioch,OTT,D,8.0,128.0,1.0,,5.0,23.0,22.0,107.0,4.0,2.0,108.0,151.0,,54.0,Third Pair,42,659.13333333333,5,10,21,1990-09-12,CAN,CAN,77,202,2008,2,12,42,8474605
2012-2013,Paul Martin,PIT,D,20.0,83.0,68.0,48.0,13.0,80.0,146.0,29.0,15.0,118.0,100.0,187.0,,42.0,First Pair,34,861.05,6,9,31,1981-03-05,USA,USA,73,200,2000,2,32,62,8468542
2012-2013,Paul Postma,WPG,D,65.0,123.0,40.0,,71.0,91.0,114.0,15.0,45.0,9.0,93.0,165.0,,155.0,Third Pair,34,510.96666666667,4,4,23,1989-02-22,CAN,CAN,75,195,2007,7,24,205,8474074
2012-2013,Philip Larsen,DAL,D,155.0,171.0,,,180.0,110.0,89.0,113.0,130.0,147.0,138.0,49.0,,173.0,Third Pair,32,476.16666666667,2,1,22,1989-12-07,DNK,DNK,73,185,2008,5,28,149,8474707
2012-2013,Rob Scuderi,LAK,D,143.0,166.0,,95.0,58.0,105.0,181.0,161.0,127.0,64.0,44.0,167.0,,163.0,Second Pair,48,1045.9833333333,1,3,33,1978-12-30,USA,USA,73,216,1998,5,20,134,8467452
2012-2013,Robyn Regehr,BUF,D,191.0,145.0,,141.0,186.0,121.0,174.0,180.0,191.0,146.0,143.0,27.0,,176.0,Second Pair,41,796.26666666667,0,1,32,1980-04-19,BRA,CAN,75,222,1998,1,19,19,8467344
2012-2013,Robyn Regehr,LAK,D,191.0,145.0,,141.0,186.0,121.0,174.0,180.0,191.0,146.0,143.0,27.0,,176.0,Second Pair,41,796.26666666667,0,1,32,1980-04-19,BRA,CAN,75,222,1998,1,19,19,8467344
2012-2013,Roman Josi,NSH,D,108.0,30.0,63.0,41.0,176.0,84.0,71.0,61.0,51.0,153.0,33.0,170.0,,49.0,First Pair,48,1129.4166666667,5,8,22,1990-06-01,CHE,CHE,73,201,2008,2,8,38,8474600
2012-2013,Roman Polak,STL,D,173.0,19.0,,21.0,164.0,29.0,122.0,143.0,182.0,115.0,165.0,22.0,,150.0,Second Pair,48,884.18333333333,1,1,26,1986-04-28,CZE,CZE,74,240,2004,6,17,180,8471392
2012-2013,Ron Hainsey,WPG,D,114.0,75.0,,116.0,69.0,161.0,143.0,185.0,62.0,168.0,69.0,172.0,,70.0,First Pair,47,1074.4166666667,0,5,31,1981-03-24,USA,USA,75,201,2000,1,13,13,8468493
2012-2013,Rostislav Klesla,PHX,D,55.0,77.0,,139.0,95.0,173.0,40.0,58.0,57.0,131.0,162.0,84.0,,103.0,Third Pair,38,669.83333333333,2,3,30,1982-03-21,CZE,CZE,75,215,2000,1,4,4,8468484
2012-2013,Ryan Ellis,NSH,D,87.0,47.0,84.0,,125.0,41.0,74.0,144.0,40.0,29.0,3.0,122.0,,123.0,Third Pair,32,524.13333333333,2,3,21,1991-01-03,CAN,CAN,70,180,2009,1,11,11,8475176
2012-2013,Ryan McDonagh,NYR,D,12.0,64.0,,91.0,12.0,73.0,63.0,60.0,29.0,138.0,67.0,111.0,,46.0,First Pair,47,1144.8333333333,4,8,23,1989-06-13,USA,USA,73,215,2007,1,12,12,8474151
2012-2013,Ryan O'Byrne,COL,D,183.0,165.0,,109.0,168.0,185.0,172.0,111.0,183.0,185.0,186.0,16.0,,164.0,Second Pair,42,778.31666666667,2,1,28,1984-07-19,CAN,CAN,77,234,2003,3,11,79,8470672
2012-2013,Ryan O'Byrne,TOR,D,183.0,165.0,,109.0,168.0,185.0,172.0,111.0,183.0,185.0,186.0,16.0,,164.0,Second Pair,42,778.31666666667,2,1,28,1984-07-19,CAN,CAN,77,234,2003,3,11,79,8470672
2012-2013,Ryan Suter,MIN,D,142.0,59.0,30.0,96.0,142.0,26.0,128.0,154.0,97.0,99.0,141.0,178.0,,16.0,First Pair,48,1309.4166666667,4,9,27,1985-01-21,USA,USA,73,205,2003,1,7,7,8470600
2012-2013,Ryan Whitney,EDM,D,151.0,191.0,98.0,,163.0,190.0,182.0,27.0,144.0,119.0,126.0,174.0,,63.0,Second Pair,34,628.23333333333,4,2,29,1983-02-19,USA,USA,76,209,2002,1,5,5,8470309
2012-2013,Sami Salo,TBL,D,163.0,134.0,75.0,92.0,174.0,108.0,117.0,119.0,164.0,129.0,75.0,160.0,,77.0,Second Pair,46,965.31666666667,2,4,37,1974-09-02,FIN,FIN,75,215,1996,9,24,239,8465202
2012-2013,Scott Hannan,NSH,D,187.0,93.0,,70.0,179.0,98.0,169.0,172.0,184.0,84.0,129.0,132.0,,181.0,Second Pair,33,638.5,0,1,33,1979-01-23,CAN,CAN,73,215,1997,1,23,23,8466158
2012-2013,Scott Hannan,SJS,D,187.0,93.0,,70.0,179.0,98.0,169.0,172.0,184.0,84.0,129.0,132.0,,181.0,Second Pair,33,638.5,0,1,33,1979-01-23,CAN,CAN,73,215,1997,1,23,23,8466158
2012-2013,Sergei Gonchar,OTT,D,40.0,135.0,48.0,74.0,36.0,107.0,80.0,129.0,16.0,43.0,175.0,176.0,,27.0,First Pair,45,1079.6833333333,3,9,38,1974-04-13,RUS,RUS,74,210,1992,1,14,14,8458951
2012-2013,Shane O'Brien,COL,D,56.0,46.0,,,27.0,53.0,94.0,162.0,38.0,150.0,192.0,38.0,,159.0,Third Pair,28,434.08333333333,0,2,29,1983-08-09,CAN,CAN,75,230,2003,8,21,250,8470839
2012-2013,Shea Weber,NSH,D,47.0,41.0,23.0,82.0,155.0,57.0,16.0,35.0,34.0,180.0,74.0,42.0,,4.0,First Pair,48,1244.2333333333,9,8,27,1985-08-14,CAN,CAN,76,230,2003,2,19,49,8470642
2012-2013,Sheldon Brookbank,CHI,D,160.0,67.0,,,156.0,104.0,79.0,142.0,179.0,33.0,169.0,56.0,,182.0,Fringe,26,331.5,1,0,31,1980-10-03,CAN,CAN,73,202,-,-,-,-,8469992
2012-2013,Sheldon Souray,ANA,D,60.0,172.0,16.0,123.0,117.0,156.0,10.0,24.0,149.0,95.0,191.0,140.0,,39.0,Second Pair,44,920.88333333333,7,2,36,1976-07-13,CAN,CAN,76,231,1994,3,19,71,8460561
2012-2013,Simon Despres,PIT,D,89.0,87.0,,,49.0,24.0,124.0,30.0,177.0,66.0,187.0,51.0,,165.0,Third Pair,33,498.83333333333,2,3,21,1991-07-27,CAN,CAN,76,218,2009,1,30,30,8475155
2012-2013,Slava Voynov,LAK,D,17.0,146.0,47.0,5.0,38.0,38.0,37.0,11.0,35.0,34.0,55.0,85.0,,55.0,First Pair,48,1070.5,6,9,22,1990-01-15,RUS,RUS,72,194,2008,2,2,32,8474594
2012-2013,Stephane Robidas,DAL,D,148.0,127.0,71.0,94.0,107.0,124.0,168.0,140.0,99.0,162.0,153.0,26.0,,94.0,First Pair,48,1067.45,1,5,35,1977-03-03,CAN,CAN,71,190,1995,7,8,164,8462196
2012-2013,Steve Eminger,NYR,D,135.0,35.0,,,32.0,70.0,164.0,134.0,165.0,21.0,52.0,30.0,,189.0,Third Pair,35,456.45,0,1,28,1983-10-31,CAN,CAN,74,207,2002,1,12,12,8470192
2012-2013,Steve Oleksy,WSH,D,46.0,45.0,,155.0,19.0,77.0,135.0,96.0,30.0,186.0,151.0,23.0,,95.0,Third Pair,28,483.5,1,2,26,1986-02-04,USA,USA,72,188,-,-,-,-,8476162
2012-2013,TJ Brennan,BUF,D,81.0,120.0,15.0,,106.0,172.0,55.0,12.0,138.0,17.0,1.0,95.0,,81.0,Third Pair,29,483.96666666667,3,4,23,1989-04-03,USA,USA,73,216,2007,2,1,31,8474113
2012-2013,TJ Brennan,FLA,D,81.0,120.0,15.0,,106.0,172.0,55.0,12.0,138.0,17.0,1.0,95.0,,81.0,Third Pair,29,483.96666666667,3,4,23,1989-04-03,USA,USA,73,216,2007,2,1,31,8474113
2012-2013,TJ Brodie,CGY,D,147.0,65.0,89.0,,85.0,50.0,160.0,139.0,154.0,88.0,40.0,161.0,,133.0,Second Pair,47,950.18333333333,2,5,22,1990-06-07,CAN,CAN,74,187,2008,4,23,114,8474673
2012-2013,Thomas Hickey,NYI,D,71.0,12.0,,17.0,3.0,16.0,92.0,174.0,152.0,83.0,77.0,162.0,,178.0,Third Pair,39,657.51666666667,1,1,23,1989-02-08,CAN,CAN,72,185,2007,1,4,4,8474066
2012-2013,Tim Erixon,CBJ,D,188.0,92.0,67.0,,181.0,67.0,184.0,189.0,178.0,31.0,119.0,147.0,,183.0,Third Pair,31,486.58333333333,0,3,21,1991-02-24,USA,SWE,74,200,2009,1,23,23,8475148
2012-2013,Tim Gleason,CAR,D,109.0,189.0,,149.0,33.0,191.0,144.0,175.0,47.0,137.0,50.0,41.0,,147.0,Second Pair,42,820.21666666667,0,3,29,1983-01-29,USA,USA,72,217,2001,1,23,23,8469476
2012-2013,Tom Gilbert,MIN,D,162.0,71.0,69.0,47.0,159.0,66.0,167.0,99.0,135.0,85.0,71.0,163.0,,104.0,Second Pair,43,830.78333333333,3,4,29,1983-01-10,USA,USA,74,210,2002,4,33,129,8470104
2012-2013,Tomas Kundratek,WSH,D,95.0,155.0,2.0,105.0,93.0,138.0,101.0,62.0,98.0,22.0,16.0,124.0,,153.0,Third Pair,25,403.63333333333,1,3,22,1989-12-26,CZE,CZE,74,201,2008,3,29,90,8474649
2012-2013,Toni Lydman,ANA,D,166.0,29.0,,108.0,99.0,72.0,180.0,177.0,115.0,175.0,163.0,34.0,,117.0,Second Pair,35,678.55,0,3,34,1977-09-25,FIN,FIN,74,213,1996,4,9,89,8465042
2012-2013,Travis Hamonic,NYI,D,77.0,97.0,49.0,134.0,44.0,179.0,29.0,104.0,170.0,63.0,96.0,74.0,,44.0,First Pair,48,1094.5833333333,3,2,22,1990-08-16,CAN,CAN,73,200,2008,2,23,53,8474612
2012-2013,Trevor Daley,DAL,D,112.0,126.0,77.0,151.0,141.0,151.0,77.0,78.0,92.0,101.0,54.0,169.0,,75.0,Second Pair,44,942.13333333333,4,3,28,1983-10-09,CAN,CAN,71,199,2002,2,13,43,8470110
2012-2013,Tyler Myers,BUF,D,104.0,173.0,96.0,143.0,149.0,153.0,119.0,48.0,66.0,76.0,155.0,96.0,,88.0,Second Pair,39,831.23333333333,3,3,22,1990-02-01,USA,CAN,80,229,2008,1,12,12,8474574
2012-2013,Tyson Barrie,COL,D,48.0,175.0,37.0,36.0,35.0,148.0,27.0,168.0,37.0,191.0,23.0,127.0,,74.0,Second Pair,32,690.61666666667,2,5,21,1991-07-26,CAN,CAN,71,197,2009,3,3,64,8475197
2012-2013,Tyson Strachan,FLA,D,133.0,56.0,,46.0,120.0,89.0,88.0,176.0,89.0,111.0,35.0,7.0,,154.0,Second Pair,38,720.45,0,2,27,1984-10-30,CAN,CAN,75,210,2003,5,1,137,8470729
2012-2013,Victor Hedman,TBL,D,38.0,106.0,99.0,124.0,94.0,102.0,54.0,44.0,19.0,183.0,128.0,107.0,,40.0,First Pair,44,997.01666666667,4,8,21,1990-12-18,SWE,SWE,79,244,2009,1,2,2,8475167
2012-2013,Wade Redden,BOS,D,52.0,2.0,8.0,,78.0,8.0,84.0,2.0,114.0,20.0,64.0,150.0,,149.0,Third Pair,29,437.13333333333,3,2,35,1977-06-12,CAN,CAN,74,205,1995,1,2,2,8462033
2012-2013,Wade Redden,STL,D,52.0,2.0,8.0,,78.0,8.0,84.0,2.0,114.0,20.0,64.0,150.0,,149.0,Third Pair,29,437.13333333333,3,2,35,1977-06-12,CAN,CAN,74,205,1995,1,2,2,8462033
2012-2013,Zach Bogosian,WPG,D,21.0,183.0,55.0,136.0,79.0,177.0,7.0,6.0,128.0,145.0,114.0,44.0,,24.0,First Pair,33,763.08333333333,5,2,22,1990-07-15,USA,USA,74,222,2008,1,3,3,8474567
2012-2013,Zbynek Michalek,PHX,D,113.0,22.0,,35.0,70.0,55.0,68.0,156.0,125.0,102.0,46.0,136.0,,84.0,Second Pair,34,724.4,0,1,29,1982-12-23,CZE,CZE,74,210,-,-,-,-,8469760
2012-2013,Zdeno Chara,BOS,D,7.0,107.0,39.0,80.0,10.0,32.0,8.0,36.0,11.0,176.0,181.0,58.0,,14.0,First Pair,48,1196.9333333333,7,10,35,1977-03-18,SVK,SVK,81,250,1996,3,4,56,8465009
