Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2024-2025,Alexandre Carrier,MTL,D,152.0,66.0,,32.0,148.0,177.0,175.0,158.0,132.0,227.0,138.0,134.0,,96.0,Second Pair,79,1626.3666666667,3,11,27,1996-10-08,CAN,CAN,71,174,2015,4,24,115,8478851.0
2024-2025,Andreas Englund,NSH,D,232.0,28.0,,,211.0,49.0,229.0,208.0,227.0,186.0,129.0,10.0,,235.0,Third Pair,35,464.15,1,1,28,1996-01-21,SWE,SWE,75,189,2014,2,10,40,8477971.0
2024-2025,Andrew Peeke,BOS,D,168.0,129.0,,45.0,207.0,182.0,126.0,224.0,45.0,143.0,86.0,46.0,,123.0,Second Pair,76,1414.1166666667,1,9,26,1998-03-17,USA,USA,75,210,2016,2,4,34,8479369.0
2024-2025,Arber Xhekaj,MTL,D,121.0,225.0,,105.0,155.0,193.0,67.0,149.0,131.0,83.0,236.0,7.0,,202.0,Third Pair,70,1023.6833333333,1,2,23,2001-01-30,CAN,CAN,76,238,-,-,-,-,8482964.0
2024-2025,Artem Zub,OTT,D,176.0,17.0,,66.0,108.0,31.0,183.0,206.0,171.0,205.0,185.0,86.0,,102.0,Second Pair,56,1155.4666666667,2,4,28,1995-10-03,RUS,RUS,74,200,-,-,-,-,8482245.0
2024-2025,Ben Chiarot,DET,D,182.0,182.0,,164.0,210.0,223.0,113.0,141.0,161.0,154.0,201.0,66.0,,101.0,Second Pair,81,1719.8166666667,4,7,33,1991-05-09,CAN,CAN,75,232,2009,4,29,120,8475279.0
2024-2025,Bowen Byram,BUF,D,81.0,197.0,82.0,60.0,113.0,194.0,189.0,19.0,109.0,75.0,155.0,123.0,,71.0,First Pair,82,1861.1666666667,7,14,23,2001-06-13,CAN,CAN,73,190,2019,1,4,4,8481524.0
2024-2025,Braden Schneider,NYR,D,122.0,177.0,,16.0,160.0,218.0,93.0,96.0,118.0,175.0,46.0,30.0,,110.0,Third Pair,80,1429.35,6,6,22,2001-09-20,CAN,CAN,75,208,2020,1,19,19,8482073.0
2024-2025,Brady Skjei,NSH,D,34.0,188.0,14.0,39.0,46.0,130.0,14.0,27.0,95.0,77.0,172.0,171.0,,49.0,Second Pair,82,1795.0666666667,10,10,30,1994-03-26,USA,USA,75,210,2012,1,28,28,8476869.0
2024-2025,Brandon Carlo,TOR,D,220.0,135.0,,84.0,212.0,166.0,167.0,211.0,209.0,238.0,191.0,82.0,,143.0,Second Pair,83,1568.7,1,1,27,1996-11-26,USA,USA,78,218,2015,2,7,37,8478443.0
2024-2025,Brandon Montour,SEA,D,35.0,214.0,56.0,,106.0,153.0,6.0,8.0,126.0,113.0,107.0,115.0,,23.0,First Pair,81,1861.0666666667,18,10,30,1994-04-11,CAN,CAN,72,194,2014,2,25,55,8477986.0
2024-2025,Brandt Clarke,LAK,D,14.0,16.0,45.0,,23.0,57.0,22.0,103.0,4.0,9.0,162.0,222.0,,60.0,Third Pair,78,1269.7666666667,5,15,21,2003-02-09,CAN,CAN,74,185,2021,1,8,8,8482730.0
2024-2025,Brayden McNabb,VGK,D,104.0,6.0,,52.0,71.0,44.0,130.0,146.0,136.0,98.0,151.0,69.0,,85.0,Second Pair,82,1649.25,5,7,33,1991-01-21,CAN,CAN,76,215,2009,3,5,66,8475188.0
2024-2025,Brayden Pachal,CGY,D,133.0,102.0,,21.0,137.0,79.0,106.0,117.0,137.0,42.0,223.0,14.0,,204.0,Third Pair,76,1082.25,3,5,25,1999-08-23,CAN,CAN,74,203,-,-,-,-,8481167.0
2024-2025,Brendan Smith,DAL,D,113.0,226.0,,53.0,76.0,205.0,98.0,151.0,110.0,147.0,184.0,37.0,,210.0,Third Pair,32,422.68333333333,1,2,35,1989-02-08,CAN,CAN,74,200,2007,1,27,27,8474090.0
2024-2025,Brenden Dillon,NJD,D,170.0,155.0,,155.0,66.0,125.0,209.0,134.0,201.0,65.0,216.0,16.0,,178.0,Second Pair,82,1523.2,2,1,33,1990-11-13,CAN,CAN,76,224,-,-,-,-,8475455.0
2024-2025,Brent Burns,CAR,D,7.0,104.0,38.0,36.0,3.0,40.0,3.0,47.0,16.0,26.0,110.0,230.0,,47.0,Second Pair,82,1718.3666666667,6,10,39,1985-03-09,CAN,CAN,77,230,2003,1,20,20,8470613.0
2024-2025,Brett Kulak,EDM,D,79.0,47.0,,22.0,60.0,29.0,53.0,87.0,187.0,86.0,131.0,174.0,,114.0,Second Pair,82,1683.8666666667,7,7,30,1994-01-06,CAN,CAN,73,197,2012,4,14,105,8476967.0
2024-2025,Brett Pesce,NJD,D,73.0,10.0,,4.0,40.0,28.0,72.0,207.0,93.0,95.0,61.0,226.0,,99.0,Second Pair,72,1535.0166666667,3,9,29,1994-11-15,USA,USA,75,206,2013,3,5,66,8477488.0
2024-2025,Brian Dumoulin,NJD,D,180.0,96.0,,93.0,177.0,128.0,212.0,177.0,111.0,129.0,15.0,130.0,,160.0,Second Pair,80,1563.5,3,10,32,1991-09-06,USA,USA,76,207,2009,2,21,51,8475208.0
2024-2025,Brock Faber,MIN,D,151.0,198.0,37.0,166.0,166.0,163.0,115.0,68.0,182.0,119.0,56.0,218.0,,55.0,First Pair,78,1990.95,10,6,22,2002-08-22,USA,USA,73,200,2020,2,14,45,8482122.0
2024-2025,Cale Makar,COL,D,2.0,40.0,2.0,130.0,8.0,53.0,9.0,1.0,2.0,1.0,2.0,200.0,,1.0,First Pair,80,2057.3,30,34,25,1998-10-30,CAN,CAN,71,187,2017,1,4,4,8480069.0
2024-2025,Calvin de Haan,NYR,D,131.0,22.0,,7.0,147.0,22.0,69.0,216.0,74.0,189.0,112.0,43.0,,181.0,Third Pair,47,703.76666666667,0,4,33,1991-05-09,CAN,CAN,73,195,2009,1,12,12,8475177.0
2024-2025,Cam Fowler,STL,D,106.0,196.0,46.0,167.0,151.0,170.0,192.0,82.0,63.0,139.0,98.0,232.0,,56.0,Second Pair,68,1464.9333333333,9,17,32,1991-12-05,CAN,USA,74,215,2010,1,12,12,8475764.0
2024-2025,Cam York,PHI,D,169.0,87.0,,80.0,128.0,96.0,174.0,75.0,216.0,168.0,140.0,150.0,,89.0,Second Pair,66,1371.6833333333,4,6,23,2001-01-05,USA,USA,71,175,2019,1,14,14,8481546.0
2024-2025,Carson Soucy,NYR,D,208.0,54.0,,124.0,223.0,73.0,127.0,124.0,203.0,194.0,190.0,62.0,,163.0,Third Pair,75,1343.6333333333,4,3,30,1994-07-27,CAN,CAN,77,208,2013,5,16,137,8477369.0
2024-2025,Charlie McAvoy,BOS,D,58.0,76.0,39.0,33.0,45.0,106.0,96.0,34.0,147.0,12.0,152.0,55.0,,32.0,First Pair,50,1183.5166666667,7,7,26,1997-12-21,USA,USA,73,209,2016,1,14,14,8479325.0
2024-2025,Chris Tanev,TOR,D,204.0,4.0,,54.0,105.0,32.0,232.0,214.0,214.0,237.0,92.0,212.0,,98.0,Second Pair,75,1481.2,3,7,34,1989-12-20,CAN,CAN,74,193,-,-,-,-,8475690.0
2024-2025,Cody Ceci,DAL,D,165.0,213.0,,140.0,122.0,228.0,168.0,152.0,197.0,174.0,73.0,142.0,,113.0,Second Pair,85,1803.0,4,6,30,1993-12-21,CAN,CAN,74,210,2012,1,15,15,8476879.0
2024-2025,Colin Miller,WPG,D,54.0,74.0,,,90.0,14.0,47.0,57.0,52.0,64.0,105.0,32.0,,167.0,Third Pair,60,871.08333333333,4,6,31,1992-10-29,CAN,CAN,73,200,2012,5,30,151,8476525.0
2024-2025,Colton Parayko,STL,D,101.0,36.0,,154.0,214.0,159.0,56.0,5.0,190.0,225.0,44.0,104.0,,28.0,First Pair,64,1520.1666666667,16,10,31,1993-05-12,CAN,CAN,78,228,2012,3,25,86,8476892.0
2024-2025,Connor Clifton,BUF,D,147.0,134.0,,61.0,196.0,200.0,135.0,178.0,81.0,204.0,200.0,11.0,,147.0,Third Pair,73,1171.55,1,6,29,1995-04-28,USA,USA,71,190,2013,5,12,133,8477365.0
2024-2025,Connor Murphy,CHI,D,222.0,56.0,,87.0,226.0,208.0,140.0,212.0,206.0,231.0,139.0,35.0,,82.0,Second Pair,68,1401.8166666667,2,3,31,1993-03-26,USA,USA,76,212,2011,1,20,20,8476473.0
2024-2025,Conor Timmins,BUF,D,44.0,60.0,,98.0,17.0,50.0,148.0,107.0,48.0,59.0,215.0,99.0,,144.0,Third Pair,68,1150.7,3,6,25,1998-09-18,CAN,CAN,74,202,2017,2,1,32,8479982.0
2024-2025,Damon Severson,CBJ,D,55.0,194.0,,76.0,65.0,178.0,134.0,45.0,43.0,108.0,186.0,181.0,,95.0,Second Pair,70,1333.8333333333,6,13,30,1994-08-07,CAN,CAN,74,205,2012,2,30,60,8476923.0
2024-2025,Daniil Miromanov,CGY,D,160.0,164.0,,,175.0,122.0,103.0,127.0,129.0,172.0,117.0,207.0,,154.0,Third Pair,44,777.9,2,3,27,1997-07-11,RUS,RUS,76,200,-,-,-,-,8482624.0
2024-2025,Dante Fabbro,CBJ,D,51.0,78.0,,67.0,32.0,145.0,94.0,50.0,97.0,53.0,179.0,138.0,,75.0,Second Pair,68,1420.9,9,5,26,1998-06-20,CAN,CAN,72,189,2016,1,17,17,8479371.0
2024-2025,Darnell Nurse,EDM,D,15.0,91.0,74.0,70.0,29.0,107.0,7.0,79.0,19.0,72.0,197.0,40.0,,33.0,First Pair,76,1700.1833333333,5,16,29,1995-02-04,CAN,CAN,76,221,2013,1,7,7,8477498.0
2024-2025,Darren Raddysh,TBL,D,45.0,126.0,57.0,,47.0,98.0,63.0,92.0,31.0,3.0,38.0,169.0,,76.0,Third Pair,73,1262.8833333333,6,12,28,1996-02-28,CAN,CAN,73,200,-,-,-,-,8478178.0
2024-2025,David Savard,MTL,D,197.0,93.0,,159.0,188.0,234.0,220.0,170.0,140.0,161.0,173.0,131.0,,88.0,Third Pair,75,1244.2,1,5,33,1990-10-22,CAN,CAN,73,235,2009,4,3,94,8475233.0
2024-2025,Declan Chisholm,MIN,D,186.0,61.0,40.0,,136.0,10.0,193.0,209.0,169.0,145.0,146.0,197.0,,175.0,Third Pair,66,1121.5166666667,2,6,24,2000-01-12,CAN,CAN,73,185,2018,5,26,150,8480990.0
2024-2025,Dennis Cholowski,NJD,D,179.0,184.0,78.0,,225.0,54.0,166.0,17.0,156.0,10.0,213.0,233.0,,195.0,Third Pair,39,509.75,3,2,26,1998-02-15,CAN,CAN,74,210,2016,1,20,20,8479395.0
2024-2025,Dennis Gilbert,OTT,D,209.0,14.0,,,193.0,181.0,230.0,232.0,72.0,84.0,198.0,4.0,,215.0,Fringe,29,303.85,0,2,27,1996-10-30,USA,USA,74,216,2015,3,30,91,8478502.0
2024-2025,Denton Mateychuk,CBJ,D,143.0,113.0,,38.0,227.0,179.0,182.0,33.0,71.0,150.0,147.0,173.0,,129.0,Second Pair,45,811.58333333333,4,7,20,2004-07-12,CAN,,71,188,2022,1,12,12,
2024-2025,Derek Forbort,VAN,D,231.0,45.0,,18.0,234.0,47.0,211.0,187.0,199.0,235.0,119.0,83.0,,184.0,Third Pair,54,923.48333333333,2,4,32,1992-03-04,USA,USA,76,208,2010,1,15,15,8475762.0
2024-2025,Devon Toews,COL,D,24.0,35.0,79.0,139.0,15.0,34.0,48.0,28.0,60.0,14.0,24.0,190.0,,36.0,First Pair,76,1868.8,10,14,30,1994-02-21,CAN,CAN,73,191,2014,4,18,108,8478038.0
2024-2025,Dmitry Kulikov,FLA,D,137.0,106.0,,43.0,80.0,41.0,170.0,166.0,167.0,30.0,121.0,50.0,,188.0,Second Pair,70,1348.7833333333,4,2,33,1990-10-29,RUS,RUS,73,201,2009,1,14,14,8475179.0
2024-2025,Dmitry Orlov,CAR,D,39.0,95.0,,49.0,27.0,6.0,42.0,63.0,107.0,50.0,17.0,84.0,,106.0,Second Pair,76,1519.7333333333,6,9,33,1991-07-23,RUS,RUS,71,214,2009,2,25,55,8475200.0
2024-2025,Dougie Hamilton,NJD,D,6.0,234.0,1.0,,18.0,155.0,1.0,26.0,10.0,20.0,183.0,110.0,,12.0,Second Pair,64,1270.7666666667,9,14,31,1993-06-17,CAN,CAN,78,230,2011,1,9,9,8476462.0
2024-2025,Drew Doughty,LAK,D,127.0,175.0,58.0,42.0,63.0,68.0,196.0,114.0,164.0,92.0,187.0,144.0,,38.0,First Pair,30,724.1,4,3,34,1989-12-08,CAN,CAN,73,210,2008,1,2,2,8474563.0
2024-2025,Drew Helleson,ANA,D,163.0,230.0,,34.0,233.0,235.0,88.0,52.0,59.0,151.0,220.0,28.0,,145.0,Third Pair,56,915.66666666667,4,6,23,2001-03-26,USA,USA,75,190,2019,2,16,47,8481563.0
2024-2025,Dylan DeMelo,WPG,D,105.0,109.0,,118.0,48.0,60.0,197.0,184.0,138.0,40.0,128.0,61.0,,134.0,Second Pair,82,1765.65,3,7,31,1993-05-01,CAN,CAN,72,195,2011,6,28,179,8476331.0
2024-2025,Dylan Samberg,WPG,D,71.0,9.0,,47.0,82.0,18.0,77.0,110.0,68.0,193.0,143.0,132.0,,91.0,Second Pair,60,1268.25,6,10,25,1999-01-24,USA,USA,76,219,2017,2,12,43,8480049.0
2024-2025,Egor Zamula,PHI,D,192.0,15.0,,,132.0,30.0,225.0,154.0,183.0,101.0,109.0,202.0,,161.0,Third Pair,63,1040.9166666667,3,5,24,2000-03-30,RUS,RUS,75,177,-,-,-,-,8481178.0
2024-2025,Elias Pettersson,VAN,D,162.0,218.0,,,129.0,20.0,149.0,104.0,191.0,5.0,1.0,36.0,,238.0,Fringe,28,359.01666666667,1,1,20,2004-02-16,SWE,,74,185,2022,3,15,80,8483678.0
2024-2025,Emil Andrae,PHI,D,107.0,63.0,77.0,,83.0,15.0,84.0,181.0,155.0,49.0,125.0,112.0,,164.0,Third Pair,42,728.48333333333,1,4,22,2002-02-23,SWE,,69,189,2020,2,23,54,
2024-2025,Emil Lilleberg,TBL,D,207.0,131.0,,14.0,216.0,67.0,206.0,227.0,96.0,90.0,225.0,24.0,,220.0,Third Pair,76,1161.4166666667,1,8,23,2001-02-02,NOR,,74,192,2021,4,11,107,8482929.0
2024-2025,Erik Brannstrom,VAN,D,83.0,32.0,,,174.0,55.0,74.0,30.0,78.0,16.0,78.0,170.0,,126.0,Third Pair,28,418.2,3,3,24,1999-09-02,SWE,SWE,70,185,2017,1,15,15,
2024-2025,Erik Cernak,TBL,D,183.0,100.0,,91.0,138.0,124.0,198.0,201.0,154.0,220.0,192.0,21.0,,168.0,Second Pair,76,1387.8,3,8,27,1997-05-28,SVK,SVK,76,224,2015,2,13,43,8478416.0
2024-2025,Erik Gustafsson,DET,D,74.0,191.0,15.0,,87.0,45.0,102.0,132.0,38.0,19.0,141.0,165.0,,132.0,Third Pair,60,978.86666666667,2,12,32,1992-03-14,SWE,SWE,72,197,2012,4,2,93,8476979.0
2024-2025,Erik Johnson,COL,D,134.0,84.0,,27.0,92.0,115.0,78.0,109.0,207.0,163.0,134.0,22.0,,212.0,Third Pair,36,525.16666666667,2,0,36,1988-03-21,USA,USA,76,225,2006,1,1,1,8473446.0
2024-2025,Erik Karlsson,PIT,D,13.0,233.0,9.0,106.0,7.0,199.0,20.0,31.0,18.0,44.0,32.0,227.0,,17.0,First Pair,82,1905.3333333333,11,17,34,1990-05-31,SWE,SWE,72,190,2008,1,15,15,8474578.0
2024-2025,Esa Lindell,DAL,D,108.0,59.0,,90.0,104.0,132.0,124.0,142.0,122.0,233.0,43.0,166.0,,66.0,First Pair,80,1774.45,5,12,30,1994-05-23,FIN,FIN,75,220,2012,3,13,74,8476902.0
2024-2025,Evan Bouchard,EDM,D,5.0,48.0,11.0,,2.0,24.0,10.0,15.0,80.0,39.0,8.0,192.0,,6.0,First Pair,82,1923.5833333333,14,14,24,1999-10-20,CAN,CAN,75,194,2018,1,10,10,8480803.0
2024-2025,Filip Hronek,VAN,D,56.0,138.0,62.0,134.0,56.0,69.0,112.0,88.0,73.0,63.0,163.0,109.0,,57.0,First Pair,61,1457.55,5,12,26,1997-11-02,CZE,CZE,72,190,2016,2,23,53,8479425.0
2024-2025,Gustav Forsling,FLA,D,8.0,75.0,,77.0,9.0,33.0,5.0,32.0,12.0,69.0,66.0,126.0,,45.0,First Pair,80,1835.8166666667,11,10,28,1996-06-12,SWE,SWE,72,186,2014,5,6,126,8478055.0
2024-2025,Haydn Fleury,WPG,D,189.0,187.0,,99.0,222.0,105.0,85.0,237.0,79.0,196.0,67.0,79.0,,200.0,Third Pair,39,621.18333333333,0,4,28,1996-07-08,CAN,CAN,76,208,2014,1,7,7,8477938.0
2024-2025,Henri Jokiharju,BOS,D,153.0,207.0,,133.0,111.0,152.0,159.0,153.0,162.0,121.0,149.0,135.0,,185.0,Third Pair,60,1069.55,3,3,25,1999-06-17,FIN,FIN,72,200,2017,1,29,29,8480035.0
2024-2025,Henry Thrun,SJS,D,233.0,237.0,,161.0,231.0,236.0,210.0,197.0,224.0,142.0,144.0,168.0,,187.0,Third Pair,60,1050.8166666667,2,2,23,2001-03-12,USA,USA,74,190,2019,4,8,101,8481567.0
2024-2025,Ian Cole,UTA,D,148.0,41.0,,86.0,61.0,64.0,200.0,217.0,189.0,164.0,232.0,96.0,,121.0,Second Pair,82,1663.1333333333,1,8,35,1989-02-21,USA,USA,73,225,2007,1,18,18,8474013.0
2024-2025,Ilya Lyubushkin,DAL,D,214.0,158.0,,138.0,145.0,183.0,226.0,230.0,210.0,207.0,203.0,52.0,,176.0,Third Pair,80,1390.95,1,4,30,1994-04-06,RUS,RUS,74,200,-,-,-,-,8480950.0
2024-2025,Isaiah George,NYI,D,230.0,205.0,,,181.0,161.0,199.0,193.0,235.0,60.0,154.0,203.0,,221.0,Third Pair,33,516.33333333333,1,0,20,2004-02-15,CAN,,73,196,2022,4,1,98,
2024-2025,Ivan Provorov,CBJ,D,172.0,223.0,72.0,144.0,165.0,195.0,161.0,101.0,176.0,135.0,23.0,201.0,,69.0,First Pair,82,1915.0166666667,7,12,27,1997-01-13,RUS,RUS,73,201,2015,1,7,7,8478500.0
2024-2025,J.J. Moser,TBL,D,171.0,127.0,,83.0,117.0,127.0,194.0,168.0,143.0,185.0,153.0,146.0,,138.0,Second Pair,54,1018.05,2,4,24,2000-06-06,CHE,CHE,73,173,2021,2,28,60,8482655.0
2024-2025,Jaccob Slavin,CAR,D,23.0,5.0,,11.0,4.0,25.0,50.0,77.0,42.0,25.0,14.0,229.0,,64.0,Second Pair,80,1725.8166666667,6,7,30,1994-05-01,USA,USA,75,207,2012,4,29,120,8476958.0
2024-2025,Jack Johnson,CBJ,D,199.0,209.0,,131.0,202.0,225.0,171.0,223.0,144.0,171.0,47.0,145.0,,224.0,Fringe,41,527.73333333333,0,2,37,1987-01-13,USA,USA,73,227,2005,1,3,3,8471677.0
2024-2025,Jack Thompson,SJS,D,50.0,174.0,80.0,,139.0,201.0,46.0,3.0,67.0,76.0,219.0,198.0,,72.0,Third Pair,31,489.5,4,4,22,2002-03-19,CAN,,73,178,2020,3,31,93,
2024-2025,Jackson LaCombe,ANA,D,61.0,171.0,51.0,74.0,130.0,209.0,132.0,13.0,54.0,223.0,126.0,154.0,,46.0,First Pair,75,1672.55,14,18,23,2001-01-09,USA,USA,73,171,2019,2,8,39,8481605.0
2024-2025,Jacob Bernard-Docker,BUF,D,157.0,13.0,,,192.0,89.0,155.0,86.0,139.0,52.0,156.0,124.0,,166.0,Third Pair,40,544.6,2,3,24,2000-06-30,CAN,CAN,72,190,2018,1,26,26,8480879.0
2024-2025,Jacob Bryson,BUF,D,212.0,160.0,,58.0,203.0,186.0,237.0,231.0,106.0,199.0,68.0,209.0,,231.0,Third Pair,48,690.83333333333,0,5,26,1997-11-18,CAN,CAN,69,176,2017,4,6,99,8480196.0
2024-2025,Jacob Moverare,LAK,D,173.0,1.0,,,72.0,2.0,208.0,199.0,123.0,117.0,171.0,128.0,,218.0,Fringe,49,581.08333333333,1,2,26,1998-08-31,SWE,SWE,75,210,2016,4,21,112,8479421.0
2024-2025,Jacob Trouba,ANA,D,84.0,70.0,,75.0,133.0,231.0,32.0,191.0,29.0,152.0,196.0,26.0,,52.0,Second Pair,77,1579.9,1,11,30,1994-02-26,USA,USA,75,203,2012,1,9,9,8476885.0
2024-2025,Jake Bean,CGY,D,114.0,88.0,,,86.0,91.0,80.0,139.0,181.0,78.0,77.0,214.0,,213.0,Third Pair,64,965.7,2,2,26,1998-06-09,CAN,CAN,73,196,2016,1,13,13,8479402.0
2024-2025,Jake Christiansen,CBJ,D,184.0,229.0,,,209.0,217.0,97.0,210.0,121.0,140.0,102.0,119.0,,226.0,Fringe,68,852.71666666667,1,4,24,1999-09-12,CAN,CAN,72,193,-,-,-,-,8481161.0
2024-2025,Jake McCabe,TOR,D,96.0,73.0,,113.0,78.0,95.0,179.0,162.0,76.0,222.0,85.0,33.0,,79.0,Second Pair,66,1419.8333333333,2,10,30,1993-10-12,USA,USA,73,204,2012,2,14,44,8476931.0
2024-2025,Jake Middleton,MIN,D,124.0,39.0,,116.0,194.0,164.0,121.0,36.0,128.0,148.0,84.0,74.0,,63.0,Second Pair,67,1465.5833333333,8,7,28,1996-01-02,CAN,CAN,75,219,2014,7,30,210,8478136.0
2024-2025,Jake Sanderson,OTT,D,77.0,62.0,24.0,125.0,70.0,101.0,44.0,89.0,166.0,182.0,22.0,213.0,,14.0,First Pair,80,1955.3666666667,11,20,22,2002-07-08,USA,USA,75,195,2020,1,5,5,8482105.0
2024-2025,Jake Walman,EDM,D,32.0,132.0,42.0,128.0,93.0,224.0,8.0,10.0,83.0,209.0,127.0,155.0,,18.0,First Pair,65,1480.1333333333,7,16,28,1996-02-20,CAN,CAN,74,215,2014,3,22,82,8478013.0
2024-2025,Jakob Chychrun,WSH,D,30.0,157.0,10.0,,79.0,143.0,12.0,4.0,82.0,47.0,189.0,153.0,,16.0,Second Pair,74,1558.75,20,15,26,1998-03-31,USA,USA,74,220,2016,1,16,16,8479345.0
2024-2025,Jalen Chatfield,CAR,D,36.0,30.0,,37.0,19.0,3.0,35.0,21.0,141.0,33.0,150.0,140.0,,152.0,Second Pair,79,1491.35,7,4,28,1996-05-15,USA,USA,73,188,-,-,-,-,8478970.0
2024-2025,Jamie Drysdale,PHI,D,156.0,190.0,71.0,,115.0,207.0,207.0,74.0,196.0,27.0,114.0,211.0,,116.0,Second Pair,70,1394.1833333333,7,5,22,2002-04-08,CAN,CAN,71,183,2020,1,6,6,8482142.0
2024-2025,Jamie Oleksiak,SEA,D,174.0,81.0,,152.0,179.0,192.0,152.0,115.0,173.0,236.0,100.0,111.0,,119.0,Second Pair,82,1539.65,4,8,31,1992-12-21,CAN,CAN,79,257,2011,1,14,14,8476467.0
2024-2025,Jan Rutta,SJS,D,219.0,217.0,,153.0,232.0,221.0,138.0,155.0,172.0,211.0,193.0,127.0,,148.0,Third Pair,54,931.83333333333,3,2,34,1990-07-29,CZE,CZE,75,204,-,-,-,-,8480172.0
2024-2025,Jared Spurgeon,MIN,D,72.0,3.0,54.0,25.0,125.0,11.0,58.0,40.0,98.0,137.0,63.0,161.0,,41.0,Second Pair,66,1349.7666666667,7,11,34,1989-11-29,CAN,CAN,69,166,2008,6,5,156,8474716.0
2024-2025,Jayden Struble,MTL,D,120.0,130.0,,,85.0,112.0,165.0,159.0,90.0,54.0,211.0,15.0,,205.0,Third Pair,56,837.45,2,5,22,2001-09-08,USA,,72,202,2019,2,15,46,8481593.0
2024-2025,Jeff Petry,DET,D,181.0,154.0,,89.0,180.0,206.0,188.0,185.0,104.0,106.0,168.0,70.0,,120.0,Second Pair,44,831.45,1,4,36,1987-12-09,USA,USA,75,209,2006,2,15,45,8473507.0
2024-2025,Jeremy Lauzon,NSH,D,210.0,107.0,,108.0,186.0,87.0,118.0,189.0,223.0,214.0,228.0,1.0,,208.0,Third Pair,28,503.2,0,0,27,1997-04-28,CAN,CAN,73,204,2015,2,22,52,8478468.0
2024-2025,Joel Edmundson,LAK,D,130.0,185.0,,50.0,97.0,168.0,125.0,136.0,159.0,73.0,91.0,87.0,,139.0,Second Pair,73,1503.05,6,6,31,1993-06-28,CAN,CAN,77,221,2011,2,16,46,8476441.0
2024-2025,Joel Hanley,CGY,D,211.0,23.0,,26.0,102.0,9.0,222.0,220.0,220.0,167.0,178.0,97.0,,203.0,Second Pair,53,984.76666666667,2,2,33,1991-06-08,CAN,CAN,71,190,-,-,-,-,8477810.0
2024-2025,John Carlson,WSH,D,26.0,152.0,27.0,146.0,24.0,162.0,26.0,113.0,17.0,110.0,26.0,180.0,,15.0,First Pair,79,1861.5666666667,5,24,34,1990-01-10,USA,USA,75,215,2008,1,27,27,8474590.0
