Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID
2014-2015,Barclay Goodrow,SJS,F,327.0,129.0,,,370.0,113.0,251.0,350.0,191.0,259.0,294.0,160.0,,368.0,Fourth Line,60,664.3,4,7,21,1993-02-26,CAN,CAN,74,204,-,-,-,-,8476624.0
2014-2015,Beau Bennett,PIT,F,197.0,168.0,254.0,,251.0,56.0,166.0,320.0,72.0,96.0,336.0,178.0,,308.0,Fourth Line,49,611.88333333333,4,6,22,1991-11-27,USA,USA,74,195,2010,1,20,20,8475761.0
2014-2015,Ben Smith,CHI,F,322.0,5.0,,72.0,299.0,52.0,305.0,239.0,370.0,418.0,63.0,270.0,41.0,312.0,Fourth Line,80,1044.1666666667,7,5,26,1988-07-11,USA,USA,71,203,2008,6,18,169,8474727.0
2014-2015,Ben Smith,SJS,F,322.0,5.0,,72.0,299.0,52.0,305.0,239.0,370.0,418.0,63.0,270.0,41.0,312.0,Fourth Line,80,1044.1666666667,7,5,26,1988-07-11,USA,USA,71,203,2008,6,18,169,8474727.0
2014-2015,Benoit Pouliot,EDM,F,130.0,368.0,79.0,3.0,129.0,341.0,196.0,60.0,230.0,33.0,251.0,190.0,,148.0,Second Line,58,964.08333333333,19,11,27,1986-09-29,CAN,CAN,75,200,2005,1,4,4,8471678.0
2014-2015,Blake Comeau,PIT,F,89.0,300.0,217.0,,188.0,169.0,54.0,87.0,100.0,120.0,394.0,32.0,,210.0,Third Line,61,932.33333333333,16,10,28,1986-02-18,CAN,CAN,73,200,2004,2,17,47,8471260.0
2014-2015,Blake Wheeler,WPG,F,28.0,137.0,94.0,5.0,80.0,173.0,39.0,63.0,19.0,207.0,324.0,180.0,,24.0,First Line,79,1553.2666666667,26,24,28,1986-08-31,USA,USA,77,220,2004,1,5,5,8471218.0
2014-2015,Bo Horvat,VAN,F,162.0,342.0,,,215.0,411.0,252.0,43.0,251.0,223.0,292.0,214.0,40.0,241.0,Fourth Line,68,833.93333333333,13,7,19,1995-04-05,CAN,CAN,72,215,2013,1,9,9,8477500.0
2014-2015,Bobby Ryan,OTT,F,63.0,294.0,139.0,,108.0,356.0,59.0,94.0,78.0,167.0,208.0,202.0,,64.0,Second Line,78,1362.8666666667,18,18,27,1987-03-17,USA,USA,74,208,2005,1,2,2,8471676.0
2014-2015,Boone Jenner,CBJ,F,161.0,221.0,13.0,62.0,174.0,240.0,92.0,135.0,287.0,344.0,20.0,34.0,100.0,100.0,First Line,31,566.36666666667,9,6,21,1993-06-15,CAN,CAN,74,203,2011,2,7,37,8476432.0
2014-2015,Boyd Gordon,EDM,F,398.0,23.0,,153.0,386.0,202.0,375.0,379.0,376.0,423.0,271.0,357.0,3.0,299.0,Fourth Line,68,906.13333333333,6,3,30,1983-10-19,CAN,CAN,72,200,2002,1,17,17,8470159.0
2014-2015,Brad Boyes,FLA,F,147.0,131.0,177.0,,193.0,139.0,157.0,144.0,133.0,229.0,319.0,318.0,,149.0,Second Line,78,1220.7333333333,14,18,32,1982-04-17,CAN,CAN,72,199,2000,1,24,24,8468504.0
2014-2015,Brad Malone,CAR,F,359.0,349.0,,,404.0,227.0,323.0,220.0,379.0,130.0,379.0,16.0,,396.0,Fourth Line,65,659.78333333333,7,5,25,1989-05-20,CAN,CAN,74,217,2007,4,14,105,8474089.0
2014-2015,Brad Marchand,BOS,F,50.0,143.0,251.0,16.0,32.0,30.0,114.0,76.0,55.0,306.0,362.0,286.0,,109.0,Second Line,77,1301.3333333333,24,14,26,1988-05-11,CAN,CAN,69,176,2006,3,8,71,8473419.0
2014-2015,Brad Richards,CHI,F,66.0,337.0,104.0,,44.0,303.0,43.0,156.0,153.0,3.0,205.0,394.0,98.0,94.0,Third Line,76,1131.4833333333,12,15,34,1980-05-02,CAN,CAN,72,199,1998,3,6,64,8467389.0
2014-2015,Brad Richardson,VAN,F,238.0,285.0,,67.0,219.0,355.0,290.0,258.0,142.0,316.0,390.0,222.0,51.0,235.0,Third Line,45,651.21666666667,8,6,29,1985-02-04,CAN,CAN,72,190,2003,5,27,163,8470755.0
2014-2015,Brandon Bollig,CGY,F,371.0,155.0,,,385.0,149.0,110.0,397.0,387.0,404.0,406.0,26.0,,401.0,Fringe,62,533.11666666667,1,1,27,1987-01-31,USA,USA,74,220,-,-,-,-,8475650.0
2014-2015,Brandon Dubinsky,CBJ,F,107.0,287.0,157.0,157.0,138.0,154.0,189.0,114.0,95.0,358.0,342.0,33.0,34.0,83.0,First Line,47,848.88333333333,13,11,28,1986-04-29,USA,USA,74,208,2004,2,30,60,8471273.0
2014-2015,Brandon McMillan,ARI,F,401.0,259.0,,141.0,329.0,321.0,306.0,402.0,408.0,413.0,111.0,90.0,,414.0,Fourth Line,58,607.15,1,0,24,1990-03-22,CAN,CAN,71,190,2008,3,24,85,8474646.0
2014-2015,Brandon McMillan,VAN,F,401.0,259.0,,141.0,329.0,321.0,306.0,402.0,408.0,413.0,111.0,90.0,,414.0,Fourth Line,58,607.15,1,0,24,1990-03-22,CAN,CAN,71,190,2008,3,24,85,8474646.0
2014-2015,Brandon Pirri,FLA,F,115.0,138.0,26.0,,208.0,106.0,42.0,18.0,381.0,119.0,87.0,308.0,130.0,105.0,Third Line,49,723.71666666667,22,1,23,1991-04-10,CAN,CAN,72,180,2009,2,29,59,8475204.0
2014-2015,Brandon Prust,MTL,F,347.0,260.0,,99.0,344.0,182.0,392.0,347.0,208.0,350.0,410.0,112.0,,355.0,Fourth Line,82,1063.2333333333,4,11,30,1984-03-16,CAN,CAN,72,195,2004,3,5,70,8471283.0
2014-2015,Brandon Saad,CHI,F,35.0,151.0,234.0,60.0,21.0,127.0,67.0,46.0,66.0,43.0,23.0,335.0,,104.0,Second Line,82,1415.3833333333,23,16,21,1992-10-27,USA,USA,73,215,2011,2,13,43,8476438.0
2014-2015,Brandon Sutter,PIT,F,321.0,102.0,198.0,162.0,377.0,105.0,167.0,212.0,359.0,313.0,59.0,272.0,80.0,176.0,Second Line,80,1385.9166666667,21,6,25,1989-02-14,USA,CAN,75,190,2007,1,11,11,8474091.0
2014-2015,Brayden Schenn,PHI,F,245.0,237.0,30.0,,211.0,251.0,289.0,225.0,186.0,91.0,98.0,76.0,,133.0,Second Line,82,1400.5666666667,18,21,23,1991-08-22,CAN,CAN,73,199,2009,1,5,5,8475170.0
2014-2015,Brendan Gallagher,MTL,F,16.0,122.0,156.0,,30.0,274.0,11.0,29.0,25.0,65.0,110.0,340.0,,77.0,Second Line,82,1360.2,24,16,22,1992-05-06,CAN,CAN,69,186,2010,5,27,147,8475848.0
2014-2015,Brenden Morrow,TBL,F,373.0,146.0,,,309.0,32.0,422.0,321.0,328.0,242.0,388.0,89.0,,399.0,Fourth Line,70,652.93333333333,3,4,35,1979-01-16,CAN,CAN,71,212,1997,1,25,25,8466160.0
2014-2015,Brett Connolly,TBL,F,155.0,43.0,258.0,,184.0,20.0,124.0,19.0,391.0,204.0,421.0,102.0,,280.0,Fourth Line,55,668.41666666667,12,2,22,1992-05-02,CAN,CAN,75,198,2010,1,6,6,8475792.0
2014-2015,Brett Connolly,BOS,F,155.0,43.0,258.0,,184.0,20.0,124.0,19.0,391.0,204.0,421.0,102.0,,280.0,Fourth Line,55,668.41666666667,12,2,22,1992-05-02,CAN,CAN,75,198,2010,1,6,6,8475792.0
2014-2015,Brett Ritchie,DAL,F,52.0,299.0,164.0,,52.0,101.0,13.0,17.0,324.0,220.0,67.0,31.0,,216.0,Third Line,31,433.56666666667,6,1,21,1993-07-01,CAN,CAN,76,215,2011,2,14,44,8476439.0
2014-2015,Brian Boyle,TBL,F,239.0,51.0,,64.0,298.0,70.0,66.0,181.0,336.0,410.0,253.0,69.0,39.0,251.0,Fourth Line,82,1065.4333333333,15,7,29,1984-12-18,USA,USA,78,245,2003,1,26,26,8470619.0
2014-2015,Brian Flynn,BUF,F,372.0,325.0,,75.0,402.0,365.0,320.0,341.0,347.0,370.0,138.0,309.0,105.0,300.0,Third Line,63,939.11666666667,5,8,26,1988-07-26,USA,USA,73,185,-,-,-,-,8476808.0
2014-2015,Brian Flynn,MTL,F,372.0,325.0,,75.0,402.0,365.0,320.0,341.0,347.0,370.0,138.0,309.0,105.0,300.0,Third Line,63,939.11666666667,5,8,26,1988-07-26,USA,USA,73,185,-,-,-,-,8476808.0
2014-2015,Brian Gibbons,CBJ,F,357.0,4.0,,134.0,302.0,18.0,415.0,409.0,148.0,187.0,207.0,333.0,,359.0,Third Line,25,345.58333333333,0,3,26,1988-02-26,USA,USA,68,175,-,-,-,-,8476207.0
2014-2015,Brian Gionta,BUF,F,272.0,347.0,209.0,184.0,341.0,375.0,147.0,277.0,185.0,363.0,97.0,319.0,,124.0,First Line,69,1245.4,13,12,35,1979-01-18,USA,USA,67,178,1998,3,24,82,8467407.0
2014-2015,Brock Nelson,NYI,F,121.0,89.0,28.0,181.0,13.0,264.0,122.0,137.0,333.0,338.0,19.0,217.0,159.0,129.0,Second Line,82,1302.4166666667,20,10,22,1991-10-15,USA,USA,76,210,2010,1,30,30,8475754.0
2014-2015,Brooks Laich,WSH,F,293.0,174.0,,144.0,207.0,214.0,260.0,308.0,340.0,270.0,320.0,166.0,114.0,247.0,Third Line,66,971.73333333333,7,7,31,1983-06-23,CAN,CAN,74,200,2001,6,28,193,8469639.0
2014-2015,Bryan Bickell,CHI,F,168.0,188.0,,,88.0,87.0,132.0,122.0,310.0,4.0,201.0,53.0,,292.0,Fourth Line,80,966.01666666667,14,6,28,1986-03-09,CAN,CAN,76,223,2004,2,11,41,8471254.0
2014-2015,Bryan Little,WPG,F,145.0,263.0,53.0,152.0,50.0,216.0,328.0,149.0,143.0,186.0,131.0,303.0,127.0,78.0,First Line,70,1394.3666666667,24,15,26,1987-11-12,CAN,CAN,72,191,2006,1,12,12,8473412.0
2014-2015,Cal Clutterbuck,NYI,F,257.0,330.0,,189.0,157.0,241.0,77.0,335.0,365.0,376.0,99.0,4.0,,285.0,Fourth Line,76,967.33333333333,7,8,26,1987-11-18,CAN,CAN,72,212,2006,3,9,72,8473504.0
2014-2015,Calle Jarnkrok,NSH,F,259.0,29.0,,125.0,180.0,4.0,213.0,259.0,283.0,85.0,102.0,356.0,133.0,347.0,Fourth Line,74,950.85,7,5,22,1991-09-25,SWE,SWE,72,192,2010,2,21,51,8475714.0
2014-2015,Cam Atkinson,CBJ,F,98.0,216.0,80.0,1.0,167.0,283.0,38.0,86.0,222.0,265.0,213.0,317.0,,95.0,Second Line,78,1325.3,22,9,25,1989-06-05,USA,USA,68,176,2008,6,6,157,8474715.0
2014-2015,Carl Hagelin,NYR,F,79.0,364.0,,19.0,51.0,306.0,51.0,116.0,197.0,129.0,291.0,260.0,,160.0,Third Line,82,1249.0166666667,17,10,26,1988-08-23,SWE,SWE,72,183,2007,6,17,168,8474176.0
2014-2015,Carl Soderberg,BOS,F,250.0,49.0,23.0,,262.0,49.0,266.0,292.0,136.0,162.0,301.0,292.0,126.0,139.0,Second Line,82,1378.4166666667,13,19,28,1985-10-12,SWE,SWE,75,210,2004,2,19,49,8471262.0
2014-2015,Casey Cizikas,NYI,F,313.0,110.0,,124.0,248.0,276.0,318.0,288.0,332.0,269.0,211.0,83.0,44.0,322.0,Fourth Line,70,876.18333333333,9,4,23,1991-02-27,CAN,CAN,71,190,2009,4,1,92,8475231.0
2014-2015,Cedric Paquette,TBL,F,266.0,16.0,,136.0,316.0,36.0,192.0,77.0,383.0,275.0,49.0,79.0,118.0,240.0,Third Line,64,871.08333333333,12,4,21,1993-08-13,CAN,CAN,72,205,2012,4,10,101,8476975.0
2014-2015,Charlie Coyle,MIN,F,227.0,48.0,227.0,,179.0,67.0,287.0,234.0,168.0,206.0,95.0,172.0,145.0,220.0,Third Line,82,1193.3666666667,11,13,22,1992-03-02,USA,USA,75,223,2010,1,28,28,8475745.0
2014-2015,Chris Higgins,VAN,F,104.0,346.0,210.0,49.0,139.0,352.0,91.0,184.0,88.0,261.0,180.0,254.0,,140.0,Second Line,77,1215.9166666667,12,16,31,1983-06-02,USA,USA,72,205,2002,1,14,14,8470274.0
2014-2015,Chris Kelly,BOS,F,328.0,24.0,,27.0,295.0,34.0,356.0,361.0,207.0,331.0,285.0,179.0,78.0,272.0,Third Line,80,1211.2666666667,7,9,33,1980-11-11,CAN,CAN,72,190,1999,3,28,94,8467967.0
2014-2015,Chris Kreider,NYR,F,53.0,393.0,123.0,,35.0,289.0,87.0,79.0,110.0,58.0,359.0,113.0,,121.0,Second Line,80,1256.9166666667,21,16,23,1991-04-30,USA,USA,75,230,2009,1,19,19,8475184.0
2014-2015,Chris Kunitz,PIT,F,86.0,207.0,43.0,,20.0,145.0,156.0,174.0,96.0,95.0,326.0,107.0,,70.0,Second Line,74,1324.3166666667,17,16,34,1979-09-26,CAN,CAN,72,188,-,-,-,-,8470543.0
2014-2015,Chris Neil,OTT,F,388.0,194.0,,,342.0,159.0,387.0,381.0,375.0,339.0,409.0,5.0,,391.0,Fourth Line,38,369.96666666667,4,2,35,1979-06-18,CAN,CAN,73,209,1998,6,16,161,8467493.0
2014-2015,Chris Stewart,BUF,F,244.0,418.0,145.0,,358.0,404.0,205.0,188.0,160.0,191.0,385.0,193.0,,202.0,Second Line,81,1286.3333333333,14,17,26,1987-10-30,CAN,CAN,74,242,2006,1,18,18,8473485.0
2014-2015,Chris Stewart,MIN,F,244.0,418.0,145.0,,358.0,404.0,205.0,188.0,160.0,191.0,385.0,193.0,,202.0,Second Line,81,1286.3333333333,14,17,26,1987-10-30,CAN,CAN,74,242,2006,1,18,18,8473485.0
2014-2015,Chris Terry,CAR,F,170.0,256.0,184.0,,133.0,233.0,326.0,141.0,114.0,59.0,237.0,281.0,,290.0,Fourth Line,57,725.15,11,7,25,1989-04-07,CAN,CAN,70,191,2007,5,11,132,8474052.0
2014-2015,Chris Thorburn,WPG,F,354.0,160.0,,,315.0,260.0,366.0,300.0,353.0,164.0,372.0,40.0,,403.0,Fringe,81,655.01666666667,7,2,31,1983-06-03,CAN,CAN,75,235,2001,2,20,50,8469501.0
2014-2015,Chris Tierney,SJS,F,172.0,374.0,130.0,,158.0,381.0,349.0,233.0,26.0,172.0,16.0,405.0,164.0,248.0,Fourth Line,43,526.65,6,10,20,1994-07-01,CAN,CAN,73,191,2012,2,25,55,8476919.0
2014-2015,Chris VandeVelde,PHI,F,343.0,104.0,,25.0,372.0,220.0,333.0,132.0,397.0,225.0,114.0,94.0,,350.0,Fourth Line,72,844.53333333333,9,3,27,1987-03-15,USA,USA,74,190,2005,4,6,97,8471762.0
2014-2015,Clarke MacArthur,OTT,F,93.0,388.0,112.0,,76.0,315.0,206.0,123.0,49.0,254.0,229.0,232.0,,115.0,Second Line,62,1054.2833333333,16,13,29,1985-04-06,CAN,CAN,72,192,2003,3,6,74,8470667.0
2014-2015,Claude Giroux,PHI,F,100.0,283.0,7.0,,101.0,270.0,83.0,209.0,108.0,195.0,96.0,255.0,9.0,15.0,First Line,81,1665.7666666667,25,20,26,1988-01-12,CAN,CAN,71,190,2006,1,22,22,8473512.0
2014-2015,Cody Eakin,DAL,F,215.0,183.0,213.0,112.0,82.0,338.0,254.0,172.0,314.0,299.0,216.0,276.0,65.0,152.0,Second Line,78,1341.0833333333,19,6,23,1991-05-24,CAN,CAN,72,196,2009,3,24,85,8475236.0
2014-2015,Cody Hodgson,BUF,F,311.0,419.0,200.0,,380.0,417.0,165.0,290.0,273.0,309.0,88.0,346.0,143.0,228.0,Fourth Line,78,1002.0333333333,6,5,24,1990-02-18,CAN,CAN,72,191,2008,1,10,10,8474570.0
2014-2015,Cody McCormick,BUF,F,412.0,351.0,,178.0,422.0,398.0,377.0,417.0,214.0,408.0,70.0,30.0,71.0,390.0,Fourth Line,33,386.55,1,3,31,1983-04-18,CAN,CAN,74,222,2001,5,13,144,8469591.0
2014-2015,Cody McLeod,COL,F,387.0,289.0,,95.0,417.0,345.0,256.0,306.0,395.0,198.0,407.0,11.0,,365.0,Fourth Line,82,917.06666666667,7,1,30,1984-06-26,CAN,CAN,74,204,-,-,-,-,8471657.0
2014-2015,Colin Greening,OTT,F,344.0,127.0,,,232.0,219.0,97.0,406.0,407.0,321.0,365.0,15.0,,351.0,Fourth Line,26,255.36666666667,1,0,28,1986-03-09,CAN,CAN,74,210,2005,7,10,204,8471862.0
2014-2015,Colin Wilson,NSH,F,96.0,81.0,197.0,,79.0,53.0,229.0,95.0,77.0,34.0,176.0,345.0,,157.0,Second Line,77,1248.2833333333,20,17,24,1989-10-20,USA,USA,73,215,2008,1,7,7,8474569.0
2014-2015,Colton Sceviour,DAL,F,106.0,154.0,225.0,,48.0,238.0,75.0,71.0,219.0,246.0,252.0,245.0,,199.0,Fourth Line,71,902.86666666667,9,5,25,1989-04-20,CAN,CAN,72,190,2007,4,21,112,8474098.0
2014-2015,Corey Perry,ANA,F,8.0,358.0,75.0,,59.0,200.0,45.0,3.0,47.0,239.0,156.0,280.0,,18.0,First Line,67,1212.75,33,15,29,1985-05-16,CAN,CAN,75,208,2003,1,28,28,8470621.0
2014-2015,Corey Tropp,CBJ,F,417.0,123.0,,,414.0,288.0,424.0,412.0,316.0,169.0,398.0,64.0,,413.0,Fringe,61,533.96666666667,1,4,25,1989-07-25,USA,USA,72,192,2007,3,28,89,8474130.0
2014-2015,Craig Adams,PIT,F,409.0,136.0,,119.0,410.0,85.0,355.0,405.0,372.0,240.0,358.0,14.0,,405.0,Fourth Line,70,682.18333333333,1,3,37,1977-04-26,BRN,CAN,72,200,1996,9,8,223,8465166.0
2014-2015,Craig Cunningham,BOS,F,374.0,58.0,,193.0,378.0,261.0,296.0,391.0,301.0,391.0,152.0,44.0,,375.0,Fourth Line,51,534.13333333333,3,3,23,1990-09-13,CAN,CAN,70,184,2010,4,7,97,8475414.0
2014-2015,Craig Cunningham,ARI,F,374.0,58.0,,193.0,378.0,261.0,296.0,391.0,301.0,391.0,152.0,44.0,,375.0,Fourth Line,51,534.13333333333,3,3,23,1990-09-13,CAN,CAN,70,184,2010,4,7,97,8475414.0
2014-2015,Craig Smith,NSH,F,43.0,323.0,150.0,,68.0,183.0,19.0,62.0,109.0,13.0,235.0,283.0,,96.0,Second Line,82,1290.7166666667,23,9,24,1989-09-05,USA,USA,72,204,2009,4,7,98,8475225.0
2014-2015,Curtis Glencross,CGY,F,297.0,308.0,101.0,,311.0,335.0,271.0,187.0,348.0,349.0,341.0,169.0,,131.0,Second Line,71,1111.0166666667,13,12,31,1982-12-28,CAN,CAN,73,197,-,-,-,-,8471185.0
2014-2015,Curtis Glencross,WSH,F,297.0,308.0,101.0,,311.0,335.0,271.0,187.0,348.0,349.0,341.0,169.0,,131.0,Second Line,71,1111.0166666667,13,12,31,1982-12-28,CAN,CAN,73,197,-,-,-,-,8471185.0
2014-2015,Curtis Lazar,OTT,F,265.0,66.0,,,118.0,137.0,247.0,304.0,312.0,272.0,166.0,55.0,93.0,326.0,Fourth Line,67,864.08333333333,6,7,19,1995-02-02,CAN,CAN,72,203,2013,1,17,17,8477508.0
2014-2015,Curtis McKenzie,DAL,F,309.0,383.0,,,203.0,354.0,275.0,224.0,402.0,101.0,315.0,45.0,,384.0,Fourth Line,36,415.2,4,1,23,1991-02-22,CAN,CAN,74,205,2009,6,8,159,8475310.0
2014-2015,Dainius Zubrus,NJD,F,405.0,142.0,,148.0,357.0,78.0,399.0,374.0,404.0,311.0,373.0,200.0,,357.0,Third Line,74,1084.7666666667,4,4,36,1978-06-16,LTU,LTU,77,225,1996,1,15,15,8464977.0
