Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2024-2025,Alex Laferriere,LAK,F,89.0,126.0,219.0,,168.0,84.0,48.0,101.0,86.0,197.0,211.0,165.0,,183.0,Second Line,77,1272.95,19,16,22,2001-10-28,USA,USA,72,173,2020,3,21,83,8482155.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8482155.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2024-2025,Alex Newhook,MTL,F,275.0,355.0,258.0,,229.0,377.0,331.0,143.0,373.0,95.0,274.0,248.0,163.0,247.0,Third Line,82,1240.8333333333,15,6,23,2001-01-28,CAN,CAN,70,190,2019,1,16,16,8481618.0,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481618.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2024-2025,Alex Ovechkin,WSH,F,16.0,419.0,80.0,,116.0,379.0,15.0,5.0,32.0,1.0,338.0,129.0,,11.0,Second Line,65,1152.0833333333,44,19,38,1985-09-17,RUS,RUS,75,238,2004,1,1,1,8471214.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8471214.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Alex Tuch,BUF,F,61.0,97.0,181.0,46.0,127.0,334.0,91.0,17.0,130.0,75.0,310.0,282.0,,38.0,First Line,82,1578.85,36,15,28,1996-05-10,USA,USA,76,219,2014,1,18,18,8477949.0,https://assets.nhle.com/mugs/nhl/20242025/BUF/8477949.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2024-2025,Alex Turcotte,LAK,F,186.0,142.0,266.0,,215.0,69.0,327.0,237.0,48.0,307.0,398.0,279.0,,326.0,Fourth Line,68,798.1,9,11,23,2001-02-26,USA,USA,71,185,2019,1,5,5,8481532.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8481532.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2024-2025,Alexander Holtz,VGK,F,289.0,374.0,,,303.0,246.0,148.0,264.0,310.0,77.0,287.0,278.0,,351.0,Fourth Line,53,614.0,4,4,22,2002-01-23,SWE,SWE,72,195,2020,1,7,7,8482125.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8482125.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2024-2025,Alexander Kerfoot,UTA,F,218.0,111.0,,154.0,130.0,135.0,343.0,307.0,145.0,314.0,83.0,283.0,73.0,242.0,Third Line,81,1235.5333333333,11,12,30,1994-08-11,CAN,CAN,71,186,2012,5,29,150,8477021.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8477021.png,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg
2024-2025,Alexander Wennberg,SJS,F,383.0,39.0,214.0,161.0,253.0,264.0,436.0,420.0,285.0,321.0,58.0,386.0,128.0,236.0,First Line,77,1452.0,10,13,29,1994-09-22,SWE,SWE,74,190,2013,1,14,14,8477505.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8477505.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2024-2025,Alexandre Texier,STL,F,274.0,365.0,49.0,,344.0,396.0,166.0,217.0,276.0,219.0,376.0,285.0,,279.0,Fourth Line,31,387.11666666667,6,4,24,1999-09-13,FRA,FRA,73,186,2017,2,14,45,8480074.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8480074.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2024-2025,Alexey Toropchenko,STL,F,373.0,38.0,,61.0,415.0,95.0,257.0,346.0,301.0,390.0,270.0,46.0,,336.0,Fourth Line,80,999.4,4,6,25,1999-06-25,RUS,RUS,78,222,2017,4,20,113,8480281.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8480281.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2024-2025,Alexis Lafrenière,NYR,F,74.0,259.0,199.0,,50.0,260.0,140.0,131.0,104.0,27.0,199.0,199.0,,151.0,Second Line,82,1394.45,17,21,22,2001-10-11,CAN,CAN,73,195,2020,1,1,1,8482109.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482109.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2024-2025,Aliaksei Protas,WSH,F,75.0,208.0,,13.0,117.0,162.0,189.0,110.0,31.0,202.0,120.0,402.0,,140.0,Second Line,76,1250.6666666667,30,25,23,2001-01-06,BLR,BLR,78,225,2019,3,29,91,8481656.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8481656.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Anders Lee,NYI,F,37.0,289.0,130.0,,38.0,268.0,43.0,22.0,173.0,155.0,329.0,152.0,,102.0,Second Line,82,1398.95,29,16,34,1990-07-03,USA,USA,75,235,2009,6,1,152,8475314.0,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475314.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2024-2025,Andre Burakovsky,SEA,F,256.0,258.0,150.0,,256.0,327.0,231.0,340.0,199.0,159.0,141.0,399.0,,231.0,Third Line,79,1139.3666666667,10,18,29,1995-02-09,AUT,SWE,75,209,2013,1,23,23,8477444.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8477444.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
2024-2025,Andrei Kuzmenko,LAK,F,194.0,181.0,101.0,,107.0,92.0,360.0,171.0,187.0,43.0,26.0,421.0,,177.0,Second Line,66,1031.5833333333,11,15,28,1996-02-04,RUS,RUS,71,194,-,-,-,-,8483808.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8483808.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2024-2025,Andrei Svechnikov,CAR,F,48.0,376.0,56.0,,11.0,145.0,59.0,247.0,22.0,62.0,375.0,88.0,,88.0,Second Line,72,1232.1833333333,20,18,24,2000-03-26,RUS,RUS,74,195,2018,1,2,2,8480830.0,https://assets.nhle.com/mugs/nhl/20242025/CAR/8480830.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2024-2025,Andrew Copp,DET,F,321.0,212.0,,141.0,329.0,253.0,390.0,334.0,200.0,267.0,317.0,419.0,61.0,253.0,Third Line,56,823.33333333333,10,10,30,1994-07-08,USA,USA,73,199,2013,4,13,104,8477429.0,https://assets.nhle.com/mugs/nhl/20242025/DET/8477429.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2024-2025,Andrew Mangiapane,WSH,F,215.0,148.0,244.0,,125.0,67.0,301.0,215.0,208.0,296.0,181.0,224.0,,260.0,Fourth Line,81,1055.1333333333,14,9,28,1996-04-04,CAN,CAN,70,184,2015,6,15,166,8478233.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478233.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Anthony Beauvillier,WSH,F,193.0,114.0,,,202.0,212.0,69.0,168.0,347.0,225.0,88.0,162.0,,254.0,Fourth Line,81,1042.8,15,4,27,1997-06-08,CAN,CAN,71,180,2015,1,28,28,8478463.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8478463.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Anthony Cirelli,TBL,F,162.0,55.0,166.0,96.0,39.0,74.0,245.0,166.0,236.0,375.0,67.0,384.0,84.0,107.0,First Line,80,1495.2333333333,27,16,27,1997-07-15,CAN,CAN,72,189,2015,3,11,72,8478519.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478519.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2024-2025,Anthony Duclair,NYI,F,271.0,415.0,189.0,,164.0,415.0,329.0,218.0,372.0,240.0,112.0,327.0,,258.0,Third Line,44,661.83333333333,7,4,29,1995-08-26,CAN,CAN,71,197,2013,3,19,80,8477407.0,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477407.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2024-2025,Anton Lundell,FLA,F,124.0,37.0,147.0,9.0,124.0,18.0,109.0,242.0,80.0,93.0,275.0,208.0,44.0,156.0,Second Line,79,1320.2833333333,17,19,22,2001-10-03,FIN,FIN,73,185,2020,1,12,12,8482113.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8482113.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2024-2025,Anze Kopitar,LAK,F,200.0,72.0,125.0,125.0,128.0,113.0,401.0,148.0,205.0,264.0,81.0,403.0,10.0,98.0,First Line,81,1535.4166666667,21,29,37,1987-08-24,SVN,SVN,75,225,2005,1,11,11,8471685.0,https://assets.nhle.com/mugs/nhl/20242025/LAK/8471685.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2024-2025,Artemi Panarin,NYR,F,22.0,402.0,12.0,,31.0,188.0,60.0,10.0,59.0,19.0,111.0,430.0,,10.0,First Line,80,1574.65,37,27,32,1991-10-30,RUS,RUS,72,173,-,-,-,-,8478550.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8478550.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2024-2025,Artturi Lehkonen,COL,F,83.0,158.0,174.0,23.0,15.0,79.0,203.0,59.0,290.0,45.0,373.0,333.0,,97.0,First Line,69,1406.3333333333,27,11,29,1995-07-04,FIN,FIN,71,179,2013,2,25,55,8477476.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8477476.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2024-2025,Auston Matthews,TOR,F,4.0,24.0,6.0,164.0,33.0,152.0,2.0,3.0,12.0,89.0,89.0,298.0,14.0,2.0,First Line,67,1371.6333333333,33,27,26,1997-09-17,USA,USA,75,208,2016,1,1,1,8479318.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8479318.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2024-2025,Barclay Goodrow,SJS,F,422.0,282.0,,82.0,388.0,410.0,412.0,418.0,411.0,391.0,421.0,75.0,72.0,391.0,Third Line,77,1061.3333333333,5,2,31,1993-02-26,CAN,CAN,74,204,-,-,-,-,8476624.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8476624.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2024-2025,Barrett Hayton,UTA,F,165.0,90.0,110.0,106.0,36.0,62.0,177.0,227.0,256.0,236.0,75.0,370.0,71.0,174.0,Second Line,82,1320.3166666667,20,13,24,2000-06-09,CAN,CAN,73,207,2018,1,5,5,8480849.0,https://assets.nhle.com/mugs/nhl/20242025/UTA/8480849.png,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg
2024-2025,Beck Malenstyn,BUF,F,397.0,120.0,,39.0,428.0,328.0,311.0,398.0,291.0,431.0,145.0,33.0,,376.0,Fourth Line,76,800.35,4,5,26,1998-02-04,CAN,CAN,75,200,2016,5,24,145,8479359.0,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479359.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
2024-2025,Ben Jones,MIN,F,435.0,399.0,,,433.0,416.0,187.0,439.0,433.0,349.0,49.0,42.0,,435.0,Fringe,26,217.93333333333,0,0,25,1999-02-26,CAN,CAN,72,187,2017,7,3,189,8480259.0,https://assets.nhle.com/mugs/nhl/20242025/MIN/8480259.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2024-2025,Blake Coleman,CGY,F,97.0,152.0,179.0,111.0,65.0,168.0,54.0,220.0,137.0,415.0,303.0,139.0,,120.0,Second Line,82,1450.15,15,16,32,1991-11-28,USA,USA,71,199,2011,3,14,75,8476399.0,https://assets.nhle.com/mugs/nhl/20242025/CGY/8476399.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2024-2025,Blake Lizotte,PIT,F,330.0,169.0,,66.0,350.0,96.0,366.0,271.0,284.0,423.0,406.0,191.0,79.0,332.0,Fourth Line,59,750.63333333333,11,6,26,1997-12-13,USA,USA,69,170,-,-,-,-,8481481.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8481481.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2024-2025,Bo Horvat,NYI,F,57.0,356.0,115.0,176.0,47.0,277.0,68.0,107.0,67.0,148.0,205.0,259.0,16.0,59.0,First Line,81,1634.05,28,19,29,1995-04-05,CAN,CAN,72,215,2013,1,9,9,8477500.0,https://assets.nhle.com/mugs/nhl/20242025/NYI/8477500.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2024-2025,Bobby Brink,PHI,F,262.0,257.0,265.0,,320.0,230.0,368.0,298.0,117.0,326.0,125.0,231.0,,255.0,Third Line,79,1171.6333333333,12,14,23,2001-07-08,USA,USA,68,166,2019,2,3,34,8481553.0,https://assets.nhle.com/mugs/nhl/20242025/PHI/8481553.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2024-2025,Bobby McMann,TOR,F,122.0,213.0,233.0,,289.0,250.0,21.0,39.0,257.0,320.0,372.0,93.0,,187.0,Third Line,74,1072.75,20,7,28,1996-06-15,CAN,CAN,74,208,-,-,-,-,8482259.0,https://assets.nhle.com/mugs/nhl/20242025/TOR/8482259.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2024-2025,Boone Jenner,CBJ,F,60.0,305.0,99.0,160.0,87.0,366.0,72.0,75.0,84.0,181.0,59.0,151.0,57.0,74.0,Second Line,26,467.63333333333,7,6,31,1993-06-15,CAN,CAN,74,203,2011,2,7,37,8476432.0,https://assets.nhle.com/mugs/nhl/20242025/CBJ/8476432.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2024-2025,Brad Marchand,FLA,F,127.0,387.0,89.0,2.0,99.0,285.0,113.0,140.0,169.0,166.0,115.0,213.0,,80.0,First Line,71,1301.0166666667,23,18,36,1988-05-11,CAN,CAN,69,176,2006,3,8,71,8473419.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8473419.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2024-2025,Brady Tkachuk,OTT,F,9.0,202.0,23.0,,32.0,192.0,1.0,55.0,24.0,98.0,305.0,40.0,97.0,19.0,First Line,72,1313.1,29,15,24,1999-09-16,USA,USA,76,221,2018,1,4,4,8480801.0,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480801.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2024-2025,Brandon Duhaime,WSH,F,326.0,112.0,,104.0,343.0,190.0,242.0,302.0,328.0,435.0,243.0,43.0,,355.0,Fourth Line,82,1094.1833333333,9,7,27,1997-05-22,USA,USA,74,200,2016,4,15,106,8479520.0,https://assets.nhle.com/mugs/nhl/20242025/WSH/8479520.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2024-2025,Brandon Hagel,TBL,F,20.0,177.0,171.0,75.0,48.0,94.0,88.0,44.0,14.0,299.0,164.0,323.0,,34.0,First Line,82,1700.95,35,34,26,1998-08-27,CAN,CAN,74,179,2016,6,8,159,8479542.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8479542.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2024-2025,Brandon Saad,VGK,F,169.0,351.0,,,206.0,316.0,150.0,79.0,329.0,243.0,129.0,428.0,,217.0,Third Line,72,1066.9333333333,13,7,31,1992-10-27,USA,USA,73,215,2011,2,13,43,8476438.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8476438.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2024-2025,Brandon Tanev,WPG,F,319.0,50.0,,123.0,316.0,222.0,251.0,286.0,318.0,249.0,150.0,77.0,,268.0,Fourth Line,79,1044.9166666667,10,8,32,1991-12-31,CAN,CAN,72,189,-,-,-,-,8479293.0,https://assets.nhle.com/mugs/nhl/20242025/WPG/8479293.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2024-2025,Brayden Point,TBL,F,45.0,309.0,16.0,,44.0,362.0,172.0,13.0,189.0,35.0,42.0,426.0,131.0,21.0,First Line,77,1499.9,42,23,28,1996-03-13,CAN,CAN,71,180,2014,3,19,79,8478010.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8478010.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2024-2025,Brayden Schenn,STL,F,286.0,311.0,132.0,,288.0,360.0,339.0,324.0,185.0,269.0,394.0,99.0,88.0,133.0,Second Line,82,1440.0,18,20,33,1991-08-22,CAN,CAN,73,199,2009,1,5,5,8475170.0,https://assets.nhle.com/mugs/nhl/20242025/STL/8475170.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2024-2025,Brendan Gallagher,MTL,F,80.0,320.0,248.0,,123.0,309.0,49.0,72.0,118.0,342.0,285.0,217.0,,194.0,Third Line,82,1140.9833333333,21,10,32,1992-05-06,CAN,CAN,69,186,2010,5,27,147,8475848.0,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475848.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2024-2025,Brett Berard,NYR,F,223.0,408.0,,,357.0,426.0,39.0,80.0,292.0,133.0,30.0,128.0,,293.0,Fourth Line,35,375.01666666667,6,1,21,2002-09-09,USA,,69,174,2020,5,10,134,8482132.0,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482132.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2024-2025,Brett Howden,VGK,F,268.0,139.0,,119.0,261.0,261.0,275.0,172.0,322.0,244.0,308.0,158.0,81.0,245.0,Third Line,80,1189.0333333333,23,9,26,1998-03-29,CAN,CAN,74,203,2016,1,27,27,8479353.0,https://assets.nhle.com/mugs/nhl/20242025/VGK/8479353.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2024-2025,Brett Leason,ANA,F,371.0,367.0,,134.0,407.0,411.0,248.0,342.0,314.0,388.0,379.0,182.0,,307.0,Fourth Line,62,804.83333333333,5,5,25,1999-04-30,CAN,CAN,77,218,2019,2,25,56,8481517.0,https://assets.nhle.com/mugs/nhl/20242025/ANA/8481517.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2024-2025,Brock Boeser,VAN,F,226.0,190.0,70.0,,235.0,227.0,267.0,116.0,300.0,127.0,250.0,277.0,,93.0,First Line,75,1362.1,25,12,27,1997-02-25,USA,USA,73,208,2015,1,23,23,8478444.0,https://assets.nhle.com/mugs/nhl/20242025/VAN/8478444.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2024-2025,Brock McGinn,ANA,F,292.0,273.0,,105.0,371.0,438.0,318.0,94.0,337.0,387.0,1.0,51.0,,292.0,Fourth Line,26,304.41666666667,4,2,30,1994-02-02,CAN,CAN,72,187,2012,2,17,47,8476934.0,https://assets.nhle.com/mugs/nhl/20242025/ANA/8476934.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2024-2025,Brock Nelson,COL,F,54.0,246.0,140.0,162.0,110.0,325.0,95.0,38.0,51.0,91.0,106.0,391.0,102.0,76.0,First Line,80,1513.0,26,18,32,1991-10-15,USA,USA,76,210,2010,1,30,30,8475754.0,https://assets.nhle.com/mugs/nhl/20242025/COL/8475754.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2024-2025,Bryan Rust,PIT,F,14.0,407.0,65.0,127.0,14.0,414.0,45.0,11.0,62.0,16.0,236.0,281.0,,36.0,First Line,71,1402.3,31,23,32,1992-05-11,USA,USA,71,192,2010,3,20,80,8475810.0,https://assets.nhle.com/mugs/nhl/20242025/PIT/8475810.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2024-2025,Cam Atkinson,TBL,F,236.0,358.0,,,367.0,382.0,74.0,258.0,131.0,70.0,244.0,338.0,,298.0,Fringe,39,350.71666666667,4,5,35,1989-06-05,USA,USA,68,176,2008,6,6,157,8474715.0,https://assets.nhle.com/mugs/nhl/20242025/TBL/8474715.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2024-2025,Carl Grundstrom,SJS,F,148.0,329.0,,,227.0,201.0,9.0,261.0,188.0,222.0,392.0,22.0,,342.0,Fourth Line,56,537.4,3,5,26,1997-12-01,SWE,SWE,72,195,2016,2,27,57,8479336.0,https://assets.nhle.com/mugs/nhl/20242025/SJS/8479336.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
2024-2025,Carter Verhaeghe,FLA,F,21.0,200.0,34.0,,24.0,61.0,19.0,54.0,89.0,108.0,377.0,256.0,,63.0,Second Line,81,1447.4,20,18,29,1995-08-14,CAN,CAN,74,180,2013,3,21,82,8477409.0,https://assets.nhle.com/mugs/nhl/20242025/FLA/8477409.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2024-2025,Casey Cizikas,NYI,F,353.0,66.0,,69.0,338.0,170.0,297.0,354.0,338.0,405.0,217.0,70.0,32.0,313.0,Fourth Line,82,1069.3333333333,7,8,33,1991-02-27,CAN,CAN,71,190,2009,4,1,92,8475231.0,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475231.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2024-2025,Casey Mittelstadt,BOS,F,305.0,307.0,205.0,,247.0,215.0,413.0,314.0,251.0,104.0,353.0,413.0,171.0,200.0,Second Line,81,1382.1666666667,15,16,25,1998-11-22,USA,USA,73,195,2017,1,8,8,8479999.0,https://assets.nhle.com/mugs/nhl/20242025/BOS/8479999.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2024-2025,Chandler Stephenson,SEA,F,346.0,371.0,237.0,142.0,259.0,406.0,435.0,366.0,263.0,238.0,118.0,380.0,54.0,170.0,First Line,78,1521.7333333333,13,18,30,1994-04-22,CAN,CAN,72,209,2012,3,16,77,8476905.0,https://assets.nhle.com/mugs/nhl/20242025/SEA/8476905.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
