Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2020-2021,Alex Tuch,VGK,F,77.0,43.0,99.0,,109.0,101.0,44.0,71.0,105.0,164.0,46.0,214.0,,109.0,Second Line,55,925.45,18,11,24,1996-05-10,USA,USA,76,219,2014,1,18,18
2020-2021,Alexander Barabanov,"SJS, TOR",F,331.0,283.0,,,173.0,409.0,405.0,319.0,360.0,297.0,372.0,410.0,,312.0,Fourth Line,22,270.85,3,2,26,1994-06-17,RUS,RUS,70,195,-,-,-,-
2020-2021,Alexander Kerfoot,TOR,F,260.0,151.0,265.0,145.0,187.0,176.0,357.0,300.0,187.0,235.0,259.0,313.0,100.0,237.0,Third Line,56,808.88333333333,8,8,26,1994-08-11,CAN,CAN,71,186,2012,5,29,150
2020-2021,Alexander Volkov,"ANA, TBL",F,439.0,191.0,,,436.0,390.0,428.0,221.0,155.0,444.0,376.0,198.0,,311.0,Fourth Line,37,431.0,7,1,23,1997-08-02,RUS,RUS,73,195,2017,2,17,48
2020-2021,Alexander Wennberg,FLA,F,374.0,76.0,166.0,48.0,197.0,92.0,432.0,367.0,174.0,339.0,90.0,403.0,90.0,225.0,First Line,56,1017.35,17,7,25,1994-09-22,SWE,SWE,74,190,2013,1,14,14
2020-2021,Alexandre Texier,CBJ,F,336.0,226.0,271.0,151.0,345.0,220.0,315.0,386.0,266.0,330.0,285.0,290.0,199.0,314.0,Second Line,49,776.13333333333,4,6,20,1999-09-13,FRA,FRA,73,186,2017,2,14,45
2020-2021,Alexis Lafrenière,NYR,F,330.0,440.0,209.0,,238.0,427.0,393.0,242.0,184.0,386.0,314.0,295.0,,327.0,Third Line,56,777.41666666667,12,6,18,2001-10-11,CAN,CAN,73,195,2020,1,1,1
2020-2021,Anders Bjork,"BOS, BUF",F,395.0,97.0,,149.0,320.0,70.0,421.0,384.0,267.0,375.0,327.0,241.0,,386.0,Third Line,45,624.68333333333,5,4,24,1996-08-05,USA,USA,72,190,2014,5,26,146
2020-2021,Anders Lee,NYI,F,31.0,246.0,97.0,,21.0,279.0,34.0,17.0,73.0,172.0,236.0,186.0,186.0,60.0,Second Line,27,473.2,12,5,30,1990-07-03,USA,USA,75,235,2009,6,1,152
2020-2021,Andre Burakovsky,COL,F,49.0,198.0,212.0,,35.0,186.0,173.0,79.0,147.0,50.0,201.0,383.0,,103.0,Third Line,53,799.85,19,15,25,1995-02-09,AUT,SWE,75,209,2013,1,23,23
2020-2021,Andreas Athanasiou,LAK,F,157.0,428.0,148.0,,312.0,424.0,92.0,151.0,161.0,130.0,49.0,391.0,215.0,152.0,Third Line,47,702.61666666667,10,9,26,1994-08-06,CAN,CAN,74,190,2012,4,19,110
2020-2021,Andreas Johnsson,NJD,F,202.0,185.0,162.0,,51.0,214.0,276.0,277.0,54.0,307.0,164.0,263.0,,258.0,Third Line,50,696.7,5,4,25,1994-11-21,SWE,SWE,70,195,2013,7,21,202
2020-2021,Andrei Svechnikov,CAR,F,32.0,331.0,13.0,,7.0,232.0,36.0,45.0,142.0,66.0,398.0,119.0,,67.0,Second Line,55,964.65,15,13,20,2000-03-26,RUS,RUS,74,195,2018,1,2,2
2020-2021,Andrew Cogliano,DAL,F,300.0,81.0,,26.0,311.0,52.0,298.0,414.0,388.0,324.0,180.0,148.0,,375.0,Third Line,54,752.01666666667,5,4,33,1987-06-14,CAN,CAN,70,179,2005,1,25,25
2020-2021,Andrew Copp,WPG,F,182.0,322.0,213.0,49.0,198.0,317.0,259.0,210.0,326.0,156.0,94.0,248.0,53.0,139.0,First Line,55,1003.1333333333,15,13,26,1994-07-08,USA,USA,73,199,2013,4,13,104
2020-2021,Andrew Mangiapane,CGY,F,73.0,48.0,259.0,139.0,47.0,51.0,236.0,76.0,292.0,152.0,146.0,230.0,,193.0,Second Line,56,933.31666666667,18,12,24,1996-04-04,CAN,CAN,70,184,2015,6,15,166
2020-2021,Andrew Shaw,CHI,F,361.0,367.0,94.0,,314.0,356.0,190.0,267.0,262.0,213.0,260.0,87.0,70.0,216.0,Third Line,14,211.55,2,2,29,1991-07-20,CAN,CAN,71,182,2011,5,18,139
2020-2021,Anthony Angello,PIT,F,273.0,14.0,,,422.0,3.0,213.0,324.0,334.0,157.0,451.0,3.0,,428.0,Fringe,19,151.68333333333,2,2,24,1996-03-06,USA,USA,77,210,2014,5,25,145
2020-2021,Anthony Beauvillier,NYI,F,179.0,346.0,128.0,,183.0,298.0,133.0,93.0,277.0,256.0,58.0,257.0,,130.0,Second Line,47,770.85,15,6,23,1997-06-08,CAN,CAN,71,180,2015,1,28,28
2020-2021,Anthony Cirelli,TBL,F,239.0,74.0,218.0,30.0,100.0,87.0,365.0,272.0,296.0,251.0,13.0,216.0,75.0,178.0,Second Line,50,887.35,9,4,23,1997-07-15,CAN,CAN,72,189,2015,3,11,72
2020-2021,Anthony Duclair,FLA,F,16.0,267.0,137.0,188.0,40.0,230.0,41.0,59.0,68.0,44.0,47.0,312.0,,99.0,Second Line,43,674.43333333333,10,14,25,1995-08-26,CAN,CAN,71,197,2013,3,19,80
2020-2021,Anthony Mantha,"DET, WSH",F,114.0,188.0,122.0,,128.0,123.0,52.0,98.0,111.0,108.0,274.0,283.0,,71.0,First Line,56,1014.9333333333,15,10,25,1994-09-16,CAN,CAN,77,234,2013,1,20,20
2020-2021,Antoine Roussel,VAN,F,313.0,431.0,280.0,171.0,200.0,428.0,356.0,360.0,257.0,275.0,449.0,93.0,,385.0,Fourth Line,35,402.7,1,3,30,1989-11-21,FRA,FRA,71,200,-,-,-,-
2020-2021,Anze Kopitar,LAK,F,214.0,242.0,40.0,107.0,205.0,264.0,334.0,259.0,346.0,34.0,65.0,361.0,7.0,56.0,First Line,56,1186.2333333333,13,24,33,1987-08-24,SVN,SVN,75,225,2005,1,11,11
2020-2021,Artem Anisimov,OTT,F,105.0,373.0,238.0,200.0,176.0,417.0,126.0,131.0,198.0,107.0,315.0,411.0,106.0,207.0,Fourth Line,19,228.48333333333,2,4,32,1988-05-24,RUS,RUS,76,199,2006,2,24,54
2020-2021,Artemi Panarin,NYR,F,23.0,398.0,8.0,,75.0,286.0,91.0,73.0,107.0,4.0,78.0,440.0,,11.0,First Line,42,825.0,17,25,28,1991-10-30,RUS,RUS,72,173,-,-,-,-
2020-2021,Arttu Ruotsalainen,BUF,F,315.0,454.0,,,336.0,452.0,246.0,140.0,289.0,394.0,427.0,244.0,,274.0,Third Line,17,237.68333333333,5,1,22,1997-10-29,FIN,FIN,68,187,-,-,-,-
2020-2021,Artturi Lehkonen,MTL,F,142.0,54.0,,97.0,146.0,28.0,141.0,271.0,183.0,335.0,69.0,108.0,,235.0,Fourth Line,47,630.91666666667,7,2,25,1995-07-04,FIN,FIN,71,179,2013,2,25,55
2020-2021,Austin Wagner,LAK,F,187.0,279.0,,,309.0,207.0,66.0,223.0,173.0,328.0,105.0,29.0,,372.0,Fourth Line,44,462.03333333333,4,3,23,1997-06-23,CAN,CAN,73,195,2015,4,8,99
2020-2021,Austin Watson,OTT,F,392.0,61.0,,20.0,401.0,358.0,320.0,348.0,446.0,357.0,311.0,20.0,,257.0,Fourth Line,34,408.08333333333,3,3,28,1992-01-13,USA,USA,76,204,2010,1,18,18
2020-2021,Auston Matthews,TOR,F,5.0,91.0,23.0,,12.0,194.0,7.0,1.0,79.0,73.0,51.0,351.0,43.0,3.0,First Line,52,1120.7666666667,41,15,22,1997-09-17,USA,USA,75,208,2016,1,1,1
2020-2021,Barclay Goodrow,TBL,F,310.0,23.0,,74.0,121.0,46.0,369.0,368.0,318.0,373.0,429.0,79.0,66.0,283.0,Third Line,55,831.63333333333,6,6,27,1993-02-26,CAN,CAN,74,204,-,-,-,-
2020-2021,Barrett Hayton,ARI,F,378.0,426.0,,,139.0,412.0,362.0,385.0,12.0,424.0,163.0,200.0,137.0,422.0,Fourth Line,14,160.85,2,0,20,2000-06-09,CAN,CAN,73,207,2018,1,5,5
2020-2021,Blake Coleman,TBL,F,94.0,111.0,,33.0,129.0,110.0,43.0,64.0,368.0,291.0,302.0,70.0,213.0,114.0,Third Line,55,850.58333333333,14,7,28,1991-11-28,USA,USA,71,199,2011,3,14,75
2020-2021,Blake Comeau,DAL,F,354.0,146.0,,85.0,295.0,72.0,352.0,398.0,421.0,334.0,384.0,86.0,,330.0,Second Line,51,802.75,4,6,34,1986-02-18,CAN,CAN,73,200,2004,2,17,47
2020-2021,Blake Lizotte,LAK,F,348.0,262.0,276.0,111.0,107.0,287.0,371.0,406.0,278.0,351.0,98.0,288.0,132.0,361.0,Fourth Line,41,520.95,3,1,22,1997-12-13,USA,USA,69,170,-,-,-,-
2020-2021,Blake Wheeler,WPG,F,90.0,408.0,31.0,201.0,165.0,435.0,146.0,156.0,80.0,15.0,400.0,225.0,205.0,30.0,First Line,50,917.03333333333,15,20,34,1986-08-31,USA,USA,77,220,2004,1,5,5
2020-2021,Bo Horvat,VAN,F,190.0,396.0,136.0,,148.0,438.0,165.0,94.0,386.0,204.0,204.0,310.0,10.0,55.0,First Line,56,1113.8166666667,19,9,25,1995-04-05,CAN,CAN,72,215,2013,1,9,9
2020-2021,Bobby Ryan,DET,F,188.0,155.0,133.0,,270.0,219.0,80.0,176.0,64.0,161.0,378.0,172.0,,186.0,Third Line,33,505.71666666667,7,6,33,1987-03-17,USA,USA,74,208,2005,1,2,2
2020-2021,Boone Jenner,CBJ,F,189.0,168.0,176.0,10.0,307.0,357.0,181.0,274.0,427.0,312.0,198.0,149.0,17.0,129.0,Second Line,41,737.96666666667,8,5,27,1993-06-15,CAN,CAN,74,203,2011,2,7,37
2020-2021,Brad Marchand,BOS,F,12.0,141.0,21.0,29.0,29.0,23.0,81.0,19.0,74.0,5.0,242.0,282.0,,10.0,First Line,53,1002.25,29,26,32,1988-05-11,CAN,CAN,69,176,2006,3,8,71
2020-2021,Brad Richardson,NSH,F,250.0,60.0,,169.0,242.0,174.0,343.0,389.0,453.0,239.0,389.0,205.0,34.0,335.0,Fourth Line,17,208.48333333333,1,3,35,1985-02-04,CAN,CAN,72,190,2003,5,27,163
2020-2021,Brady Tkachuk,OTT,F,9.0,403.0,79.0,,52.0,407.0,6.0,24.0,203.0,60.0,40.0,25.0,173.0,38.0,First Line,56,1020.8666666667,17,11,20,1999-09-16,USA,USA,76,221,2018,1,4,4
2020-2021,Brandon Hagel,CHI,F,217.0,263.0,,,389.0,402.0,192.0,278.0,394.0,114.0,43.0,211.0,,223.0,Third Line,51,709.68333333333,8,10,22,1998-08-27,CAN,CAN,74,179,2016,6,8,159
2020-2021,Brandon Saad,COL,F,103.0,390.0,175.0,157.0,34.0,346.0,147.0,39.0,151.0,315.0,193.0,379.0,,141.0,Third Line,44,619.5,15,2,27,1992-10-27,USA,USA,73,215,2011,2,13,43
2020-2021,Brandon Sutter,VAN,F,335.0,429.0,,93.0,332.0,443.0,292.0,265.0,426.0,397.0,26.0,363.0,46.0,260.0,Third Line,43,648.35,9,2,31,1989-02-14,USA,CAN,75,190,2007,1,11,11
2020-2021,Brandon Tanev,PIT,F,347.0,6.0,,13.0,378.0,19.0,335.0,245.0,437.0,294.0,57.0,8.0,,197.0,Third Line,32,461.93333333333,7,5,28,1991-12-31,CAN,CAN,72,189,-,-,-,-
2020-2021,Brayden Point,TBL,F,81.0,100.0,85.0,,48.0,103.0,166.0,35.0,31.0,52.0,9.0,424.0,65.0,36.0,First Line,56,1032.4166666667,23,12,24,1996-03-13,CAN,CAN,71,180,2014,3,19,79
2020-2021,Brayden Schenn,STL,F,258.0,224.0,60.0,,227.0,240.0,268.0,125.0,227.0,96.0,387.0,141.0,62.0,92.0,First Line,56,1072.0333333333,16,15,29,1991-08-22,CAN,CAN,73,199,2009,1,5,5
2020-2021,Brendan Gallagher,MTL,F,2.0,47.0,159.0,,4.0,31.0,2.0,3.0,364.0,155.0,178.0,199.0,,41.0,Third Line,35,525.33333333333,14,3,28,1992-05-06,CAN,CAN,69,186,2010,5,27,147
2020-2021,Brendan Lemieux,"LAK, NYR",F,304.0,350.0,278.0,,400.0,420.0,256.0,307.0,171.0,270.0,50.0,22.0,,339.0,Fourth Line,49,496.48333333333,4,5,24,1996-03-15,USA,USA,73,215,2014,2,1,31
2020-2021,Brett Connolly,"CHI, FLA",F,359.0,210.0,266.0,,301.0,166.0,333.0,227.0,214.0,326.0,294.0,185.0,,301.0,Fourth Line,30,363.98333333333,3,3,28,1992-05-02,CAN,CAN,75,198,2010,1,6,6
2020-2021,Brett Howden,NYR,F,424.0,362.0,290.0,65.0,383.0,430.0,446.0,421.0,253.0,383.0,151.0,166.0,89.0,374.0,Fourth Line,42,527.5,1,3,22,1998-03-29,CAN,CAN,74,203,2016,1,27,27
2020-2021,Brett Ritchie,CGY,F,351.0,214.0,,,371.0,80.0,233.0,299.0,246.0,337.0,443.0,5.0,,414.0,Fourth Line,32,363.93333333333,4,3,27,1993-07-01,CAN,CAN,76,215,2011,2,14,44
2020-2021,Brock Boeser,VAN,F,139.0,394.0,78.0,,150.0,370.0,70.0,60.0,9.0,94.0,264.0,407.0,,42.0,First Line,56,1081.9,23,16,23,1997-02-25,USA,USA,73,208,2015,1,23,23
2020-2021,Brock McGinn,CAR,F,220.0,189.0,,40.0,85.0,156.0,280.0,275.0,188.0,403.0,34.0,173.0,,296.0,Third Line,37,554.46666666667,8,2,26,1994-02-02,CAN,CAN,72,187,2012,2,17,47
2020-2021,Brock Nelson,NYI,F,201.0,342.0,64.0,123.0,208.0,331.0,152.0,52.0,312.0,193.0,255.0,354.0,69.0,82.0,Second Line,56,998.83333333333,18,10,28,1991-10-15,USA,USA,76,210,2010,1,30,30
2020-2021,Bryan Rust,PIT,F,119.0,256.0,211.0,137.0,72.0,253.0,96.0,31.0,6.0,163.0,215.0,237.0,,37.0,First Line,56,1104.55,22,10,28,1992-05-11,USA,USA,71,192,2010,3,20,80
2020-2021,Cal Clutterbuck,NYI,F,406.0,88.0,291.0,90.0,385.0,131.0,425.0,408.0,407.0,340.0,175.0,12.0,,376.0,Fourth Line,50,671.56666666667,4,6,32,1987-11-18,CAN,CAN,72,212,2006,3,9,72
2020-2021,Calle Jarnkrok,NSH,F,297.0,202.0,63.0,59.0,256.0,181.0,217.0,209.0,190.0,273.0,85.0,365.0,209.0,161.0,Second Line,48,802.63333333333,13,7,28,1991-09-25,SWE,SWE,72,192,2010,2,21,51
2020-2021,Cam Atkinson,CBJ,F,104.0,343.0,87.0,5.0,273.0,306.0,23.0,86.0,36.0,160.0,156.0,427.0,,64.0,First Line,56,1059.1333333333,15,12,31,1989-06-05,USA,USA,68,176,2008,6,6,157
2020-2021,Carl Grundstrom,LAK,F,389.0,447.0,,,387.0,450.0,277.0,356.0,319.0,420.0,418.0,55.0,,355.0,Fourth Line,47,584.81666666667,6,2,22,1997-12-01,SWE,SWE,72,195,2016,2,27,57
2020-2021,Carl Hagelin,WSH,F,138.0,190.0,,42.0,191.0,76.0,220.0,337.0,424.0,167.0,306.0,357.0,,281.0,Third Line,56,789.65,6,8,32,1988-08-23,SWE,SWE,72,183,2007,6,17,168
2020-2021,Carl Soderberg,"CHI, COL",F,280.0,284.0,154.0,11.0,325.0,376.0,263.0,217.0,377.0,263.0,288.0,178.0,74.0,181.0,Third Line,45,648.0,7,6,34,1985-10-12,SWE,SWE,75,210,2004,2,19,49
2020-2021,Carter Rowney,ANA,F,377.0,255.0,,69.0,420.0,396.0,452.0,446.0,433.0,121.0,179.0,45.0,210.0,367.0,Third Line,19,271.18333333333,0,5,31,1989-05-10,CAN,CAN,74,208,-,-,-,-
2020-2021,Carter Verhaeghe,FLA,F,72.0,137.0,262.0,,15.0,65.0,156.0,57.0,236.0,253.0,328.0,298.0,,179.0,Second Line,43,762.53333333333,18,10,25,1995-08-14,CAN,CAN,74,180,2013,3,21,82
2020-2021,Casey Cizikas,NYI,F,367.0,64.0,,78.0,390.0,62.0,336.0,244.0,416.0,370.0,282.0,59.0,32.0,288.0,Third Line,56,774.48333333333,7,5,29,1991-02-27,CAN,CAN,71,190,2009,4,1,92
2020-2021,Casey Mittelstadt,BUF,F,387.0,379.0,149.0,,329.0,355.0,342.0,251.0,145.0,301.0,134.0,422.0,98.0,255.0,Second Line,41,651.16666666667,10,6,21,1998-11-22,USA,USA,73,195,2017,1,8,8
2020-2021,Cedric Paquette,"CAR, OTT",F,383.0,22.0,,142.0,302.0,82.0,378.0,301.0,252.0,425.0,347.0,6.0,182.0,383.0,Fourth Line,47,439.28333333333,4,0,27,1993-08-13,CAN,CAN,72,205,2012,4,10,101
2020-2021,Chandler Stephenson,VGK,F,245.0,113.0,243.0,9.0,58.0,190.0,413.0,284.0,130.0,195.0,174.0,300.0,174.0,204.0,First Line,51,922.93333333333,14,13,26,1994-04-22,CAN,CAN,72,209,2012,3,16,77
2020-2021,Charlie Coyle,BOS,F,259.0,116.0,164.0,1.0,282.0,116.0,260.0,302.0,212.0,260.0,107.0,233.0,94.0,213.0,Second Line,51,830.75,6,5,28,1992-03-02,USA,USA,75,223,2010,1,28,28
2020-2021,Chris Kreider,NYR,F,210.0,281.0,55.0,,161.0,319.0,122.0,23.0,317.0,229.0,401.0,101.0,,78.0,Second Line,50,869.86666666667,20,7,29,1991-04-30,USA,USA,75,230,2009,1,19,19
2020-2021,Chris Tierney,OTT,F,329.0,387.0,256.0,79.0,266.0,389.0,437.0,401.0,391.0,151.0,194.0,388.0,85.0,250.0,Third Line,55,824.45,6,9,26,1994-07-01,CAN,CAN,73,191,2012,2,25,55
2020-2021,Chris Wagner,BOS,F,411.0,84.0,,61.0,437.0,111.0,240.0,379.0,449.0,438.0,393.0,37.0,206.0,394.0,Fourth Line,41,479.16666666667,2,0,29,1991-05-27,USA,USA,72,192,2010,5,2,122
2020-2021,Christian Dvorak,ARI,F,229.0,334.0,189.0,178.0,158.0,379.0,309.0,113.0,270.0,238.0,267.0,343.0,127.0,142.0,First Line,56,1030.7833333333,17,7,24,1996-02-02,USA,USA,73,193,2014,2,28,58
2020-2021,Christian Fischer,ARI,F,352.0,345.0,293.0,136.0,342.0,342.0,312.0,373.0,392.0,352.0,88.0,30.0,,393.0,Fourth Line,52,662.96666666667,3,4,23,1997-04-15,USA,USA,74,212,2015,2,2,32
2020-2021,Claude Giroux,PHI,F,98.0,244.0,62.0,141.0,66.0,105.0,112.0,162.0,232.0,68.0,73.0,382.0,4.0,68.0,First Line,54,977.7,16,15,32,1988-01-12,CAN,CAN,71,190,2006,1,22,22
2020-2021,Clayton Keller,ARI,F,111.0,340.0,103.0,,116.0,294.0,74.0,146.0,26.0,106.0,39.0,431.0,,117.0,Second Line,56,932.86666666667,14,11,22,1998-07-29,USA,USA,70,178,2016,1,7,7
2020-2021,Cody Eakin,BUF,F,394.0,400.0,287.0,76.0,394.0,403.0,424.0,394.0,323.0,368.0,216.0,254.0,48.0,377.0,Fourth Line,46,594.96666666667,3,2,29,1991-05-24,CAN,CAN,72,196,2009,3,24,85
2020-2021,Cody Glass,VGK,F,370.0,104.0,186.0,,277.0,74.0,400.0,323.0,127.0,244.0,217.0,400.0,142.0,333.0,Third Line,27,392.58333333333,4,4,21,1999-04-01,CAN,CAN,75,206,2017,1,6,6
2020-2021,Colin Blackwell,NYR,F,235.0,161.0,232.0,,276.0,288.0,314.0,234.0,337.0,124.0,66.0,137.0,,248.0,Third Line,47,658.3,12,5,27,1993-03-28,USA,USA,69,190,2011,7,13,193
2020-2021,Colin White,OTT,F,286.0,347.0,143.0,,125.0,326.0,308.0,211.0,283.0,303.0,296.0,243.0,119.0,231.0,Third Line,45,661.1,10,4,23,1997-01-30,USA,USA,73,194,2015,1,21,21
2020-2021,Colton Sceviour,PIT,F,194.0,28.0,,24.0,353.0,130.0,161.0,339.0,428.0,272.0,122.0,100.0,,302.0,Fourth Line,46,440.65,5,3,31,1989-04-20,CAN,CAN,72,190,2007,4,21,112
2020-2021,Colton Sissons,NSH,F,420.0,63.0,292.0,47.0,419.0,68.0,433.0,363.0,447.0,409.0,410.0,152.0,40.0,331.0,Third Line,53,760.5,7,4,26,1993-11-05,CAN,CAN,73,200,2012,2,20,50
2020-2021,Connor Brown,OTT,F,212.0,304.0,220.0,84.0,211.0,361.0,223.0,172.0,399.0,280.0,213.0,413.0,,123.0,First Line,56,1021.5666666667,21,6,26,1994-01-14,CAN,CAN,72,181,2012,6,5,156
2020-2021,Connor Bunnaman,PHI,F,445.0,117.0,,,450.0,47.0,418.0,451.0,269.0,430.0,252.0,81.0,139.0,447.0,Fourth Line,18,208.13333333333,0,1,22,1998-04-16,CAN,CAN,73,207,2016,4,18,109
2020-2021,Connor McDavid,EDM,F,4.0,419.0,1.0,,19.0,398.0,53.0,10.0,61.0,1.0,8.0,352.0,78.0,1.0,First Line,56,1240.6,33,50,23,1997-01-13,CAN,CAN,73,193,2015,1,1,1
2020-2021,Conor Garland,ARI,F,30.0,204.0,75.0,,84.0,245.0,27.0,77.0,38.0,41.0,14.0,366.0,,87.0,Second Line,49,878.11666666667,12,22,24,1996-03-11,USA,USA,70,165,2015,5,2,123
2020-2021,Conor Sheary,WSH,F,192.0,56.0,170.0,,190.0,67.0,168.0,136.0,114.0,302.0,111.0,374.0,,220.0,Third Line,53,726.63333333333,14,4,28,1992-06-08,USA,USA,69,179,-,-,-,-
2020-2021,Corey Perry,MTL,F,308.0,147.0,216.0,,209.0,144.0,301.0,246.0,87.0,201.0,263.0,190.0,,256.0,Third Line,49,673.21666666667,9,8,35,1985-05-16,CAN,CAN,75,208,2003,1,28,28
2020-2021,Craig Smith,BOS,F,14.0,181.0,156.0,,39.0,129.0,13.0,54.0,108.0,153.0,304.0,208.0,,125.0,Third Line,54,803.25,13,9,30,1989-09-05,USA,USA,72,204,2009,4,7,98
2020-2021,Curtis Lazar,"BOS, BUF",F,400.0,67.0,,112.0,412.0,83.0,419.0,296.0,409.0,359.0,140.0,77.0,134.0,378.0,Fourth Line,50,666.18333333333,7,3,25,1995-02-02,CAN,CAN,72,203,2013,1,17,17
2020-2021,Daniel Sprong,WSH,F,137.0,430.0,274.0,,226.0,385.0,47.0,62.0,18.0,304.0,350.0,299.0,,222.0,Fourth Line,42,490.08333333333,13,4,23,1997-03-17,NLD,NLD,72,202,2015,2,16,46
2020-2021,Danton Heinen,ANA,F,274.0,149.0,237.0,143.0,287.0,292.0,212.0,276.0,216.0,241.0,89.0,323.0,,229.0,Third Line,43,634.86666666667,7,6,25,1995-07-05,CAN,CAN,73,188,2014,4,26,116
2020-2021,Darren Helm,DET,F,358.0,268.0,,91.0,357.0,212.0,225.0,387.0,372.0,408.0,149.0,224.0,,336.0,Third Line,47,689.85,3,2,33,1987-01-21,CAN,CAN,72,192,2005,5,7,132
2020-2021,David Backes,ANA,F,120.0,19.0,284.0,,331.0,58.0,46.0,220.0,385.0,243.0,441.0,53.0,79.0,242.0,Fourth Line,15,191.01666666667,3,0,36,1984-05-01,USA,USA,75,215,2003,2,32,62
2020-2021,David Kampf,CHI,F,337.0,326.0,,104.0,265.0,362.0,399.0,429.0,411.0,305.0,130.0,291.0,49.0,400.0,Third Line,55,804.36666666667,1,6,25,1995-01-12,CZE,CZE,74,197,-,-,-,-
2020-2021,David Krejci,BOS,F,167.0,44.0,73.0,,120.0,20.0,351.0,312.0,16.0,19.0,299.0,384.0,50.0,111.0,Second Line,51,873.91666666667,8,24,34,1986-04-28,CZE,CZE,72,192,2004,2,33,63
2020-2021,David Pastrnak,BOS,F,6.0,121.0,16.0,,63.0,25.0,5.0,4.0,59.0,6.0,28.0,336.0,,6.0,First Line,48,893.66666666667,20,21,24,1996-05-25,CZE,CZE,73,195,2014,1,25,25
