Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Player ID,Headshot URL,Team URL
2022-2023,Aliaksei Protas,WSH,F,233.0,134.0,,,218.0,40.0,307.0,398.0,337.0,271.0,285.0,290.0,199.0,391.0,Fourth Line,58,668.01666666667,4,5,21,2001-01-06,BLR,BLR,78,225,2019,3,29,91,8481656.0,https://assets.nhle.com/mugs/nhl/20222023/WSH/8481656.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2022-2023,Anders Lee,NYI,F,105.0,319.0,102.0,,66.0,356.0,99.0,28.0,30.0,228.0,281.0,179.0,208.0,106.0,Second Line,82,1412.2833333333,28,12,32,1990-07-03,USA,USA,75,235,2009,6,1,152,8475314.0,https://assets.nhle.com/mugs/nhl/20222023/NYI/8475314.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2022-2023,Andre Burakovsky,SEA,F,84.0,275.0,108.0,,109.0,276.0,177.0,185.0,133.0,51.0,133.0,403.0,,110.0,Second Line,49,811.13333333333,13,15,27,1995-02-09,AUT,SWE,75,209,2013,1,23,23,8477444.0,https://assets.nhle.com/mugs/nhl/20222023/SEA/8477444.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
2022-2023,Andreas Athanasiou,CHI,F,188.0,388.0,239.0,,298.0,411.0,95.0,84.0,187.0,251.0,23.0,398.0,,151.0,Second Line,81,1296.2833333333,20,11,28,1994-08-06,CAN,CAN,74,190,2012,4,19,110,8476960.0,https://assets.nhle.com/mugs/nhl/20222023/CHI/8476960.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2022-2023,Andrei Kuzmenko,VAN,F,227.0,232.0,204.0,,173.0,163.0,280.0,27.0,151.0,233.0,179.0,452.0,,102.0,Second Line,81,1315.5833333333,39,14,26,1996-02-04,RUS,RUS,71,194,-,-,-,-,8483808.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8483808.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Andrei Svechnikov,CAR,F,23.0,186.0,25.0,,11.0,66.0,23.0,37.0,88.0,45.0,404.0,101.0,,56.0,First Line,64,1155.0833333333,23,18,22,2000-03-26,RUS,RUS,74,195,2018,1,2,2,8480830.0,https://assets.nhle.com/mugs/nhl/20222023/CAR/8480830.png,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
2022-2023,Andrew Cogliano,COL,F,426.0,70.0,,60.0,405.0,109.0,397.0,436.0,408.0,402.0,173.0,181.0,,386.0,Fourth Line,79,996.8,10,5,35,1987-06-14,CAN,CAN,70,179,2005,1,25,25,8471699.0,https://assets.nhle.com/mugs/nhl/20222023/COL/8471699.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2022-2023,Andrew Copp,DET,F,255.0,348.0,124.0,41.0,286.0,317.0,308.0,279.0,264.0,113.0,263.0,382.0,56.0,142.0,First Line,82,1488.7166666667,9,23,28,1994-07-08,USA,USA,73,199,2013,4,13,104,8477429.0,https://assets.nhle.com/mugs/nhl/20222023/DET/8477429.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2022-2023,Andrew Mangiapane,CGY,F,53.0,82.0,151.0,3.0,18.0,52.0,149.0,75.0,182.0,165.0,216.0,249.0,,139.0,Second Line,82,1379.3833333333,17,17,26,1996-04-04,CAN,CAN,70,184,2015,6,15,166,8478233.0,https://assets.nhle.com/mugs/nhl/20222023/CGY/8478233.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2022-2023,Anthony Beauvillier,NYI,F,197.0,403.0,111.0,,175.0,381.0,162.0,207.0,128.0,206.0,201.0,312.0,,184.0,Second Line,82,1333.8666666667,18,14,25,1997-06-08,CAN,CAN,71,180,2015,1,28,28,8478463.0,https://assets.nhle.com/mugs/nhl/20222023/NYI/8478463.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2022-2023,Anthony Beauvillier,VAN,F,197.0,403.0,111.0,,175.0,381.0,162.0,207.0,128.0,206.0,201.0,312.0,,184.0,Second Line,82,1333.8666666667,18,14,25,1997-06-08,CAN,CAN,71,180,2015,1,28,28,8478463.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8478463.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Anthony Cirelli,TBL,F,151.0,254.0,258.0,57.0,97.0,230.0,275.0,241.0,334.0,211.0,29.0,304.0,73.0,201.0,Second Line,58,960.53333333333,11,12,25,1997-07-15,CAN,CAN,72,189,2015,3,11,72,8478519.0,https://assets.nhle.com/mugs/nhl/20222023/TBL/8478519.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2022-2023,Anthony Mantha,WSH,F,139.0,100.0,264.0,,200.0,67.0,147.0,206.0,271.0,134.0,248.0,210.0,,191.0,Third Line,67,952.63333333333,11,10,27,1994-09-16,CAN,CAN,77,234,2013,1,20,20,8477511.0,https://assets.nhle.com/mugs/nhl/20222023/WSH/8477511.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
2022-2023,Anton Lundell,FLA,F,116.0,122.0,246.0,95.0,41.0,183.0,194.0,205.0,283.0,178.0,251.0,411.0,145.0,155.0,Second Line,73,1195.05,12,11,20,2001-10-03,FIN,FIN,73,185,2020,1,12,12,8482113.0,https://assets.nhle.com/mugs/nhl/20222023/FLA/8482113.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
2022-2023,Anze Kopitar,LAK,F,153.0,237.0,84.0,85.0,105.0,181.0,260.0,235.0,299.0,86.0,92.0,352.0,10.0,85.0,First Line,82,1664.7833333333,28,24,35,1987-08-24,SVN,SVN,75,225,2005,1,11,11,8471685.0,https://assets.nhle.com/mugs/nhl/20222023/LAK/8471685.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2022-2023,Artemi Panarin,NYR,F,107.0,419.0,4.0,,140.0,279.0,154.0,159.0,227.0,6.0,197.0,438.0,,29.0,First Line,82,1607.8333333333,29,34,30,1991-10-30,RUS,RUS,72,173,-,-,-,-,8478550.0,https://assets.nhle.com/mugs/nhl/20222023/NYR/8478550.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2022-2023,Arthur Kaliyev,LAK,F,71.0,286.0,177.0,,91.0,125.0,16.0,101.0,51.0,110.0,364.0,316.0,,215.0,Fourth Line,56,653.95,13,8,21,2001-06-26,USA,USA,74,210,2019,2,2,33,8481560.0,https://assets.nhle.com/mugs/nhl/20222023/LAK/8481560.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2022-2023,Artturi Lehkonen,COL,F,129.0,102.0,225.0,16.0,89.0,134.0,180.0,149.0,117.0,315.0,290.0,187.0,,122.0,First Line,64,1308.95,21,9,27,1995-07-04,FIN,FIN,71,179,2013,2,25,55,8477476.0,https://assets.nhle.com/mugs/nhl/20222023/COL/8477476.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2022-2023,Austin Czarnik,DET,F,428.0,42.0,,,419.0,128.0,421.0,406.0,139.0,382.0,63.0,311.0,165.0,434.0,Fourth Line,29,324.0,3,2,29,1992-12-12,USA,USA,69,170,-,-,-,-,8478512.0,https://assets.nhle.com/mugs/nhl/20222023/DET/8478512.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
2022-2023,Austin Watson,OTT,F,391.0,76.0,,26.0,414.0,271.0,281.0,332.0,449.0,410.0,430.0,24.0,,344.0,Fourth Line,75,767.46666666667,9,1,30,1992-01-13,USA,USA,76,204,2010,1,18,18,8475766.0,https://assets.nhle.com/mugs/nhl/20222023/OTT/8475766.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2022-2023,Auston Matthews,TOR,F,2.0,14.0,10.0,,6.0,97.0,3.0,1.0,36.0,28.0,45.0,309.0,32.0,3.0,First Line,74,1500.6,40,29,24,1997-09-17,USA,USA,75,208,2016,1,1,1,8479318.0,https://assets.nhle.com/mugs/nhl/20222023/TOR/8479318.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
2022-2023,Axel Jonsson-Fjallby,WPG,F,356.0,47.0,,,422.0,29.0,286.0,393.0,415.0,339.0,55.0,205.0,,403.0,Fourth Line,50,522.8,6,4,24,1998-02-10,SWE,SWE,73,189,2016,5,26,147,8479536.0,https://assets.nhle.com/mugs/nhl/20222023/WPG/8479536.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2022-2023,Barclay Goodrow,NYR,F,341.0,260.0,,29.0,290.0,310.0,417.0,356.0,333.0,278.0,375.0,130.0,91.0,277.0,Third Line,82,1162.0,11,12,29,1993-02-26,CAN,CAN,74,204,-,-,-,-,8476624.0,https://assets.nhle.com/mugs/nhl/20222023/NYR/8476624.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
2022-2023,Barrett Hayton,ARI,F,337.0,299.0,224.0,131.0,251.0,257.0,322.0,261.0,349.0,355.0,19.0,206.0,68.0,231.0,Second Line,82,1434.8166666667,19,14,22,2000-06-09,CAN,CAN,73,207,2018,1,5,5,8480849.0,https://assets.nhle.com/mugs/nhl/20222023/ARI/8480849.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2022-2023,Ben Meyers,COL,F,443.0,13.0,,,339.0,20.0,392.0,258.0,353.0,457.0,256.0,238.0,156.0,452.0,Fourth Line,39,374.26666666667,4,0,23,1998-11-15,USA,USA,71,194,-,-,-,-,8483570.0,https://assets.nhle.com/mugs/nhl/20222023/COL/8483570.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
2022-2023,Blake Coleman,CGY,F,55.0,46.0,,6.0,47.0,21.0,57.0,118.0,245.0,243.0,343.0,124.0,,169.0,Third Line,82,1246.65,18,12,30,1991-11-28,USA,USA,71,199,2011,3,14,75,8476399.0,https://assets.nhle.com/mugs/nhl/20222023/CGY/8476399.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2022-2023,Blake Lizotte,LAK,F,174.0,161.0,,28.0,100.0,126.0,323.0,336.0,136.0,200.0,114.0,171.0,52.0,341.0,Fourth Line,81,1048.45,11,17,24,1997-12-13,USA,USA,69,170,-,-,-,-,8481481.0,https://assets.nhle.com/mugs/nhl/20222023/LAK/8481481.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2022-2023,Blake Wheeler,WPG,F,90.0,308.0,134.0,,106.0,368.0,223.0,177.0,47.0,46.0,427.0,292.0,,94.0,Second Line,72,1227.1833333333,16,23,36,1986-08-31,USA,USA,77,220,2004,1,5,5,8471218.0,https://assets.nhle.com/mugs/nhl/20222023/WPG/8471218.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
2022-2023,Bo Horvat,VAN,F,195.0,238.0,83.0,126.0,189.0,330.0,129.0,46.0,330.0,244.0,206.0,297.0,7.0,53.0,First Line,79,1631.6666666667,38,20,27,1995-04-05,CAN,CAN,72,215,2013,1,9,9,8477500.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8477500.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Bo Horvat,NYI,F,195.0,238.0,83.0,126.0,189.0,330.0,129.0,46.0,330.0,244.0,206.0,297.0,7.0,53.0,First Line,79,1631.6666666667,38,20,27,1995-04-05,CAN,CAN,72,215,2013,1,9,9,8477500.0,https://assets.nhle.com/mugs/nhl/20222023/NYI/8477500.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2022-2023,Boone Jenner,CBJ,F,190.0,338.0,157.0,159.0,268.0,440.0,108.0,79.0,376.0,279.0,192.0,174.0,17.0,72.0,First Line,68,1374.1,26,11,29,1993-06-15,CAN,CAN,74,203,2011,2,7,37,8476432.0,https://assets.nhle.com/mugs/nhl/20222023/CBJ/8476432.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
2022-2023,Boris Katchouk,CHI,F,380.0,253.0,,,371.0,243.0,341.0,425.0,397.0,367.0,118.0,59.0,,430.0,Fourth Line,58,701.2,5,7,24,1998-06-18,CAN,CAN,74,206,2016,2,14,44,8479383.0,https://assets.nhle.com/mugs/nhl/20222023/CHI/8479383.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
2022-2023,Brad Marchand,BOS,F,15.0,90.0,19.0,22.0,8.0,13.0,79.0,65.0,58.0,13.0,252.0,234.0,,30.0,First Line,73,1352.55,21,31,34,1988-05-11,CAN,CAN,69,176,2006,3,8,71,8473419.0,https://assets.nhle.com/mugs/nhl/20222023/BOS/8473419.png,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
2022-2023,Brady Tkachuk,OTT,F,9.0,399.0,15.0,,55.0,320.0,5.0,8.0,26.0,23.0,234.0,54.0,79.0,20.0,First Line,82,1527.8333333333,35,29,22,1999-09-16,USA,USA,76,221,2018,1,4,4,8480801.0,https://assets.nhle.com/mugs/nhl/20222023/OTT/8480801.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
2022-2023,Brandon Duhaime,MIN,F,294.0,159.0,,,337.0,154.0,172.0,237.0,395.0,416.0,382.0,20.0,,392.0,Fourth Line,51,548.6,9,1,25,1997-05-22,USA,USA,74,200,2016,4,15,106,8479520.0,https://assets.nhle.com/mugs/nhl/20222023/MIN/8479520.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
2022-2023,Brandon Hagel,TBL,F,170.0,293.0,227.0,120.0,75.0,316.0,242.0,110.0,121.0,179.0,57.0,284.0,,136.0,First Line,81,1510.4,30,18,24,1998-08-27,CAN,CAN,74,179,2016,6,8,159,8479542.0,https://assets.nhle.com/mugs/nhl/20222023/TBL/8479542.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2022-2023,Brandon Saad,STL,F,242.0,327.0,131.0,118.0,217.0,331.0,241.0,123.0,366.0,216.0,178.0,430.0,,170.0,Second Line,71,1182.5,19,14,29,1992-10-27,USA,USA,73,215,2011,2,13,43,8476438.0,https://assets.nhle.com/mugs/nhl/20222023/STL/8476438.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2022-2023,Brandon Tanev,SEA,F,313.0,10.0,,136.0,360.0,17.0,302.0,140.0,204.0,242.0,64.0,38.0,,203.0,Third Line,82,1166.05,16,12,30,1991-12-31,CAN,CAN,72,189,-,-,-,-,8479293.0,https://assets.nhle.com/mugs/nhl/20222023/SEA/8479293.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
2022-2023,Brayden Point,TBL,F,69.0,359.0,73.0,,29.0,323.0,113.0,13.0,55.0,140.0,44.0,370.0,62.0,37.0,First Line,82,1612.9166666667,51,23,26,1996-03-13,CAN,CAN,71,180,2014,3,19,79,8478010.0,https://assets.nhle.com/mugs/nhl/20222023/TBL/8478010.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
2022-2023,Brayden Schenn,STL,F,292.0,425.0,79.0,,335.0,430.0,329.0,160.0,313.0,75.0,296.0,142.0,89.0,108.0,First Line,82,1511.2,21,22,31,1991-08-22,CAN,CAN,73,199,2009,1,5,5,8475170.0,https://assets.nhle.com/mugs/nhl/20222023/STL/8475170.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
2022-2023,Brendan Gallagher,MTL,F,39.0,265.0,174.0,,202.0,222.0,29.0,85.0,311.0,126.0,324.0,255.0,,159.0,Third Line,37,528.41666666667,8,5,30,1992-05-06,CAN,CAN,69,186,2010,5,27,147,8475848.0,https://assets.nhle.com/mugs/nhl/20222023/MTL/8475848.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
2022-2023,Brendan Lemieux,LAK,F,238.0,191.0,,,231.0,112.0,278.0,377.0,86.0,265.0,449.0,13.0,,420.0,Fourth Line,45,458.16666666667,2,5,26,1996-03-15,USA,USA,73,215,2014,2,1,31,8477962.0,https://assets.nhle.com/mugs/nhl/20222023/LAK/8477962.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
2022-2023,Brendan Lemieux,PHI,F,238.0,191.0,,,231.0,112.0,278.0,377.0,86.0,265.0,449.0,13.0,,420.0,Fourth Line,45,458.16666666667,2,5,26,1996-03-15,USA,USA,73,215,2014,2,1,31,8477962.0,https://assets.nhle.com/mugs/nhl/20222023/PHI/8477962.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
2022-2023,Brett Howden,VGK,F,378.0,104.0,,209.0,320.0,275.0,430.0,314.0,246.0,333.0,327.0,91.0,77.0,356.0,Fourth Line,54,705.18333333333,6,4,24,1998-03-29,CAN,CAN,74,203,2016,1,27,27,8479353.0,https://assets.nhle.com/mugs/nhl/20222023/VGK/8479353.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
2022-2023,Brett Leason,ANA,F,408.0,407.0,,,382.0,420.0,265.0,370.0,354.0,434.0,355.0,283.0,,433.0,Fourth Line,54,588.16666666667,6,2,23,1999-04-30,CAN,CAN,77,218,2019,2,25,56,8481517.0,https://assets.nhle.com/mugs/nhl/20222023/ANA/8481517.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2022-2023,Brett Ritchie,CGY,F,283.0,138.0,,,196.0,25.0,150.0,271.0,153.0,440.0,403.0,50.0,,407.0,Fourth Line,50,502.51666666667,8,2,29,1993-07-01,CAN,CAN,76,215,2011,2,14,44,8476439.0,https://assets.nhle.com/mugs/nhl/20222023/CGY/8476439.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
2022-2023,Brett Ritchie,ARI,F,283.0,138.0,,,196.0,25.0,150.0,271.0,153.0,440.0,403.0,50.0,,407.0,Fourth Line,50,502.51666666667,8,2,29,1993-07-01,CAN,CAN,76,215,2011,2,14,44,8476439.0,https://assets.nhle.com/mugs/nhl/20222023/ARI/8476439.png,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
2022-2023,Brock Boeser,VAN,F,218.0,362.0,76.0,,230.0,373.0,106.0,105.0,111.0,156.0,319.0,378.0,,95.0,Second Line,74,1275.8666666667,18,19,25,1997-02-25,USA,USA,73,208,2015,1,23,23,8478444.0,https://assets.nhle.com/mugs/nhl/20222023/VAN/8478444.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
2022-2023,Brock McGinn,ANA,F,388.0,164.0,,66.0,363.0,203.0,337.0,284.0,426.0,423.0,28.0,170.0,,309.0,Fourth Line,75,977.55,12,3,28,1994-02-02,CAN,CAN,72,187,2012,2,17,47,8476934.0,https://assets.nhle.com/mugs/nhl/20222023/ANA/8476934.png,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
2022-2023,Brock McGinn,PIT,F,388.0,164.0,,66.0,363.0,203.0,337.0,284.0,426.0,423.0,28.0,170.0,,309.0,Fourth Line,75,977.55,12,3,28,1994-02-02,CAN,CAN,72,187,2012,2,17,47,8476934.0,https://assets.nhle.com/mugs/nhl/20222023/PIT/8476934.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2022-2023,Brock Nelson,NYI,F,93.0,355.0,60.0,204.0,102.0,397.0,124.0,36.0,85.0,99.0,131.0,385.0,90.0,64.0,First Line,82,1511.7,36,24,30,1991-10-15,USA,USA,76,210,2010,1,30,30,8475754.0,https://assets.nhle.com/mugs/nhl/20222023/NYI/8475754.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
2022-2023,Bryan Rust,PIT,F,65.0,367.0,57.0,167.0,49.0,312.0,80.0,63.0,4.0,95.0,208.0,273.0,,83.0,Second Line,81,1449.8666666667,20,15,30,1992-05-11,USA,USA,71,192,2010,3,20,80,8475810.0,https://assets.nhle.com/mugs/nhl/20222023/PIT/8475810.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
2022-2023,Cal Clutterbuck,NYI,F,440.0,123.0,,61.0,411.0,152.0,424.0,404.0,440.0,447.0,284.0,7.0,,383.0,Fourth Line,49,598.96666666667,6,2,34,1987-11-18,CAN,CAN,72,212,2006,3,9,72,8473504.0,https://assets.nhle.com/mugs/nhl/20222023/NYI/8473504.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
